SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	0.041650011	NA	0.200855929	0.134600402	NA	0.882829801	NA	NA	0.056955997	NA	NA	0.025173763	0.86879073	0.278686259	0.985473581	0.12827627	NA	0.034813676	0.031494937	NA	1.216058265
11	0.045452349	0.01038964	0.132734437	0.129256093	0.011550799	0.746894819	0.04758645	0.190404954	0.044954565	0.107967361	0.0467252	0.021403265	0.736157265	0.214492836	0.900405687	0.107415357	0.145652861	0.033846286	0.029808788	0.740764057	0.819899686
12	0.029551918	0.008790413	0.145762697	0.121610009	0.011364981	0.625215457	0.02772975	0.217698375	0.037041629	0.092601429	0.038887397	0.01636412	0.629707108	0.227723933	0.760319557	0.087938778	0.076636506	0.040743857	0.022495149	0.636750979	0.754970502
13	0.031653284	0.007464968	0.141287958	0.106535097	0.013796562	0.54039023	0.027513622	0.193925079	0.031435369	0.088117504	0.026674003	0.021474729	0.534399845	0.186426955	0.537180096	0.072759626	0.084946004	0.026126213	0.020688597	0.541034648	0.640591269
14	0.026344726	0.006856462	0.121502907	0.098002181	0.009536289	0.453190279	0.022441271	0.193906691	0.027447214	0.0751101	0.037638318	0.01446032	0.474179315	0.172922638	0.523079451	0.057407008	0.092807964	0.034672021	0.016934241	0.454187016	0.524067296
15	0.023702021	0.004925997	0.098502969	0.086779973	0.010370339	0.394504651	0.025565514	0.134836361	0.024246715	0.089072164	0.039451233	0.012569444	0.399241938	0.156071651	0.407451738	0.054110826	0.06301738	0.026146502	0.017272286	0.375640601	0.482336755
16	0.026756776	0.004873809	0.111356928	0.074602879	0.009947163	0.342712432	0.017721111	0.106489383	0.020808235	0.105187459	0.034897785	0.014752446	0.338686584	0.103124571	0.376915456	0.045322212	0.083982711	0.021873651	0.01526218	0.33928316	0.44640839
