SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	ymin.r2.M3	ymin.i.M3	ymin.r.M3	ymin.e.M3	ymin.f.M3	ymin.c.M3	ymin.vc.M3	ymax.r2.M3	ymax.i.M3	ymax.r.M3	ymax.e.M3	ymax.f.M3	ymax.c.M3	ymax.vc.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	ymin.r2.M2	ymin.i.M2	ymin.r.M2	ymin.e.M2	ymin.f.M2	ymin.c.M2	ymin.vc.M2	ymax.r2.M2	ymax.i.M2	ymax.r.M2	ymax.e.M2	ymax.f.M2	ymax.c.M2	ymax.vc.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1	ymin.r2.M1	ymin.i.M1	ymin.r.M1	ymin.e.M1	ymin.f.M1	ymin.c.M1	ymin.vc.M1	ymax.r2.M1	ymax.i.M1	ymax.r.M1	ymax.e.M1	ymax.f.M1	ymax.c.M1	ymax.vc.M1
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	0.509018582	NA	1.314028265	0.540513496	NA	0.001904318	NA	0.282274884	NA	0.046597976	0.08837409	NA	-0.002302739	NA	0.73576228	NA	2.581458554	0.992652902	NA	0.006111374	NA	NA	0.982445458	NA	NA	0.56825758	0.007060543	0.265615296	NA	0.937999388	NA	NA	0.485310764	-0.00900412	0.112603116	NA	1.026891527	NA	NA	0.651204396	0.023125206	0.418627476	0.165646982	0.976639673	NA	0.569847028	0.61230487	NA	0.191307822	0.099574659	0.923884068	NA	0.335029021	0.5195676	NA	0.099310507	0.231719304	1.029395278	NA	0.804665035	0.70504214	NA	0.283305138
11	0.501998811	0.983945061	1.14047877	0.584579065	0.404780302	0.004323264	0.567218882	0.267209122	0.955266399	0.162319379	0.150941803	0.315408564	-0.002506798	0.300833652	0.736788501	1.012623722	2.11863816	1.018216327	0.49415204	0.011153326	0.833604113	0.221968746	0.960626179	0.949957484	0.581071602	0.577309432	0.014764375	0.253686953	0.103444022	0.907672189	0.439690681	0.317061418	0.49439558	-0.007239574	0.114662511	0.340493471	1.01358017	1.460224287	0.845081786	0.660223284	0.036768323	0.392711395	0.161853315	0.95388967	0.901931305	0.566952303	0.613536237	0.021276637	0.175591551	0.09789137	0.887354269	0.394260203	0.33805995	0.539810369	-0.008866101	0.109255749	0.22581526	1.02042507	1.409602406	0.795844655	0.687262105	0.051419375	0.241927353
12	0.524737259	0.976533279	1.245676704	0.527727087	0.404498678	0.006637977	0.549708836	0.344951734	0.947801298	0.188702106	0.110518251	0.317261659	-0.000998569	0.348271551	0.704522785	1.005265261	2.302651302	0.944935922	0.491735696	0.014274523	0.751146122	0.227858099	0.944079124	0.924796852	0.548562636	0.591678777	0.021377465	0.25575539	0.107447438	0.88128759	0.439269748	0.308886447	0.505708135	-0.002516344	0.114332987	0.34826876	1.006870659	1.410323956	0.788238826	0.677649418	0.045271275	0.397177793	0.155061284	0.930472325	0.855774355	0.576616536	0.633613642	0.030843834	0.171878253	0.093426829	0.854030812	0.488931933	0.329198461	0.54434224	-0.003574437	0.106264541	0.216695738	1.006913839	1.222616778	0.82403461	0.722885043	0.065262106	0.237491965
13	0.519256269	0.969518489	1.236264003	0.570768839	0.412442571	0.008408714	0.563646684	0.331272351	0.93697818	0.205846447	0.181445452	0.308356463	0.000108976	0.364642516	0.707240188	1.002058798	2.26668156	0.960092227	0.51652868	0.016708452	0.762650851	0.22475203	0.93169085	0.918779921	0.542492147	0.579847231	0.027759796	0.249843342	0.112318557	0.868301432	0.445694766	0.34872197	0.485636535	0.003034207	0.123418335	0.337185503	0.995080267	1.391865075	0.736262324	0.674057926	0.052485385	0.37626835	0.144347026	0.911017934	0.866701539	0.558898512	0.635563018	0.04038591	0.164729498	0.094758065	0.836832105	0.491099947	0.361976307	0.564052061	0.002760347	0.099122523	0.193935988	0.985203764	1.242303131	0.755820718	0.707073975	0.078011473	0.230336473
