SAMPLE	output.r2.means.P3	output.i.means.P3	output.r.means.P3	output.e.means.P3	output.f.means.P3	output.c.means.P3	output.vc.means.P3	ymin.r2.P3	ymin.i.P3	ymin.r.P3	ymin.e.P3	ymin.f.P3	ymin.c.P3	ymin.vc.P3	ymax.r2.P3	ymax.i.P3	ymax.r.P3	ymax.e.P3	ymax.f.P3	ymax.c.P3	ymax.vc.P3	output.r2.means.P2	output.i.means.P2	output.r.means.P2	output.e.means.P2	output.f.means.P2	output.c.means.P2	output.vc.means.P2	ymin.r2.P2	ymin.i.P2	ymin.r.P2	ymin.e.P2	ymin.f.P2	ymin.c.P2	ymin.vc.P2	ymax.r2.P2	ymax.i.P2	ymax.r.P2	ymax.e.P2	ymax.f.P2	ymax.c.P2	ymax.vc.P2	output.r2.means.P1	output.i.means.P1	output.r.means.P1	output.e.means.P1	output.f.means.P1	output.c.means.P1	output.vc.means.P1	ymin.r2.P1	ymin.i.P1	ymin.r.P1	ymin.e.P1	ymin.f.P1	ymin.c.P1	ymin.vc.P1	ymax.r2.P1	ymax.i.P1	ymax.r.P1	ymax.e.P1	ymax.f.P1	ymax.c.P1	ymax.vc.P1	output.r2.means.P4	output.i.means.P4	output.r.means.P4	output.e.means.P4	output.f.means.P4	output.c.means.P4	output.vc.means.P4	ymin.r2.P4	ymin.i.P4	ymin.r.P4	ymin.e.P4	ymin.f.P4	ymin.c.P4	ymin.vc.P4	ymax.r2.P4	ymax.i.P4	ymax.r.P4	ymax.e.P4	ymax.f.P4	ymax.c.P4	ymax.vc.P4
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	0.981101631	NA	0.546458173	0.573271448	0.006899904	0.258804327	NA	0.943319211	NA	0.263579169	0.471618707	-0.009000469	0.111443001	NA	1.018884052	NA	0.829337177	0.674924188	0.022800277	0.406165652	0.234260782	NA	NA	NA	0.573905308	NA	0.271646533	0.106652601	NA	NA	NA	0.47533096	NA	0.123352757	0.361868962	NA	NA	NA	0.672479655	NA	0.419940308	NA	0.978103833	0.884865179	NA	0.576300394	NA	0.26005691	NA	0.928008837	0.370676281	NA	0.469302514	NA	0.127608118	NA	1.02819883	1.399054078	NA	0.683298275	NA	0.392505702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
