"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.78509858488384,1.79216422854882,3.23468122538021,1.84935758147364,2.16903156949234,1.32874797702537,2.41749779051968,1.95655725259632,2.64265520888466,2.26537826252145,2.64613468064124,1.31780275774531,2.18450273924274,0.505450746511457,1.41512809294541,0.56369601608501,1.95610526286052,0.30870410186302,0.938818901466991,1.10787639140501,2.17458830528815,2.09606515558082,1.16989205783034,1.87075315753189,1.35536554562862,0.263962400115682,1.33978214685115,1.51815787015041,1.86532738610776,2.13300387758819,-0.248544530445613,1.98726806595544,1.22939494348128,0.314690640269023,0.40348154677446
"IS-NLE",1.79216422854882,7.92135378717405,5.92126395289938,6.43109139309841,4.3844687160282,4.52237801416326,0.896113592206669,3.15704570853197,3.83849814147904,4.42415207754883,4.84886254381413,2.37934053850259,5.22494808734452,1.46176612859703,2.55568304720832,1.53047908501461,4.24606506168278,1.18763660327107,1.05295243163959,0.765654092660203,6.57632900767305,7.07096558958088,1.97907565139153,4.10898834256649,2.71556396936826,1.38880021669539,2.16513726855289,2.33910903014364,4.15645672914655,4.13619323627068,1.39745765480948,4.82263067491352,2.56920576224574,0.0934175687913095,-0.327809624555716
"IS-PNS",3.23468122538021,5.92126395289938,14.2246927892427,8.27022093809486,8.27323986008668,6.96574261296076,6.02234687133782,5.49843211177877,7.71527312983229,8.59087693516562,10.0618284017767,2.55124056722786,6.57122281700137,1.9986489749007,4.94886342352769,2.08940043771001,8.5722375083082,0.377862299001775,3.42235959680893,3.3575531305985,8.78783013012597,10.671900657857,3.13580115634875,3.67429655372015,5.4765561133964,1.97550576162542,4.94969203953489,4.04097091493804,8.72491920939319,5.94372745082152,0.289066035053134,7.36216340799239,3.68076359340629,-0.0840312130444844,-0.174924638234082
"PM-ZS",1.84935758147364,6.43109139309841,8.27022093809486,9.6820139586139,7.0312695776758,5.87412481753472,5.19098268508009,4.83565297588159,5.75527011974729,5.72239622986015,8.43185031134463,3.17191763532769,7.50925678230977,2.00963792872711,3.51702812827411,1.50602544421199,5.50450244729779,0.51932023764709,2.57884693759435,3.01582204853866,7.25251828066541,8.5589720415496,2.22222888253953,4.72471651479329,3.68618451426551,1.32337154870316,3.52698057456562,2.6738424129972,5.57392631675316,4.33381857048033,1.71890250909543,5.82710087114544,2.06249862006573,0.952288384765187,0.237132008801705
"PM-ZI",2.16903156949234,4.3844687160282,8.27323986008668,7.0312695776758,9.98815918502795,5.64001494516817,4.03654089073251,4.23268672439201,8.26766273417098,4.8729114786063,6.82622411011184,2.65004808460904,6.325073727348,1.89901529999828,3.65405913468166,1.86974093330791,5.62300435464583,0.631853047472725,4.14836617494248,5.211617134215,3.67170379144543,4.66118372177628,2.36020696430194,4.0460269435026,3.93071282664302,1.23607941956134,3.58408816665349,2.56683286411835,5.26798458614328,4.36006264518701,2.08578993389379,5.067774156388,2.5221108216829,0.945096186477187,0.15565004441454
"PM-MT",1.32874797702537,4.52237801416326,6.96574261296076,5.87412481753472,5.64001494516817,5.24737460934012,2.52175453714,3.34694775469784,4.52532239492243,5.05576662502614,5.91783156441271,2.03456946442936,4.56293988689649,1.28473708059119,2.7660988713634,1.14354908073065,4.90862972091662,0.314686696566911,1.87379216094074,1.76286178268697,5.15623370423606,6.18533577879872,1.73378492007635,3.12388281344535,3.10279101682612,1.25506286157461,2.68455718338186,2.12928600132436,4.98170528864783,3.49865114008489,0.224462316847371,4.44562990139517,1.86507255313069,0.159802401199383,0.0495066956353275
"NLE-NON",2.41749779051968,0.896113592206669,6.02234687133782,5.19098268508009,4.03654089073251,2.52175453714,11.5581168375563,5.33232247482954,4.95930292373419,2.39378456197316,8.35142353907908,2.37167870987035,4.60651209933334,0.652510764257318,1.68250837191941,0.22928212066298,4.4586538604506,-0.387230396616287,1.10324492262154,2.83719641146042,5.72347276313614,5.96021214372495,2.01267596021326,3.94693661639992,2.10445979981982,0.392604391344008,2.62336925051945,2.76897585795068,4.51423834042161,2.44402789845414,-0.503393499516814,3.02879327245324,1.11614402794975,0.506122884974188,1.18112113944871
"NLE-ZS",1.95655725259632,3.15704570853197,5.49843211177877,4.83565297588159,4.23268672439201,3.34694775469784,5.33232247482954,5.15107949076706,5.03761611612186,3.95230684939628,5.56453369115417,2.18561935550534,4.34077633053862,0.87551104934677,2.39223956722189,0.840154189970721,4.18601261280837,0.297232727989862,0.420569636146855,2.0436313431453,5.21232315642273,5.29008228724619,1.8258221723017,3.26827398856063,2.76787140565668,1.1565034142182,2.64076318220394,2.48636763030642,4.01027211425566,3.22857668612847,0.225001134222235,3.94323556206195,2.08354108314161,0.629017699328623,0.495548803430102
"NLE-ZI",2.64265520888466,3.83849814147904,7.71527312983229,5.75527011974729,8.26766273417098,4.52532239492243,4.95930292373419,5.03761611612186,9.00814708870987,4.71725790842849,5.81667477897907,1.85683706290454,5.09136440093975,1.75454935156001,3.61074824155731,2.19114273630393,6.16692306240429,0.848178027946083,3.8473770719235,4.56335424724953,3.6985513277262,4.71293629088329,2.37628039567096,3.72841705106575,3.72993736871428,1.08969622490428,3.57010618338094,2.76115143157843,5.49093616901589,4.26432181330356,1.40385031846128,4.77996750801321,2.9281678823915,1.24252633160793,0.0838342593410206
"NON-BR",2.26537826252145,4.42415207754883,8.59087693516562,5.72239622986015,4.8729114786063,5.05576662502614,2.39378456197316,3.95230684939628,4.71725790842849,15.1439220020624,7.51604280504855,3.01419080357387,5.02928264745329,2.99499906142476,6.17104445757621,3.18693640485989,7.02749802689704,0.532096935289338,2.05995014227249,1.45922339043976,7.12253656707083,8.10429925823972,2.08015097841552,4.34075938933655,4.54649259038726,1.06791115549114,3.54545866351399,3.60780647739043,6.363171834404,5.23328163844566,-4.37618251915918,6.67623383921035,3.69374322105074,-0.134291239554139,-0.264534586350952
