"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.69992124238384,0.883102196789015,1.65913163233436,0.505215038738752,-0.587122242056792,-0.0846846951670473,0.90064674424213,0.75778267071448,1.54956215584927,2.42040930532598,1.14980306247545,1.00117642469652,0.674299803218046,0.56457245780959,1.45144977895536,0.83911894368082,1.39568452837216,0.192723718543062,1.57351952309932,-0.159709816383651,2.27600838140079,1.35025979704681,0.61291375312738,0.365247028718588,1.03171356231452,0.0152633787577723,1.11559524422239,0.125081835063975,1.06243135113892,-0.14959773589434,-0.368293613269109,0.473849549924351,1.53076188129536,1.02436898648653,0.328203683187143
"IS-NLE",0.883102196789015,2.0586729535631,1.64650388872822,1.20670855991469,0.410737579922944,0.620602003703284,0.652584255143629,0.318139384916782,1.49001383880949,3.51363112113086,1.57166580940656,1.62150983464097,1.14421802785265,1.14477599179355,2.18466699530586,1.04547214551113,1.65877642152382,0.315976451797877,1.55745424034141,0.0999855202959143,2.13713137842074,1.42089716537792,0.536647163406361,1.21838960617598,1.36178344072887,0.397697343421461,1.56244931594513,1.31765399782759,1.63260179111358,0.689315904339817,-1.28898931350196,0.551010235995299,1.64448534622611,0.665107447532352,0.264078513675822
"IS-PNS",1.65913163233436,1.64650388872822,4.37669073812032,2.26598228782349,1.48599526887613,2.11961839528255,2.07242463836827,1.86799989807473,3.2574345813704,5.49805859265155,3.86305357642488,1.89394752485529,1.97751447767408,1.85051923249221,3.57241707452762,2.64318507840043,2.99363690060929,0.904670957984128,2.19291822973861,0.944363571820101,3.75586778479307,2.95471621065305,1.51999592080853,1.2737052194433,2.03767529379412,0.284570120357009,2.45852483692304,1.11054752558628,2.30253370255001,0.87601283076041,0.396686934106392,1.53348133967993,3.56478105983179,1.52324029975776,0.614755120929294
"PM-ZS",0.505215038738752,1.20670855991469,2.26598228782349,3.1991655118907,1.76034285719598,1.95860206720418,1.57001983618348,1.39028086878237,2.34526873600577,4.02564693296321,2.58231346657347,1.15770347846657,1.22363208166451,1.74048629959628,2.75302565857319,1.93731441347069,2.17769615045454,0.704642385169328,2.72572734057895,0.707132081653052,2.53707431367588,2.05348881804687,0.939218841455324,1.50545479443131,1.30775226042868,0.223002986149873,1.3476254203399,0.74016079209626,1.40217848682632,0.511811200355912,0.373383207024801,0.563530348958576,2.3171519758649,0.52573503073075,0.133059421838638
"PM-ZI",-0.587122242056792,0.410737579922944,1.48599526887613,1.76034285719598,3.61678853295198,2.44276300737354,1.14767180866282,1.06989267354732,2.31089995021635,1.6720726386728,1.59237595488734,-0.262659803767948,0.761906283113889,1.4472008155675,1.59445032702797,1.71824388127582,1.26620760949456,1.00563197599494,0.662197618607109,1.59942471966102,-0.24441475369007,0.943131467451782,0.585359217636102,1.45734671744147,0.334875804104045,0.295045634728511,0.760590721656642,0.479583432694113,0.591103219495928,1.07754450922199,0.647978448247214,1.04396845623918,1.5204195553455,0.170102606296756,0.136412612144239
"PM-MT",-0.0846846951670473,0.620602003703284,2.11961839528255,1.95860206720418,2.44276300737354,2.90277269863305,1.38741054077367,1.20215388793602,2.05375498302102,2.66010155010751,2.00615456020303,0.123012166639095,0.882949704764446,1.69549939427137,2.17249289911112,1.64052225334919,1.67933329511774,0.766346055659482,1.00320192021687,1.6534795245715,1.40026686653908,1.98332632170962,0.666654545055939,1.35610812421251,0.821025554976888,0.0167583385650754,1.11644561596563,0.719304428084275,0.965980360687965,0.489348161338927,0.386938861869246,0.402204053719528,1.59905354335892,0.685283793919024,0.270599567791144
"NLE-NON",0.90064674424213,0.652584255143629,2.07242463836827,1.57001983618348,1.14767180866282,1.38741054077367,4.12202305885059,2.05740213131036,2.65700769390042,0.876535631598028,1.94929417795787,0.728002012519948,1.52714948855941,1.27898892119284,2.04811405724956,1.36257077190694,2.15332093521896,0.335581729225434,1.17647210118981,1.22355525677148,2.4964158288965,2.2269234354242,1.24045610329806,1.12186111372517,1.13851656138785,-0.330143906528695,1.31555198877783,1.47908263349799,2.00984143057415,0.279391573733256,1.07635966023174,0.787630511974737,1.36351483919269,1.14631708060809,0.163455289739257
"NLE-ZS",0.75778267071448,0.318139384916782,1.86799989807473,1.39028086878237,1.06989267354732,1.20215388793602,2.05740213131036,2.12061003097582,2.36576519885495,2.24778354194658,1.99750320087839,0.653805433648104,1.05793305605717,0.899732156792557,1.6103289235717,1.13686184577469,1.55832702981699,0.223370878241464,0.793614981348721,0.72042355624578,1.84010171775324,1.70203587121727,0.842430192346349,0.98116919577027,0.85095940150178,-0.00065657647438621,1.16682394440236,0.624504956271573,1.27261432963255,0.364583923699026,0.924281233126407,0.61094830456904,1.37086587553698,0.768861105918868,0.486275670649919
"NLE-ZI",1.54956215584927,1.49001383880949,3.2574345813704,2.34526873600577,2.31089995021635,2.05375498302102,2.65700769390042,2.36576519885495,4.64781430566457,4.87820868438362,3.38447067957024,1.24987320328287,1.57439660347476,1.78602274114079,3.09668817322233,2.1124699539262,3.10685663358659,0.774610419900968,3.07136643605263,1.02588659506761,3.21876380561824,2.78546976842359,1.33793756213578,1.89348702607354,1.71783861123693,0.135017498972085,2.14773823333063,0.994170532924944,2.33170993865234,0.668594666158101,0.160700222968847,1.22772039002008,2.7615182755672,1.37341175876773,0.579522433957368
"NON-BR",2.42040930532598,3.51363112113086,5.49805859265155,4.02564693296321,1.6720726386728,2.66010155010751,0.876535631598028,2.24778354194658,4.87820868438362,19.6828507630321,6.22997287350203,7.85502160159879,2.98642739573413,2.29358871683695,5.56388542329718,3.41275435380133,4.48840161187742,1.1432545026756,5.14012465428795,-0.229827783333709,7.44209224130915,5.50652239378514,2.40199993931604,3.95460820373729,3.85871800819356,1.39234025612525,4.60571892253103,2.10119864093587,3.58701590742403,1.55685634103206,-4.72647071133855,1.33165398975825,5.81505102489409,1.81928752241904,0.619742277061009
