"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.99409180979627,1.64820822352089,3.44303358481877,-0.0722199872398693,0.57053093510259,0.35898368424029,0.344537362501733,1.15235804242418,2.14999193483723,1.48217400860119,2.42666090093542,1.17145666641295,2.34601882967957,0.625017561556287,2.34156400956313,1.0210590609188,1.43418912592462,-0.349130862202575,0.994487186718014,1.00238365875962,2.05311845271371,2.81612970654053,1.6220757739101,1.33801777067703,1.92359658400551,-0.379120071890272,1.23326591018197,1.94394442567156,1.72564480997284,0.430464717845222,1.91815263229376,1.67167703597026,2.40229599493618,1.44763931244937,0.446232686546294
"IS-NLE",1.64820822352089,3.29949196502241,3.46713130265643,0.646353620363818,1.19500751108212,0.00628704283080057,-0.856828790564101,0.772878806363302,1.53168180521829,2.59943165707309,2.29121013827373,1.16833466479499,2.45635915172664,1.36461778809492,3.04756326307307,2.11525190461172,1.81623992013369,0.476473580891154,0.79626592529366,0.593577574209056,2.77857952328314,3.08411317902204,2.83565604829734,1.64940141150575,1.94723408460408,-0.0116097207724443,1.28125214775281,1.46466086168394,1.72350472852034,-0.265743799926466,2.14548246979811,1.63862684856436,3.87414076999211,1.6540176566041,0.191597567654042
"IS-PNS",3.44303358481877,3.46713130265643,13.6244050170941,2.47074645033334,3.04543269990074,4.05557908016192,1.33769339825764,4.87564767237812,6.62643139216266,8.58955963395398,11.1014642935995,4.27205614059528,6.63110556965843,3.32893652958426,8.56358332727251,4.70506215950423,4.96433400842737,1.13009023199974,1.73894621622571,1.24366690923016,8.26736273985715,9.60358365674142,7.54800550692857,2.1226054983787,5.14574757132357,0.396938251604913,3.93145448823875,4.61930622026693,4.76510440477889,2.24869972636069,5.35556236964846,5.14233658159011,8.00969990068114,3.60091700037546,0.573653569704242
"PM-ZS",-0.0722199872398693,0.646353620363818,2.47074645033334,3.35722281396557,1.93264527701285,2.72167147176639,1.62752364134059,2.97818055809951,1.49804948904398,2.64571264883658,1.48207597059023,0.425290077162978,0.952406751013885,1.07591230013707,0.876273333113749,0.736808053994647,0.832480238429227,0.771405802308525,-1.36724859201913,-0.627011536879338,1.93182115406935,2.66171396609814,0.760417189173068,1.00547843417381,0.0841431632168897,0.778910077447495,0.211756931581449,0.318138061881238,0.681134173393166,-0.119834637655919,0.339707502189637,0.548470737521984,-0.0254229763621617,-0.0484011254615299,-0.321252995600316
"PM-ZI",0.57053093510259,1.19500751108212,3.04543269990074,1.93264527701285,4.26848659993913,2.47560459080316,0.838384260476474,1.91554673379234,3.48309456142879,3.35997235675714,2.23985179562617,0.668797406465617,2.09346844198379,1.73592953347852,3.17502624425378,1.88913200065685,1.74789426794222,1.0756042930414,1.82555989865271,1.16391138153593,0.574196927439285,1.40791104943174,1.40978803855874,1.69882860994363,1.87919229436463,0.463552844097126,1.20367319074184,1.46310793570235,1.52273741933489,0.63185985312146,0.877329245296418,1.3302845352003,1.71979729797275,0.775108949077529,0.21766336147013
"PM-MT",0.35898368424029,0.00628704283080057,4.05557908016192,2.72167147176639,2.47560459080316,4.70607618830527,2.01669845183988,2.9743116323646,2.96784088503408,3.42346293852458,2.98854789065451,1.06878343688312,1.4980964766644,1.17590566291452,1.70715307345937,0.963220624622271,1.51296043564007,0.27774132355535,0.0391060608673753,-0.101138119900919,2.43090952042359,2.89537984131825,-0.111953666173157,1.41253090745072,0.543312321264003,0.382207782651569,0.564000603408316,1.33157704499078,1.5424424419119,0.689985358104408,0.677208805690051,1.04334026722216,0.260115132212879,0.131676028924609,-0.255494153793004
"NLE-NON",0.344537362501733,-0.856828790564101,1.33769339825764,1.62752364134059,0.838384260476474,2.01669845183988,4.90493316293143,2.49014341161332,1.8902065623994,0.00737242714886041,-0.291533082009236,0.417899265669129,0.446312809158359,0.0619463673705096,0.515395393762432,-0.891162457137432,0.0314818936879006,-0.662066096531371,-0.656046674970261,-0.0618941997412168,0.870912372605781,2.00935045414511,-0.742784106841094,0.808746585842178,1.10968996624948,0.664545458794311,0.803181864403134,0.730897500621605,0.407111843200912,-0.343632946398626,-0.614579530636621,0.430917029909133,-2.26874364072396,-0.0726605817322012,0.108196296042192
"NLE-ZS",1.15235804242418,0.772878806363302,4.87564767237812,2.97818055809951,1.91554673379234,2.9743116323646,2.49014341161332,5.76620866748743,4.60712861685309,3.43913157379064,3.97175614563198,1.05221553055894,2.55940178687561,1.18084795308827,2.36439411644996,1.26431812796893,1.92150059348375,0.420874508630687,-1.10306478066462,0.3531964477879,3.97955108922102,5.21636436220272,1.83767919410878,1.82561742934818,1.54944465744141,0.343244740988077,1.31569479453183,1.33196197078754,1.97316240844645,0.0481267249400233,2.85437843889066,1.78511427420543,1.67830865328642,1.29835687273266,0.137979537917685
"NLE-ZI",2.14999193483723,1.53168180521829,6.62643139216266,1.49804948904398,3.48309456142879,2.96784088503408,1.8902065623994,4.60712861685309,7.12224749639625,5.35619828018541,5.92605309640849,1.92398293874463,3.98910247183083,1.72541683908871,4.91683265666078,2.50794376105343,3.78860605706945,0.630596623450488,2.50097056428057,2.00668103845825,4.09540229759556,5.5507158868789,2.98775650367708,2.37643972764022,3.70429901867138,-0.375775946245202,2.54047643545395,3.12811605523183,3.70186096718067,0.745528665273873,3.07450167980197,3.18008117957837,3.79878516060016,2.64644820550689,0.551369701836094
"NON-BR",1.48217400860119,2.59943165707309,8.58955963395398,2.64571264883658,3.35997235675714,3.42346293852458,0.00737242714886041,3.43913157379064,5.35619828018541,25.2257417285223,9.37499025956512,6.1691758076658,0.727740154449363,3.33522224870735,7.44341738983613,4.44612395432694,7.03392313752891,3.28346983190511,1.9576594575332,1.24454939225962,8.11219874984901,9.00394725087454,5.30598084538199,2.42810172992626,4.11050098354476,1.30702967994157,3.26768414654097,3.94958446606011,5.51017728693223,2.40093472112883,-7.61955589686325,1.66543357926588,6.75368157602593,2.89530021976597,-0.390710286477911
