"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",3.11692977096276,2.18945479560898,7.78068906079228,2.35362305672846,1.91760356964497,4.52177618790929,1.86077545219108,3.08059856992406,3.3479330807323,5.85629095707651,3.00050735641099,-0.270520918699662,1.3644738074113,1.68530717532917,1.61003794655625,1.26943528597863,3.68611265354042,1.30125487847768,1.02023198802432,2.59932945611214,5.33734416471872,7.12114823682478,-0.143414047204189,4.19347354583155,0.337039576882019,-0.113048866281524,2.29753830116081,1.79447482111232,3.25943221301925,1.98209241001755,-0.828566585848938,2.25652387715049,-1.65297835718321,1.3433529395156,1.6561142510619
"IS-NLE",2.18945479560898,15.2246315716518,19.424639685946,12.1273180574906,10.5029291040045,15.7936832380785,1.65982627792461,8.28940629886549,9.74471432439793,11.660684821172,13.0704584821961,-1.191710802175,6.77896228112873,7.71903109468184,6.77097836796262,4.98212563021733,12.3043523950597,2.38331841675469,2.27697704874838,8.65026462529053,17.3001823558259,20.9222651324563,0.499920102376681,13.3015973689786,0.900822577648055,1.44749100821514,8.19597567323171,6.38540320445856,12.1112424456169,9.22792140025582,1.26395686970941,11.9971885630981,-4.22673823625866,4.01195579345858,1.2652405644819
"IS-PNS",7.78068906079228,19.424639685946,47.0628269189674,18.9989256969349,17.2306615770803,31.7147778009161,9.48077045021907,15.9889841123522,18.1733913636756,22.5307507157739,25.7813186826819,1.83568551634173,11.4927077886606,9.44211700370388,12.2439729137181,5.54874330871765,19.0713256760788,1.39329540364768,5.11582836839282,15.2603708388927,33.4414111049843,38.1883366197738,0.490222638142525,16.848443919979,6.60325483737225,1.57132404279666,16.2766373125362,11.8955491001023,19.691215362531,16.8202681752411,-4.47091374463211,20.9666315786779,-9.8667987423562,7.79363390632018,4.6362996063642
"PM-ZS",2.35362305672846,12.1273180574906,18.9989256969349,18.4617173209167,14.9839693886071,17.7126548834136,4.27854720426132,13.0776357368891,11.9023520756812,16.7557619125229,10.5108103239391,2.16210270767699,8.85976879106624,7.19799553886148,7.14616463026469,1.9307772581999,10.7538313951773,2.47555136532442,1.04849005776486,7.7069293607968,19.4696915680121,23.9730052472943,1.92666616790573,18.2068368508088,2.64152798761458,1.0995574332004,7.4829576574219,8.8007530040078,11.0097020158651,10.1459503070355,1.55652490673182,14.0150903597113,-0.909264332254327,4.88033789781695,1.62129714160867
"PM-ZI",1.91760356964497,10.5029291040045,17.2306615770803,14.9839693886071,21.2945687360128,18.8595468343036,1.77146196493578,8.40323226653239,14.5954124871643,10.985346141611,7.25629688433415,2.55676849512981,10.5559532808303,8.68309581677902,8.47026771026936,3.15530529594128,8.87546449593008,2.4640405037552,5.15325562891028,6.18251859662631,11.0392700368764,11.5054077133164,2.55834248753351,18.7928083699976,0.976308108917277,0.559980421492266,6.41579873910249,6.51321003246315,8.06553722864351,9.56426977862423,3.54219512794302,12.3042037351088,-0.0079636674756056,2.26845128991191,1.87924879072868
"PM-MT",4.52177618790929,15.7936832380785,31.7147778009161,17.7126548834136,18.8595468343036,29.4998789493816,6.18255437166411,13.6503689084726,17.5026882233261,18.1084084902696,16.7465719296166,2.4265750644934,12.1273448801578,9.8555287439869,11.7040891193232,5.37345371665687,13.5975804377948,3.6260594722428,5.11063369907205,13.4296324021094,24.3213097096324,27.9376219083199,1.71608024771577,19.7863276820968,4.79744363882917,1.48043580024801,10.7809675611874,10.4590743624696,12.9057520872415,13.1241966954358,1.66110704820732,15.7080547695982,-2.44503910835373,5.12438753107255,3.207527793922
"NLE-NON",1.86077545219108,1.65982627792461,9.48077045021907,4.27854720426132,1.77146196493578,6.18255437166411,12.4577632442685,7.4782105138877,5.93892495335378,-1.39320263771248,4.05444902696815,2.4774394352014,5.54246601363118,3.31136877569757,5.37574054475662,1.24826243137841,3.11285336080265,1.98055150336327,0.0210145186497879,1.91724563994855,7.1729559922929,8.55206347492767,1.27068753036135,3.61930964810864,4.20119657481491,1.20157913175874,4.3927226364881,5.17263315887901,2.56902985199616,5.81243374259689,-0.321852644870196,3.71951535488618,-1.4445500842514,0.787165066986215,-0.345340470869359
"NLE-ZS",3.08059856992406,8.28940629886549,15.9889841123522,13.0776357368891,8.40323226653239,13.6503689084726,7.4782105138877,16.891086523504,13.5916572559275,16.3128733634704,10.7950800315806,2.88385206536681,8.60559680606265,6.6596305841358,6.13098019497771,1.3203783995695,8.71505617742483,4.06857375975202,-1.1142066129117,7.35641273321717,16.1896452105574,21.9330048507061,2.40883751540005,14.0039142503185,2.86621592620669,2.28386265640671,6.75634969632355,8.9777440322856,8.26214907007279,10.9740140280787,-0.793441290830227,10.1276869755008,-3.17122658515921,3.17736851239805,1.58003353630442
"NLE-ZI",3.3479330807323,9.74471432439793,18.1733913636756,11.9023520756812,14.5954124871643,17.5026882233261,5.93892495335378,13.5916572559275,17.3931458265155,13.7211000479149,10.4351949122721,2.84863677281576,11.2528443365302,9.69543222184984,8.97709603802716,4.49916945414138,9.96842518782253,4.79545087006248,3.65264171075362,8.60806027790524,13.5477233428558,16.5319126980331,2.4838449676571,17.6366846141405,1.1743867300206,2.08818364017831,7.20631960514701,8.2085564192383,8.251602983485,11.3960011443762,2.91717449239901,9.5226324278851,-2.20192139370481,1.9856218016595,2.18269837750027
"NON-BR",5.85629095707651,11.660684821172,22.5307507157739,16.7557619125229,10.985346141611,18.1084084902696,-1.39320263771248,16.3128733634704,13.7211000479149,53.0970577579054,14.8946558042504,4.61092523369329,5.77115423566685,8.18321408012676,6.04802025366048,4.87803312858994,15.1065234640141,3.3755500894097,0.353645800802817,10.3815951324111,28.2189278110187,32.333923768117,1.99361767319973,22.6412581694759,-0.835138084634838,2.54996268338192,7.78005294953883,9.77388225704931,15.1488678432428,11.548669713537,-8.01343350901697,11.8086249380039,0.686474550770178,7.23646688547348,7.82903660294674
