"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",7.04896928990528,3.30540594561005,5.24765517048908,-0.763964809767788,-3.53065106155229,1.21758406326363,0.266712585358892,2.76568892008501,1.26909597960663,8.29473864218862,1.57124594641057,5.53541488698689,2.48558471424012,-1.60907171160621,-1.45253296170022,-1.28520182726427,-0.44847876847516,-0.823229455114395,-0.645509158761165,5.34477451693889,2.74163577255272,3.15770002196456,0.0442174753605291,4.40496004925189,-1.7915696051646,0.89365230546634,0.72983910044132,1.07032434542532,0.513931390646696,3.32750270847401,-1.69051029738773,2.20940631466352,-0.114099761879935,0.617591397340452,0.999127956719573
"IS-NLE",3.30540594561005,11.7714502051169,9.37226065736497,6.91088033257503,5.75813387402174,8.21125668484292,2.10988552036851,9.74982456648912,11.5674408906709,10.481597033586,8.85265752498026,0.396271632494054,6.59123162252411,4.02218716277457,6.37167421050926,4.49861664518483,10.0518536317791,-0.246608632708546,2.73719616171677,6.62123424111275,7.58273014392752,11.4178092969318,1.28890171229002,7.30674505532242,4.86232363028829,0.498607164192553,9.2557071454768,4.85491507463112,10.4883785333571,5.34202847539338,14.4079369734879,-1.14340618477451,-1.72774542274234,4.87894173205596,3.5845977365331
"IS-PNS",5.24765517048908,9.37226065736497,28.3566480133616,4.74336406489039,5.79635896600213,18.559926596252,10.4587476640872,6.18323906739311,11.6145902436206,9.16738025155014,19.2408985219759,3.53293902464222,5.9652270337048,3.41922396379606,8.17687147764138,6.88298854628051,12.5767089304502,1.10595656013613,6.11310381508518,14.0426015580691,13.137560178753,14.9254283697754,2.88609031360158,-3.54775149559512,5.13316166527401,-1.63978388380004,6.7738636135637,6.08789729063733,12.1968523569643,7.35849742824427,11.4889315671806,-0.984156584585691,2.89130134929554,3.05185690966593,3.90772328830353
"PM-ZS",-0.763964809767788,6.91088033257503,4.74336406489039,9.61503385871349,8.5219023905758,9.53919399814373,2.86961439995095,7.79379351054186,8.2582508032204,2.94737013803817,4.40542625750521,-1.19575151488444,3.35500656805188,2.21018425861749,4.6103972192039,2.99907908610031,7.64873056810235,-0.294612290623375,0.913576646795025,2.73936761889838,4.69409609231856,6.71774942327178,0.0486645038094311,3.98968078629668,5.26398358055839,-0.326526686724497,6.1915756949813,3.00746919156686,7.3944901009493,4.71889094020737,14.3082599546175,-1.9503198370807,-0.0624236049803728,2.0800160631099,3.32471158736638
"PM-ZI",-3.53065106155229,5.75813387402174,5.79635896600213,8.5219023905758,16.5367068067401,12.3907524638005,4.53275429610432,5.87561784709865,13.7823578686639,-1.33200588599289,5.50100047936398,-3.43176417644331,2.42537339318432,2.54318797351351,6.57550260267931,3.02992955575972,7.92758386282647,0.0627691852683737,5.25339959981397,0.916786882957966,0.276349953913069,4.33753754195311,0.696260890787218,0.195525136342457,8.76374020042394,-1.24621863210002,7.9859717654136,3.80768730905207,7.6784131025748,2.72950766941271,17.5184083741054,-3.78596582047097,-1.00693404053328,3.22152787508476,1.98361723037369
"PM-MT",1.21758406326363,8.21125668484292,18.559926596252,9.53919399814373,12.3907524638005,24.0480989853222,9.62757492790229,7.34100822680957,12.2403582551555,0.200812894624515,11.031884271319,-1.33691169035897,4.30623474190854,3.08459638517536,9.41507473262058,6.27477276183197,12.6937697207677,1.57463047455418,4.413449691758,12.8215303271893,10.7843482124756,13.8880752060385,-0.35331854093666,0.387688638266012,9.44838814772967,-2.30659220964004,7.6899127229894,5.1174865307648,11.7840036948911,7.45215779531236,21.5683829199127,-3.17900940244933,4.15006524893484,1.86999733590395,4.36108247375344
"NLE-NON",0.266712585358892,2.10988552036851,10.4587476640872,2.86961439995095,4.53275429610432,9.62757492790229,17.529045610633,2.72679196189631,6.76831687818974,-9.32659544371455,4.19743102578917,0.695400153316847,3.20551745772721,3.43378164095937,3.95373446908899,6.24203313762931,8.74566741137546,3.11793727760274,3.95077273678822,3.84962289840482,6.44108737413482,5.77297833562596,1.18749940903455,-4.04732508965085,2.77407801127795,-1.89312079201412,1.52362766222204,3.5705064709864,6.86254199635352,5.51022514812951,2.04360630990652,0.162513860414521,4.84143829904249,-0.763403220004674,1.16503322417137
"NLE-ZS",2.76568892008501,9.74982456648912,6.18323906739311,7.79379351054186,5.87561784709865,7.34100822680957,2.72679196189631,15.2387489641785,12.3915236240912,10.4164882310992,7.60140318067987,1.36887501423489,6.16117580377099,3.48503208357784,3.6407879509697,2.72725063525542,9.59607463768087,-1.83318577402936,-0.494255905379258,4.26289139952464,7.03747811659,9.95490746461938,1.20491372822945,8.46143930381285,2.41855422807012,1.82892713107474,9.12441945482308,4.23765284549822,10.9099167246555,6.8549103233134,15.8445928892324,-0.502959975852654,-2.69239838451022,4.69891184411226,5.76591083846182
"NLE-ZI",1.26909597960663,11.5674408906709,11.6145902436206,8.2582508032204,13.7823578686639,12.2403582551555,6.76831687818974,12.3915236240912,20.0401682409513,8.83074095644931,12.051029482597,0.458198893483314,7.06806301528236,4.20267005987681,8.08560630878493,4.85778620141884,12.3632682986492,-0.374775088844857,6.26921600800941,5.14606582115197,4.86369932133851,11.4333918942264,2.58416612946511,3.58480981150786,8.87379669148494,-0.0926438297963331,12.477833102398,6.50538906813015,12.9460571257779,6.17479844685093,20.6377053262015,-2.83818791724274,-1.88252210906156,6.10356802863189,3.82797678822131
"NON-BR",8.29473864218862,10.481597033586,9.16738025155014,2.94737013803817,-1.33200588599289,0.200812894624515,-9.32659544371455,10.4164882310992,8.83074095644931,52.2669363109005,13.72989887707,7.45849893606228,1.89619034239377,-0.209116230856328,4.68763203883504,1.02174772596917,2.11572412797133,-3.30259504086563,-0.66377013527479,6.5119017217337,7.92875439553907,10.7963555357213,-0.453361589807324,11.6335746146537,2.30554202180185,1.86903985598668,8.37096293794214,1.84647732998165,3.68607535216568,3.73266507837533,5.82254367071369,-0.726902913016219,-3.48917342996296,5.12114844815191,2.62652343474791
