"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.0956335738607749,0.088246185925943,0.484630581351583,0.206573510849984,0.167468104604285,0.214579919429571,0.187732426774785,0.304706884579181,0.259345553922519,0.509768321883404,0.333537664017018,0.0543178505487288,0.0298712373385796,0.109240472896404,0.308995145809103,0.131358100446627,0.209809790877424,0.0411419720084878,-0.0456137206167432,-0.00951803975186378,0.287202549389267,0.296382492676582,0.238370658941752,0.113972494130933,0.204674655399506,-0.0515868058710569,0.211557195748439,0.16759427600747,0.190845829034265,-0.0568395040268395,0.272125315714597,-0.153815451269429,0.277100644612059,0.0726161496534,0.0437255762428222
"IS-NLE",0.088246185925943,1.26557684985877,2.00144594571521,1.10459637512967,2.26968511874462,1.54741366789079,0.0904557396689514,0.308491889064733,1.27425933491122,1.82660819552926,1.16165950037457,0.527566624670726,0.452525811804858,0.0489675217293895,0.760628496484607,-0.12028517535854,0.377231551457892,-0.383816442792871,0.913129337101623,1.35393111906068,0.328608581317775,0.800149704384939,0.389327931783561,0.918596383447522,0.79418344496169,-0.0792337454523286,0.928334172501936,1.0629452894896,0.768207566741426,0.670502358656335,0.470747586354709,-0.232866604854198,0.0337925021354799,0.174713893488342,-0.134813974492393
"IS-PNS",0.484630581351583,2.00144594571521,9.9959237264665,4.75230191000318,6.83779994276266,6.50340754023487,2.35113351931399,3.11975372134015,4.89272290535871,7.71728783831544,6.17497396106295,0.924972117794217,1.43950538388548,0.753315279481956,3.67467673313817,0.285972805618249,1.6706774182367,-1.13872070922725,1.67788310674972,2.27229032080642,4.4048417887067,4.861465327772,2.59159897465459,2.5604268285537,3.47645720170096,-0.109228474849741,3.58935413604361,2.69584174412262,2.63648518579985,2.10560688605116,2.31711643262033,-1.39109484068339,0.777474091420639,0.915373052147496,0.0997282077166534
"PM-ZS",0.206573510849984,1.10459637512967,4.75230191000318,2.86108107437644,3.81217227568636,3.39951771938749,1.25450426546853,1.89860957603995,2.65959068673038,4.55968550361609,2.69252419933786,0.734663242027471,0.619397003834415,-0.00861480555575055,1.64241591658976,-0.109195374183918,1.09212759635331,-0.629864310204337,0.698106923588149,1.46348372335129,2.38260798323824,2.63232297127846,1.23634776436819,2.0003706724298,1.73061237512054,0.00849409011560774,1.85796317843616,1.64222961188708,1.52774297459971,1.3150399933378,0.47622416887784,-0.815861567531914,-0.0265139488177596,0.316820143169881,0.0857948130464108
"PM-ZI",0.167468104604285,2.26968511874462,6.83779994276266,3.81217227568636,10.9423731245382,5.38704270448429,1.62136157133378,1.23660250865886,7.44654923359284,5.20030187535859,3.22968457859902,2.15196691224203,0.97220093703151,-1.14393925690132,1.61061270820746,-1.1687699117002,1.24693015212477,-1.86132788877546,5.98152222724681,6.04017018254223,-1.49959296255941,-0.714168964540975,1.89679132323735,3.16380152170173,2.29714782048573,0.41550025041245,2.85373677546301,2.9610504463668,2.48099087242938,3.41626482510289,-0.621994891196791,0.322143789971745,-0.810216749995203,-0.254177888134329,-0.236327457058621
"PM-MT",0.214579919429571,1.54741366789079,6.50340754023487,3.39951771938749,5.38704270448429,5.03343368585439,1.59124464930525,1.87151266172805,3.6777464008538,5.26628638051757,3.70517320043964,0.589501155855729,0.662180821928845,0.453404578637762,2.37986636522092,0.292252945383011,1.30859405252066,-0.827438260082671,1.6828402977611,1.92565698575325,2.44660674545802,2.5225260501984,1.23289801127452,2.25127824827289,1.97116036004316,0.0148680263046276,2.19779036015567,2.07897364790861,1.89325641005253,1.62757920238744,0.594033245311257,-0.686263642671898,0.389455712684725,0.248543672659563,-0.0842115780455829
"NLE-NON",0.187732426774785,0.0904557396689514,2.35113351931399,1.25450426546853,1.62136157133378,1.59124464930525,2.61712422988873,1.4279338688068,1.74713280534686,0.243683722239078,0.719849190122713,0.42743167461663,0.433187955871713,0.209712748970559,1.22511533024416,0.225801345741067,0.95813837463412,0.206264557913464,0.254597518512739,0.538043297389106,1.37035762716743,1.17472032860647,0.745680107130256,0.196696528033065,1.1104334303855,-0.0733643565044556,1.07342600777084,0.0513567716227162,0.58803715626649,0.417460174346934,1.24333329371685,-0.57007709270879,0.806176821304104,-0.16395111051873,0.184669501519658
"NLE-ZS",0.304706884579181,0.308491889064733,3.11975372134015,1.89860957603995,1.23660250865886,1.87151266172805,1.4279338688068,2.41634739106955,1.57483509366468,2.95896322491146,1.84099785270781,0.358284308809018,0.33016450772855,0.153638009899447,1.20546522563214,0.0149633059826285,0.852171729805905,-0.116723863638917,-0.886543487838995,-0.178835153145211,2.21563652796161,2.44068533434444,1.14089060745203,1.09702971910054,1.19331208492527,-0.0206412853164564,1.28681713208495,0.87714137045708,0.936007569323117,0.337346751093791,1.14681273184566,-1.13329618224927,0.228141258369877,0.287424125149428,0.298525110571846
"NLE-ZI",0.259345553922519,1.27425933491122,4.89272290535871,2.65959068673038,7.44654923359284,3.6777464008538,1.74713280534686,1.57483509366468,5.81657602753064,3.35911724512347,2.43293406815528,1.40283505727779,0.619447384962581,-0.664093482443361,1.26809403314185,-0.646762657189355,1.16819600916143,-1.09533915468941,4.07944883207392,3.79136366556019,-1.11340019114081,-0.597914184610053,1.6664808289959,1.91592514886361,1.60951939987668,0.39165698873036,1.98136553870732,1.9159404915837,1.84568790065061,2.24672766122287,0.188798850649034,0.108229237828719,-0.221445458471222,-0.287110607562644,-0.0529813490564006
"NON-BR",0.509768321883404,1.82660819552926,7.71728783831544,4.55968550361609,5.20030187535859,5.26628638051757,0.243683722239078,2.95896322491146,3.35911724512347,16.7599994399795,5.37745776037561,1.34378515768439,-0.181772903093601,0.193298988034828,4.03906545460338,0.385355770099061,2.14447444777313,-1.409377053751,0.348527130021078,1.60590865493375,6.87819909803621,7.07362612506443,2.72602689280545,5.47008520962974,4.37886819135812,0.247844880549198,4.07047215525776,3.71697937955882,3.46640947471555,2.1878796992023,-2.67018617141508,-2.35334541898394,0.22760978074316,1.59247318247401,-0.221953622678085
"NON-PNS",0.333537664017018,1.16165950037457,6.17497396106295,2.69252419933786,3.22968457859902,3.70517320043964,0.719849190122713,1.84099785270781,2.43293406815528,5.37745776037561,4.71356763187524,0.0880034372317894,0.880204699619201,0.800056610904468,2.52136668846304,0.458670066687659,1.08739106586795,-0.59007072346514,0.610316306525005,0.79332254874715,3.54564865444892,3.866763493483,1.71561958962411,1.20794963011377,2.3914225031824,-0.0057332606723091,2.17796293593431,1.44722633978609,1.71940547316473,1.0295440686516,1.79228188367926,-0.899469606268493,0.523272979516795,0.904137835307498,-0.000835955933643884
