"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.72428222783154,0.705888547494003,1.76474814214836,0.439232433587929,0.376832544129609,0.667499823363208,0.40174400000487,0.744184868365056,0.763350627206121,1.10356429267616,0.862035256092159,0.0428588989239563,0.294029073282033,0.140303489698791,0.417043840189043,0.0803869880525893,0.294663465129747,-0.193063125102213,0.0554845164943848,0.274502740545105,1.05836571440771,0.991689487965033,0.412176927739492,0.407802939909572,0.422858566180631,0.187397714423901,0.509344214081469,0.157423003649886,0.360673698635103,0.478030875423355,0.221810175253616,0.403323790627667,0.150889811558323,0.156397737680923,0.0211690050946005
"IS-NLE",0.705888547494003,1.74746840914197,2.92023933362512,1.25203285116298,1.07496763302508,1.39216894218588,0.825486513804097,1.09794233179612,1.49612953372975,1.23171208314072,1.79674544967134,0.10220526514821,0.575435226188224,0.380354780846978,0.967421707136952,0.417086900810491,1.01245570888235,-0.107089034206453,0.4767414093706,0.509291056642616,1.39916425906316,1.31366780995701,0.975141722807409,0.412924086917631,0.73254537158793,0.371395977311566,0.79307924215895,0.525142634181328,0.97756738688108,0.535279124570218,0.404908233196333,0.767010177923816,0.853749527947903,0.349516299983909,0.0568487630712462
"IS-PNS",1.76474814214836,2.92023933362512,9.18025723206566,2.90297744580292,2.44657083205595,3.60591321426164,2.49159666686936,3.16435636646066,3.35134592771073,4.34299832495635,5.65953725086737,-0.59765659524094,0.794774122734889,1.48745651360211,2.85141042850791,1.36570663140133,2.07817755117294,0.052590637394466,0.333678181943057,0.736277601119247,4.28843986875859,4.13087241974199,3.78552135646977,0.0828355391084399,1.73815672373289,0.857469694426399,2.2192316188159,0.655713292274522,1.85193232409498,1.53591353595629,0.638511770743965,0.826622968969149,1.61207760625119,0.593740092481876,0.666583150966287
"PM-ZS",0.439232433587929,1.25203285116298,2.90297744580292,1.92250595619774,1.76344458775155,1.78551260086608,0.642065033320879,1.62887057188048,2.09194286884499,2.67641362217095,2.11856361226819,0.172757790759093,0.625301822665423,0.656027888840881,1.08119963909577,0.533727411235571,0.943008695051009,0.0839749627437175,0.561268095867251,0.392947440312814,1.24929556622677,1.22387706377582,0.940054410080345,0.659974900049879,0.579454917928604,0.500506761305666,0.866829194936136,0.164352244999214,0.841686725037658,0.44449256723602,-0.0014014959607242,0.404972629591707,0.836595453455564,0.239699772580565,0.0680865373578634
"PM-ZI",0.376832544129609,1.07496763302508,2.44657083205595,1.76344458775155,3.33333255265771,2.24212026935781,1.10377121321422,1.72936266668337,3.64549889286971,2.10879409441106,1.74574840264178,0.0612681025161194,0.43773100774399,0.29018875689767,0.36083475289918,0.187703191222164,0.871644942622778,0.107878482959386,1.84362942305603,0.758647810645683,-0.513380496461577,0.222896861963827,0.167341403195187,1.00445040311378,0.375577015422336,0.28437661010427,0.568254186914234,0.0590316997046017,0.83146712515703,-0.2772994567932,-0.244415365754065,0.395399865215857,0.433320952493455,0.336709020194167,-0.0231785420184709
"PM-MT",0.667499823363208,1.39216894218588,3.60591321426164,1.78551260086608,2.24212026935781,2.59573317044172,1.01122476702995,1.7009241321624,2.58430926208321,2.6792763337924,2.24442996410362,-0.198263015561332,0.475108437428727,0.827074244590513,1.22457636999269,0.684954134028085,1.16075259585045,0.0421449403205359,0.944176479529208,0.580046454670291,1.40223138622461,1.47741954470826,0.632014490245042,1.01025306147611,0.644040508349122,0.310097797966618,0.97212948372477,0.0768952000766781,0.93648160094697,0.510992840790196,0.0435605822422851,0.429763855125906,0.886897332834832,0.345202847694908,0.158917272562812
"NLE-NON",0.40174400000487,0.825486513804097,2.49159666686936,0.642065033320879,1.10377121321422,1.01122476702995,3.45718271180261,0.992011776142631,1.59097841780226,-1.56148568797521,0.69723173603323,-0.173570874559253,0.605612956630742,0.62839364387064,1.083443210765,0.414049294332371,0.753089402497232,0.105904015035269,0.60014976530866,0.219990359509418,0.420504108362275,1.38384576485216,1.12073835827164,0.242772971181026,0.769464361478165,0.130332436613079,0.822697295574963,0.834088410931611,0.823819368161888,0.430135325082749,1.33976392660641,-0.295615150225458,0.498436245051703,0.237467119856947,0.29295789398533
"NLE-ZS",0.744184868365056,1.09794233179612,3.16435636646066,1.62887057188048,1.72936266668337,1.7009241321624,0.992011776142631,2.20887564858548,2.59812596840199,2.7919428741478,2.24828461785873,0.0556242545470277,0.563328568894336,0.52740445095784,1.08829224590251,0.357373260817709,0.961203414963378,0.0433939017584175,0.438392549706669,0.622138876213352,1.49738255793279,1.75000288592318,0.912074010962164,0.738472796205014,0.856444874350933,0.555415739234316,1.09448331195279,0.0105655453123348,0.905347807233544,0.663862497237243,0.300040174718831,0.283614405840595,0.331814973503934,0.151347253817291,0.176048257411557
"NLE-ZI",0.763350627206121,1.49612953372975,3.35134592771073,2.09194286884499,3.64549889286971,2.58430926208321,1.59097841780226,2.59812596840199,4.8252789404303,2.88698798486816,2.67628879070362,-0.00844510925127684,0.802105798333356,0.547963771509725,0.963945919429731,0.434756267114907,1.73800284461365,0.243748902940914,2.20447922624162,1.16349580578611,0.524835588494536,1.35893401720291,0.477694574599281,1.33858766937894,0.96540235624853,0.470812273614273,1.15983412839102,0.0427752621651555,1.59699700191486,-0.120328661762297,0.153763869964389,0.406456948722695,0.559734642022211,0.329439394579725,0.0323031702748494
"NON-BR",1.10356429267616,1.23171208314072,4.34299832495635,2.67641362217095,2.10879409441106,2.6792763337924,-1.56148568797521,2.7919428741478,2.88698798486816,12.186986904497,4.29103887970171,0.22383894350644,-0.550113651727772,0.896158151700526,1.98105003215455,0.843498085616259,1.31503073852877,0.635377610252725,0.274910010882292,0.314663996179216,3.56442680718933,3.47145362559901,1.07119482705543,1.66376255369524,1.48920659524853,0.561662491737458,1.69768828994296,-0.548375759377111,1.08437785132226,0.4251179891872,-3.50464408986528,0.355932494255306,0.810280141495492,0.130217585162601,-0.440432182229643
