"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.201196715317201,0.124786093465919,0.354565519143529,0.0775169066054435,0.0609099898103982,0.0547858085191154,0.0905088116405197,0.0963131238990471,0.242940364067906,0.49114199642684,0.23519630224712,0.106186791679972,0.102091703367012,0.0154221544182108,0.0898486340118035,-0.0794698123956706,0.210530082179342,0.012399967442848,0.133909618853938,0.159016818219641,0.266239519205962,0.452372963172636,0.113795880104102,0.208104745910982,0.114982458826537,0.00350197161011515,0.206714016788785,0.330084817980689,0.310744813378715,0.0748389144088422,-0.0884685948937989,0.0592747229126666,-0.0642070199179421,0.0123052878909426,-0.0228766289541839
"IS-NLE",0.124786093465919,0.464419631542324,0.337345591081616,0.105178642935511,0.0495301295259564,0.012438280626723,-0.0883654085381586,-0.0983763807700453,0.166863112717296,0.138268670626248,0.33397057330953,0.00716185121542756,0.160113534037211,0.203134257949708,0.317536712834185,0.0681749141304686,0.103752851993033,0.268394605291515,0.255111444400764,0.128749721683888,0.193789560614936,0.364700531143125,0.123310787175217,0.0811051666892339,0.162035763518733,0.0121620461775707,0.276401549963564,0.339111809486745,0.195970282202236,0.0165049036950867,0.0562840384775489,0.128746811672056,0.127935359832783,-0.036262856021491,-0.0139390186574334
"IS-PNS",0.354565519143529,0.337345591081616,1.95732360051455,0.598124054219725,1.07013720662568,1.14898456720576,0.611827672806791,0.645134266216621,1.17765965805948,1.09499639807661,1.20077252768467,-0.0348570589174906,-0.0923210321574253,-0.59554208310315,0.0367219904008081,-0.598835406478236,0.32555198983947,-0.0451101946313447,0.435519048414256,0.179411629950677,0.784082049408863,1.50628207488484,0.803235485106944,0.187773667814235,0.820167116992116,0.0731531510907348,0.688388536373781,0.949548244372625,0.736374684102267,0.184623936885727,0.326215853991678,0.321048745565773,-0.0679294882198316,0.316980980611608,-0.168330650437969
"PM-ZS",0.0775169066054435,0.105178642935511,0.598124054219725,0.545219011680538,0.321200121656954,0.373919122466295,0.281125923191015,0.267277645580875,0.260744155064963,0.161711664811289,0.314732842968282,-0.0920763014581029,-0.0591720884726533,-0.381003383919403,-0.219962188346026,-0.276953763821333,0.151091008846961,-0.0219184692166932,0.193288830395059,0.0942775443866682,0.260808353338223,0.571360715920008,0.164922536197713,0.0418015018456819,0.256196109971446,0.0894987623402983,0.186500021755295,0.332193582104007,0.27702642429881,0.0662386399561206,0.323053751706198,0.0253453657094364,-0.119142509618403,0.0999629167993454,-0.0455182711794587
"PM-ZI",0.0609099898103982,0.0495301295259564,1.07013720662568,0.321200121656954,1.25348380543968,0.989888681375027,0.199054721638188,0.370125902575278,1.02486802452166,0.525668432318877,0.520030177987388,-0.169919912198346,-0.0114092005626187,-0.238656083646908,0.0120345940061057,-0.17498855055088,-0.142077097858316,-0.231160086189855,0.484163011106084,0.000425792313104331,0.091224717115787,0.674251513310673,0.468522372751185,0.25441794959509,0.422188706761496,0.0110851727227804,0.101415103060515,0.379204345633286,0.0723060704159659,-0.0955178686128556,0.704126857161882,0.0464321963682239,0.0613898809405193,0.235543748488484,-0.0941351934657278
"PM-MT",0.0547858085191154,0.012438280626723,1.14898456720576,0.373919122466295,0.989888681375027,1.18015543769508,0.282847204488246,0.432477725073199,0.819024018483142,0.450416769111228,0.63872609599269,-0.0497018765310183,-0.222135128963423,-0.467491890841937,-0.11569331511371,-0.453675545649597,-0.233489382001558,-0.247466901690215,0.287848634668563,-0.0672914479103333,0.273619494560591,0.51535590196029,0.354284577238885,0.0281924284820202,0.444480491234221,0.00592322572988415,0.147330956896184,0.333693403887128,-0.0307260026255384,0.0360257858043577,0.25785339704832,0.293527220924418,-0.0683648972202021,0.262122374003626,-0.0899226410363783
"NLE-NON",0.0905088116405197,-0.0883654085381586,0.611827672806791,0.281125923191015,0.199054721638188,0.282847204488246,1.76318202030958,0.496422347659291,0.316955609442274,-0.673579199425187,-0.311617635529986,-0.0526154303436863,-0.397664866318939,-0.476544081923949,0.0901875814629679,0.0342926551503979,0.321672231442691,0.271526111084617,-0.0682336541579375,-0.0323689027409523,0.415685165435024,0.694336228243854,0.128660571121786,0.0951910930366668,0.446968359986756,0.211439056363575,0.311595918489199,0.32223396396662,0.229552547288368,-0.0345752013514408,-0.204401109062724,-0.0484341544167873,0.505342775159238,0.0674819628110344,0.185684463542626
"NLE-ZS",0.0963131238990471,-0.0983763807700453,0.645134266216621,0.267277645580875,0.370125902575278,0.432477725073199,0.496422347659291,0.745934122640898,0.424190400257641,0.72492688017025,0.339340213654444,-0.058618059520774,-0.214708019898218,-0.639629870553516,-0.302932888797976,-0.403203779809231,0.249443678343183,-0.21203818891041,-0.394971257582077,0.0535584841958966,0.401711735067014,0.845427246282934,0.33372576170605,0.143272766974776,0.408846301230702,-0.00935206397396154,0.347599323142073,0.291312971787282,0.508062489347746,0.244815750378474,-0.00917779298144397,0.0275567303150514,-0.486473105818441,0.0260586984779563,-0.129135535790817
"NLE-ZI",0.242940364067906,0.166863112717296,1.17765965805948,0.260744155064963,1.02486802452166,0.819024018483142,0.316955609442274,0.424190400257641,1.2627489377911,1.18138992043106,0.817834250297888,0.0936793200023086,0.208814116416731,-0.0343286378633691,0.232308867820788,-0.116501474029605,0.283144994064259,-0.152076302100275,0.66869158665365,0.299204231374179,0.382051263088132,0.943797499332174,0.457398904315075,0.409137145935997,0.427145437542395,0.084849139286618,0.393242162942242,0.592433186282293,0.484968914618111,0.0197624004312223,0.244130862657679,0.222976150768689,0.110736189467588,0.192914021421362,-0.119629391876481
"NON-BR",0.49114199642684,0.138268670626248,1.09499639807661,0.161711664811289,0.525668432318877,0.450416769111228,-0.673579199425187,0.72492688017025,1.18138992043106,6.15130838944659,1.5913059359151,1.82547380972017,0.264422043081018,-0.607391431601596,-0.227025698048093,-1.02544363173207,0.59864573263947,-0.281050187527504,0.184469763316136,0.467300540460422,1.17637071444087,1.39069709972727,0.645913134750736,0.675628499820827,0.31543180952452,-0.0658944340915382,0.701705597644605,0.917270621867583,0.955075741594668,0.564983576890506,-1.96261183899983,0.55650975978434,-0.749679710633059,0.240766108381429,-0.42562045435018
"NON-PNS",0.23519630224712,0.33397057330953,1.20077252768467,0.314732842968282,0.520030177987388,0.63872609599269,-0.311617635529986,0.339340213654444,0.817834250297888,1.5913059359151,1.41341637826389,0.204291192932761,0.273981523320618,-0.183130741099242,0.0419336360952809,-0.435733798930495,0.44522383316897,-0.103808650141304,0.383433096981328,0.321036733616654,0.535828781759375,0.817127079203009,0.532301513691782,0.0639122994515574,0.371590988828311,0.0231299425573377,0.575837331840515,0.619214489102941,0.760249502558042,0.270493373654168,-0.0214519818315162,0.435546734974649,-0.220557030337076,0.210707913832774,-0.222768030847197
"BR-PT",0.106186791679972,0.00716185121542756,-0.0348570589174906,-0.0920763014581029,-0.169919912198346,-0.0497018765310183,-0.0526154303436863,-0.058618059520774,0.0936793200023086,1.82547380972017,0.204291192932761,1.2886774287513,0.178821849883747,0.121185976295271,0.333542536634065,0.021399187883992,0.140234845615363,0.308742526692623,0.135767422577143,0.113331594490399,0.507819836087342,-0.191456389070068,-0.0578023334617374,0.196070490617561,-0.11053718286129,-0.0495774812388929,0.032679960241824,-0.0277864016156597,-0.253658316118413,0.318089626932089,-1.39127294109726,0.377137149215534,0.531513402610241,0.0327060958570036,0.070689463886488
"BR-APET",0.102091703367012,0.160113534037211,-0.0923210321574253,-0.0591720884726533,-0.0114092005626187,-0.222135128963423,-0.397664866318939,-0.214708019898218,0.208814116416731,0.264422043081018,0.273981523320618,0.178821849883747,0.749217525278412,0.872762899506124,0.545332090698979,0.626832763561456,0.43913835786083,0.177082567651792,0.409026280486674,0.351647739581874,-0.0503869360221502,-0.100254831601927,-0.0626385971701206,0.303502036973191,-0.270084168053376,-0.0430746162934184,0.0597779114299161,0.118178686977712,0.230860641289997,-0.0435059670319453,0.266224986332357,-0.0133786143402163,0.409915862169639,-0.016680992027398,0.0193289665571323
"PT-APET",0.0154221544182108,0.203134257949708,-0.59554208310315,-0.381003383919403,-0.238656083646908,-0.467491890841937,-0.476544081923949,-0.639629870553516,-0.0343286378633691,-0.607391431601596,-0.183130741099242,0.121185976295271,0.872762899506124,2.17684071081394,1.81578648136442,1.73676201209591,0.0385763863720078,0.569654027219353,0.522876176374148,0.157030904135845,-0.767324414961654,-1.2556252027457,-0.326486825305762,0.135619882364495,-0.428073296739948,0.00506438138882013,-0.0478442534912501,0.0854181418198918,-0.463012912183565,-0.402470039801779,0.453911827548721,-0.0120201463498786,1.45158488219417,-0.275013603182743,-0.0721133722493321
"PT-BA",0.0898486340118035,0.317536712834185,0.0367219904008081,-0.219962188346026,0.0120345940061057,-0.11569331511371,0.0901875814629679,-0.302932888797976,0.232308867820788,-0.227025698048093,0.0419336360952809,0.333542536634065,0.545332090698979,1.81578648136442,2.24992478560095,1.71929220502507,0.158315579327934,0.868911630265882,0.394763060300125,0.0066213440101413,-0.265435655314531,-0.786111334019466,0.0531094478205656,0.130086225418109,0.184655617200671,0.0197497787700866,0.313539303343711,0.416123743307177,-0.366200659566684,-0.274940138642502,0.255783831808318,0.0894908430236326,1.87206190472109,-0.324557758226945,-0.0299555652848001
"PT-EAM",-0.0794698123956706,0.0681749141304686,-0.598835406478236,-0.276953763821333,-0.17498855055088,-0.453675545649597,0.0342926551503979,-0.403203779809231,-0.116501474029605,-1.02544363173207,-0.435733798930495,0.021399187883992,0.626832763561456,1.73676201209591,1.71929220502507,1.93930898287863,0.393069858183673,0.747719115724653,0.247239545396952,0.0843291632064817,-0.586759544340757,-0.956597521430987,-0.248718846305471,0.148571291340936,-0.225810273906411,0.0662094286729714,-0.0329800981523519,-0.0577299086314612,-0.267165714784414,-0.305628030775657,0.489102055814055,-0.239814668694029,1.6311288615695,-0.441880809441196,0.113899330674469
"PT-ZYGI",0.210530082179342,0.103752851993033,0.32555198983947,0.151091008846961,-0.142077097858316,-0.233489382001558,0.321672231442691,0.249443678343183,0.283144994064259,0.59864573263947,0.44522383316897,0.140234845615363,0.43913835786083,0.0385763863720078,0.158315579327934,0.393069858183673,1.50680410585301,0.230646393297265,0.117719561195837,0.50192499338605,0.633136904161203,0.906851254142859,0.239078328512787,0.387733930610549,0.0849283766742724,0.0859371551259841,0.384139126895814,0.543826096450692,1.35288375621253,0.231985759372538,-0.199978892146654,-0.0720827774256395,0.188268598511607,0.0219894599676367,0.0739809903129149
"PT-TSP",0.012399967442848,0.268394605291515,-0.0451101946313447,-0.0219184692166932,-0.231160086189855,-0.247466901690215,0.271526111084617,-0.21203818891041,-0.152076302100275,-0.281050187527504,-0.103808650141304,0.308742526692623,0.177082567651792,0.569654027219353,0.868911630265882,0.747719115724653,0.230646393297265,0.885459544560031,0.0909132525014603,0.0578936869041327,0.00460973779530499,-0.252686841968962,-0.0283198477831682,-0.126061572151854,0.108364651311794,0.0919891221089267,0.171118413478729,0.0967049361519804,-0.215137356256482,-0.0520379865686064,-0.340395333545608,0.000822453570883886,0.996987999306985,-0.20038809548226,0.120778051140262
"ZS-ZI",0.133909618853938,0.255111444400764,0.435519048414256,0.193288830395059,0.484163011106084,0.287848634668563,-0.0682336541579375,-0.394971257582077,0.66869158665365,0.184469763316136,0.383433096981328,0.135767422577143,0.409026280486674,0.522876176374148,0.394763060300125,0.247239545396952,0.117719561195837,0.0909132525014603,1.18228512660161,0.261337478336071,0.0229987647723945,0.0424764015547779,0.00608840354597537,0.193078359145139,-0.0516481383116736,0.158172986618919,0.000422316984000026,0.236390388248603,-0.0234464352315246,-0.220197393184187,0.255729383310297,0.18080147404282,0.611082345687759,0.156621607333614,0.0733233856230877
"ZI-MT",0.159016818219641,0.128749721683888,0.179411629950677,0.0942775443866682,0.000425792313104331,-0.0672914479103333,-0.0323689027409523,0.0535584841958966,0.299204231374179,0.467300540460422,0.321036733616654,0.113331594490399,0.351647739581874,0.157030904135845,0.0066213440101413,0.0843291632064817,0.50192499338605,0.0578936869041327,0.261337478336071,0.435310285426113,0.185365448167025,0.449899771097124,-0.0334452434941899,0.276388664311344,-0.0669919246820367,0.096733468671183,0.178262751089113,0.331938419879477,0.542571643405691,0.0867372878839676,-0.0349094165659201,0.0418048530012877,-0.0178124806979384,0.0461504630461842,-0.0059624639208321
"ZI-ZYGI",0.266239519205962,0.193789560614936,0.784082049408863,0.260808353338223,0.091224717115787,0.273619494560591,0.415685165435024,0.401711735067014,0.382051263088132,1.17637071444087,0.535828781759375,0.507819836087342,-0.0503869360221502,-0.767324414961654,-0.265435655314531,-0.586759544340757,0.633136904161203,0.00460973779530499,0.0229987647723945,0.185365448167025,1.43455081152587,1.37501557022316,0.376069485156194,0.372705578185228,0.415966016535161,-0.0926648758130396,0.394010613872887,0.0545630024428879,0.58882634988103,0.513480256093491,-0.598847665295373,0.339673155648073,-0.334878371280661,0.155527212401277,0.148009228116862
"ZI-TSP",0.452372963172636,0.364700531143125,1.50628207488484,0.571360715920008,0.674251513310673,0.51535590196029,0.694336228243854,0.845427246282934,0.943797499332174,1.39069709972727,0.817127079203009,-0.191456389070068,-0.100254831601927,-1.2556252027457,-0.786111334019466,-0.956597521430987,0.906851254142859,-0.252686841968962,0.0424764015547779,0.449899771097124,1.37501557022316,2.77851008051283,0.721480863532889,0.735726809125998,0.775147318361323,-0.00369099949241938,0.751201582238261,0.878679171620117,1.53458956578833,0.379383359962541,0.140744072647865,-0.0723369413971507,-1.12095106129514,0.223544629848468,0.0501533480273966
"MT-PNS",0.113795880104102,0.123310787175217,0.803235485106944,0.164922536197713,0.468522372751185,0.354284577238885,0.128660571121786,0.33372576170605,0.457398904315075,0.645913134750736,0.532301513691782,-0.0578023334617374,-0.0626385971701206,-0.326486825305762,0.0531094478205656,-0.248718846305471,0.239078328512787,-0.0283198477831682,0.00608840354597537,-0.0334452434941899,0.376069485156194,0.721480863532889,0.587775043947738,0.0412429890811661,0.451806279346373,-0.0597669691310175,0.325044728609619,0.322158516889791,0.410871900307082,0.120788914550447,0.240308841608563,0.0338975060076533,-0.109438485627262,0.0932550312200641,-0.140181195553824
