"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.240400768719684,0.185678741913901,0.304427938093211,0.0740300955022376,0.0797100944181509,0.0999339521135466,-0.000779549364848005,0.0766134327763497,0.193269842469585,0.289178513613123,0.179857612547374,0.0167120010637219,0.0592076791747,-0.0164236041550806,0.0453099278499536,-0.0699238347531666,0.0850530848066425,-0.0635336456225843,0.107053543270051,0.10480598158407,0.151883636106633,0.249823499000821,-0.0156279548600807,0.234051523013695,0.0796070968661168,-0.0354795976205422,0.134586282100463,0.185699340636532,0.164073811926931,0.0758892124121657,0.0561367263993316,0.124621480269339,0.0602702439763791,0.0410437118753991,-0.025463520449596
"IS-NLE",0.185678741913901,0.545275712357865,0.791057679307443,0.330800843710794,0.484270414240913,0.510230445989436,-0.0740704775971185,0.126639135165249,0.344610829303732,0.480564277449042,0.457535945609694,0.0208967746979407,0.0462599986061482,-0.0249042436755286,0.19554278579744,0.0856069469886934,0.221241265780439,-0.0529283459979837,0.110095814703422,0.23846768630367,0.264188460620571,0.249592358538559,0.0962160114313857,0.398061672207241,0.162305143773248,-0.0513540129987024,0.288135167876597,0.0932334775729179,0.124190215360306,0.0939310506286614,0.216393076591545,0.100060156830598,0.33080913004446,0.109356469997253,-0.0324013738368143
"IS-PNS",0.304427938093211,0.791057679307443,3.03972536512749,1.06081097838989,1.20525337665914,1.48285470264209,0.698558975058248,0.995449531389982,1.34778277443181,1.16481360818727,2.1280289708389,0.370091462435976,0.557162961274294,0.279198711358772,0.730566531401935,0.50207397311545,0.826668968568597,0.118857659824376,0.341313112750176,0.356183672245242,1.15483647772338,0.770721284767665,1.13272229430969,0.160830616677758,0.284102582894936,0.100823029015859,0.708765092408537,0.108810223434704,0.43745533823609,0.280933391288911,1.07663557434467,0.437895213945181,1.10330766228651,0.160001559291816,-0.258706238941992
"PM-ZS",0.0740300955022376,0.330800843710794,1.06081097838989,0.691281200401931,0.633994105488827,0.634143137115629,0.631483630114036,0.447366068119772,0.584045764504386,0.377902739546782,0.581218194461649,0.0799540460042199,0.219453316186717,0.0618102633503723,0.183785048829383,0.0569860638788782,0.231596641034089,-0.00279043781910465,0.193602962760277,0.0763715578032993,0.423449850508882,0.376240755045498,0.371986535307325,0.278404849471936,0.0920118450070147,0.125439482712203,0.301798975026379,0.103790903299719,0.153005286072748,0.163077378141876,0.499842856923575,0.253066293250671,0.189641694087328,0.0709284297416952,-0.0914474468636735
"PM-ZI",0.0797100944181509,0.484270414240913,1.20525337665914,0.633994105488827,1.21168556571736,1.07469177957375,0.455480175118697,0.649654215653263,0.979917235942998,0.267626886877282,0.493805751696951,0.0712104526562739,0.16674672926559,0.270217770286573,0.616516951710627,0.538505063211741,0.383738829000764,0.0585433609840378,0.152971317010169,0.269051032135933,0.312222720086694,-0.172239706879259,0.173957508928523,0.633327139472827,0.189381911665142,0.0207713442633221,0.390753431927225,-0.00170421539466427,0.136150269323831,0.186167528864777,0.725359993643236,0.198088898603562,0.765943108866013,0.15848545703086,-0.0373150788555852
"PM-MT",0.0999339521135466,0.510230445989436,1.48285470264209,0.634143137115629,1.07469177957375,1.37188686876442,0.347780907340133,0.63975955617936,0.968408775033617,0.379066959380951,0.880822995138416,0.0990887761309628,0.223541702367546,0.225467078160103,0.658856982507761,0.533404733702429,0.394885969719911,0.0178491774970242,0.182318920563976,0.359707958600981,0.446499013844641,0.00575006013480164,0.14256531466695,0.550146708026292,0.270966903283738,0.0237720745065903,0.418492134319475,0.171311594839227,0.240027160665268,0.223491567366353,0.827304627408023,0.258333508645896,0.793564218312703,0.0451819670872872,-0.0688311222977405
"NLE-NON",-0.000779549364848005,-0.0740704775971185,0.698558975058248,0.631483630114036,0.455480175118697,0.347780907340133,2.12523132293292,0.99472673759327,0.77259656138396,-0.405090709361204,0.0426373793487174,-0.0231341732896462,0.2520787521633,0.42819113269619,0.292153074561602,0.0399869930709874,0.23098864044299,0.0780388000112334,-0.0590599191128267,-0.118749111740502,0.305211361728812,0.400766485147408,0.369639060046145,0.336649939784241,-0.0691940863174701,0.21369950212159,0.207036825929528,0.0877164191550645,0.146846370670255,0.298086970618855,0.306204825076881,0.537102398594039,-0.0571172409362991,-0.139857096907472,-0.29386978351821
"NLE-ZS",0.0766134327763497,0.126639135165249,0.995449531389982,0.447366068119772,0.649654215653263,0.63975955617936,0.99472673759327,1.09932332820448,0.92679745975295,0.14413097745531,0.457916516856,0.0845395672188669,0.187635435073747,0.41680963137187,0.678152893965202,0.582796086435296,0.534155566024099,0.17990707329386,-0.225740056488496,0.141680218632898,0.393526437557564,0.0309152288583734,0.269013739862803,0.431065800511687,0.0950254547749003,0.0234314757029643,0.368584574401666,0.119908236436412,0.368466943283976,0.144095481614904,0.68552935942112,0.402728474049644,0.674366061028684,0.0638262240714804,-0.35394421996184
"NLE-ZI",0.193269842469585,0.344610829303732,1.34778277443181,0.584045764504386,0.979917235942998,0.968408775033617,0.77259656138396,0.92679745975295,1.28017939976686,0.466947017843896,0.828081215651321,0.18940017380714,0.283552640910591,0.403062165343659,0.793792854050889,0.56018445193073,0.684233996816666,0.0853694027510986,0.30742463100887,0.360758670380654,0.528994981979827,0.0522193990823668,0.288675898916742,0.571967104953225,0.255212465328136,0.0457245201532685,0.555704133880905,0.299069478091361,0.541352963130607,0.365794701621074,0.50201990676948,0.629440140821996,0.810725486047158,0.166718463480436,-0.219829392812239
"NON-BR",0.289178513613123,0.480564277449042,1.16481360818727,0.377902739546782,0.267626886877282,0.379066959380951,-0.405090709361204,0.14413097745531,0.466947017843896,2.27805983995257,1.19273748470403,0.133939763320261,-0.0296408082859005,-0.183489248687259,0.0498358096592854,-0.31766195513896,0.461692113689522,-0.107771685163586,0.326835511366212,0.296644171837203,0.800175719454848,1.12892307855782,0.468390998976333,0.396201677020496,0.30841099077436,0.0361685721195845,0.618942661536947,0.496632369375466,0.57055934511831,0.207848917060494,-0.620632089418038,0.226440323591362,0.104691792434686,0.101191876449831,-0.0446818272261043
"NON-PNS",0.179857612547374,0.457535945609694,2.1280289708389,0.581218194461649,0.493805751696951,0.880822995138416,0.0426373793487174,0.457916516856,0.828081215651321,1.19273748470403,2.10662973985789,0.416355667069254,0.461446758274796,0.135425235606662,0.519871849792591,0.333398455624272,0.737599141619387,0.084906098013452,0.450565797382689,0.30891025771489,0.830413464346833,0.59014941713437,0.995104492742776,-0.375984838079345,0.302418139747352,0.0951458156948868,0.552289573484742,0.277915115525739,0.53611396387047,0.208916388877534,0.47430706591137,0.394135181171798,0.843206093448421,0.120729314367706,-0.190622268239398
