"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.0924631639124416,0.115646299591639,0.14560223242183,0.0330534855638923,0.0428858312743036,0.0749838476348391,-0.00733608239677882,0.03069298889315,0.109528785168536,0.0919868520569444,0.106668965032414,0.05748709160575,0.0311535845939387,-0.0408582542251504,0.0352246266984205,-0.0525475280444852,0.0921492253861956,-0.00472745445472847,0.0801001479400136,0.0962317835298101,0.0354843482796395,0.143293890611448,0.00254713183357985,0.0716352952123859,0.0840499771408673,-0.024932537344786,0.0712912183072744,0.227643829508679,0.133899970310059,0.0161773161490328,0.122185366786813,0.0524564454385519,-0.00661175459061548,-0.00993784393957027,0.00581616899091288
"IS-NLE",0.115646299591639,0.429636273123132,0.423541871175408,0.199895897279253,0.216998165325275,0.284384018167885,0.0257213573010601,0.0424300456793428,0.286089411587549,0.273491362280982,0.367088413093434,-0.0832631439069192,-0.0198467514984652,0.0453819353505254,0.220345545129069,0.100405984721933,0.439446096434203,0.0216848714872972,0.195733568796202,0.193696966115635,0.286659601876526,0.363214949216768,0.108651942672919,0.182584614771283,0.198915363134914,-0.0165860565817914,0.191259001437195,0.470587813059274,0.473100463346322,0.0680934147392757,0.0705565030601477,0.144581768115444,0.133887309759354,-0.0155194584135321,-0.0096558848169182
"IS-PNS",0.14560223242183,0.423541871175408,1.11328195089941,0.407942844940405,0.448798530903442,0.691509222144609,0.230781639302077,0.206707173384714,0.403991827421062,0.780631514024138,0.693566719586872,0.100862257163712,0.0051054816983138,-0.091299982021393,0.13089785522474,-0.0850878370753289,0.379543422940009,-0.0448242692689353,0.173453291479862,0.211026200765877,0.640461822752545,0.749174150271837,0.194872799912759,0.0636060383995329,0.23982193622461,-0.10397375909438,0.311887562961505,0.358043112160255,0.457153311225489,0.204434495724582,0.113314354355165,0.309905707542395,0.113496060984696,-0.00325493053787955,0.053377872973708
"PM-ZS",0.0330534855638923,0.199895897279253,0.407942844940405,0.592277993459844,0.358440469265298,0.43265182834773,0.23762112154925,0.333564635390936,0.309320645308496,0.462826523417833,0.271292488324208,-0.0238317423018223,0.00883535068027885,0.0134170714714053,0.170454894766754,0.0680618913157846,0.404139635794532,-0.0312302311536654,0.13858576781542,0.117951110020682,0.335937502040693,0.399573425166547,0.112688401514672,0.326472005690659,0.193870274795636,0.0354665598661841,0.214767825270177,0.350527370510293,0.431121240419068,0.0290663227886035,0.0377937360442105,0.0860504636151471,0.199029823615697,0.08945975478549,-0.00878620010562268
"PM-ZI",0.0428858312743036,0.216998165325275,0.448798530903442,0.358440469265298,0.632830767486926,0.490721688150714,0.219758106203594,0.231611610051854,0.593100371431737,0.463592413586437,0.312036785680595,-0.116278850372184,0.0323917102113233,0.057840824522394,0.122452188849627,-0.0358057336506147,0.32754199431573,0.057382775684687,0.316471218430838,0.162981472112178,0.332505683936072,0.610886346720016,0.10370634188599,0.526855262931202,0.196101558246106,0.039880074559975,0.279635847063987,0.197164246589558,0.29589988727081,0.181326675135617,-0.121660852205241,0.162854315721708,-0.113136719320209,-0.021819046094588,0.0274383797539819
"PM-MT",0.0749838476348391,0.284384018167885,0.691509222144609,0.43265182834773,0.490721688150714,0.653944687813958,0.266910526691366,0.273807350417174,0.487966209236508,0.623911260612222,0.474750839533121,0.0108637016908872,0.0975860007826214,0.0323868984958749,0.135229148147349,-0.0110905532354277,0.426564376555024,-0.0237073701484147,0.232917324246152,0.235974585268016,0.511416894599975,0.710703030153784,0.129384706636401,0.369688810358389,0.185978881870405,-0.0276653877361592,0.253120164407846,0.417350364770465,0.475500568020292,0.134653797191309,0.0922694599510148,0.215005866947669,0.0331776188676466,0.0141591498483854,0.0300123467730751
"NLE-NON",-0.00733608239677882,0.0257213573010601,0.230781639302077,0.23762112154925,0.219758106203594,0.266910526691366,0.903824926223501,0.224737333476092,0.206567504551853,-0.645350818875251,-0.132327227756079,-0.00775763801083746,0.123723649752922,0.198118909590071,0.111479136563094,0.0503447871033417,0.0751059857721131,-0.0304113110983626,0.0108106396614772,0.115968578563926,0.0643989987822688,0.153504850255882,0.0187420540618999,0.140034879636209,-0.0335274347753241,0.00388797109055951,0.0956854869162877,0.201341499589488,0.128231937080357,0.00275380936911772,0.290552529838934,0.111259523922235,0.0337140918398389,0.073022262909484,-0.0406888547048936
"NLE-ZS",0.03069298889315,0.0424300456793428,0.206707173384714,0.333564635390936,0.231611610051854,0.273807350417174,0.224737333476092,0.346382686949047,0.285636253166031,0.23957174065203,0.100924319059688,-0.0173805560503843,0.0802616134287978,0.122550727998803,0.164517402909251,0.105191277866994,0.236508722913365,0.0272624025052628,0.0206988685886837,0.131398904299854,0.098047710676344,0.270083032025606,0.0370198063774515,0.297688378901194,0.0789087198375586,0.0412193893255679,0.111869749421515,0.366318029653416,0.295220272765381,0.0589682856896937,0.117079592083418,0.0932556514079419,0.150923199134411,0.0406245371579971,-0.0232200199965946
"NLE-ZI",0.109528785168536,0.286089411587549,0.403991827421062,0.309320645308496,0.593100371431737,0.487966209236508,0.206567504551853,0.285636253166031,0.775576913907233,0.468848523509071,0.40024667120093,-0.155449129336178,0.103863708632195,0.177498720028415,0.25655644681567,0.0960875082498942,0.541902381691065,0.151957388118875,0.453689038000838,0.328273879149753,0.245259096785592,0.691387250681746,0.0889897202962794,0.621155031945841,0.2199534941192,0.0596152207804337,0.259611093826302,0.619518188760138,0.553990871760323,0.199182709793251,-0.0515050413118835,0.259461783353041,-0.108701511626787,-0.106010311342891,-0.0106226411222757
"NON-BR",0.0919868520569444,0.273491362280982,0.780631514024138,0.462826523417833,0.463592413586437,0.623911260612222,-0.645350818875251,0.23957174065203,0.468848523509071,3.39102210527881,1.10656372115279,0.370966896268569,0.0875307066726092,-0.364933908191275,0.0719565697991451,-0.0231418098960267,0.640356595184634,0.0583100877954433,0.317955077342034,0.056680100547892,1.01694679280966,1.31043536912387,0.223672117505346,0.642725833481807,0.497306237160499,-0.0297169840509183,0.402019447624191,0.272118967755235,0.596851664872589,0.174358865502402,-1.11750042338752,0.0499791724943729,0.270412294352156,0.225851541131419,0.21470969463744
"NON-PNS",0.106668965032414,0.367088413093434,0.693566719586872,0.271292488324208,0.312036785680595,0.474750839533121,-0.132327227756079,0.100924319059688,0.40024667120093,1.10656372115279,0.765244618224334,0.0240798370387285,0.0281996729738722,-0.0127068550432436,0.179873182316667,0.0990505988738305,0.515478083919641,0.037469861393936,0.308218587884887,0.181096999710832,0.562304940027347,0.638975081245991,0.18344308991428,0.177090472333622,0.233107338687132,-0.0427761148195533,0.204947014300245,0.407016064548505,0.515973674930928,0.177098468419458,-0.233239373083284,0.237799451238536,0.0650722950082935,-0.0799999990658565,0.0480489480378679
"BR-PT",0.05748709160575,-0.0832631439069192,0.100862257163712,-0.0238317423018223,-0.116278850372184,0.0108637016908872,-0.00775763801083746,-0.0173805560503843,-0.155449129336178,0.370966896268569,0.0240798370387285,0.798042700075464,0.487315666654176,-0.39628494888402,-0.361492611161306,-0.569650890337236,-0.299556920524891,-0.174154362023186,-0.0778703458136412,0.032829575136695,0.0346626157201356,0.266662270659504,-0.0609617078512149,-0.111863298436885,0.0656827458525661,-0.0654507809319661,0.10065974455549,0.102357802704075,-0.172773373875804,-0.0800711089487204,0.33626615124895,-0.077172168293183,-0.232666207854536,0.22446938612876,0.118650636046602
"BR-APET",0.0311535845939387,-0.0198467514984652,0.0051054816983138,0.00883535068027885,0.0323917102113233,0.0975860007826214,0.123723649752922,0.0802616134287978,0.103863708632195,0.0875307066726092,0.0281996729738722,0.487315666654176,0.651714009791603,0.0238736560688413,-0.075445508966262,-0.256401828932515,-0.00648030610770607,-0.0100598089064861,0.0182336893149073,0.220367406072325,0.0530625510100667,0.442227550157394,-0.0456745343912678,0.2710921278028,0.0220365474980388,0.0224473703413115,0.151049273622213,0.449752010302798,0.0887197510871828,0.0162777650237668,0.382016452842054,0.027625335274471,-0.273608105565453,0.126178740702322,0.0567275355436144
