"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.215258327695256,0.115922474793354,0.343607830019267,-0.0261725126433482,0.03223757232964,0.117867324507179,0.182127536609549,0.0411015361728791,0.184798156511386,0.130009023668994,0.175087774163553,0.0657236010627684,0.0721054566429607,-0.0791483835844543,-0.061555203901616,-0.020499560210172,0.0440422474613765,-0.0562326856012224,0.130508606169157,0.0924351931631407,0.22573684698678,0.320423253355162,0.0529069955232947,0.189288984569457,-0.00626501122142915,0.0187034918096094,0.0641804960629241,0.051259224592564,0.0877203533495633,0.0236937581889228,-0.0707604660334695,0.100117043857935,0.0582607100268354,0.050243544191375,0.0569963305894221
"IS-NLE",0.115922474793354,0.565060439823166,0.268939589865878,0.179094117455318,0.257996244077213,0.136420633328267,-0.194438541183348,0.0874758177323842,0.309058677373881,0.535871193377126,0.308772151384406,0.15840213001151,-0.02617571178941,-0.174557183949837,0.0173892605112416,-0.0607034676030436,0.287320622507877,-0.0324917285574556,0.116348484930349,0.18262623593881,0.344251107275299,0.282264984526184,0.114783411457007,0.301946578758034,0.124821427719638,-0.0477913832524749,0.265404450924691,-0.100363380217476,0.228337918902963,0.0787668585278318,-0.20683656051364,0.0928052217115231,0.14608946482591,0.0104879998480437,0.063277628665449
"IS-PNS",0.343607830019267,0.268939589865878,2.3768507611246,1.1760670776411,1.32085349892986,1.77773806305823,1.53338739126834,1.1418347471245,1.63129491632303,1.32537476232756,1.31901832397685,0.547455084720848,0.595012006000452,-0.134823387593225,0.100456781934052,0.0668352802304229,1.04025719303427,-0.243542826897977,0.756136180690235,0.609584688531954,1.36848237927171,1.25255681071876,0.265509085859309,0.580947306173028,0.264723077157744,0.0271317367406234,0.425042168963921,0.985913627518482,1.31082302349005,0.193421089937527,-0.0233219300106896,0.507217182948457,0.207254952159252,0.285506066670998,0.248458786314709
"PM-ZS",-0.0261725126433482,0.179094117455318,1.1760670776411,1.59680135079183,1.22375277978741,1.37068560939175,0.897369931089887,1.17930800425479,1.21346088293749,1.40106662660155,0.779527913700581,0.460042450434069,0.424344416174169,-0.0914791186317332,0.24398026198697,0.15905664793412,1.33360589440644,0.0128956267012947,0.588971449309465,0.583524429996948,1.0815137552797,0.775881545290434,0.0908204832521902,0.554545532884525,0.443881974413556,0.0136794500103963,0.395207516702784,1.16751125998461,1.47217374003447,0.186861298482016,-0.119564655163743,0.313720747429562,0.0696853367863297,0.143032390885036,0.0781977088689884
"PM-ZI",0.03223757232964,0.257996244077213,1.32085349892986,1.22375277978741,1.56313119079985,1.50001502071261,0.748613493578854,1.02689591428934,1.59065284919947,1.20692179180575,0.9434441164487,0.311334283756278,0.513540876076664,0.0837334924789658,0.373664344520916,0.354513419946275,1.1391088342747,0.0387920000042616,0.80001568944293,0.481562214381387,1.02493118505077,0.729328847565129,0.197917160620058,0.875821943340901,0.318731638820532,0.0403496176519006,0.43855095300599,0.741165048545551,1.16424998561232,0.322006457415961,0.407414074183636,0.421806804203915,0.299875000328803,0.0369679401896994,0.120375086470087
"PM-MT",0.117867324507179,0.136420633328267,1.77773806305823,1.37068560939175,1.50001502071261,1.93485425584165,1.44162062964184,1.14878237991829,1.65044583869449,1.23700767423832,1.10849497204247,0.512632814602025,0.75659494720048,0.110745863025587,0.247927738929539,0.131725875962654,1.2495403834013,-0.131747349652691,0.85378203787414,0.63784817409458,1.40993028453002,1.06798443348721,0.282201674810668,0.770586467564877,0.256011750072673,0.0409822489318424,0.423194642162702,1.0483719846582,1.44975195508097,0.332863844374109,0.152627714423309,0.488318176133868,0.0171890708941257,0.0577845325931909,0.229734386613205
"NLE-NON",0.182127536609549,-0.194438541183348,1.53338739126834,0.897369931089887,0.748613493578854,1.44162062964184,2.79140897092374,0.92259061222093,1.12148575907295,-0.216758358435792,0.529453027944069,0.338350757615961,0.68649291678085,0.250196076808758,0.368907480064264,0.264576080613157,0.888031684088628,-0.178819496333107,0.640506181543814,0.137967882040351,1.26125124476213,0.931591895529744,0.250434135864891,0.584404376734088,0.160249054638389,0.0872933711020494,0.271706046247469,1.33261954934508,1.2101905523617,-0.0246263083446907,0.299306439332575,0.180409874255699,0.251459236013016,0.214993761962691,0.246198922140325
"NLE-ZS",0.0411015361728791,0.0874758177323842,1.1418347471245,1.17930800425479,1.02689591428934,1.14878237991829,0.92259061222093,1.2479979450482,1.22983548870501,1.04479484637765,0.799830252033712,0.393573342008283,0.40825665666849,-0.0818674097851215,0.263083562251275,0.0822125995882497,0.827928383167829,-0.0677629876991802,0.348795911560403,0.484752724524095,0.954965150592407,0.782223828206408,0.117333555877177,0.61159523609616,0.414682808511345,0.0547163231772602,0.359386329747329,0.852928695983231,1.00053646979793,0.0546558124598699,0.27202957755781,0.211731061929623,0.195862257782931,0.250214533586091,0.0848818663573079
"NLE-ZI",0.184798156511386,0.309058677373881,1.63129491632303,1.21346088293749,1.59065284919947,1.65044583869449,1.12148575907295,1.22983548870501,1.9319385594608,1.40719889744473,1.21036273053534,0.415104833307589,0.66410364721573,0.076897925697577,0.382835554099508,0.2918466775603,1.26881862588322,-0.0208736045440176,0.936836762889779,0.598363884698199,1.32786003177172,1.10863979278967,0.312495441869411,0.992525890559191,0.386650664265016,0.0763692192432563,0.544626301301676,0.919444594645729,1.33117866090403,0.346456990709136,0.391498092506101,0.450078502774333,0.278882293072202,0.0581993020531997,0.181828507458977
"NON-BR",0.130009023668994,0.535871193377126,1.32537476232756,1.40106662660155,1.20692179180575,1.23700767423832,-0.216758358435792,1.04479484637765,1.40719889744473,5.39609541945073,1.39838092803621,1.52155516153391,0.628647506081209,-0.479798972244889,-0.258530032166269,-0.339349737991687,1.29315415658854,-0.455232842596193,0.645788042520333,1.14956929526714,1.36025003496298,1.27497914415909,-0.0283631001111205,0.67961179647678,0.439322815620089,-0.147923844881257,0.349777084371356,1.10298907322525,1.69169059811461,0.521353552874067,-1.90800333904718,0.632310988828447,-0.555820847351732,-0.111849055880623,-0.144083591212754
