"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",5.94932684909906,10.3052365420886,15.8820607915097,9.79760832835924,6.16477209763196,9.96353909744019,5.27606739672157,11.139058528737,12.1354642723967,20.7605544302795,14.9632009205027,1.25010344415099,6.09628594942522,3.80249325449076,5.45228125775262,2.27376144921553,11.2944864480534,0.479205599012836,4.80121838315547,4.09347550577932,18.1965146972234,18.3351807348672,2.74198141236237,12.8354543176109,3.32554267073078,0.447301736988861,5.89773461069696,7.71823959369116,12.6351778702783,6.64213699756306,6.87321682377907,4.71883417931506,-1.24779842959542,3.00862832653617,2.5078204793838
"IS-NLE",10.3052365420886,33.9101884502483,42.0667559385094,30.5135157296266,20.9220510559691,30.5535888288568,13.8675964255667,30.0459064135534,32.3072032605934,50.8635770645365,40.7726175148413,3.32671674484061,15.6499241988582,8.25478395412651,15.9947653894642,5.04372220985027,27.1622080170849,-1.62938351084101,11.6110626109126,10.5587378415232,48.3021416105813,48.0472650776926,7.78257523358213,33.901011660518,11.4290780684688,0.762646557242506,18.0283137355806,18.3315466705322,31.958766388894,18.4991900538196,18.0398714427565,16.772426422713,-1.66683019131783,9.97012300663859,5.78854832581483
"IS-PNS",15.8820607915097,42.0667559385094,72.9340719931774,41.6510413986811,30.9604765392899,46.8125750997108,22.7878777447564,42.6079841633986,46.1954979559415,70.1092040084175,63.4495251159894,3.90238330929637,21.6478096005137,14.0937642635123,24.1086521681816,10.255998995138,42.2679890031743,2.33989131714228,16.7635092973848,15.4093814365861,67.5025425888675,67.0909796444596,7.01258069587626,37.3950087949111,14.2768378451478,1.56833381116053,24.4225158127277,27.0004458823848,45.2536292460278,23.2840859652104,30.5181920394565,17.2633777064311,-0.491133692727817,12.7181652126633,9.59184710260125
"PM-ZS",9.79760832835924,30.5135157296266,41.6510413986811,31.1496929238606,22.2506351551128,30.9798229162333,14.0543661060979,31.8305568694314,32.2149928011444,49.1011763884285,39.2308134194079,3.19480220804294,15.0755134425994,8.44676487298179,15.8994523242649,6.91742808757904,28.3645971903691,0.616431661306656,10.2292148061382,10.1657787579428,45.8549904301446,45.5146547051006,7.69780538545739,32.140642170561,10.2115098772326,0.668997437160058,16.2927969905325,18.8307556925067,31.417854661998,16.7327776332596,21.3265982668729,14.1264770288129,0.509366164773934,8.57263749989073,5.77712357496823
"PM-ZI",6.16477209763196,20.9220510559691,30.9604765392899,22.2506351551128,20.1920359236019,22.9822799280505,10.86664386476,22.4960176864281,25.6984093417136,33.6445462099022,27.8181386668068,2.99431043231636,10.8485584995664,6.08043349126045,11.8740289697032,5.1130134357486,20.2460337533443,0.285115158042534,8.72331747296536,6.50473580918487,29.1051645719634,28.6416636257896,5.0851141112137,22.1651914722235,7.32047609516504,0.646585275625844,11.8523910344755,13.3400041454339,22.3828673460172,10.0539340501725,15.7552876653425,8.81596016274226,1.90931828030481,5.51425158486438,3.30683184942797
"PM-MT",9.96353909744019,30.5535888288568,46.8125750997108,30.9798229162333,22.9822799280505,36.7948216617774,16.4947420532067,30.7812635938189,31.9938669073996,49.7341243372302,40.6111630070727,3.85551830833637,15.7577615878353,9.52090985546496,16.9959817327651,6.94753507535634,29.3049013594537,0.947074990148581,10.5832140055676,13.393008275639,49.322939286528,49.2560596238233,7.44136713513061,33.0853447766131,10.3709964074944,0.609093031412026,18.2554991888883,18.4966372888798,31.9067805963354,17.7372380856489,20.6888039349652,13.0530404334674,0.0758003349835454,9.16277294529345,6.26961133608222
"NLE-NON",5.27606739672157,13.8675964255667,22.7878777447564,14.0543661060979,10.86664386476,16.4947420532067,19.5767139463418,16.0482925785921,18.4270388787801,22.2307299523217,19.430669379367,0.901121652480671,6.5779983100608,7.00254457585801,9.28937291598299,3.94857051280508,14.216867180172,1.72771876269516,6.89820111898595,6.15080094692008,24.7854336972463,24.3960058899682,2.51334100866089,17.9068919104979,4.76514672512497,1.639178853186,9.0449760300642,9.05201289283905,15.8565765330772,7.97866596264019,6.88643086515479,5.92452874142846,-0.0204617897562916,6.59793206925376,4.24830736188269
"NLE-ZS",11.139058528737,30.0459064135534,42.6079841633986,31.8305568694314,22.4960176864281,30.7812635938189,16.0482925785921,39.4766749563674,35.8216596998084,50.9559518312982,40.9764288413435,3.96593196072729,15.4609743758827,8.30339451314913,15.5174659267618,6.82808364760096,29.9001521437188,1.40012187295223,7.41731029417822,10.1648411461908,48.7861388451698,46.8113383291939,7.29659396106246,33.3150989117133,10.5711667714437,1.09246330700662,16.1880345069715,20.2043439096896,33.1712124399531,16.6455092721067,24.4752901620574,14.2432753160648,0.173215858292957,9.03335523916389,5.19200708278404
"NLE-ZI",12.1354642723967,32.3072032605934,46.1954979559415,32.2149928011444,25.6984093417136,31.9938669073996,18.4270388787801,35.8216596998084,41.7890099362427,57.4199841254415,45.7370147938922,4.45439815749121,17.3258004432829,9.84275161004428,17.7741480857427,7.2992807638175,32.0260485053722,0.3191329048442,15.3050278382858,11.2448535213853,49.4283414707923,49.1066734147951,7.88417098675963,36.1173340323543,11.692599869348,1.08760292266806,18.4681107837273,21.4663375600072,35.94575703927,18.6455930096366,21.194585323106,16.1979542109402,-0.0105262613189023,8.7936452631835,5.93356824427359
"NON-BR",20.7605544302795,50.8635770645365,70.1092040084175,49.1011763884285,33.6445462099022,49.7341243372302,22.2307299523217,50.9559518312982,57.4199841254415,111.226976046604,71.4820648332076,6.92890069988953,28.5797437428763,18.9320231378705,29.8831138575491,13.9082251115818,51.6807976512703,2.15850823989313,22.5363099796435,18.9528558836729,81.5831808339286,86.3577484360643,13.4739880316429,59.2219947356773,18.2655641063595,1.71266264262551,29.5128498577863,35.2676327636102,55.7223785862813,35.1869169784951,25.2690780678416,24.6134820458519,-0.206833915899798,11.3058611282312,11.5013969387477
"NON-PNS",14.9632009205027,40.7726175148413,63.4495251159894,39.2308134194079,27.8181386668068,40.6111630070727,19.430669379367,40.9764288413435,45.7370147938922,71.4820648332076,61.8942208570815,2.96783764233692,20.5774915803841,13.2811979459806,23.4691343432631,10.8350709693359,40.2998014472478,1.76233474904433,17.3350538641104,13.8536306274604,62.8589630404671,64.7021133536694,8.07244928944145,36.9802539124335,14.793623244458,1.34583745876041,22.9203011961083,26.2820978082358,42.6257644425215,24.317503136911,26.0245043403875,19.0235981299872,0.139594618812958,11.6723157757638,9.03424981284754
"BR-PT",1.25010344415099,3.32671674484061,3.90238330929637,3.19480220804294,2.99431043231636,3.85551830833637,0.901121652480671,3.96593196072729,4.45439815749121,6.92890069988953,2.96783764233692,5.14073976359146,3.59300499831975,-2.18975340435772,-1.10374033933942,-3.51136547122783,0.582732371862989,-2.91151595589614,0.855710037173482,1.91785703097487,6.18947609750435,4.19090661358005,1.50321520849223,5.02898381761271,1.0154331557278,0.173388667583475,2.15573822558347,1.46389869123884,4.28711763979591,2.50811485462677,3.32706750765532,2.15802514581117,-2.16015071443886,0.29076096296084,0.638302594739778
"BR-APET",6.09628594942522,15.6499241988582,21.6478096005137,15.0755134425994,10.8485584995664,15.7577615878353,6.5779983100608,15.4609743758827,17.3258004432829,28.5797437428763,20.5774915803841,3.59300499831975,11.7976323132537,6.04108600881432,8.20153407153739,3.97525798295147,16.5681059672327,0.568981776865252,6.0476872201714,6.18956396598569,26.0017533754772,25.3410998595683,4.3189885384242,19.528864642783,4.21445476226439,0.782571962670131,9.13456544289586,10.3330553856573,18.3524658613263,10.4171392100113,9.13907899114899,8.81575889088237,-0.595230406854358,4.20085872032443,3.14797508908378
"PT-APET",3.80249325449076,8.25478395412651,14.0937642635123,8.44676487298179,6.08043349126045,9.52090985546496,7.00254457585801,8.30339451314913,9.84275161004428,18.9320231378705,13.2811979459806,-2.18975340435772,6.04108600881432,11.3132507490683,11.3539054427003,10.5407819269558,15.1070872626924,7.94698725899484,4.24662176774942,3.41217467483482,13.996704269137,16.105656990411,1.36438376924014,11.8539119344139,1.40813860327688,1.07613338668556,5.05277342899239,7.13258843049147,9.52559940737345,5.19783788251372,-0.33141950623058,3.50655402957629,4.81454871599981,2.53740697960507,2.30565800070239
"PT-BA",5.45228125775262,15.9947653894642,24.1086521681816,15.8994523242649,11.8740289697032,16.9959817327651,9.28937291598299,15.5174659267618,17.7741480857427,29.8831138575491,23.4691343432631,-1.10374033933942,8.20153407153739,11.3539054427003,18.1758916916641,12.6561723412858,22.6100281692849,6.68031762872242,7.5495014153153,5.04752520683283,25.1854882827569,26.1042024640731,3.48542058399282,18.1404915671104,7.54008180075338,0.914207123841623,11.6529288940604,10.8855605122202,17.3168623633852,10.7999366771094,6.71572404389827,8.87141867890333,8.03860718308936,3.99999682927898,3.22423630178486
