"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.26308424553776,1.82415230096178,2.99362403875289,1.15262647744474,0.929500695927466,1.35979215582478,1.58580980180235,1.08972963479915,1.13722628623625,0.965456590270062,1.03249566028615,0.31133751285002,0.961577301366708,1.08313563976777,1.74960643018398,1.15665006641708,0.742876553842794,0.25714091263263,0.145234484864566,0.419942207222615,1.05771054012698,1.26740901652833,0.122803413643281,1.01120875814862,0.739167115874816,0.156580919540897,0.920343127335236,1.13901366029098,0.792864788491022,1.33119792467725,-0.1795142538332,1.2267273163107,0.970412169730081,0.199009624955021,0.164590651506756
"IS-NLE",1.82415230096178,4.32093291852997,5.56446922294757,3.29770582193066,2.35643706535657,3.65956265971678,2.4721815937695,1.9503625091654,2.04019936865118,2.16852211114372,2.92210471289876,1.08610941775251,2.23958585109667,2.09616279970343,3.69574221184117,2.60727214645074,1.93771146318474,0.492958150771417,0.651841556064389,1.23902787204673,3.58454265479514,3.66423238941467,0.246360288895076,2.86232388845907,1.8779615848364,0.458561471980581,1.80796141998035,2.61510321509211,2.15540641056298,2.44826468297437,0.98061341090992,2.28807650077255,2.50323886702031,0.627981272339191,0.559229877497206
"IS-PNS",2.99362403875289,5.56446922294757,14.2042611848567,6.61197452459553,6.91727557430905,8.96672426754318,8.96968503918541,5.44285162581876,6.84288261377455,2.99087127191019,5.49884660897155,2.01761412823267,4.52493879054253,3.99151957363671,6.42635980274282,4.14346610946839,2.94206495608676,0.729136968472571,1.7932031349735,2.18843673041491,5.57959914595562,5.83324103135129,0.875189836856304,3.43247752154807,2.90663307531207,0.560164418211979,3.34218228644877,4.42266493770588,3.31856841802274,5.65739749965065,0.920872907670062,5.27610389775686,4.04916486780282,1.38428830748852,1.00164344194634
"PM-ZS",1.15262647744474,3.29770582193066,6.61197452459553,7.52129158362537,5.86375782827053,6.32606981486559,5.99751942505774,5.54389058230371,4.87354465207549,2.53481708189522,3.18164855346757,1.82190851983831,2.95403248669271,2.35642834445653,4.34245240605964,3.5870281897477,2.42726930653949,0.747294684475239,1.16359603179163,0.925459239069914,3.96582344119332,4.03691774814132,0.72702466243178,5.12007333659047,1.92526988215644,0.572619469058166,1.64935927295494,3.36281413619482,2.60788035413967,2.07639672343179,3.32548560262718,1.89932924645839,3.79255067742373,1.42066277031356,0.52602696296639
"PM-ZI",0.929500695927466,2.35643706535657,6.91727557430905,5.86375782827053,7.49119247917896,6.65322024751424,7.76439351429708,4.87976810072579,6.57456040806131,1.54298159533771,2.83557883727575,1.78419378478472,2.4961576566853,1.93355110248972,4.01318350302547,3.25822880109922,1.907085185161,0.683477612370984,1.30864844092196,0.811466472481842,1.96862632038548,1.80986533173796,0.796526747310965,4.69405753904247,1.52264826328533,0.373945694700637,1.68802300970886,3.05008115534643,1.89290030021318,2.47422126182805,1.58515104742161,2.58959678711153,4.02045223203552,1.93715927865304,0.361950476530637
"PM-MT",1.35979215582478,3.65956265971678,8.96672426754318,6.32606981486559,6.65322024751424,8.26832220360642,7.7124161599329,4.74509213643128,5.84368885513723,1.72591329889516,4.07445286678611,2.31370549860477,3.45676974520874,2.26659489348454,4.70626440576559,3.2889811381456,2.23219032183459,0.0314488727188621,1.64476158973924,1.74001636049953,4.70105598487012,4.01307553826061,0.748435570695787,4.56913677716768,2.32557285165466,0.284388483470023,2.20793474693415,3.54976425894675,2.6969903844425,3.20251660406668,2.37520725092889,3.19690949447857,3.908458813999,1.62511688248386,0.651275763366682
"NLE-NON",1.58580980180235,2.4721815937695,8.96968503918541,5.99751942505774,7.76439351429708,7.7124161599329,17.1862568402252,5.94847305540874,7.95704772641782,-2.26993501255681,4.87455759581413,5.1500979508044,4.19200168744224,1.7144754522908,5.38736496526529,3.78289915359241,2.65652896139507,-0.580640669942101,2.11352858507923,1.56738921635214,4.01248883921858,2.48826997217722,0.947078237944154,4.88600524564302,2.67161851563229,-0.38346845364171,2.27221080033855,3.21437752201257,3.0130947243952,5.0108398896986,0.0145901865386468,4.71587839065054,3.57096348527998,0.8786444595656,0.603740821094159
"NLE-ZS",1.08972963479915,1.9503625091654,5.44285162581876,5.54389058230371,4.87976810072579,4.74509213643128,5.94847305540874,5.06336887518282,4.81656517593376,1.66667070858429,2.15028278553405,1.32512834724724,2.05090272083969,1.6316067256396,3.20337694398498,2.6305537931572,1.57237908343987,0.776164027087436,0.769265403299882,0.575190879387336,2.34535488718298,2.70253646699627,0.599047027954653,3.70181224768177,1.39600829996805,0.336565875235167,1.29330067956172,2.3925610489175,1.64967817033298,1.90368957046568,2.07573253582289,1.43847927052543,2.69568656128381,0.812769701397728,0.309865474622311
"NLE-ZI",1.13722628623625,2.04019936865118,6.84288261377455,4.87354465207549,6.57456040806131,5.84368885513723,7.95704772641782,4.81656517593376,6.73571586906128,1.46245585910312,3.12293072776,1.84923743559998,2.42111871912003,1.95436707684856,3.88791699123083,3.00840303657174,1.72411361017655,0.680294641597324,1.62732170254973,1.07711223449166,1.82393901062885,1.90543732635488,0.684249560589843,3.88148446513218,1.51959500558734,0.263616379082635,1.75463939869,2.73237676339378,1.72108989130957,3.11988339872782,0.745169076959862,2.72192867543433,3.26794032961593,1.20387554700526,0.289647026807673
"NON-BR",0.965456590270062,2.16852211114372,2.99087127191019,2.53481708189522,1.54298159533771,1.72591329889516,-2.26993501255681,1.66667070858429,1.46245585910312,10.3372064917034,1.43036301668156,1.27735050370114,1.64848224909852,2.90776701825584,3.32655912441785,2.76946646836047,0.77386560990145,1.08392906137437,0.823650337146133,0.549592205399839,2.09253511531726,2.4150965675654,-0.254797464762679,2.20886091774329,0.715484499559581,1.00650727497797,1.07927767708233,1.14673751807883,-0.209050246564544,3.08623484871791,-2.42577667905627,3.05782539761398,2.16664114362205,0.483612612549638,0.272570174993326
