"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.59558205716443,1.50702110556279,3.9773302914042,2.64055149473599,2.47076473206987,2.61889411420434,2.34239055954548,2.63786749597743,2.96683436544083,2.60032714401209,1.65491030698294,0.589272645850794,1.14654249572001,1.08325944973958,1.58296289306652,1.05932863702554,1.38812947360575,-0.102629833141284,0.971642728015878,0.459907460549423,2.2697692818711,2.0500481226609,0.617192688572608,2.01214640843503,0.777322872857993,0.184582756332875,1.0701500888978,0.836822772548323,1.62125855909365,1.00563994147827,0.641494719992355,0.224482116254481,0.497745993047431,-0.0655419112127319,0.626801246483502
"IS-NLE",1.50702110556279,3.93815197395433,5.53566630288105,5.02459548131425,4.57722799462661,4.32031993484009,2.75727239756507,2.71832105973756,3.19544405261526,4.47675221690619,2.98043786037725,0.971314640819287,2.07935381500532,1.64037829593111,2.25300844091686,1.41353254813355,2.69793176195361,0.0554259404038128,1.40731161960648,0.348138488872637,3.91920247774169,4.00547160629304,1.21285971892264,3.98858745880452,1.46953820131791,0.324014286811987,1.6625143514781,1.25040263782768,2.81101449311516,1.29501222108713,1.70669290976067,-0.0335896430619887,-0.0584369913487617,-0.161136288211137,0.676524125441221
"IS-PNS",3.9773302914042,5.53566630288105,17.8288181439514,12.0970996279225,12.7651655023661,12.8729449489504,11.5700694149245,11.3766830561945,13.5265222996832,11.4565790971018,7.73164090397923,1.78597543321295,4.79368961724923,4.14065198125422,6.17713200941518,4.64874694361768,6.88062424613913,0.132559794354157,4.07779661092838,1.93490429642639,9.78434477324035,8.85503201567522,2.2966734282833,6.78066342878362,3.86872216484087,0.913678841523764,4.5547453626548,3.10001148715103,6.84227762640116,3.7171140105738,3.10266551030821,1.19196364439179,2.0126440904053,1.17409266194621,1.73145555664859
"PM-ZS",2.64055149473599,5.02459548131425,12.0970996279225,12.2785819727357,10.419788782708,10.100294949341,9.15301356391297,9.74828733819225,9.47629168255433,8.24825220021177,5.09450522059792,1.56154279003149,3.68099184539755,2.39453271192515,4.11639977067483,2.85897027162833,4.54789727031552,0.0681758779046533,3.47324624574812,0.628444328638,6.87936325468982,6.16280413888087,1.8434123643506,6.90342356700905,3.13480460826234,0.397974430315431,3.1916916324907,2.19298224238654,4.47277990813266,1.82906599851502,2.97027682168991,0.148603596726899,1.06749818200182,0.748055367184102,1.03481438620847
"PM-ZI",2.47076473206987,4.57722799462661,12.7651655023661,10.419788782708,12.4389161547495,11.4186822033842,8.53984811419021,9.19977507245907,11.9766516276216,10.902731975041,5.67498668547477,1.20351536543242,4.15650655847804,3.4606131610458,5.4811849669093,4.46526801681299,6.31860162407013,0.745055735185033,3.53607011651138,1.67214806195398,6.73399599204716,6.84708526709158,2.36748820553696,7.89400971626032,3.57687781154757,0.714475291509161,3.80452965684611,3.0672880860172,5.95610939766108,2.36275312946959,3.0866517509155,0.732653084047799,1.41803757700363,1.40086675146893,1.36710093882788
"PM-MT",2.61889411420434,4.32031993484009,12.8729449489504,10.100294949341,11.4186822033842,11.5133933824327,8.6733248993013,9.10864134948962,11.0078206442282,9.55621539915856,5.3887150369446,1.16302066817939,3.75053290348312,3.18997781678148,5.12373611181266,4.17210382838361,5.6139740308586,0.898177864212079,2.69383403787129,1.60619515385164,6.95115690612748,6.80313718432732,2.19443210549951,7.45237092457677,3.22804323061236,0.615570917537973,3.50160203592069,3.00646067093243,5.20149800795824,2.70669620495863,2.84598769941994,0.929214241883594,1.830888653331,1.25123987245788,1.17512096348742
"NLE-NON",2.34239055954548,2.75727239756507,11.5700694149245,9.15301356391297,8.53984811419021,8.6733248993013,17.014438055335,10.9238545444147,11.2070303571594,4.99758587713915,5.84463524713009,1.29699211860716,2.4719050035055,2.65129089135128,5.61319236171379,4.33272501049994,4.31108191008292,1.79284155863145,2.35219881549728,1.54854564536584,6.97976726656828,7.17980826061326,0.578526760093738,4.9690366993984,3.8132275550957,0.270455327509943,3.48719734708911,2.89325708498012,3.65349460742009,2.98519202984401,0.306837014508943,1.87022291409649,2.47363419681305,1.7613211038932,1.25163280319105
"NLE-ZS",2.63786749597743,2.71832105973756,11.3766830561945,9.74828733819225,9.19977507245907,9.10864134948962,10.9238545444147,10.9216449699196,11.2061517740311,7.12267510271982,4.44786284539373,0.957059320361214,2.88276096415983,2.64056436994882,4.91365597987595,3.81485790909172,4.18340407524006,0.945845546137042,2.64577529987027,1.38015216452285,5.85503457178928,5.40844506022892,1.2293914379008,5.36728002522033,3.05650176099047,0.38597603415707,3.28469493742885,2.33558452761761,3.78946561241453,1.68117513989219,2.00792130947265,1.04919222030037,2.34432530421795,1.68411126449316,1.18766636955818
"NLE-ZI",2.96683436544083,3.19544405261526,13.5265222996832,9.47629168255433,11.9766516276216,11.0078206442282,11.2070303571594,11.2061517740311,14.7936816941952,10.3276977994189,6.31618891563792,1.19502893522078,4.21395399305749,3.70436315165435,6.66514065613066,5.15208405346281,6.74607746692602,0.519693102772242,4.24082424563376,2.41449273784453,6.88777039558705,6.68655948614893,2.01011494008545,6.72746009342091,4.37611379112506,0.829347140903494,4.75184169392614,3.60987424062357,6.58757334544083,2.37577868350687,3.05279111210436,1.41653262304555,2.30275239842776,2.26248247237727,1.69214190541741
"NON-BR",2.60032714401209,4.47675221690619,11.4565790971018,8.24825220021177,10.902731975041,9.55621539915856,4.99758587713915,7.12267510271982,10.3276977994189,18.5616870795106,5.12470104482193,2.95584916174235,4.48642631082687,3.97352644074656,5.85227584736948,4.6998836659388,6.61611975216211,-0.92270178424784,3.11030689075585,1.14277172016797,6.48655383395777,6.69730638625641,2.50073232612623,7.90534844442557,3.4267790888178,0.617484912497577,3.81148750420479,3.36814636620383,6.39680959277622,2.96647127099738,0.0413243985294898,1.29196659490695,2.08692502809938,1.26785451760865,1.38857479684221
"NON-PNS",1.65491030698294,2.98043786037725,7.73164090397923,5.09450522059792,5.67498668547477,5.3887150369446,5.84463524713009,4.44786284539373,6.31618891563792,5.12470104482193,5.80334352533023,1.64402277754089,2.94343017640669,1.80260062430863,2.95958612758023,1.95636543160545,4.1365662118674,-0.389359424096777,2.81975427186567,0.856153203271551,4.65167170341473,4.32662736964047,1.00613062575045,2.82265197977159,2.14949133788818,0.574488897354031,2.51733046629958,1.6007475523699,4.32543659385384,2.39278250853304,1.64385563065118,0.807741323859204,0.146887981266128,0.298018034305895,0.827407972955763
"BR-PT",0.589272645850794,0.971314640819287,1.78597543321295,1.56154279003149,1.20351536543242,1.16302066817939,1.29699211860716,0.957059320361214,1.19502893522078,2.95584916174235,1.64402277754089,2.59087786417376,1.70049629313868,-0.0300107108712113,0.249317042788425,-0.598504168817464,0.376948070825051,-1.28474935725597,0.93370961215508,-0.392632292771487,1.44072675992797,0.67949483161855,0.50694425965171,0.912973705340011,0.610246614204351,0.258228127132405,0.723543800048401,0.373539310527562,1.01808825870386,1.82741391400511,-0.236441351147122,0.920957108186027,-0.760011727787009,-0.480348910784795,0.351458897724486
