"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.59363177430659,2.93555171311169,7.5202629056253,5.37644976722185,4.7696466433826,4.75276797882294,6.36825652117553,5.37684645735451,5.59435468883906,2.02310219583168,3.37864875904442,0.483046398256325,2.06986830872795,1.54958584657449,3.06745955578716,1.21294078866105,0.859092940061377,-0.0140499435489694,2.14920688165442,-0.0272304128488712,3.31145300706965,2.8554855864906,1.005891959988,3.36726816354859,1.40274438622772,0.176780015446237,1.91817774409533,1.02872123604006,0.851499735482653,1.44718145443759,1.49106539351184,2.37854603109589,2.16578392790329,1.38946744710301,0.755225022295085
"IS-NLE",2.93555171311169,8.5031459329043,12.8529254733684,10.9262906429233,10.3621458245837,10.2709372847126,10.2056121832407,7.87921704903622,8.45707997359457,5.69288338925898,6.24984932629293,1.87033893863338,2.79950061955078,1.38676262690513,4.71053009708832,2.39669363319888,1.92248615170373,0.103796272231207,2.79832960015506,0.11812813542901,5.6569170239877,5.22201819181176,1.74351507552778,6.72740795624178,2.63205790641321,0.407506517297335,2.94325382040486,2.83121977941996,1.94664493089002,2.28818917453701,1.777821508224,3.98878981506524,4.58600984916362,1.72942183549745,1.3127825864938
"IS-PNS",7.5202629056253,12.8529254733684,34.3891078891882,26.1350629380188,24.016379097078,25.5489415633321,28.337854606589,22.9625199159319,22.6731374774149,13.1478990603309,14.2235466126429,2.45078922595832,7.45095750263849,5.55574817683764,12.9749515330985,6.33583562942168,4.28357315654764,-2.02461347910198,7.29013152878346,0.425241320554557,14.6196596935216,13.5357059983718,3.32782391628032,13.645612503998,7.48589156663288,0.207250982058668,7.54168452704735,6.02108605306984,4.74755857283347,4.32216834935854,8.29007288094754,7.98522276667162,10.8558317856701,4.6485799259846,2.70343917036494
"PM-ZS",5.37644976722185,10.9262906429233,26.1350629380188,24.5350990643168,21.0392000462038,21.4916866505949,25.0493837009891,20.0608231221144,18.8793828653729,10.0241014331382,12.3733109351364,2.11699872393778,5.23151803054841,3.45343064898371,9.37835239134223,4.70738518574335,2.72038311649819,-1.32719723902595,6.91402616689841,-1.20633412026648,11.8501163029055,10.3413237347929,2.35045693921105,12.396138177233,5.4114501708818,-0.0126868358119453,5.0521470288484,3.79394785263712,2.84359432248199,3.64488243342737,6.67962722004868,6.60969566877552,9.64329933130653,3.64511241987224,2.00124503070952
"PM-ZI",4.7696466433826,10.3621458245837,24.016379097078,21.0392000462038,24.3734558033933,21.0601848653786,23.1918080246724,17.1758196514353,20.709971010884,9.40394979010009,11.4691758798205,0.815176600977442,4.21024579824611,3.58877001990706,9.64190077085248,4.70639792514646,2.23707905274087,-0.825910974159267,5.86120886343006,-0.85160515574819,7.15611369278055,6.95812069817262,2.85462426602944,13.425049252912,5.85999532156568,-0.172945785631114,5.26135342079633,4.29203736798101,2.43053740532614,3.64970435283481,6.05966655177455,6.06415013328826,8.01481153715047,2.66541413611383,1.98901418091533
"PM-MT",4.75276797882294,10.2709372847126,25.5489415633321,21.4916866505949,21.0601848653786,21.5958465455187,22.247518672816,17.6775505826763,18.2093885325979,10.9251378947945,11.0348385115007,1.80637906806749,4.67664578157185,3.49657223591948,9.57194907214622,4.96569454427118,2.95842881786242,-1.58250673101374,5.58263834634488,-0.0703719530119166,9.90839933191107,9.3407279431649,2.37259143742109,11.5210293811921,6.01315692948289,-0.0293882857915675,5.36895311118526,4.47057474594032,3.30541735980641,3.04622329149571,6.20142727497972,5.57299249067509,9.34611429074012,3.46381536416644,1.92096290591884
"NLE-NON",6.36825652117553,10.2056121832407,28.337854606589,25.0493837009891,23.1918080246724,22.247518672816,32.3384300059204,22.7017218804475,22.5668163190088,7.07513198496499,13.1758313269795,2.30614621930914,6.13925602607508,2.95394399835931,9.28297105444438,3.4927115453023,1.25611250004502,-1.99491452157802,7.081088096418,-1.15397991058037,12.6429785943188,10.7135663178013,3.23703756929466,13.7098905210401,6.21166175744315,0.309043785335025,5.56824839650267,4.97700801634088,2.03793339649174,3.94596509993478,8.09167515055354,7.17081157433152,8.49741952560096,4.01692029150723,1.70321293960987
"NLE-ZS",5.37684645735451,7.87921704903622,22.9625199159319,20.0608231221144,17.1758196514353,17.6775505826763,22.7017218804475,18.718676748833,17.4370293664217,8.00643535361018,10.3826586583568,1.45006164898778,4.47854431448066,3.1881639389966,8.05071438537392,3.45702710379344,1.67853838710715,-1.17946214204792,5.78222959239019,-1.11625486323246,9.8484657249524,9.05584495564947,1.97766392650829,9.97287768421341,4.9119999262956,-0.112730267429668,4.51462539103052,2.94921113743461,1.92106605870617,3.23797914343067,5.53357144308944,5.30270758059301,7.65166919495402,3.05915860291425,1.54948872750168
"NLE-ZI",5.59435468883906,8.45707997359457,22.6731374774149,18.8793828653729,20.709971010884,18.2093885325979,22.5668163190088,17.4370293664217,20.2879417372873,7.58753281915365,11.1551213204379,1.09506223775235,4.86868310502203,3.51998988614581,8.86063138038168,3.60606486277913,2.11899621010712,-0.654030733160417,6.52815051352814,-0.831193980543658,7.69750421709691,7.31186845398266,2.91389135698899,11.7628836759485,5.4945717894447,0.0280291618621047,5.3604823304426,3.4977761439649,2.34482255581542,3.9226680063139,5.58520684040538,5.87296171983402,6.9810638017746,2.56216982211425,1.72525330443074
"NON-BR",2.02310219583168,5.69288338925898,13.1478990603309,10.0241014331382,9.40394979010009,10.9251378947945,7.07513198496499,8.00643535361018,7.58753281915365,13.2476836182003,5.17822954042514,2.05962652209618,2.50727172850322,2.59774032011567,6.05422576408519,4.59121194072943,3.91419851152921,-0.387725390235757,2.25463296195003,1.07492739978473,5.74390918163785,7.53437239019258,0.788155403065008,6.14035316270671,3.78633821762836,-0.179319137001242,2.6367091296243,3.02321853649754,3.65934933539925,1.21113027483619,2.19354440098196,2.79741925347022,5.99056495834547,2.03766168977531,0.932294733822315
