"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.88211962536636,2.01149114264608,5.71656318860594,2.65700853502194,3.45457553113329,3.63040683886584,3.56433601931717,2.64147626947249,3.81155187295767,1.72384664373534,2.35459143060849,0.90002155759711,1.67262796677386,1.20661132511048,2.37727913884625,1.53928349028445,1.54543144000503,0.00420246290608039,1.23266237233575,0.79878839859229,2.69441183720332,2.23527688272549,0.295267636800346,2.44849873984906,1.12227199251255,0.263933272479459,0.992488044723282,1.60576957677121,1.45161721522536,1.04196987211163,2.18554832180775,1.67837618187069,1.80084173727892,0.881557284177267,0.265457796749642
"IS-NLE",2.01149114264608,3.92116684631917,7.61127176818208,4.66427330427233,5.24506247402577,5.13631928689567,4.35249532746445,3.18799216018644,4.51238197028408,1.68695427970576,3.4711317357416,1.05637776533764,2.52166558882116,1.90039190537355,3.21105743954692,2.1809126104293,2.28997359837232,0.49721159525703,1.80406520824293,0.751753058604339,3.26666977829872,3.16272394465631,0.425513741726788,3.5599402191758,1.34532440004628,0.233969629056132,1.22642212937065,2.30162283960572,2.09039562742234,1.43864942389794,2.71358900915854,2.13014973548895,2.62838223536637,1.21735748298632,0.685662039798842
"IS-PNS",5.71656318860594,7.61127176818208,23.7137220324396,13.4794385155486,15.2088400145804,16.6062396150928,14.8240021546378,11.8859669618624,15.5245562922137,6.68869460460202,9.68303801497077,3.22647051848517,6.53673063941436,4.50691419006793,8.74366552932515,5.28282754009477,6.58450953553576,-0.319088584911311,5.73024127981324,2.7924214521879,11.0878428708312,9.9699919136426,1.23637650804588,9.28325384910622,4.19836414418709,0.805645231476129,4.21079452810178,7.10985026326251,6.64646813494849,5.05787901725624,7.05666090681114,7.64903180602154,6.34727474883596,3.428475306029,1.03441668789026
"PM-ZS",2.65700853502194,4.66427330427233,13.4794385155486,10.6937707331562,10.2394819475526,10.6463538831895,9.67504839804686,8.53713713762617,9.33487300500111,3.38845773331602,5.70649917976732,1.65442736538635,3.99719675396675,2.53883175759944,4.86522358978183,2.81780285302284,3.84586059229326,-0.575759728016882,3.52598456553178,1.22710707943755,6.01227147430282,5.43383703949313,1.02947571489039,6.30777197729433,2.57745048829774,0.2873599837149,2.50611415467287,4.34749777170208,3.95992395991005,3.32571552813416,4.60880780447293,4.32769763411471,3.20969921243208,2.08056081908952,0.838516802787562
"PM-ZI",3.45457553113329,5.24506247402577,15.2088400145804,10.2394819475526,12.9812389517308,12.3168231435617,10.6085142617565,8.62177835709537,12.0783936770895,3.39958260625676,6.3523480525991,1.99312792169541,4.26247460621762,3.01625374712261,5.44589619402406,3.2214811477806,4.01183173005102,-0.702678266044402,3.84322176406006,1.38253615428893,5.29176684593445,4.63201124037663,1.57707024798453,7.71531928299038,2.47468254623417,0.389740841944572,2.66858456440804,4.68257119603318,4.40563812233984,3.81085280775422,4.36394004985078,5.40229895925763,3.79454103648455,2.23971646577445,0.864148904092524
"PM-MT",3.63040683886584,5.13631928689567,16.6062396150928,10.6463538831895,12.3168231435617,13.5953370543867,10.8975658308544,9.34386343449104,12.1219960237845,5.18824057349791,6.09535630549689,2.48812176832932,4.59941375432666,3.18475035338987,5.88169639309508,3.44324305289873,4.464416795047,-0.401963824490242,4.08008292946249,1.69013935194763,7.23146832315232,6.59677918372842,1.68436138181197,7.65848052359777,2.56165449594601,0.501125822175873,2.99691478357664,5.33243127744332,4.70994177578681,4.3609713807288,4.49451075160302,5.7296525548683,4.19242490459812,2.26063346589263,0.91789763696587
"NLE-NON",3.56433601931717,4.35249532746445,14.8240021546378,9.67504839804686,10.6085142617565,10.8975658308544,16.4822480727492,9.56775886284415,11.8176562661534,0.786047403444604,8.4144303141768,2.71399192150752,4.99546852574447,2.77730161654918,5.18277607662176,2.98736981571408,4.67202606260715,-1.30931971462503,4.09769807815878,2.2175937743108,8.09651484065295,6.80943026738914,0.732293951278204,7.0703351995662,2.82727029517476,0.371417933163819,2.79085820357659,4.12899444084452,5.08081916049729,3.75846955581147,5.28496395808428,4.58158964590019,3.01124505022265,1.08046751968426,0.644993350272867
"NLE-ZS",2.64147626947249,3.18799216018644,11.8859669618624,8.53713713762617,8.62177835709537,9.34386343449104,9.56775886284415,8.38204366024534,9.32414099050867,3.57880798964246,4.98937020963736,1.7070571109551,3.3090030095765,1.91608358560365,4.24703709382865,2.43884407176842,3.46106257308984,-0.906025106008735,2.80422595067178,1.25822329580192,6.02253061775047,4.92429623541702,0.930403067655129,5.60423280393215,2.3839114133786,0.243935256052347,2.31900435868995,3.60386026279313,3.61382545162286,2.84357792616618,4.06027664159235,3.7912898880612,2.87997366203698,1.72026808796032,0.479644964010826
"NLE-ZI",3.81155187295767,4.51238197028408,15.5245562922137,9.33487300500111,12.0783936770895,12.1219960237845,11.8176562661534,9.32414099050867,13.0407246166273,3.98411989337891,6.89351999855442,2.41105110794171,4.36748460999473,2.90048678319497,5.83001089838124,3.4842157624357,4.64270228062023,-0.980415063338228,4.16741811536855,1.73277641502658,6.65194177188639,5.42373636318496,1.49768415706439,7.25067141407592,2.93998293023118,0.528675223725025,2.99050293524551,4.63583084778964,4.93826417844645,3.94545730546186,4.6154657630753,5.54580005491642,4.05828611380887,2.04712001531593,0.56898223042706
"NON-BR",1.72384664373534,1.68695427970576,6.68869460460202,3.38845773331602,3.39958260625676,5.18824057349791,0.786047403444604,3.57880798964246,3.98411989337891,10.0838883387881,0.256364692183207,2.17395873591533,1.48735614575831,1.26657809869244,3.16970319551729,2.09113419617487,1.34471905661253,0.763708691576856,1.34675424430341,0.638375411495543,4.00055014455723,4.71420527802489,0.606542644759542,3.5127682153369,1.44832127057588,0.593629034531506,0.993061815893287,3.33808172973013,1.21509264267949,1.67665252859976,0.407040779618875,2.18650689069676,3.61158257968386,1.83921887140235,0.332041837964734
