"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.1990837380224,1.99536447922056,4.1804960327436,1.49508269803157,1.67721565359814,1.91297217579983,2.40203024108652,1.94962867840095,2.62872900389755,0.732604330104899,2.02284325210221,0.146390159917103,1.14345445808554,0.303653182437299,1.03367520543176,0.541740025780586,1.87052216850882,-0.11486886739288,0.56696313629912,0.637800333239771,1.73105452044985,2.33599600538159,0.239337346680074,1.90740496662522,0.957289770527398,0.0478338238294936,0.93530090073806,2.17048718204562,2.45473740649571,-0.0771494187943242,3.00555099792747,0.361886073415849,1.05779455990054,0.866276355188246,0.514201829506909
"IS-NLE",1.99536447922056,5.62240852675251,5.88474933760298,4.4664461976517,3.98920504840801,3.95029528219718,3.15434453870423,1.92034516507025,2.87671349060598,0.971561566391855,3.0498450653766,0.128951333910499,1.3050784982282,0.212472654578027,1.55441684682271,1.01877089860272,2.49413265195841,-0.288997735176556,1.44449863055391,1.16829121041591,2.49982585234465,4.03063661738664,0.957878639648257,3.43938565318987,2.1137475341522,0.194094899209666,1.43764236122116,3.56158636346218,3.10122599993582,0.52221997836125,4.02306484922819,0.950043409851681,1.53051972252996,1.51337221711353,0.539768700919754
"IS-PNS",4.1804960327436,5.88474933760298,18.7215213656744,11.3307297137008,9.80334927322804,11.5458668850835,11.4763236680499,9.63615673295504,10.130515324391,5.21189425956055,7.04676129668514,1.33666072939585,3.19210633920872,0.44043741105856,4.21102255508156,1.80441000611378,6.99351999268018,-0.138570018534991,4.16171609536306,1.82721870667849,8.38406760153821,10.6304015146945,1.73060868579486,4.92957081370515,4.24119477602761,0.0351713414531008,3.81733022159802,7.13956063914063,8.32956184665651,-0.38809254304096,9.20589352143087,1.17519707569282,3.97737265455257,3.88670559854632,1.64648647963148
"PM-ZS",1.49508269803157,4.4664461976517,11.3307297137008,14.6023931004422,9.38321033720087,9.24529504532831,10.2606741957967,10.1287321579634,7.48690303877084,4.75369360208538,4.58297244370643,1.17025486440419,2.61455853673181,0.079133627856207,2.42929153170247,1.15176212061991,6.48224644726296,-0.17010045763736,4.68894572457342,1.0364514502077,6.58348769526478,8.3334515491514,1.61489836943236,6.26799813323346,3.07170231088429,-0.214323963434432,2.76036064553162,5.9127476178688,7.06895395124007,0.110074283481066,7.31043368069339,0.664903775841325,2.51967371811307,3.19478983194685,1.11994583738003
"PM-ZI",1.67721565359814,3.98920504840801,9.80334927322804,9.38321033720087,10.0673528645774,8.28430426085119,6.58721219509252,6.8431208883619,8.50033203565101,4.92718678604631,4.37551254755587,0.982721532733859,2.45578150194748,0.253367948885684,2.82992603157623,1.37347609596494,5.30841997377649,0.372631264673262,3.31668119345677,1.229643416452,4.63826863263663,6.04398965749786,1.55934257952903,6.29545644904576,3.25524010523668,-0.0493801501154169,2.57866093187545,5.10744800700177,5.97871805535979,0.442736024439351,7.42431506317612,0.715705832171817,2.33413175947574,2.33978537854189,1.46232488046824
"PM-MT",1.91297217579983,3.95029528219718,11.5458668850835,9.24529504532831,8.28430426085119,10.0718081625574,8.1608152578777,7.01877113516374,7.08227082795025,4.98932621704612,4.48114535252176,1.37082873482395,2.30393449518867,-0.191737012583022,2.47088339645091,0.895625145940572,4.87594064716234,-0.86086035812638,2.59871556827476,1.35863321513757,6.78733793695268,8.05301561178415,1.33216280946633,6.22120724782248,3.17781782982812,-0.0136153709949634,2.58580722428463,5.54871212381775,6.07597555557411,0.612502853501853,5.83667155548702,1.48565138450476,1.79992471865137,2.12808684355391,1.07851322368292
"NLE-NON",2.40203024108652,3.15434453870423,11.4763236680499,10.2606741957967,6.58721219509252,8.1608152578777,21.8040480503998,9.52185988379216,7.29704260459236,-1.62112319402542,5.92001928712485,2.6459068297153,1.7872675596735,-1.04022175276282,1.43102898735746,-0.562857216390582,3.04754166440155,-2.3962625785166,2.61081461494835,0.711314333619702,7.00852903162591,7.50478439157607,1.00811379170497,6.3256378480364,2.82647496827071,-0.540333585468611,2.95306119507858,4.92727593405204,4.05042407418155,0.228098348060394,2.90090574166474,1.26815776996497,2.23925824564804,2.89688287198825,0.113972989780922
"NLE-ZS",1.94962867840095,1.92034516507025,9.63615673295504,10.1287321579634,6.8431208883619,7.01877113516374,9.52185988379216,9.83344035645552,7.79207218004185,5.02694431634394,3.0734074278662,0.987235495970353,1.824498685086,-0.00990139581651888,1.82635355653682,0.429100497390396,5.16001155744733,-0.320999073435674,3.0411931845749,0.792270794959918,5.43950514458244,6.54140515952504,0.746979362923929,4.74649565962882,2.08456293711339,-0.307059188201449,2.44435784126624,3.92984247731155,5.84217102493073,-0.318172684763563,5.79241075223872,-0.180133118213441,1.82376131551717,1.77484296865406,0.865210285114438
"NLE-ZI",2.62872900389755,2.87671349060598,10.130515324391,7.48690303877084,8.50033203565101,7.08227082795025,7.29704260459236,7.79207218004185,10.2204545480426,5.35568696549497,4.38219040695662,1.04171035265964,2.45016511381656,0.322304980467111,2.94528500307978,1.30655145508484,5.90657526594658,0.585739262978588,4.03354158233044,1.33636590063701,5.38719273645244,6.37876992574849,1.26139624051338,5.5172890949268,3.01256351019998,-0.068488575231675,2.88777935621332,4.36086249851558,6.47256807560024,0.221522642739995,7.88918198370036,0.15126464616714,2.25586790791205,1.47403400880443,1.34242367057232
"NON-BR",0.732604330104899,0.971561566391855,5.21189425956055,4.75369360208538,4.92718678604631,4.98932621704612,-1.62112319402542,5.02694431634394,5.35568696549497,23.0479984677111,1.40451762831863,5.86147056130371,1.83532229456076,0.0230982926169899,0.741266486417653,0.0835071003039046,4.55169984098645,1.46066083580209,1.29189913525007,1.43260389327993,5.77549254237704,9.16534605069637,0.550962029100452,3.5129025609798,2.67708011019365,0.816092083622944,1.1836258385827,4.03125829387889,5.88229058836737,1.14322252526222,-4.87656935936171,-0.243586968858621,-0.616993410170411,-0.481311022970357,1.26391559793299
