"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",4.03217946688055,4.16273198500789,10.7221167805977,4.77776840849041,5.91037427243077,5.38485058996327,7.75786730840367,5.50646612282158,7.64605087591914,3.20088493730267,3.9494034751023,0.783378337255472,2.64246431181092,1.97354750443341,3.35834125338302,2.02127841743954,5.63176462890291,0.461151276000027,2.55753510573544,1.74570458720147,4.88021156114929,5.02439979811563,1.32156454544662,3.51204291738745,2.12469011729578,0.522435034330036,2.3012010049928,4.2931124558353,5.58677356912752,0.445758223588162,2.97706303621283,1.85944822314248,3.3172499080294,3.20595530869821,1.52717600339382
"IS-NLE",4.16273198500789,9.68815479649808,15.4107318468129,10.190886340489,12.6628537192281,10.5798504607089,8.02968994094035,7.14639966561666,11.5257905218614,5.0896713497834,6.59540287893408,1.86883051364978,5.33646872735255,3.68700737782658,5.87148708872318,2.08089619167037,7.14932731701586,0.658736033159777,3.8300256759383,1.62820699084057,5.48458442588712,7.31238501974097,2.62165860896663,6.83835557536149,3.64683214813696,0.278921803676823,4.60344522234475,5.30937546548969,7.79546418502543,1.15603702729167,5.7100908468505,2.39287954509526,3.70007710373393,3.46397365934848,2.31104251648929
"IS-PNS",10.7221167805977,15.4107318468129,43.3702754885883,24.0942112914056,28.6885132787365,26.6255645912483,29.8874951433152,24.296899487257,31.342153407899,15.5709494885966,16.7958427223115,4.90865464107369,12.4661068536013,7.69196091811399,13.8646992964003,7.27599077600484,18.7078211628242,1.19042900349731,8.86434628377407,5.00771188537919,19.2363504056744,18.6246911536902,4.68905744394375,13.4218533995403,8.15601871770844,1.22092507126951,9.91917648997047,13.0166272904599,19.321448979469,3.91841200505719,11.1416319868173,7.59356476775395,12.4361218210323,9.26697740895739,6.01209922102708
"PM-ZS",4.77776840849041,10.190886340489,24.0942112914056,22.46445450281,22.0980409063438,19.019128222246,21.4624076534434,19.342527503121,20.6117525112241,9.15631760951286,10.033387788262,3.36499587772661,7.75560436446478,2.99964529374912,6.93429704227465,2.53926762136302,8.09396607417433,-0.151654896959927,5.60058506352824,2.68359051647957,11.4810764224963,11.7675848814852,3.25826175715116,12.5668491217237,5.86763173267836,0.373941019277177,6.49869352833135,6.93875305159497,9.61687671071172,2.12931596933452,9.53913323994988,5.2487264696682,7.19839187745317,7.27835695237982,2.8355384673497
"PM-ZI",5.91037427243077,12.6628537192281,28.6885132787365,22.0980409063438,29.5971216107871,22.1636982160535,22.2780335777422,19.1787738616923,27.261073518431,12.6149254975551,12.2731077395533,3.67625266160246,8.82575876339707,6.26897782276613,11.6104347058466,5.7157603837871,12.3643184387568,1.50563821856167,6.4576281054347,1.64367634823161,9.64845455083787,8.63237081696581,3.88465734984185,14.2091350509908,7.04751353726,0.733324044226312,7.71364905342577,8.03653931119034,12.5073221222478,1.8285312001782,10.2949884337406,5.20034075858168,10.7031254962087,8.00080188121152,4.20989517141209
"PM-MT",5.38485058996327,10.5798504607089,26.6255645912483,19.019128222246,22.1636982160535,20.6716049966012,19.5626047857149,17.0254791560085,21.3920242329973,9.67295419357955,10.7998596564363,3.41249131599929,8.330551530503,4.7770512717001,9.26543470851619,4.73100407908092,10.4027293534587,1.07485017166884,5.76419908250303,2.77645154178887,11.3223678172388,10.6765794330511,3.4056966788498,11.2419096310383,5.70770760645449,0.702093558401341,6.70090550646692,7.05303701806476,10.371828589124,3.54611824383636,7.44680028738085,6.35201208136147,8.9788656062692,6.04578370913951,3.558868879812
"NLE-NON",7.75786730840367,8.02968994094035,29.8874951433152,21.4624076534434,22.2780335777422,19.5626047857149,36.8032490491308,23.7160477756222,26.8338332435626,3.49500919470591,13.5418895269651,2.12963039437438,9.32464972142324,4.03636253158444,8.10760368466852,5.46620014091084,15.2396589386111,0.944864946530582,8.1152782390086,4.54694025074248,19.0206155949716,17.1164840285979,3.10261273221354,14.9970345113452,6.24773471922044,0.831850414836242,6.5935949526587,11.2822108037029,15.5812674959244,2.83831986535823,12.8045250179291,7.18012550177874,9.66677717361554,9.11362330790776,3.39676823581377
"NLE-ZS",5.50646612282158,7.14639966561666,24.296899487257,19.342527503121,19.1787738616923,17.0254791560085,23.7160477756222,20.8165873168344,21.3877154807765,10.0283331955643,8.70183701359918,3.21975416329559,6.68943000147506,2.28324915590417,6.01534792091762,3.21010459965837,8.41286464568116,0.412838964445986,4.87625275694387,2.84991865790624,12.2873635251291,11.5249668014927,2.74450345859597,10.3601199144651,4.90495602196022,0.799875346704688,5.3407550219518,7.20536390103927,9.28702448463033,1.12129149698659,9.56804030291498,4.38621974770867,8.22080663074809,7.18795569685943,2.86631652986655
"NLE-ZI",7.64605087591914,11.5257905218614,31.342153407899,20.6117525112241,27.261073518431,21.3920242329973,26.8338332435626,21.3877154807765,30.3848740399356,12.0642372368915,13.8002003396089,4.13668442360735,9.75966867843156,6.26445429288462,11.8665827131916,6.42101992424579,15.7533134931586,2.82231088100655,8.97701480707136,2.72537867857746,13.2243363388459,11.8538855876562,4.14978525869493,13.2027716155232,6.95867512372221,1.39991558731163,8.22271024748007,9.64323597351605,15.2540342187881,0.854399341749339,12.1517699734512,4.77599214215081,11.7357551400143,8.62717984012106,4.76567247835982
"NON-BR",3.20088493730267,5.0896713497834,15.5709494885966,9.15631760951286,12.6149254975551,9.67295419357955,3.49500919470591,10.0283331955643,12.0642372368915,24.8346220113415,3.0919244999006,5.3410921166471,3.25021319740925,4.49649058184101,8.12685740200052,4.85972460426111,4.06754153579551,1.05666832450751,0.580044172607877,0.980538268861117,1.39789837840706,1.42591439997045,1.11547839663389,1.59024219120202,3.14017211378273,0.952977250807994,3.93676071654424,2.49100617502106,3.49642025551648,0.0750964637015971,-3.03048023474922,0.483227650310691,8.21747033184398,3.88357084060568,3.05447179405689
"NON-PNS",3.9494034751023,6.59540287893408,16.7958427223115,10.033387788262,12.2731077395533,10.7998596564363,13.5418895269651,8.70183701359918,13.8002003396089,3.0919244999006,11.3978681910744,1.9691489425711,6.51840853113265,4.70744074253941,8.24480565723045,4.30839799329586,10.3632097646042,1.13885493293752,5.95480616305815,2.58582162027937,9.20148205924126,8.1308181464707,2.11271427516814,6.5291131710285,4.30770487753646,0.388712495516034,5.27879159800096,5.13762222101666,10.1341660606585,1.83290093557634,7.61111274238151,3.21590981026722,6.53814488192729,3.99750340856835,3.03948007363222
