"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.34763453895239,1.38897371621773,3.37332423856438,1.95214482421476,1.99126283330645,2.09239783553132,3.54548231215687,1.82997661000859,2.01890654511417,-0.668903066314123,0.382153753599512,0.0832191232577334,0.323452086150029,0.510752830375231,0.980424814365452,0.270494112903348,-0.0411340199408836,0.0106275516928029,0.210258461849617,0.54664731829262,0.347603573591458,1.23522813740573,0.164174122807441,1.20204522914976,0.486138630942483,-0.217037666712114,0.55082848305779,0.771855769349004,0.130736824904194,-0.137311723079239,0.360700600460692,0.303342984670153,0.640120284463365,0.469426274627201,0.27542617874127
"IS-NLE",1.38897371621773,3.06390844004664,4.45575686672758,3.44953749758762,3.01401068441252,3.41325971212882,4.65032196728004,2.0228686785094,2.03649959992953,-1.35880479194051,0.516917880249569,0.144202048247859,0.558237204604131,0.648153508975746,1.5995151194122,0.629941210130867,-0.138193766895948,0.337512612601768,0.148111648609549,0.824448855882364,0.785104408337278,2.08855613847098,0.374627176208201,2.12236984687791,0.849018892261372,-0.11074381392647,1.01641289605768,1.25197113142249,0.142957380064031,0.13141808760153,0.968063574716181,0.60012331875354,1.29186564840736,0.346189633419811,0.238832672280734
"IS-PNS",3.37332423856438,4.45575686672758,12.0785684075377,7.29097359109608,7.00877381116692,8.14779136101224,10.6949369010905,6.13631600161589,6.38749135959354,-0.692126916242307,2.4066122010224,0.519805150944702,1.27162775544838,1.71539860880979,4.00296579907638,1.48679120319114,0.121944496042037,0.876682474242118,0.552849736883839,1.72870404601288,1.48861704563847,5.01619226335397,0.281807301026692,2.92380640242437,2.46449297916909,-0.534019973090688,2.08713700912155,3.48977857251337,0.573505921931824,0.566612316719452,0.884316235409938,1.20019553576495,2.63137892705609,1.25386710906212,0.89029501260297
"PM-ZS",1.95214482421476,3.44953749758762,7.29097359109608,6.84519395409408,5.40484631489911,5.98652904960147,8.08100445456823,5.13986521175732,4.42257501945992,-0.972890613603236,1.52874852784281,0.0299282127307316,0.398396942877513,0.675856610266759,2.06661597911466,0.685783197057152,-0.000554276312780671,0.147783415659206,0.671253140616054,0.885434826469291,1.54592863105477,3.33179970053359,0.395696376281129,2.96010922637539,1.77672177708856,-0.366196337455092,1.19832275578518,1.8546148382357,0.357916345427166,0.284770962469137,1.49790626424505,0.658479100803746,1.75474349738292,0.695339893649984,0.260751948031538
"PM-ZI",1.99126283330645,3.01401068441252,7.00877381116692,5.40484631489911,7.08257000864502,5.5770242649593,7.52187600412436,4.50794354361403,5.94740400381248,-0.931336276962281,1.18545186878879,-0.1967951528954,0.30274734207057,1.08838287995661,2.35603573309533,1.08787838406297,-0.305223364276926,-0.148433774037967,0.402208101009803,0.641919827440845,-1.40648429836094,0.624740084987275,0.39148728930302,3.06646824477371,1.30667660597188,-0.650974574948265,0.94350618127243,2.38411118925111,0.158238396681568,0.396401902456204,1.08440891040152,0.334577970962128,1.51944454688702,0.390367270262795,0.646153768122327
"PM-MT",2.09239783553132,3.41325971212882,8.14779136101224,5.98652904960147,5.5770242649593,6.7799750524016,8.49195592928916,4.78991108615954,4.75255507431999,-1.15574173174022,1.43684513192025,0.168720920746019,0.982817558583891,1.25675075504287,2.86780593160802,1.15542442110404,-0.0100709535205738,0.646129482392012,0.239227776164039,1.24295858993407,1.29653508829836,3.9105025712005,0.556309035673867,3.04440089562786,1.80198307211337,-0.386591936959433,1.45102310653026,2.57919626495336,0.328588596893567,0.724268993036032,1.0682825165532,1.23221077030968,2.21751622166233,0.936535686413862,0.517701399203258
"NLE-NON",3.54548231215687,4.65032196728004,10.6949369010905,8.08100445456823,7.52187600412436,8.49195592928916,16.6652038696607,7.07422930942203,6.56259088205878,-6.12581193304555,0.968595424522526,-0.0391565416409481,0.898170309111179,1.79596602529421,3.23289252292162,0.693945495570338,-0.772388519180815,0.472669922111412,-0.265184553490387,1.56275818480781,1.32238612706446,4.74008650091919,0.879368297336577,5.06861599253072,1.60381334236728,-0.66619504786879,1.68673011163217,2.68059597873319,-0.343800952466546,0.420816181294222,1.68758024253315,0.800443878911313,2.17579515197531,0.553206761647296,1.05789068642612
"NLE-ZS",1.82997661000859,2.0228686785094,6.13631600161589,5.13986521175732,4.50794354361403,4.78991108615954,7.07422930942203,5.04877486321076,4.68551072176132,-0.478345661584243,1.18774104841676,-0.212057339623732,0.133730480946456,0.565629994553303,1.44960071099763,0.340696654237134,0.364605098781833,0.0180360082134652,0.313618454198163,0.75293460590862,0.956327271283552,2.53052776369234,0.255679542872555,2.15308150373617,1.22318000518812,-0.434449646634348,0.838189530345347,1.61374103798937,0.652842835206896,0.134004019002685,1.2207539520179,0.269483735603717,1.11251844748951,0.622702662602119,0.374495977611765
"NLE-ZI",2.01890654511417,2.03649959992953,6.38749135959354,4.42257501945992,5.94740400381248,4.75255507431999,6.56259088205878,4.68551072176132,6.14396216426291,0.0308359927362387,1.16467647865601,-0.242317562779238,0.329279105120677,0.984227313711026,1.97444348296557,0.843664363286449,0.471860042719962,-0.121988303661047,0.65670430235732,0.85067219672505,-0.92212201034713,1.11462396957381,0.269373104114919,2.44426794557722,1.11145083354283,-0.630947068628098,0.893574641453236,2.20401980758233,0.878226258652836,0.261225913399143,0.971262752777618,0.268110063738114,1.06005161031323,0.596693433109368,0.617706222755129
"NON-BR",-0.668903066314123,-1.35880479194051,-0.692126916242307,-0.972890613603236,-0.931336276962281,-1.15574173174022,-6.12581193304555,-0.478345661584243,0.0308359927362387,8.51148511961248,1.21134449071137,0.93581470633872,0.447414171834787,-0.567249444615679,-0.0699022182999227,0.385159218758857,1.28628983933825,-0.586210880172792,1.23022087978521,-0.1832980986374,0.863870723533259,0.72713837319975,-0.59484076967415,-1.22764159302555,0.992814068657246,0.021593511035154,-0.0127081668115741,0.763369372264832,1.54605149674904,0.539794684863614,-1.32854502967084,0.515750539131816,-0.160423031485477,0.816137817130902,-0.173193160995838
