"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.11420812685845,2.46446181097979,4.47625333398645,2.04460744041169,2.19254106627782,2.90373066372335,2.01622698209571,2.16549890003621,3.11076791311271,1.15774094172554,1.29574168203398,0.108795139442933,0.314511771968743,-0.630723822419399,0.708638820708148,-0.383563843619139,1.96636838860414,-0.488445147944299,0.892299647126313,0.0948147742615102,2.17095222047408,3.15052854119548,0.643410153968824,2.08036253683593,1.86240580188046,0.129262235316367,1.58994839685673,1.97851623843567,2.81540920260996,0.544987859107247,2.39467676707439,0.123017900186206,-0.446621152336575,-0.554398449301201,0.080752565116144
"IS-NLE",2.46446181097979,6.05070458859786,7.6311896636377,4.29683933865768,4.84104818017072,5.54506351991293,1.74704058670839,1.98956800350595,3.62682763328735,1.74059182131309,2.99692399970512,0.20974257175564,2.06728448619286,0.730699006749908,2.26116672347563,0.289518064747156,3.1402791499431,-0.454415729774187,0.927239467683465,0.888643371034385,2.97746438101041,4.43340613935977,0.928881120226406,3.41375183969725,2.81319770847687,0.567496881828576,2.899284458252,2.86078652535839,3.99433530758939,0.95151300057759,4.92956780012496,0.611470764584106,-0.156241153520333,0.0807056291236962,0.300800756966447
"IS-PNS",4.47625333398645,7.6311896636377,19.8121939492456,12.636420423014,12.3119427059043,13.6887347147849,9.1797317880509,10.9970297651397,12.762202913157,7.65906825329742,7.80528060142389,0.637409913735191,2.52769725440986,0.140585561041937,5.14193393037742,0.904434467873016,7.79324351337885,-1.26333629174323,3.18134749553422,0.849577235694268,9.35282567576711,9.90771507021886,1.82131587146773,4.8161493895041,7.33185751896638,0.627622199420659,5.27558254563154,5.57038890650704,9.39731874874545,1.29451674755522,8.53187438932638,0.910689712600506,0.427956579854332,-0.139892924911244,0.712245182807512
"PM-ZS",2.04460744041169,4.29683933865768,12.636420423014,11.8680778548875,9.43187402743288,9.78979299159915,7.70189715663653,9.84251305276785,9.47948110502869,5.90282940985489,5.63616546552363,0.828011803103917,2.22034527742397,0.743068374438399,4.6100592498998,1.69917437304006,6.18650758207642,-0.875118947021245,3.49841305893583,0.245535902920473,7.53150424579644,6.49828899567706,1.96007767718744,3.55862974781957,5.32827029882705,0.786545686708272,3.62391183208787,2.94802695081138,6.61331084348065,1.13586394424049,6.67772024929606,0.793540926730041,0.939560445731524,0.244921023715628,0.912056194613098
"PM-ZI",2.19254106627782,4.84104818017072,12.3119427059043,9.43187402743288,11.4312502932823,9.76606402346613,7.55579284440074,7.76801056967025,10.3577736605312,5.48086095136289,4.71610530786446,0.765398348918513,1.43695338449282,-0.00794151726734079,3.39658876083271,0.577592110479629,4.27184832241889,-1.13022499490269,2.3108387671645,0.841311652889882,4.93863342100799,4.87490946327197,1.53468575126153,4.70840989872285,5.10962339019726,0.802618953792494,3.17250912178155,3.31730338794989,5.31790936186598,1.19218573236085,4.85559429515041,1.43076733359341,0.359614878599621,0.699911594486731,0.556592628588227
"PM-MT",2.90373066372335,5.54506351991293,13.6887347147849,9.78979299159915,9.76606402346613,11.1993782222818,6.96609564455065,8.0974210802925,9.41984677324182,4.62212915557691,4.7697990023228,0.488530463591428,1.83032501934308,-0.192626540499492,3.48029837971596,0.374105001476992,5.24881526005412,-1.37038580814024,2.1767742982201,1.07089220914669,6.78177938008355,7.23454028535897,1.4394686642371,4.87818950202142,5.29476220049218,0.702797319345636,3.86332156771973,3.92495680522008,6.57064756984732,1.16770356233704,7.36926944292993,0.621505212855395,0.113509082000008,-0.310901369762637,0.604656183264476
"NLE-NON",2.01622698209571,1.74704058670839,9.1797317880509,7.70189715663653,7.55579284440074,6.96609564455065,17.2133106945604,10.3123159041315,11.2033037691181,-0.549827191270848,6.78030057092152,-0.23025394701807,0.266704430831144,0.0038399764084807,3.7682404706488,1.66721730346108,4.0545054805942,-0.315550464520987,2.7380329991769,-0.155515463577456,5.77233151509454,5.83199932774951,1.85500984341339,3.82401731881705,4.82375364835005,0.852488586518243,2.76754390830305,4.52614613219234,4.05483628032286,-0.122067534114877,4.23387681275953,1.09082317098241,1.43257444008375,2.60254640805278,0.272075138883426
"NLE-ZS",2.16549890003621,1.98956800350595,10.9970297651397,9.84251305276785,7.76801056967025,8.0974210802925,10.3123159041315,11.2597920164414,11.0831650013688,5.59089834573908,4.79048788740926,0.961893988328552,0.762648173919207,-0.744213518998722,3.57795042929168,0.918124054797004,5.41807793939417,-0.907184214747309,3.53348722930725,-0.321351049123286,6.78235756507676,6.01668963168574,1.6639077974403,2.82507468829785,5.42111685384416,0.6511596082758,3.07258908916901,3.34360407646786,5.92289391517893,0.860564937635167,3.91110677501385,0.512047694813919,0.656647817234829,0.116919583720364,0.508181611887084
"NLE-ZI",3.11076791311271,3.62682763328735,12.762202913157,9.47948110502869,10.3577736605312,9.41984677324182,11.2033037691181,11.0831650013688,13.9706559541922,6.32943474059012,5.47472978359909,1.55998865088283,0.666930196028663,-1.60667681404098,3.58632624404986,0.0298262506383871,5.53916221034461,-1.64194848892672,4.28102715629764,0.341468045733582,6.80993363891672,6.00934408737393,1.82205260262868,4.26968600731109,6.74416047227929,0.910968166528091,3.81840702774416,4.49366963149413,6.69241003430542,1.03075886523698,3.44157892108155,1.31777097552227,0.253977299337506,0.55911337339365,0.614695844940758
"NON-BR",1.15774094172554,1.74059182131309,7.65906825329742,5.90282940985489,5.48086095136289,4.62212915557691,-0.549827191270848,5.59089834573908,6.32943474059012,16.8054913983582,2.06043063273831,3.69211725761453,1.71431378461628,-0.216540891952391,2.45762766326552,0.263451691036149,3.8959852152674,-0.31975628713563,2.48479246316367,-0.479548948143571,5.61847230382238,4.13746009202262,0.243983304908343,1.32159788810082,3.89339130037162,0.206632967932661,1.8360684283911,0.644119023077345,4.02474899003009,0.586179878018497,-1.52608055816059,-0.540717709635943,0.700177315919914,-0.727161935331162,0.609709699038751
"NON-PNS",1.29574168203398,2.99692399970512,7.80528060142389,5.63616546552363,4.71610530786446,4.7697990023228,6.78030057092152,4.79048788740926,5.47472978359909,2.06043063273831,7.63289099130695,0.698001192221144,2.11825479806784,1.61427990519865,4.56015660312889,2.22727923655225,4.38384337725372,-0.707056914360678,2.35705103306914,0.621035498424707,5.29310182373141,3.46588364174005,1.15381498183784,1.50119461276929,3.74981975881748,0.419840913001614,2.82152131405106,3.01381240112372,4.21478437660822,-0.578057636457074,4.52270285331708,1.03584737533479,1.85672409761674,2.22390822671054,0.913355211540872
"BR-PT",0.108795139442933,0.20974257175564,0.637409913735191,0.828011803103917,0.765398348918513,0.488530463591428,-0.23025394701807,0.961893988328552,1.55998865088283,3.69211725761453,0.698001192221144,3.66599610566732,2.18906527757436,-0.923364142965869,-0.0113006008641682,-1.01798319955067,1.21678487524628,-0.0612406616910523,0.995832834116194,0.518301150371179,1.77171056291761,1.02775582574001,0.467401172818937,0.552977696333606,1.11949831733663,0.203796302170689,0.887117113025362,0.362240031156021,1.59741113688564,2.16084393963872,-1.86337109794356,1.43927062222617,-0.143894360296204,-0.251475863690675,0.38621388895497
