"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.08866422593356,1.25448047666008,2.0700783427274,1.3389414477205,1.04508258943236,0.947252931710142,1.22565113288571,0.934898172533981,1.46870105050716,1.15666641668188,1.27339553391004,0.450986912548193,0.896716677607358,0.386867192843883,1.15304385543029,0.553319605255734,1.1259250827305,0.126832948435287,0.881370308066243,0.310388469934547,1.73125816632152,1.58685926650754,0.757136154861048,1.41857189477959,0.984796311115895,0.37792178886751,0.952701327984335,0.903981103245362,1.0067723838527,0.9130819502792,0.29652180202692,1.23367527277363,0.86215384342622,0.327064304425419,0.174908273997166
"IS-NLE",1.25448047666008,3.98689358460508,3.54515966098121,2.86068445842799,2.7035374310007,2.33475971372735,1.20177691769104,0.882395016683942,2.47953343570246,2.25146471113695,2.26656451311985,1.02547992918961,2.18357526932566,1.12607457457116,2.98598535630946,1.79598925682933,2.35259194917315,0.437639706330032,1.69144599135667,0.548844413865128,2.39054012802846,2.75669135634604,1.30241172205069,2.42454026813721,2.19010044609713,0.923479933138321,1.94426819605924,1.72318294199342,2.277097981399,1.3502404039415,1.81268340466008,2.28339533193575,2.72000182307134,1.08158101238586,0.625216670786279
"IS-PNS",2.0700783427274,3.54515966098121,7.17975340777019,4.08927960182402,4.31530218874976,3.14065454441049,2.64136675977021,2.14135991820831,4.45075280925154,4.20206275205955,4.21450209765759,1.30824011817613,2.93846218339043,1.22743183017419,4.37598837505642,2.6282567944447,4.00131523225072,0.389870655821196,2.95087750350968,1.40555171289399,4.59620722166879,4.34595973174739,2.63831213485843,2.98102792374703,3.16543685310014,0.654856267673972,2.96497708514832,3.1229840789955,3.78346763953347,2.32752816237147,1.7477153130265,3.42882380035841,3.53991948677003,1.2887054735158,0.748367072152387
"PM-ZS",1.3389414477205,2.86068445842799,4.08927960182402,4.46655080445255,3.61731985713507,2.49027577702644,2.37699050773299,1.69566458267627,3.41544274106598,3.46051417147885,2.6712109826588,1.18563960529761,1.9382558119515,0.785911512685919,2.8580079827215,1.74110350941584,2.53048655084688,0.177188805856165,2.77057411053409,0.589933922152482,2.93068093934434,3.1421136067661,1.74893022655632,3.32699613721502,2.31563751678238,0.483929370061651,1.9248143341223,2.43665078174098,2.56900004324197,1.23577679850163,1.57016315733817,2.2415535592074,2.63815019542683,1.23302887131843,0.343281100623691
"PM-ZI",1.04508258943236,2.7035374310007,4.31530218874976,3.61731985713507,5.90261345150747,3.39101093292511,2.13168864202202,1.891851130843,4.93464625660283,3.33716354742631,1.97003428554489,1.16625942199449,2.369040126542,1.55615095369344,3.60443820802901,2.23753801922,2.92274669598744,-0.207653343015944,3.06377865639257,1.80300461803346,1.09084672431088,2.19274023451572,1.75077912688036,4.05373637864085,2.11786095297927,0.208266974812855,2.15797869624419,2.53862699828482,3.36079790484338,1.12562076097427,2.51434264952507,2.87658570673394,4.19432494638436,2.47355116009419,0.212882502903309
"PM-MT",0.947252931710142,2.33475971372735,3.14065454441049,2.49027577702644,3.39101093292511,3.13022729727458,1.50517417330111,1.77548401606285,3.1009031872123,2.49515532538274,1.84156572154746,1.33565682543109,2.03711720645943,1.11509138231654,2.61341373819071,1.44325354592383,2.01244287412464,0.0199393464632164,1.22181174821577,0.496596213428682,1.45866124846914,1.59937202396045,1.16913150075698,3.16287513421335,1.37472063919334,0.335888619078048,1.43917055166012,1.96113476959433,2.18267203114127,1.01587761270572,1.70705727986321,2.05279544563327,2.68910332302651,1.23228040607425,0.178518124721626
"NLE-NON",1.22565113288571,1.20177691769104,2.64136675977021,2.37699050773299,2.13168864202202,1.50517417330111,4.31757236079042,1.78327856378445,2.60462307756974,1.02946971166632,2.20720656655909,0.57384883875968,1.35785029630972,0.852127773926429,1.27492995202682,0.845136670065858,1.79315851542392,0.0685908568235548,1.43235258975419,0.391312997511253,2.20079094681715,2.67108030354857,0.848024272410164,3.1068617988573,0.46574835403922,-0.0693050153724915,1.05440146006455,1.20989266477511,1.64951120966169,0.577913501347301,1.34274607421787,1.43576653361715,1.46747020639789,1.65061514017227,0.42005106486948
"NLE-ZS",0.934898172533981,0.882395016683942,2.14135991820831,1.69566458267627,1.891851130843,1.77548401606285,1.78327856378445,2.24339180889102,2.60729110821031,2.30574829756034,1.57583594946056,0.557557750051227,0.645643447871109,0.300179661670008,1.24203426614227,0.433330897061892,1.08261657565567,-0.167702092014999,0.528973759852239,0.355247419154442,1.44039044852422,1.26665429354358,0.607652804148193,2.13702235048157,1.19497842069533,0.250478665575217,0.864208717526194,1.22033599077763,1.07009108078319,0.629723854112716,0.535770119030181,0.995273111313456,1.10846512353288,0.558798110587915,0.0399505755658496
"NLE-ZI",1.46870105050716,2.47953343570246,4.45075280925154,3.41544274106598,4.93464625660283,3.1009031872123,2.60462307756974,2.60729110821031,5.53838750556443,3.78379083485823,2.70382916633521,1.21617606972471,2.26377524881755,1.40892016689121,3.5078416073403,2.01249731022106,2.93988296797657,-0.161626202110959,3.20476053357452,1.67041705319719,1.87501826245917,2.55936815688108,1.69563254596301,3.97833457382846,2.31224629017634,0.471738427053911,2.23348347589295,2.63937765302351,3.06649220445222,1.65868882328101,2.20767881362197,2.55273212996872,3.69078783225448,1.86115103005978,0.326922940027471
"NON-BR",1.15666641668188,2.25146471113695,4.20206275205955,3.46051417147885,3.33716354742631,2.49515532538274,1.02946971166632,2.30574829756034,3.78379083485823,7.95904504529591,3.57297799166905,1.62896667982121,1.46182484618581,0.119958269464858,3.08136302539577,1.16071471390638,2.79385581342434,-0.0523808044670812,1.97520313071707,1.15950439235117,3.25780131620128,2.75199060626022,1.41515692851116,2.78319539645112,3.08951694931582,0.501244279316034,2.24497129165482,2.65781127921242,2.61358202079504,1.71718971541817,0.150724126922405,1.79440386007362,2.91347628469582,0.622650441120459,0.43824898455169
"NON-PNS",1.27339553391004,2.26656451311985,4.21450209765759,2.6712109826588,1.97003428554489,1.84156572154746,2.20720656655909,1.57583594946056,2.70382916633521,3.57297799166905,4.62391645313582,0.993652836660354,1.94392371551433,0.691654648553514,3.01098070509388,1.6553708255587,2.97958277408841,0.702089169007812,1.65185109499834,0.601885472839002,3.84463053367619,3.55110268273747,1.47288638388195,2.07131146269227,2.25315284077895,0.372344268656409,1.99609991338569,2.02332525992511,2.43835669855194,2.07899525900843,1.57503065344493,2.3527765137703,2.32949396808465,0.751094659509001,0.568169374579132
