"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.21490414743374,1.22389959610005,2.86597191438448,1.78980087944489,1.81846505503041,1.61805242914613,1.92489728993049,1.26311748867903,2.25645139885728,1.55397990326318,1.74691972459963,0.463750733722721,0.87438392274631,0.467034897447599,1.86169452277552,1.06940209998496,1.5776106870899,0.583618964529534,1.19341306138524,0.582281223040288,1.5535130140366,1.70452786560596,0.758376563119645,1.04535723192771,1.70278446662391,0.11902895453759,1.04751901441112,1.18370958066654,1.21502512949393,0.868865802250712,1.23725078367156,1.16859515425478,1.67259088889643,0.358806808914377,0.214315688294832
"IS-NLE",1.22389959610005,3.94020550125319,3.77735905660271,4.12011403274647,3.1444503130502,3.29683573474444,1.31777097710299,1.32761471335053,2.65638615206702,3.31127395657331,2.54805771512225,1.19888082041792,1.80504471991849,0.684842627841427,3.07188696690139,1.60955990356428,2.24215877074849,1.03752381482197,1.53705913801058,1.03813168483863,3.12211903746201,3.2412598045917,1.13127777397931,2.53865614798225,2.58027350287421,0.638258309410635,1.85429518999278,1.92820110549482,1.65887878166492,2.36747244024403,0.226744243421424,3.690214951064,3.34112139933054,1.37922828363097,0.454685150643342
"IS-PNS",2.86597191438448,3.77735905660271,12.7594526847915,6.78634258117459,7.70623834291496,6.44504172378238,6.20953960549735,4.10401978193568,7.66618747980927,5.28365102006696,7.73674828887398,1.79740238096787,3.88646100909674,2.15947879456981,6.68582061475583,3.85210583705023,5.84559651054128,2.55437423269891,4.39920191079486,2.85760874955737,5.20327984152222,6.75434255787115,2.33729327585305,1.04420354869603,5.66725225904587,0.418767036776086,3.83211160254883,4.66338564548565,4.40039012506312,4.05457787140906,4.33765835666795,5.24988669004792,7.17269186778391,1.80456846926374,0.872991661907049
"PM-ZS",1.78980087944489,4.12011403274647,6.78634258117459,7.35914212336931,5.96877692915764,5.21913394394825,4.54895206514292,2.54960428166526,5.17836887707861,4.55287145346521,4.43355001253248,2.16385212954805,3.32063600064927,0.449212699378851,4.81216791747239,2.65312747270122,3.74580332018794,1.33057393421695,3.4249984370372,2.02099398176571,4.33850724921587,4.1496402800953,1.11489346519313,3.56778808545435,4.49293476794499,0.713708838012581,2.85227733273253,3.28168495895885,2.860147970198,2.41409882223742,3.84681321798593,4.25830642101508,6.16012353439318,1.87975929262304,0.385355416882912
"PM-ZI",1.81846505503041,3.1444503130502,7.70623834291496,5.96877692915764,7.65527168453972,5.2951481608966,4.22016718535769,3.4268141228761,6.69578771398976,4.20402301526936,5.00612116895717,1.27428433111719,2.58115985079451,0.484630014398604,4.79987831631717,2.4352744515951,4.35794040585887,1.23021287048483,3.74475719985142,3.16352171916718,3.0723387979953,3.92197801089585,1.48178695370223,3.11471536267746,4.86534400367595,0.911845485903474,3.27265944292595,3.79909117984931,3.59111030927763,2.30737074112044,3.9876651819868,3.74786395714049,5.43475972146891,1.66024850801111,-0.0688904940667521
"PM-MT",1.61805242914613,3.29683573474444,6.44504172378238,5.21913394394825,5.2951481608966,4.94908787769644,3.24238313325337,2.32214503282274,4.72842380484788,3.52293721034156,3.98385860218777,1.70992421537111,2.94339186708589,0.830316343191982,4.61539338807038,2.45670948713452,3.6169178255591,1.58622078289021,2.92159494607715,1.7216985314309,3.56487618911342,3.70551090815773,1.55948973525706,2.494484942527,4.02063254494907,0.375136245962651,2.72703828755867,2.62351179188584,2.57754958650106,2.66449778733397,2.9331536166757,4.16592739902354,4.8318722041968,1.44255356104879,0.444427336747249
"NLE-NON",1.92489728993049,1.31777097710299,6.20953960549735,4.54895206514292,4.22016718535769,3.24238313325337,6.60547366327636,2.54563949066305,4.73983530769222,2.01101406288258,3.76165586299713,1.2231717451151,2.13990886433252,1.21626455521792,4.08415249895858,2.65450754636953,3.64165570520493,0.867311002495087,3.0612671502654,1.44948146915531,3.33416065146692,3.02977948188857,0.905736033605587,1.88427384410496,3.23258811453412,0.491498711881138,2.02810734519926,2.36693536760512,2.97939074236464,1.45884391762799,3.71465627474408,1.59289478814623,4.80263863311675,0.689839001476028,0.703922911035442
"NLE-ZS",1.26311748867903,1.32761471335053,4.10401978193568,2.54960428166526,3.4268141228761,2.32214503282274,2.54563949066305,3.06194154791735,4.16085247814907,2.55593150373269,2.6178728621691,0.55860215406165,0.928775721519165,0.239541221261542,2.20959038970413,1.09161796833179,2.39945932776362,0.626855133020906,1.32890455520253,1.35297713923858,1.88660538297662,2.42515679519295,0.890599854568068,1.61029095206181,2.37502482135738,0.113679870549408,1.50634740884952,1.9367103467772,2.01201263067696,1.42885384521824,1.56713280099617,2.04899746074908,2.16685627260043,0.194851977620944,-0.114122616344149
"NLE-ZI",2.25645139885728,2.65638615206702,7.66618747980927,5.17836887707861,6.69578771398976,4.72842380484788,4.73983530769222,4.16085247814907,7.53597099712077,4.2632747135759,5.08206058645968,1.11151250900122,2.36927957144271,0.5074255314405,4.52598118136189,2.45842014070136,4.54899774445692,1.26638368516804,3.88112623423128,2.49242905292942,3.24974903118341,4.05521741871244,1.71417329095061,2.61546257556028,4.71400541456246,0.66808233786386,3.03981339781738,3.42785245730541,3.74153330444488,2.79507703174846,3.60397578806326,4.2480602692858,4.92429804558628,1.06638152470117,-0.0484834131549936
"NON-BR",1.55397990326318,3.31127395657331,5.28365102006696,4.55287145346521,4.20402301526936,3.52293721034156,2.01101406288258,2.55593150373269,4.2632747135759,9.12589051500282,3.78521622130248,1.05634036898185,0.583193547960716,0.0667991580293633,3.23785658418129,1.73524160000876,3.25213057982847,0.523100200457568,1.97459773364116,1.9794832301639,4.71100512447472,4.82065174295623,0.965599494010923,3.95211726829735,3.24866911333826,0.24953653245568,1.98066545028355,2.95817396208354,2.88014127527573,1.68785866007955,-2.17391071786938,3.70786626374161,4.06579536830297,0.778624912420946,0.29448492655635
"NON-PNS",1.74691972459963,2.54805771512225,7.73674828887398,4.43355001253248,5.00612116895717,3.98385860218777,3.76165586299713,2.6178728621691,5.08206058645968,3.78521622130248,6.88014953843919,1.51010832719623,2.61346413301713,1.02569492870731,4.11751273115156,2.25391548163684,4.13340861092708,1.7320561326486,3.06544116198137,1.91649245667813,3.54047499710373,4.37970274228595,1.85516884252237,0.664515903816342,3.65699882101531,-0.0905538593893353,2.62651282031769,3.09527203847942,3.1573554663009,2.70440604938129,2.86714801660136,2.66377823931709,4.37195678749595,0.618376102559738,0.705977365744403
