"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.07320412929226,0.738119864405053,2.38598657659336,1.09501086460594,1.43266920455305,1.4388952180043,1.62623548306994,1.58908351232285,2.10880396344468,1.18589767495005,0.867546430467319,0.292042163875843,0.779643868840228,0.297461167075025,0.549487271596923,0.189098457448011,0.5586274493411,-0.0678359438856302,0.455570285446595,0.522974289790526,1.20926752180652,1.19831258957323,0.319620693943712,1.43346166033395,0.242201739975309,0.241773047998697,0.660967293628103,0.595705364493967,0.706309622101382,0.967125344415941,0.159937674452288,1.25255853225821,0.19849364640673,0.161566797100147,0.153591453622353
"IS-NLE",0.738119864405053,1.89063789763149,2.86288495433585,2.25140588010725,2.140127264194,2.4812440019229,1.15794791604518,1.4536199364265,1.86962899675437,2.17398268467144,1.36205184264312,0.757430022776398,1.25161627984285,0.479221650996233,1.3200837202548,0.424599939256499,0.971170178355101,-0.222271453276662,0.534374303091195,0.841871327687619,1.81614356945815,1.69628614413259,0.362513039379509,1.87208550210471,0.922346879670228,0.379408565031348,1.19308615297117,0.784078426082097,1.11493048054075,0.972295709449753,0.67301564328106,1.44988069012433,0.566863181929087,0.494169100614165,0.337128869265504
"IS-PNS",2.38598657659336,2.86288495433585,11.0211268184145,7.33831458197861,7.56492373206051,8.59616863622819,7.28028395411229,7.47483573356735,8.51998566923189,6.26464487657459,4.6719840656238,2.0324264111112,3.87389659923602,1.73589932960462,3.59606158999425,1.49629252047448,2.95025662378399,-0.743711601625059,1.84417973699885,2.17690709286217,6.07484721531383,5.38271550638602,1.19708088311959,5.20540848367453,2.27518837770093,0.96066795892277,3.08765955669465,2.598644382803,3.21789234010516,3.18086341040447,1.39650880784388,4.03038997338225,1.93726551069401,1.55330430811687,0.818655397151867
"PM-ZS",1.09501086460594,2.25140588010725,7.33831458197861,8.86361364668379,7.2501572390989,7.85796063079458,6.45983829011845,7.79491959035506,7.15130940376928,5.64449411086228,3.71290053240977,1.84329533128397,3.28448459823167,1.66143579008381,3.27241762551214,1.78504468070675,2.63411094127628,-0.235400189645047,1.77010847404147,1.56885638819179,4.27386427250751,4.02499729288936,1.15476784911406,5.73852391139014,1.9902159101038,0.446027061933709,2.2133545158835,1.95906917321312,2.59839874232674,2.03587320906683,1.06866431397962,2.82502451959241,2.50517281221624,1.60293300734949,0.660400170591148
"PM-ZI",1.43266920455305,2.140127264194,7.56492373206051,7.2501572390989,9.47148220064991,8.05420506246,6.85990448614334,7.0013917022626,9.49903395074745,5.07688016614483,3.58611489948787,1.43251236266548,2.9330160873066,1.81497522774047,3.58774733020763,2.30747525636729,2.49113879482755,0.870655048668461,2.56749475557955,1.03471094359815,1.81301394783396,2.469692238665,1.33804542384367,5.88472218807918,1.83058490712281,0.541321177660436,2.12659413444184,2.61560622322722,2.12100610562192,2.40754693980647,1.6724389574622,2.76964209227019,2.73273873428296,1.26338953032243,0.692415648573878
"PM-MT",1.4388952180043,2.4812440019229,8.59616863622819,7.85796063079458,8.05420506246,9.36829731065447,6.66341328408416,7.24853876705325,8.1504673654609,6.06583002866961,4.03136937136274,2.16620912307589,3.70713080851146,1.86633997471133,4.11180786618954,2.05067907128735,2.72350120110318,-0.170447178174261,1.94359624522029,2.17841995504073,4.64851703241886,4.25730177831515,1.45826624996316,6.00224885090556,2.66255846185069,0.791885926767953,2.85126598608904,2.62671819562624,2.72708504421065,2.53619182859373,1.6741027258396,3.37056473215519,2.62960983874889,1.59371469381737,0.755547884795602
"NLE-NON",1.62623548306994,1.15794791604518,7.28028395411229,6.45983829011845,6.85990448614334,6.66341328408416,12.9345912714717,7.17847147153124,7.81961075721934,-1.84777905428693,2.80910505789136,0.828500848535697,1.90981394127867,1.43626363087375,2.31433858936886,1.6630768206902,2.20949489999257,0.958621568113583,1.77716032676133,0.486200590284534,3.58946187153365,2.64520805966673,1.01980026927261,3.9419070334051,1.3504182789209,0.573847657191382,1.42611585952749,1.30805907937129,1.45600134393933,1.39497800447631,1.02303707500723,1.44142403256506,1.37391426116825,1.00336231418858,0.418043325028718
"NLE-ZS",1.58908351232285,1.4536199364265,7.47483573356735,7.79491959035506,7.0013917022626,7.24853876705325,7.17847147153124,8.38495122118269,8.16873932182775,5.26705612235834,3.6204249629346,1.53262467796619,2.95434373468304,1.41204615689515,2.76693542354378,1.62019232770423,2.31320736336207,-0.068702738116213,1.6741460262598,1.38811992004411,3.8529301579063,3.78135098890056,1.20122939194989,5.41873638494462,1.69467338371345,0.395097566052348,1.93300444428283,1.9489553610743,2.31455582853698,2.00592568830326,0.981802729018761,2.53067494576979,2.27945964097295,1.30960256690563,0.53535257959164
"NLE-ZI",2.10880396344468,1.86962899675437,8.51998566923189,7.15130940376928,9.49903395074745,8.1504673654609,7.81961075721934,8.16873932182775,10.9656121854259,5.71866212599642,4.21233768099748,1.55572810146247,3.21360392990523,1.80865607473313,3.67938760857274,2.33070694328255,2.9126677390444,0.810306217906345,2.92092641003122,1.35431409597824,2.62573987308254,3.16655328356391,1.50413479694688,6.13211256723662,1.94866962013063,0.619345486495539,2.34521116304462,2.76040295369609,2.59889571660496,2.85704697838119,1.36872954751095,3.22891836861755,2.81410613295141,1.19014494531604,0.67065629127878
"NON-BR",1.18589767495005,2.17398268467144,6.26464487657459,5.64449411086228,5.07688016614483,6.06583002866961,-1.84777905428693,5.26705612235834,5.71866212599642,16.5044351365034,4.14315940858276,2.69085836888193,3.89971884992356,2.33158495561134,5.07556801877823,2.83613912310121,3.05703981249742,0.740550922452767,1.43393986838191,2.69394230613658,4.1118676292765,6.31089401734319,0.732920985302047,5.71793090168772,2.61721295819287,0.222099648754833,2.84963177846466,2.47853901597016,2.77972278623326,2.93429697221587,-0.576410024875156,4.22370076122357,4.69522851978068,1.73450047296832,0.876450935397502
