"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.87088983076672,1.62029218560669,4.98847341536409,2.19536435659218,1.56982475697039,2.16444840892058,2.69933994747716,2.71779948950975,2.93155664304493,2.25782424008401,2.30199275671287,1.90503410302004,2.67501137740289,1.00622106530672,1.84960457078867,1.12294106194826,2.02594327925387,0.87776225398793,0.728794670594879,0.343560424698026,2.3317987074727,3.44997167033123,0.777376193090682,1.6458448526996,0.851697262102894,0.161016091476513,1.23441210217196,1.95203528354365,2.18528074801267,0.790637530658107,-0.0155298863377274,1.49200409616418,1.08743610201979,0.787802123813313,0.376003088907284
"IS-NLE",1.62029218560669,4.44802526042817,6.62442326917441,5.91223766782198,4.40590272614324,5.14073113682297,2.92123923880216,2.97995527400801,3.00327343301189,3.48649195149779,4.2362901016586,2.06931295759152,3.65294622012654,1.54395008103663,3.70190277419052,2.50593185173969,3.68765929273058,1.83356651820396,1.52197352433536,1.1095637382887,3.71394769024767,6.51467136253175,0.868127325218084,3.43279854311473,2.84014635962869,0.0844629133218423,2.0399746645581,2.46704208646942,3.74557607177127,3.56409293812538,0.991961724595854,4.72797777047413,3.1180978042959,2.44527923172496,0.415138033782685
"IS-PNS",4.98847341536409,6.62442326917441,28.8661704165316,16.3513663825181,13.5831287970937,17.3444297767113,17.3055064033345,15.242845161179,15.7705443226369,12.4243612395995,12.9400957480407,7.00503279877363,11.7030695997197,4.50933156531194,10.0147489410051,7.0470244845325,11.2394746157181,5.26181615986704,4.59220107180762,2.29181328880871,13.0505142005472,18.8331906096647,2.75088584760036,5.84912184289082,6.17682847753887,-0.405956281253042,6.28760035958144,8.23281220995531,11.3154778501258,5.06669079448764,1.45842658521617,8.86499035726766,8.70932685333429,5.78005665295848,2.40516017464765
"PM-ZS",2.19536435659218,5.91223766782198,16.3513663825181,15.8957692689623,13.4512613100365,13.9592579976683,13.3743632969628,12.1104490984298,11.59778486916,9.00337741969737,9.30703802255487,2.91366921461735,6.89231184847941,3.94254234334436,7.83256948584195,5.59411507918576,7.08080640841379,2.85506928166901,3.70248447759245,1.60690485948014,8.1993949333171,13.577280306479,1.41717144436846,8.90540714691433,5.37578883809318,-0.077521187582396,3.92329283304142,5.86832168306463,7.44864418460578,4.62869865257687,3.29943368956249,7.39928239884089,6.84149492268029,5.98667318426935,1.65998282628449
"PM-ZI",1.56982475697039,4.40590272614324,13.5831287970937,13.4512613100365,17.8907729605146,14.0191440066376,13.9651055741064,11.7609994814639,16.7249959599086,8.52157303278861,7.6380010442015,1.62090032207323,6.63890511241133,5.51116603812856,9.56100199963165,7.2303649778544,5.19699087186926,3.61285439253313,4.78998269577425,1.87023498318453,2.8500593676835,8.36586475746071,1.03978661173395,11.8320286523394,4.56165119020363,-0.482548809070739,3.8626740933435,5.33486939895273,4.69063125178569,0.428688641858327,4.12699698522881,3.13694196285304,8.09329153651806,6.1175735504018,1.04347088998009
"PM-MT",2.16444840892058,5.14073113682297,17.3444297767113,13.9592579976683,14.0191440066376,16.2123295945236,13.3555940778204,11.4130392338577,12.8197645590781,9.45791866021235,8.9123111601756,3.56937239364101,7.4814647661738,3.94802326796214,8.59704449382854,6.32019255987519,7.00518900987065,3.46403179010106,3.72870775144488,3.162251439516,7.95181917793463,13.2285060544119,1.57222423577144,9.93236135596523,4.87051294309416,-0.636721064472005,4.0681129138729,6.88640004117,7.13689728507598,3.65628781382258,2.72405193289528,6.60281813596476,8.09819486775807,5.29567136818577,1.82979778080387
"NLE-NON",2.69933994747716,2.92123923880216,17.3055064033345,13.3743632969628,13.9651055741064,13.3555940778204,24.5994367265966,15.3088602535607,17.0366379903481,2.52534816871885,10.2404333539833,3.62766444781726,7.99266166789662,5.01309248166251,7.09683446308656,4.9400423725121,5.07056581995946,1.05239421291785,4.23545909011263,0.989676213812463,7.84548620812117,10.7100928561382,0.886018990944059,12.0107456301468,1.68389326431702,-0.116581850768372,3.67718397972649,6.78447348830405,5.61256263323606,-1.31055873946174,2.08553229854247,0.584751685597025,5.10608225318075,4.5502175009444,1.36882393938039
"NLE-ZS",2.71779948950975,2.97995527400801,15.242845161179,12.1104490984298,11.7609994814639,11.4130392338577,15.3088602535607,13.5002399433835,14.1126726313899,7.69498558122352,7.19687374612696,3.10724226614153,6.51481229338736,3.53528269420476,6.26746281542841,4.35114149723929,5.15483968863005,1.67194629851908,2.58793838886048,0.949180229080913,6.83025840854157,10.533512101515,1.40789196168846,8.71334890581276,3.24457059322273,-0.00785286571409988,3.26488495363457,6.01949919353623,5.81202307839707,1.57433504657926,2.30655835777215,3.67897153274624,4.71288357167187,4.06208513782994,1.57007126238409
"NLE-ZI",2.93155664304493,3.00327343301189,15.7705443226369,11.59778486916,16.7249959599086,12.8197645590781,17.0366379903481,14.1126726313899,20.199920346935,7.8237331217357,7.6451825895073,3.55006071549553,8.29640252262111,5.42336955080941,8.89015282028188,6.48518205946831,5.35916561553761,3.20151999927697,5.05657642187397,1.31578048727148,3.36389272300697,7.69478153727202,1.57521072670103,11.0096057446826,3.20919698025846,-0.435443832753503,4.12915809083133,5.94715794928808,5.12617032351037,-1.61562661975193,2.44565969175411,0.850952028393155,6.89246875992389,5.17370279356955,1.10636878775685
"NON-BR",2.25782424008401,3.48649195149779,12.4243612395995,9.00337741969737,8.52157303278861,9.45791866021235,2.52534816871885,7.69498558122352,7.8237331217357,20.7633011076302,3.81580298826379,4.0465668994691,5.41823008782509,1.62703366059373,5.96343347502994,4.42005143986472,5.31748178655998,3.46307751339116,0.52868614950723,1.43106219145309,5.78611481840526,12.6983422626541,2.27125145812839,5.39880061951929,5.46199061361579,-0.63872382336862,3.76069693928174,4.274829635427,5.63707593862001,6.39725188363039,-0.426764489319823,8.78287456115033,6.26319427658643,3.04691772595955,1.68334837381348
