"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.01753963054795,1.25930983890657,1.61018908298631,0.280377397449968,0.647199212985809,0.886480924354259,0.659572220118014,0.344889554620904,1.06383137071938,0.413574426071531,0.737817432506288,0.174886329969805,0.6359801247519,0.346794249150798,1.1236592207315,0.501579313977748,0.922328113354134,0.0705921819772691,0.652296719803132,1.00771254971768,0.861504284196374,1.23414646715845,-0.0440954103424892,1.10562316394708,0.808871101937005,0.275857637162763,0.850839288291073,0.892451510717887,1.03395266911082,0.503950894015871,0.913679136734635,0.103629537581931,0.478315034482202,-0.215609390922935,0.134764008791202
"IS-NLE",1.25930983890657,3.07036507589884,3.0443685288797,1.30510115688778,1.87824672092652,2.26271039488055,0.956047173707518,0.333446212850984,1.82546397831966,1.63210190139729,1.35640201029891,0.567982954996147,1.07360468418943,0.884476618354923,2.48508801256021,1.2164750608209,1.51748095220656,-0.0489287146903163,1.46828116972171,1.43179430416848,1.65462119817326,1.64949947382351,-0.0892551740611532,2.24238022672706,1.39697695808694,0.474873111357837,1.43462166535547,1.69791439345733,1.64408876247425,0.399796962982827,1.1710187594458,0.155906218885214,1.37983505035237,-0.240712083303876,0.230881937243674
"IS-PNS",1.61018908298631,3.0443685288797,8.02037708313519,2.9928225327578,3.3755294957058,4.77665574932875,1.90571786745012,2.12672974410985,3.63667672464226,4.45108805673241,4.9209682143599,0.389600084582899,1.6823461779433,1.57173778613591,3.89526459216774,2.0371794407217,3.0139217991205,-0.182187594915628,1.70073737060875,2.52498890645974,4.55153901800811,3.72625284263725,0.67964184743931,2.20237886733658,2.32653399248588,0.250165013972668,2.17060133384169,2.27104875339954,2.6477239174571,0.538611201956212,2.7634739701275,-0.0882615268329125,2.52585401443049,-0.656786969438381,0.468655159290818
"PM-ZS",0.280377397449968,1.30510115688778,2.9928225327578,2.16286494466247,1.95510705417469,2.56641239148255,1.06601636898209,1.33003415911563,1.70103760358884,2.54142815888976,1.56061020541333,0.26649442906555,0.634784742482289,0.576488451734056,1.48631498451163,0.831851634781453,0.935691664519717,-0.149172207114091,0.713454751765701,0.769660147286337,1.99341884071105,1.63452475651024,-0.0179290828070875,1.661022344428,0.792893767553313,-0.0385848966989622,0.673522753954922,0.926605137164429,0.886349293218751,0.150066635579569,1.06060573549246,-0.0961623546072221,1.29661137249458,-0.121635310173691,0.261070479172564
"PM-ZI",0.647199212985809,1.87824672092652,3.3755294957058,1.95510705417469,6.78797032975622,3.63217771291254,1.48650367517454,1.22639598133071,5.66427228344756,0.118382641837425,1.36614475879329,-0.4297810066826,1.91220749586383,0.983731918871095,2.0935684854214,1.23777689442459,0.68668707206697,0.0944134431888013,3.46866908315816,1.13390405581118,-2.48072187332084,-1.36961998763625,-0.643105240589399,2.51936382716696,0.992099372063041,0.210820871097636,1.11930431071278,1.03047425744822,0.726921930017694,0.267262439329281,4.23872906873187,1.16380338830894,1.32218407595052,0.291054592236017,0.193930148293832
"PM-MT",0.886480924354259,2.26271039488055,4.77665574932875,2.56641239148255,3.63217771291254,4.8721379702047,2.26658500888586,2.11206400926988,3.78642260351415,3.35357048935162,2.3801316134719,0.0615993231626397,1.19464515765981,1.10204784895623,2.59661234816306,1.4131223970141,1.91938705404648,-0.0290309950423925,1.68555369731157,1.62059893443632,2.72950403657304,2.59339716472026,-0.333326289597337,3.1659568952675,1.30452373813342,0.174279357894377,1.41216830106867,1.37210049607265,1.68097017073868,0.240945322474208,1.94852129845203,0.33282626255801,1.71490351992391,-0.353836534678509,0.344198033487186
"NLE-NON",0.659572220118014,0.956047173707518,1.90571786745012,1.06601636898209,1.48650367517454,2.26658500888586,4.70479155006388,2.43426586954696,3.30853517175523,0.742468583712765,0.150332923666711,-0.648376122800506,0.482841218451794,1.0633184871821,1.66606869477239,0.827340678504418,1.8050948184854,0.199700346078435,0.961485610800367,1.19721062322135,2.39085947322378,2.64663955306669,0.0325845162772686,2.44458467332726,0.927925641674909,0.570186940417862,1.22245307146245,1.01687653747502,1.37189418347219,-0.182399368778222,1.07604639404659,-0.691436891145473,0.673939127776256,-0.642706496531796,0.195052306897224
"NLE-ZS",0.344889554620904,0.333446212850984,2.12672974410985,1.33003415911563,1.22639598133071,2.11206400926988,2.43426586954696,3.02007154215247,2.9744241247994,2.31530699874122,1.3832550025411,-0.147844631430096,0.544003988545292,0.575184733441191,1.18918360431285,0.542417745891734,1.47684514602527,-0.0137793569110679,0.0223157872300527,0.725418892328022,2.30284542228816,2.61367849186488,0.0719404808064972,1.80169485291961,0.583302532261687,0.210396138591037,0.877236986688603,0.561924724917816,1.30165103749408,-0.0236449814008711,1.09029226338312,0.0933639762098067,1.02192941508629,-0.0498076842538847,0.629224314385943
"NLE-ZI",1.06383137071938,1.82546397831966,3.63667672464226,1.70103760358884,5.66427228344756,3.78642260351415,3.30853517175523,2.9744241247994,7.14477662198874,1.96547115243515,1.98393863500868,-0.238230659877584,1.83311503624778,1.18034669397197,2.7730952830346,1.18231192251292,1.97276132368303,0.0427692294386673,3.53073927981297,1.56872999262251,-0.0261146783192528,1.47084584736558,-0.182487526278951,3.30765771781097,1.54133194592006,0.427019318024281,2.05504209526994,1.28737465382708,1.97122653885202,0.521488768971081,3.68500649471259,1.16156922627956,1.42399799023182,0.0340574253412352,0.669062169890303
"NON-BR",0.413574426071531,1.63210190139729,4.45108805673241,2.54142815888976,0.118382641837425,3.35357048935162,0.742468583712765,2.31530699874122,1.96547115243515,13.0316459385257,3.83867673888502,1.62188576020499,-1.71214030705685,0.594590352434063,2.51654140991703,1.01776174223463,1.98469370185705,-0.251128254595384,0.957168571499807,0.766513443763391,6.60422569139272,5.45713909784357,0.641708349131939,2.57349598162493,1.63691026188756,-0.500591974108375,1.73981800325209,0.711111616562392,1.79725986641081,1.6022360429349,-5.07355543446506,0.791886084796112,0.695278988779738,-1.29682186842338,0.613223514529422
