"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.657292961131126,1.00390417035323,1.55475199973158,0.941649003314121,0.713196663282161,0.97438075288511,0.292839055797331,0.726557254963052,1.17045157732167,1.81382087301102,1.123063885219,0.994379126887007,1.04938580053036,0.400455825724581,1.41052967503446,0.377217867565246,0.744859875478592,0.267524815999233,0.684435574981427,0.613325966856617,1.13436442835627,1.2838574431021,0.254788845582313,0.90929870644898,1.15624134969266,0.328781025326283,1.28029550740135,0.603970897665346,0.673082371890783,1.15485963191483,0.966442120396134,0.825802233402263,1.04503847930236,0.180166766879572,0.286813804073119
"IS-NLE",1.00390417035323,4.80377974271729,5.07415209909431,3.88401169375963,3.54338702361795,3.60857681072231,2.30237273286773,0.618063874743377,3.87776615626877,4.2032344369034,3.75532859280962,3.25121035639588,3.39008628057721,1.41792022332981,4.50450142777911,1.48080129258504,2.45305153179075,1.01631554467935,3.83524666511455,1.71942665865826,2.96059167238983,2.98269924849049,1.39600892534243,2.58485142668731,3.02713400634843,1.09901820565043,3.57255345273961,1.61737980485571,1.71757631815936,3.02573315642443,1.78758149908989,2.63867767350058,4.65936540900316,1.49337998537633,0.585466724664432
"IS-PNS",1.55475199973158,5.07415209909431,7.38845404848043,4.76555310800669,4.7047914141967,4.8616638902782,2.78222921619304,1.80275383510194,5.23583810640346,5.68894506894498,5.1121167898023,4.10306666063153,4.42017509847246,1.95512782255056,5.9511731676197,1.9861663717704,3.01843151195253,1.30483249346931,4.15488944624681,2.28306417503278,3.77323859561433,3.70411291948581,1.68046340681488,3.04082110609057,3.92176539117735,1.47888515769458,4.82645969540957,2.0697229661681,2.09554267184568,4.43176322865789,3.21668860789741,3.62306385875471,5.84160666202398,1.470690995898,0.924071813432968
"PM-ZS",0.941649003314121,3.88401169375963,4.76555310800669,4.07742973420118,3.29528480128659,3.69945062129171,2.02903951218785,0.985448174548923,3.5907995025047,4.26328829825122,3.59655396242277,3.35278433548378,3.3397788336157,1.15283507266518,4.09383323838706,0.974490167275354,2.06760550590911,0.841277445894102,3.49579551601758,1.64942837493851,2.79264896238362,2.78502386708851,1.08829620404089,2.23771501506803,3.00320823229077,1.17644406761935,3.53698187242431,1.4879969660591,1.59499148251097,3.2336924832485,1.84955473715156,2.88508712858928,3.92895190064404,1.18938680023034,0.566566695785106
"PM-ZI",0.713196663282161,3.54338702361795,4.7047914141967,3.29528480128659,4.00424250456714,3.21521481807712,2.31687723948631,0.756086590267608,3.84245527117237,3.21197496544717,3.26300314123017,2.61482885909964,2.8722157291365,1.39678650235877,3.75805384441627,1.62476219337839,2.12458734964917,1.02984140210788,3.28681566302863,1.43403659535345,1.55075144481927,1.43569512716789,1.24857927472276,1.90267963784717,2.13618199795833,1.00768622324908,2.82928996761635,1.33364496124869,1.22934664315853,2.49185395819632,1.85826795569664,2.14206597790257,4.18935003662088,1.10858927555749,0.485571236443159
"PM-MT",0.97438075288511,3.60857681072231,4.8616638902782,3.69945062129171,3.21521481807712,4.0620398869849,2.13706134201838,1.28644739269291,3.57494228472707,4.2268556692544,3.50682445875889,3.26914228160533,3.17135928671531,1.05555603579506,4.22956520328725,1.04770987830314,2.045757466509,0.790861878816382,3.00575705770251,1.78905089862539,2.88615850191548,2.84859783583415,0.950107301577605,2.21378189456413,3.17186474584184,1.10594041598236,3.56619588146451,1.48856458148985,1.60839157847394,3.4393480051586,1.78099118558698,3.06916967099674,4.01347780961754,1.00085837380407,0.611000828314694
"NLE-NON",0.292839055797331,2.30237273286773,2.78222921619304,2.02903951218785,2.31687723948631,2.13706134201838,3.77940095497538,0.174747124234545,2.21303768953195,-0.0281969822902655,1.7551084827417,1.6058261887107,1.5860220022961,0.666977815575046,2.26965019388835,0.757337553205755,1.02407470599553,0.336573732974769,2.22897293988685,0.716854539175158,0.971561587942827,0.809301175590027,0.711894300618347,1.1254947540015,1.21843202498941,0.506285644733164,1.59711233245713,0.42244604636646,0.686114590849869,1.26529832290798,0.861696558722922,1.59470261419558,3.04221386101997,0.980360935022244,0.0675768055797789
"NLE-ZS",0.726557254963052,0.618063874743377,1.80275383510194,0.985448174548923,0.756086590267608,1.28644739269291,0.174747124234545,2.07245291448276,1.50655126790879,2.20334452635358,1.33666782164233,0.738847195915493,0.94109793603863,0.430409150929139,1.51376692521029,0.408535970632017,0.767037130828047,0.140468146223863,-0.362540069805405,0.872336715479496,1.49991827492091,1.78027698994189,0.142704710433239,1.05805391500422,1.30848513900909,0.329047250723689,1.46240664748021,0.708031935705997,0.828246253790633,1.53748331970309,1.45645818337733,1.23539190947683,0.769189190320846,-0.124487622162648,0.312329907876922
"NLE-ZI",1.17045157732167,3.87776615626877,5.23583810640346,3.5907995025047,3.84245527117237,3.57494228472707,2.21303768953195,1.50655126790879,4.44258534851532,4.62858441511855,3.85226039669004,3.13932898538785,3.38461017841323,1.49470861142983,4.43152974936832,1.62986368424071,2.42946771259261,1.0053831534721,3.38986534637103,1.84992465965906,2.54161324227794,2.64359111025975,1.25677260483998,2.47044886771077,2.91180133683198,1.14768547261023,3.56907761245064,1.639723679178,1.71246525876382,3.19843137068686,2.36068985851793,2.68991310709538,4.3570240314579,1.02029553929203,0.603972540392338
"NON-BR",1.81382087301102,4.2032344369034,5.68894506894498,4.26328829825122,3.21197496544717,4.2268556692544,-0.0281969822902655,2.20334452635358,4.62858441511855,10.4345701454787,4.78129950454482,4.88565845903335,4.51958322196877,1.48733033938696,5.31459284181966,1.21992981448989,2.66557370058087,1.22023306696224,3.43752482953606,2.21213248344372,4.3593348271653,4.8006000636636,1.10704885173287,3.67461618904552,4.22492412052212,1.61351876521447,4.8516045844758,2.47313546986262,2.27115676376386,4.61204809301985,1.87443872269237,3.58715907508472,4.1440116458077,0.88162230100626,1.11831630090372
