"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.357395374994439,0.427205642983812,0.67437753917167,0.282860776623485,0.254577740104429,0.293957669375877,0.171753597230171,0.344368624182887,0.491193509806115,0.695733250068249,0.404754770325693,0.252739103236669,0.32225076915862,0.156312248181157,0.346325166488771,0.203340664898523,0.325493708199486,0.21069280123947,0.193098886939423,0.22208004420572,0.463788482476211,0.773768771262167,0.145239511769258,0.425664719971023,0.308276134683008,0.122705341136455,0.288162450718512,0.282113643844097,0.330149448829097,0.219285962779183,0.145588196740766,0.111961343555786,0.253837253790208,0.0368530615204357,0.198193701708232
"IS-NLE",0.427205642983812,1.57054828616926,1.19895039482651,1.18081210676255,0.611461019209536,1.01428213407996,0.880080103522405,0.500715416694417,0.985024154391991,1.57622796710909,1.02104884700611,0.448648002443262,0.644103897102912,0.331266024083739,0.733129332137845,0.191333896841271,0.908255114798627,0.359409441688228,0.818287138428083,0.789835173052957,1.40341797809475,2.31513782214663,0.211334293877368,1.21384438277024,0.84297947832621,0.0593747875579669,0.821433820396739,0.86272860561904,1.04382973271354,0.0906622672602364,0.795773475880946,0.342309727978519,0.554467146126164,0.77308137654716,0.124863931193235
"IS-PNS",0.67437753917167,1.19895039482651,2.39136002674114,1.34906591609726,1.29470892347765,1.48038379619812,0.798052422445599,1.20539770577148,1.5713732693322,2.06401435541767,1.51091536363207,0.676586918648286,1.19359996259131,0.724847202338782,1.34442075127003,0.730962401336385,1.09403762173729,0.73478556572033,0.575087662290642,0.729229695813884,1.59870797989479,2.63204622599135,0.411218944428281,1.11737482461785,1.09639184406984,0.285022229179982,1.15185059629992,0.694719994360274,1.16466911114059,0.788874013532656,0.690003293000801,0.641692410777494,0.952365115728166,0.16066487471662,0.452793381407547
"PM-ZS",0.282860776623485,1.18081210676255,1.34906591609726,1.72908194129978,1.17199601678725,1.3782450052533,0.919353681864289,0.933982616888652,1.31946593112929,1.77308449509101,1.1383651103007,0.556043211121397,1.00471861710083,0.596600641528819,0.952573270777566,0.168237543161226,1.18301060394005,0.606467904147545,0.837816885327746,0.742582028599866,1.19683441591545,2.48906875861853,0.336765070921005,1.21056567694066,0.92009416194636,0.0440585505310223,1.11806102208642,0.836663978665352,1.39822666545809,0.50317327229589,0.611410945807885,0.7664625733651,0.575272503287313,0.531998549710766,-0.0283161970767101
"PM-ZI",0.254577740104429,0.611461019209536,1.29470892347765,1.17199601678725,1.35656001895756,1.15401766345515,0.55019205122419,0.950492245604591,1.26559230219735,1.01728851257239,0.981183714557444,0.332015793104371,0.906458741790083,0.585641152291361,0.909803639072331,0.433897193069784,0.9516554941347,0.675768267047474,0.410497059928206,0.477817299582677,0.463290687869923,1.26558346192863,0.283242792220748,0.853700143515915,0.584955199056949,0.145145326801008,0.826399462090644,0.486251835382835,0.910389317346564,0.691544047082856,0.421127223014615,0.653819973186493,0.513599375944587,-0.089444076995656,0.0848786944080322
"PM-MT",0.293957669375877,1.01428213407996,1.48038379619812,1.3782450052533,1.15401766345515,1.47921431928048,0.698207432415168,1.03005031860481,1.2835559153387,1.80726896031244,1.1327668317644,0.425887047957585,0.872168626024867,0.577850378957012,0.973979079197485,0.341269162721605,1.0332720195439,0.533868664450308,0.519153182678938,0.730784602979688,1.2301922891596,2.27326670573593,0.23696716956763,1.13859758496135,0.877783111340304,0.0397090501231484,1.00019874736872,0.680609471547583,1.14051617684951,0.55616042613485,0.36974501069104,0.710274497366815,0.5462262249667,0.262632199857163,0.137258888716152
"NLE-NON",0.171753597230171,0.880080103522405,0.798052422445599,0.919353681864289,0.55019205122419,0.698207432415168,1.78369758826819,0.342079888463211,0.664117453715791,0.0229725713067824,0.419829997828172,0.161733549133959,0.493424935409445,0.383323344987188,0.761679077753357,0.325830756098994,0.79449425841493,0.167076657172022,0.565228514958984,0.306310999992066,0.918866715565037,1.85989135244725,0.428391643619679,0.86463888371095,0.764127743454789,0.0421975916918983,0.569043100751076,0.666941469771692,0.819112370600153,0.186327179572494,0.782953436213863,0.494108842914955,0.659234517267625,0.83912543834703,-0.000617405705473717
"NLE-ZS",0.344368624182887,0.500715416694417,1.20539770577148,0.933982616888652,0.950492245604591,1.03005031860481,0.342079888463211,1.70228212146165,1.24176862766876,1.7442724184554,0.74172084918468,0.848228798836231,0.85885050558874,0.209748447060144,0.362522215466592,-0.493799135127276,0.425602968369414,0.248571316188947,-0.447143288641922,0.438918793185416,0.751917636290827,2.04804667289252,0.0989254655180361,0.855818906523756,0.830503177120278,0.0360342470959812,0.915425073640651,0.454790309824395,1.0628721617992,0.815194379706795,-0.32506432414124,0.682581597427563,-0.488228668593372,-0.150661683728113,0.0346962447264043
"NLE-ZI",0.491193509806115,0.985024154391991,1.5713732693322,1.31946593112929,1.26559230219735,1.2835559153387,0.664117453715791,1.24176862766876,1.63276504686873,1.83271481333218,1.2534631750372,0.588378752007857,1.02916135988063,0.594165460131608,1.08564649722913,0.320293918043861,1.14535919146479,0.735230883741652,0.615906045707118,0.649858779084365,1.00876880849518,2.20572647684693,0.32388671455001,1.13962757241817,0.96977931369665,0.178493467025936,1.09432508349782,0.679179000806186,1.26459345938453,0.743943253368556,0.136006917108843,0.761213387783478,0.480722478039933,0.171420090762033,0.178838363019821
"NON-BR",0.695733250068249,1.57622796710909,2.06401435541767,1.77308449509101,1.01728851257239,1.80726896031244,0.0229725713067824,1.7442724184554,1.83271481333218,5.87194086269969,1.79165821025061,2.08737865871675,2.02343866621516,0.967348697494444,0.931508451776056,-0.359210405761837,1.1770073124636,0.498727923449553,0.625230023148811,1.07030489771777,2.34642193964374,4.30062688038858,0.0791580140456316,1.48073184135065,1.16339773485748,0.0790539210707201,1.75440343152832,0.518714451336009,1.99326285266597,1.30178029946612,-1.27980416362069,1.13649052586498,-0.305643808553167,0.290991196805738,0.28734779114784
"NON-PNS",0.404754770325693,1.02104884700611,1.51091536363207,1.1383651103007,0.981183714557444,1.1327668317644,0.419829997828172,0.74172084918468,1.2534631750372,1.79165821025061,1.42712577667063,0.526494606234504,0.982091506541996,0.650126642021331,1.13081972171915,0.58947404166365,1.08820758922421,0.637057359046993,0.77416326879072,0.665833076415876,1.10663320401075,1.84540554608612,0.2945235403105,0.801740590777037,0.815882288158726,0.131834658722867,1.01497831294121,0.570793996694537,1.10642791733078,0.46176764882237,0.376110729945528,0.411251702640404,0.769645107157622,0.219712270079568,0.299544904334881
