"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.372299699440531,0.722949798186284,0.737483593000957,0.41136220568241,0.27616954536643,0.273018034727615,0.15337281047893,0.396061726552835,0.468689115888549,0.516749886841289,0.526199712615626,0.126047374744866,0.395252769295303,0.146439966348843,0.509743230625526,0.172031456583052,0.518478482212078,-5.45648287909227e-05,0.0968624692624538,0.21494697805488,0.5049742536546,0.627704248444873,0.144263746828257,0.221388990056048,0.519699004638751,0.177562715878798,0.510229048910956,0.158273934338869,0.498055915925393,0.285916770014321,0.274496582128104,0.456010690736775,0.434765533268282,0.3615248279126,0.0024636254670626
"IS-NLE",0.722949798186284,2.60487847716385,2.27000802485846,1.88788083256394,1.31156550430183,1.4702296602291,0.734825575422214,1.11686345076656,1.41673760027307,1.8487697663569,1.70630488365373,0.4885324163104,1.35933734507427,0.728784198543492,2.15505943092704,0.858019552306402,1.91241562942733,0.323211900445105,0.373003790830963,0.804449897953548,1.77288130669783,2.51195395900478,0.509300999777563,1.1047487508825,1.95077566493893,0.686305072375823,1.98949230473238,0.835376299434705,1.78133953970507,1.01751059025522,0.522254254705463,1.52569059271596,1.81567966598785,1.11128129482043,0.0397802215662525
"IS-PNS",0.737483593000957,2.27000802485846,3.01029923052211,1.73505354793395,1.43428895473234,1.80503016703833,1.09698880862213,1.12751633910291,1.53850316567868,1.47675810009655,1.97006851969733,0.115425197910772,1.04059428096309,0.823733574077919,2.23316141208202,1.02986731568663,1.86684795426602,0.299533293306425,0.490465063431426,0.691663055086415,1.78701728720164,2.44499904577358,0.569147051323071,0.843294924993577,1.80387797171641,0.605808097141414,2.05466794466904,0.740238961444966,1.65637925520619,1.19630139096923,0.620442222592348,1.39531164317111,1.76355586564988,0.830890197339439,-0.132882733699967
"PM-ZS",0.41136220568241,1.88788083256394,1.73505354793395,2.06325302815646,1.24371308607415,1.34366303120732,0.778433604684459,0.874002740056892,1.18233859811076,1.9351025614402,1.52896848580656,0.552190225309128,1.31063410299288,0.76133772210425,1.95840518259969,0.742696727749638,1.79337668717815,0.139300301585,0.54344148309917,0.587221632447391,1.5077268088817,2.11231015074079,0.489502599608542,1.2079611550346,1.71428683224565,0.459583842137084,1.86665622051026,0.985699978864099,1.76537736541979,1.15113947303288,0.140991689013096,1.30532147350327,1.47377266471805,0.825589490235988,0.0149063122506215
"PM-ZI",0.27616954536643,1.31156550430183,1.43428895473234,1.24371308607415,1.42353539837701,1.23401387032902,0.365907185783925,0.968712185049476,1.213707833543,1.47402164406733,1.25393531403121,0.352473500355203,0.967606225804773,0.706697331260875,1.48672967580908,0.556281049491224,1.25294734965272,0.272881686404408,0.15910303819155,0.661377749396801,0.67841594418845,1.32956470761187,0.296100289339026,0.710688273637531,1.18203576684133,0.445040620869991,1.29370071257741,0.595847531632536,1.13381689177217,0.832219550453648,0.260355915717402,1.1078712285707,1.06065870006227,0.695310421605371,-0.169920692579857
"PM-MT",0.273018034727615,1.4702296602291,1.80503016703833,1.34366303120732,1.23401387032902,1.74952114254872,0.58746486420436,0.869970517048965,1.06525708070593,1.58921980499152,1.40433552451069,0.299213042988877,0.933877063360682,0.76059739409085,1.80124385999864,0.769964222732997,1.49760810348417,0.27091375925926,0.189874597715496,0.814764879621182,1.2799677410498,1.81922738666511,0.251527600730493,0.940729625921315,1.3206167544102,0.465516703184815,1.58858386254713,0.73257788859996,1.31607843367144,0.991619626200629,0.296723410443143,1.09788785014265,1.38647349730697,0.723471952007734,-0.0491628037779821
"NLE-NON",0.15337281047893,0.734825575422214,1.09698880862213,0.778433604684459,0.365907185783925,0.58746486420436,2.42516936886985,0.437256783650561,0.633811680001231,-0.9074153669274,0.620995767432196,0.0653399879132557,0.325193231338052,0.405062878658975,1.02993582060313,0.689128977750714,0.569892238394301,-0.0017154431899891,0.492788159744009,-0.198254572310584,0.785439183206499,1.09071823685474,0.342565764605283,0.512270439373461,0.684897913235422,0.0201452954566872,0.767587310076234,0.573341379432076,0.722907181213102,0.0764685948106346,0.290977767989903,0.332083380180601,1.04933712956433,0.411780286001009,-0.0928662838174195
"NLE-ZS",0.396061726552835,1.11686345076656,1.12751633910291,0.874002740056892,0.968712185049476,0.869970517048965,0.437256783650561,1.64425614266222,1.22412984075393,1.58315354322413,1.26224039449829,0.419222078129363,0.823585423639125,0.496320051522822,1.13148088753668,0.406711843291552,1.18432515499355,0.0668741363437,-0.521773042496081,0.603706446047516,0.830523564324635,1.52661242313348,0.283465365771861,0.883664360226878,0.992064163858772,0.388384074288889,1.08628133506993,0.591697355067017,1.2314427271419,0.738221820786598,0.341210538419256,0.844844711654492,0.709686964724571,0.566585197991277,0.0101945413840182
"NLE-ZI",0.468689115888549,1.41673760027307,1.53850316567868,1.18233859811076,1.213707833543,1.06525708070593,0.633811680001231,1.22412984075393,1.53671100758598,1.55683744005363,1.50319935451541,0.568079861384084,1.18462319624644,0.651736819746286,1.54796946498448,0.550589583903424,1.37651449464874,0.0271567904529085,0.309361957390093,0.632255293610631,1.15248761069787,1.75191732681459,0.4361585243225,0.960306511239588,1.3044185288325,0.413978114273419,1.47806520939041,0.639342674531765,1.36088051204135,0.926748052968799,0.448594761989744,1.2905218835516,1.05412785591565,0.823276444716244,-0.0368267683012399
"NON-BR",0.516749886841289,1.8487697663569,1.47675810009655,1.9351025614402,1.47402164406733,1.58921980499152,-0.9074153669274,1.58315354322413,1.55683744005363,5.59825995073247,2.19647279680556,1.63023368002597,2.03135819285486,0.838762572598843,2.07342235748352,0.718580372770757,2.59204232712974,0.0421836656993982,-0.0839764522964739,1.16001260453549,1.85799084400522,2.49232673448457,0.455803530342638,1.85642165924909,1.79102989980248,0.408590246754064,2.15632992003281,1.16976211287444,2.49239676747815,1.93707293640484,-0.925807031367597,1.94837750422287,1.29005998289424,1.03259929552255,0.093900651941714
