"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.480587428501316,1.12534585047917,1.34412510099769,0.756400837561302,0.696730568946295,0.787514105543244,0.478009728280182,0.789952353426986,1.03173643862005,1.44263800844999,0.995848364444876,0.709760118269381,0.848761906645645,0.360401929405455,0.997363434374,0.452869504806838,0.812488794226821,0.199482667294074,0.245071643876444,0.637017430530857,1.00920332105278,1.20514250035162,0.231468263755752,0.78880797154327,0.812085127364547,0.221629254745711,1.02073843947676,0.448368510441404,0.673035014351621,0.601572606076094,0.126838849414147,0.456618612314971,0.83610956303932,0.399454712418395,0.196760763535098
"IS-NLE",1.12534585047917,6.16800466578758,4.81383829778605,2.95333360379983,3.19218600570082,4.45732138565249,0.732534808514853,3.19130211660887,3.75278370660239,4.13160189706501,3.61380877353799,3.01078397561739,2.8896599013583,1.33355401474203,3.59958926326819,1.55592042962891,2.97239108944031,0.441026108170968,0.559997631142187,3.11122340899397,4.67547243405904,5.45493242661337,1.03722841914744,3.80532721954989,2.49264030270069,0.570797491326467,3.77875697823198,1.73775939607544,2.76330924959753,2.11018426471535,1.8836344004743,1.2847203084666,3.83067405930832,0.829642374441447,0.626385829746701
"IS-PNS",1.34412510099769,4.81383829778605,5.84419673679491,3.39827620275672,3.24076967330994,3.92108163281185,1.59019318904114,3.22279260335117,3.92959718577851,5.73313146797808,4.24369995365175,2.65424309276378,2.89945011607422,1.48458637300784,3.94795315075565,2.15561891757809,3.46452441477845,0.9206863539956,0.776451400499358,2.81099004128151,4.51112961502397,5.46870356934487,1.08162992541532,3.08644247598487,3.04300312169187,0.838390737303355,3.70821434080632,2.23602505704053,2.86770185110434,2.04817370192462,0.979514489887766,1.05930483022891,3.72010460520491,1.12723948591792,0.56417769101082
"PM-ZS",0.756400837561302,2.95333360379983,3.39827620275672,3.06735030079585,2.49860682679623,2.63651754628292,1.2798797128628,1.81338139791573,2.75144597702913,4.25169477641953,3.05134876792822,1.64132787113794,1.81776738296276,0.754935844932122,2.50317491598337,0.841752310011047,2.04522987486525,0.327386958904274,1.1314318670887,1.91655666821217,2.68016103410562,3.13799985862499,0.394265170334085,1.80529062378338,2.44427763900376,0.717082502819539,2.7938622912829,1.03434975894465,1.80144395585603,1.28296265008156,0.619283839523636,0.571285971259558,2.04287238792119,0.448259957930917,0.292345292919853
"PM-ZI",0.696730568946295,3.19218600570082,3.24076967330994,2.49860682679623,2.71303279731518,2.79831542978297,0.79551150253008,1.92575171826398,2.86915534214098,3.85905404615529,2.76049448837842,1.58881232808574,1.71425023343769,0.945412964789656,2.47863364054133,1.2428208215891,2.11321311492453,0.383391418567246,0.931974200857328,2.05266599580621,2.57784586491759,2.95627101809881,0.493461297546864,2.01499901596217,1.99359874626085,0.741534746203417,2.47518062095948,1.18068979120898,1.79910237411707,1.3489592149595,0.997127472095107,0.607354580196006,2.49279621444454,0.606604065913742,0.41411911288566
"PM-MT",0.787514105543244,4.45732138565249,3.92108163281185,2.63651754628292,2.79831542978297,4.28080867418609,0.660594762022576,2.89432683207252,3.18494139532432,3.95162963899294,3.26490971742757,2.13288045142639,2.17036439420161,1.08351121613734,3.00860742982476,1.41800332712468,2.7359295719448,0.143753787948873,0.354489123459388,2.89578116882646,4.05917900508933,4.70783079722777,0.500349219376652,3.10957869585211,2.34328306607426,0.73004372526519,2.91140156496068,1.60453163891737,2.57015655162906,1.38857342098636,1.21612119656483,0.466933825793577,3.23893330239996,0.312125718225713,0.411372058551329
"NLE-NON",0.478009728280182,0.732534808514853,1.59019318904114,1.2798797128628,0.79551150253008,0.660594762022576,1.98353204496949,0.439184365863005,1.13415588911834,1.13611982358078,1.21794760230276,0.810941280373682,1.20454436602522,0.497546354338581,1.23998486962527,0.450272690143138,0.986293295930534,0.410300929552488,0.784384304288317,0.536273771164752,0.836116892091686,1.35097732743664,0.210630134769279,0.400365433650695,1.20999742782287,0.265545853155349,1.20381339950984,0.449552232143046,0.801988594136878,0.700934734673473,-0.421849179223944,1.0105056358989,0.560262588595064,0.710548455840913,-0.0898640228577578
"NLE-ZS",0.789952353426986,3.19130211660887,3.22279260335117,1.81338139791573,1.92575171826398,2.89432683207252,0.439184365863005,4.5161406962959,2.77136446803108,4.02583460689907,2.80705579356893,1.77710133807174,1.51697529616649,0.412344182749637,1.97896622564528,0.969719984996919,1.84333675303162,-0.276545093156473,-1.60527307050844,2.11113780770823,3.22559319984046,3.87267885576615,0.587666476843466,2.32877745170362,1.95266371917154,0.671179891581254,2.20093540869448,1.22627512550974,1.89393591846038,1.5752582594836,0.780930634518922,0.250037523485321,2.71041703417283,-0.0957224089985369,0.326586957432703
"NLE-ZI",1.03173643862005,3.75278370660239,3.92959718577851,2.75144597702913,2.86915534214098,3.18494139532432,1.13415588911834,2.77136446803108,3.66499540720854,4.71972841003499,3.35702586946009,2.16585411136946,2.33272236093211,1.06255331476139,3.09351681239903,1.40033388391751,2.63342912955609,0.416393943671296,0.937962370497044,2.40676514995322,3.2759756397995,3.87436945200913,0.681398360612213,2.44790734478786,2.64965378806998,1.00978290953322,3.09379081920896,1.44835668284127,2.29951907526829,1.8188994557566,1.08692047044968,1.16300921949644,3.08542080473305,0.919751399890331,0.513335921132632
"NON-BR",1.44263800844999,4.13160189706501,5.73313146797808,4.25169477641953,3.85905404615529,3.95162963899294,1.13611982358078,4.02583460689907,4.71972841003499,9.99703943464515,4.76535207601176,3.17672657503576,3.02957039537597,1.23147444421104,4.26050835638186,2.00798083910499,3.53927884469674,0.623079274663208,0.938167574289555,3.09676045671125,4.72964796338184,5.08947066995745,0.663104589345779,3.15601975401011,4.17667980463202,1.47796114470014,4.31030476965408,1.8424662029618,2.71740471421744,1.85201157613883,0.862226729038358,0.384134151336995,4.30234963972789,1.26548542969034,0.790460554645104
"NON-PNS",0.995848364444876,3.61380877353799,4.24369995365175,3.05134876792822,2.76049448837842,3.26490971742757,1.21794760230276,2.80705579356893,3.35702586946009,4.76535207601176,3.96580534470942,1.9558310262275,2.10732088118189,0.854314499189883,2.86590968678482,1.24694851866089,2.58336619617275,0.380391793922941,0.697613508808661,2.34539167025704,3.2907378242503,4.0935344634129,0.653461150629423,2.1751976478058,2.75510588955245,0.837258401394164,3.0630791948991,1.68479713442873,2.37831964680609,1.8339335121387,0.745302533608156,0.570463268933264,2.71899325655113,0.43885783551668,0.464105863459938
"BR-PT",0.709760118269381,3.01078397561739,2.65424309276378,1.64132787113794,1.58881232808574,2.13288045142639,0.810941280373682,1.77710133807174,2.16585411136946,3.17672657503576,1.9558310262275,2.68464566112114,2.28439609046065,0.593206205848852,1.9046181035763,0.780098057081428,1.48137221340304,0.215758997926928,0.524196762538474,1.51037359423372,2.71506931231141,2.69628460932789,0.747006626417338,1.72779361563546,1.55099617300354,0.497009695540693,2.12830248260421,0.667701889803679,1.24819893931252,1.37437704427488,0.715526011628355,0.876081814725592,2.22040947706239,0.858114845222886,0.467832039195602
"BR-APET",0.848761906645645,2.8896599013583,2.89945011607422,1.81776738296276,1.71425023343769,2.17036439420161,1.20454436602522,1.51697529616649,2.33272236093211,3.02957039537597,2.10732088118189,2.28439609046065,2.7736657505419,1.19328568514704,2.53203459856356,1.22694426929574,1.92165566864238,0.430355726736971,0.877824781186845,1.56331784225224,2.60895089779305,2.7606871847336,0.524901771439334,1.91502875234346,1.76456195614313,0.617050488829018,2.37929138877948,0.975276881608713,1.54729518227993,1.56724507398247,0.632711329312495,1.43193705952882,2.15292022158812,1.17042499361617,0.569401435766393
"PT-APET",0.360401929405455,1.33355401474203,1.48458637300784,0.754935844932122,0.945412964789656,1.08351121613734,0.497546354338581,0.412344182749637,1.06255331476139,1.23147444421104,0.854314499189883,0.593206205848852,1.19328568514704,1.23692355451345,1.55819260025065,1.05545300604788,1.05312330162378,0.474577844708692,0.592962884502661,0.688915137509085,1.17638518926124,1.41007745799044,0.209523576286617,1.23562986959865,0.471183227611357,0.252307643719266,0.971426086079836,0.621001529143128,0.748762500553987,0.61720754909309,0.449678260863676,0.713054235558019,1.05305795269334,0.573703891373997,0.27804749348516
"PT-BA",0.997363434374,3.59958926326819,3.94795315075565,2.50317491598337,2.47863364054133,3.00860742982476,1.23998486962527,1.97896622564528,3.09351681239903,4.26050835638186,2.86590968678482,1.9046181035763,2.53203459856356,1.55819260025065,3.9894794383375,2.08319392010272,2.98097311222687,1.02934773204774,1.08591311571273,2.23696718387713,3.39767260494385,3.75961255425191,0.544143445264954,2.49538999472782,2.90512121335639,0.777781015181945,3.29604255846125,1.60207295477375,2.23861750157506,1.66489668693883,0.950846805944591,1.56950080969551,3.30136628112849,1.11365954622926,0.582193780992124
"PT-EAM",0.452869504806838,1.55592042962891,2.15561891757809,0.841752310011047,1.2428208215891,1.41800332712468,0.450272690143138,0.969719984996919,1.40033388391751,2.00798083910499,1.24694851866089,0.780098057081428,1.22694426929574,1.05545300604788,2.08319392010272,2.08098373757435,1.94536554438255,1.03779177211439,0.343418261300755,1.05653750001054,1.80266188347913,1.6822162629807,0.420758257122082,1.08985281703299,1.01674818528321,0.32805284286597,0.996591366960739,1.17857937173224,1.12839766040667,0.999034808166422,0.185582991439717,0.423890382129974,2.16134860971249,0.5597569379405,0.410338964699005
"PT-ZYGI",0.812488794226821,2.97239108944031,3.46452441477845,2.04522987486525,2.11321311492453,2.7359295719448,0.986293295930534,1.84333675303162,2.63342912955609,3.53927884469674,2.58336619617275,1.48137221340304,1.92165566864238,1.05312330162378,2.98097311222687,1.94536554438255,3.01695492828195,0.933999690928041,0.757680935899821,2.11110080080778,3.05747052807911,3.46380509271026,0.430576356418373,1.86855851570769,2.37034538265495,0.654838327515761,2.40326326784309,1.65235838020053,2.30156256144134,1.37386602372947,0.520538636318917,0.738294949615598,2.87229617272611,0.763028182860379,0.481900977597925
"PT-TSP",0.199482667294074,0.441026108170968,0.9206863539956,0.327386958904274,0.383391418567246,0.143753787948873,0.410300929552488,-0.276545093156473,0.416393943671296,0.623079274663208,0.380391793922941,0.215758997926928,0.430355726736971,0.474577844708692,1.02934773204774,1.03779177211439,0.933999690928041,1.22022787598907,0.645519233816531,0.167327281498288,0.477741048319344,0.525696454631886,0.215421313553767,-0.0773387077714253,0.523231256527827,-0.081593682299387,0.461412286176318,0.344824500883372,0.232683798206509,0.471017898009781,0.0319155680421382,0.336805805306644,0.795826468593096,0.368282648233887,0.205600834786398
