"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.55123750378492,3.52724189392054,4.30327956270741,1.19500656902454,2.04612082084543,1.44978109861791,2.26782439765238,1.6258594691432,2.43838973088412,0.844578087822954,2.15920847660101,2.18682989530109,1.64702304528877,-0.151935078969757,1.28197558235886,0.524862294531829,0.697800818560701,-1.25172102066118,1.0946018282141,0.656492064480681,0.937603077245121,0.472800589878889,0.906764683212622,1.59297408051889,1.37270557749391,0.342389597328496,1.03601921609121,0.989502687456936,0.62541569670895,0.692324135202704,2.66810344339522,0.445958473232034,0.992744721914375,1.3924930137959,0.374053225689268
"IS-NLE",3.52724189392054,15.3095561463679,10.8973505769351,7.6626281879134,7.25788912971407,8.01890249944861,3.31185351642311,3.71346367954749,4.58945892816913,5.00155251923245,6.01319340500033,4.47883179784246,8.82108861339188,3.34777027131007,6.87217537083945,4.7449124052301,6.09165392341153,-1.29036754585167,1.2454407317693,1.56825882537446,3.26445808345402,6.82698804436404,1.27062840932064,6.04485186007137,4.76854393245576,2.81066119416841,2.55854474012581,7.4608499432238,5.7713186798527,0.502510932385972,8.96752342592116,1.97421250771958,4.60741290979755,5.37919065778284,0.601528498545912
"IS-PNS",4.30327956270741,10.8973505769351,22.937307332184,9.31410630321082,11.2280766612642,11.8377676172555,6.12038869487908,6.35432845963244,8.3455826415614,6.25960715189545,12.7253531291888,6.15075891992069,9.42630954093459,2.48628733027827,6.7514226599954,2.35315399537593,7.02236627307593,-2.43257495262792,2.82257176142466,2.67006509021254,5.65353643418513,6.87442708920327,4.19847007279972,-0.655874227658312,7.01450145554747,3.01514015586471,3.560581752116,7.71064051444414,6.6026604550307,4.47624470239345,11.680548649456,4.66291232125465,3.75508606642752,3.33477497226596,1.41589145972689
"PM-ZS",1.19500656902454,7.6626281879134,9.31410630321082,8.49434080708811,7.85089165375824,7.4105543264185,3.74130115183143,5.1748795715837,5.83700240843998,5.80241314090994,7.3093928867932,2.71761594913077,6.80819193068452,3.13850706532929,5.77894967076573,4.09594688394107,5.49071703638202,0.414327548794039,0.914240550949894,1.72843706936067,1.77197372870485,5.55515542838408,2.17384068995185,3.12317236960101,3.91173029318684,2.40559179773399,2.40307881359252,6.20812079886732,5.34631606546778,1.85842523680272,6.18788976486769,3.45232351882283,4.15511471766705,3.1772294255972,0.485655241874777
"PM-ZI",2.04612082084543,7.25788912971407,11.2280766612642,7.85089165375824,11.5270446809445,7.73546828210132,4.47027818676054,6.61996018852373,9.23317811549728,4.19086349995079,7.49795323392214,4.95307811226114,7.55541900626934,2.18677442163859,4.82912856143586,3.553295369638,3.26921489450729,0.0874570217668365,2.45845070457092,3.83129397916927,-1.46566255084234,0.940652263599189,2.24202673523261,3.74017922856512,3.46601240999394,2.4097527536843,2.82197178694862,6.32036926647824,3.09903249249684,4.15217391227797,7.39868362844852,4.19518923228599,3.90118837379887,2.67663849942464,0.990790702460984
"PM-MT",1.44978109861791,8.01890249944861,11.8377676172555,7.4105543264185,7.73546828210132,9.71663214373999,3.86727143083649,3.43970535945718,4.53546168806642,3.77210172294357,7.17624155207004,3.44566943335971,6.85030369160939,2.56968817665081,4.24680057552806,1.90718384114006,4.13734520721169,-0.657488964762605,1.2412430645248,1.38681082542677,2.89987403655657,4.88378733986969,1.13092172915036,0.833613685957102,3.74122785904728,2.68391117649112,2.15715695334248,5.19887620540326,4.18493688600994,1.86806148911207,5.55481232583014,3.98308243688966,2.81329271244108,2.65605485472768,-0.0567694841649501
"NLE-NON",2.26782439765238,3.31185351642311,6.12038869487908,3.74130115183143,4.47027818676054,3.86727143083649,23.28757329742,7.0831522297535,6.71039277065952,-10.1440445296527,4.19132746541607,3.10664158447061,2.96532632416705,-0.315394236025651,0.939103912245145,1.05922223346584,1.63408942880211,-0.290217091330484,-0.313909521717289,-0.450562193470768,2.73093678897634,2.80666574985299,0.581252558060798,3.11433309987197,1.48228640752117,1.94382477685885,0.90684913636847,1.92591332378046,2.19002587939114,6.35180697096522,1.47499938281602,6.94590850806521,-0.603035664870288,2.34925952319545,-0.486646072562303
"NLE-ZS",1.6258594691432,3.71346367954749,6.35432845963244,5.1748795715837,6.61996018852373,3.43970535945718,7.0831522297535,7.46880929291115,7.73150905196514,1.63080233032637,5.54013247170114,3.39064261631194,5.21173906287966,1.41323919957942,3.1691387083572,3.01480926806016,3.78098352801988,0.194256916105281,0.506829670448699,1.6256534155535,-0.390408827823517,2.13831034809943,2.15161583356165,3.15755093495173,2.20773880388633,0.949484473402065,1.54933054993045,3.9811769967829,3.47648136467299,3.21113077058897,6.17735369288497,3.31180190000889,2.07629234721779,2.21549016932302,0.981324179744628
"NLE-ZI",2.43838973088412,4.58945892816913,8.3455826415614,5.83700240843998,9.23317811549728,4.53546168806642,6.71039277065952,7.73150905196514,10.8597186358309,3.57754749739067,7.10164085990031,4.49506642270988,5.88029521139751,1.19301244510583,3.94309036908444,3.34839561801002,3.91945997258001,0.26598632771512,3.25892400680968,3.10141323345912,-0.992861850733375,1.51556134631472,2.71433670443053,4.59689965438882,2.86491310100907,1.36862707676258,3.12280176317255,5.0636901920263,3.53312483049381,4.64631137551669,7.35948159741359,3.82088907655586,2.71149216411191,2.01155340420578,1.87785414642986
"NON-BR",0.844578087822954,5.00155251923245,6.25960715189545,5.80241314090994,4.19086349995079,3.77210172294357,-10.1440445296527,1.63080233032637,3.57754749739067,49.5653285790331,6.6582551863128,2.74656453526209,7.06185360714107,4.85995721262357,2.25138979035284,2.70817923215482,8.22872320420616,0.648253834244688,1.89528496839765,-0.040674993118473,6.77654859218919,13.7849752700728,4.46573005845918,6.33047467679019,2.32575737218289,0.66963035736051,1.13032923585999,5.08166296085459,6.82563608591675,-3.80024030566478,-17.2466330393904,-0.89165182778914,1.3885739980088,3.33650897451245,0.90099316268782
