"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.157230286043063,0.159611955138661,0.287332995916311,0.0603356827181706,0.0135330092719314,0.085377109298878,0.0800587530250654,0.0956026433862464,0.0813062405227632,0.00468229295109246,0.0929944952364232,-0.137747974609292,-0.030632683733049,0.0706858317984916,0.177568434830319,0.0912198648260244,0.143692703252615,-0.0165757345477536,-0.00566979378215931,0.0247544644293759,0.123006860370121,0.215961064663954,0.0556903120256486,0.123609153951412,0.10833241931239,0.0207188548928695,0.159074279147663,0.074674249984641,0.140576992608911,0.091401411427561,0.134726170959229,0.0731780411682209,0.0303065576661442,-0.0695453309942909,-0.0469797846650617
"IS-NLE",0.159611955138661,0.529870238195699,0.377423076398158,0.207577054112691,0.0399288547145118,0.203434302806999,0.0316157873664106,0.122953054797705,0.0883501597075645,0.16812479923024,0.224343780859094,-0.0723634090740892,0.0978631153707872,0.167390514160553,0.343372339674604,0.307600344174161,0.455667285222682,0.145343219893626,-0.0293649410982174,0.0953345828292061,0.629208725938106,0.541239623021386,0.158909520369278,0.249646444850014,0.232127778843891,-0.000527264858630396,0.296237573644732,-0.0522352613762983,0.313730804666423,0.230372883238404,0.0933815121434877,0.266922841187057,0.231502763648822,-0.0879672163301691,-0.121043871392656
"IS-PNS",0.287332995916311,0.377423076398158,2.47080021735021,1.11110634666152,1.23753664963223,1.16697778660314,0.29648893267161,1.08900090530978,1.135988281087,0.827822594261369,1.35800803538628,-0.268530076024384,0.0615386000720099,0.305193123395541,0.920275092039408,0.664079169182291,0.398356161604598,-0.102433845525381,0.0211627961314152,-0.0798595175119589,0.221598754624435,0.24252735818691,0.964419864621264,-0.163351523072781,0.453382945132297,0.351783777674098,0.541725049745477,0.464191633046347,0.279814862787978,0.482882335744238,0.763356255220553,0.717102543087272,0.719753570394017,0.124022934696811,0.0935444839515013
"PM-ZS",0.0603356827181706,0.207577054112691,1.11110634666152,0.952462310603878,1.00423660737528,0.903184390512081,0.228178580271315,0.761949953911142,0.826590674036108,0.859976401025302,0.530181382445506,-0.00288410229188578,0.0157812453696332,0.113827791766618,0.413925827677586,0.301275809727237,0.180563851783902,0.0580840882367126,0.0866557004875458,-0.0249585489490425,0.0991654147046404,0.18357904206386,0.239804066138776,0.238520312284571,0.197729908210474,0.189769657653096,0.28573516003306,0.102913444044409,0.0812494502522981,0.41947421834584,0.374597720493882,0.275143836423043,0.379426761493814,0.119666671815283,0.171855934382159
"PM-ZI",0.0135330092719314,0.0399288547145118,1.23753664963223,1.00423660737528,1.63081330373352,0.963848130219148,0.19953042192604,0.89779069121552,1.36486501474089,1.18610756735247,0.620418724877507,0.0370668220618119,0.0150579754870871,0.0779511720858715,0.456630816947428,0.418481696780551,0.15885231751074,-0.0372873889469849,0.384907408485982,-0.0997357253269844,-0.480040842012766,-0.603709162689499,0.327028825939216,0.119202147109534,0.239222202877488,0.196887664294291,0.196114213899959,0.229751756877301,0.0529894311024837,0.192423471511243,0.263885848318682,0.236304272366567,0.649462262478198,0.316267775377507,0.162723993434721
"PM-MT",0.085377109298878,0.203434302806999,1.16697778660314,0.903184390512081,0.963848130219148,1.01335576601041,0.284888864964936,0.744684208866505,0.837282536072013,0.768461650527711,0.570165376010765,-0.028994531244852,0.0273859436950853,0.147227949648271,0.341322183830857,0.235485672631328,0.12660146142699,-0.0123486902949238,0.138608820367453,-0.00687107200549982,0.0553534382855345,0.208730674377916,0.167262773581085,0.191337467628516,0.101858369962596,0.243875841435501,0.258903174891568,0.193289079228927,0.0682102667305154,0.401845756118639,0.340526590702525,0.283124006475113,0.271521629807349,0.130014266625566,0.18624141653417
"NLE-NON",0.0800587530250654,0.0316157873664106,0.29648893267161,0.228178580271315,0.19953042192604,0.284888864964936,2.41723498191547,0.208884504140492,0.247728063568866,-1.48632169020996,-1.04572862764795,-0.17998513818183,-0.162990445635623,0.00262058620198063,-0.0544022023969739,-0.250263904005265,-0.0641357044367794,0.0319184266717033,0.124748441736035,-0.0877954615753695,-0.194970212781385,0.468501745726812,-0.155644251570715,0.047260113742446,0.103678505076569,0.0543201748158182,0.14148843687953,-0.108475607604936,0.0419273416960414,0.351942660071789,0.258851892980576,-0.409470190091159,-0.297344701429901,0.0336031226609623,0.0465739673461716
"NLE-ZS",0.0956026433862464,0.122953054797705,1.08900090530978,0.761949953911142,0.89779069121552,0.744684208866505,0.208884504140492,0.858328919092245,0.939600667985565,0.478328069601988,0.650882676017644,-0.0454641938954056,0.112840265750619,0.119783867331104,0.427653394682633,0.310010531484246,0.214010781377947,-0.00886454169011016,0.0669892040052104,0.0272881695769532,0.0425393211756192,0.0711133019553919,0.314198860112919,0.0611452707551932,0.232155551435335,0.157837444297932,0.297239992720333,0.163123055387405,0.160781276825043,0.412286409365163,0.760096503740283,0.333301967576979,0.415740595213593,0.158629103596113,0.132154788265064
"NLE-ZI",0.0813062405227632,0.0883501597075645,1.135988281087,0.826590674036108,1.36486501474089,0.837282536072013,0.247728063568866,0.939600667985565,1.37128275729828,0.645711062869305,0.660017559602219,-0.0319497073158442,0.16148431244003,0.135060614530468,0.477713023856643,0.416705902878483,0.298018385142286,-0.0479408797293053,0.359800411941116,0.0374734391935761,-0.228887915951322,-0.367311511290489,0.315252855136721,0.0991312348075751,0.272998687215734,0.167634277285306,0.282268255394747,0.238510224902793,0.221081900904261,0.289441039457771,0.730377049099428,0.316162395462246,0.60729808697472,0.333552376757609,0.142416206641013
"NON-BR",0.00468229295109246,0.16812479923024,0.827822594261369,0.859976401025302,1.18610756735247,0.768461650527711,-1.48632169020996,0.478328069601988,0.645711062869305,4.59469316917307,0.891510095510195,0.306530348023029,-0.666816511251166,-0.297125386562848,-0.395817240876323,-0.299907617737512,-0.266744553496595,-0.0392459477103242,0.0536863318942542,-0.222723694661105,-0.801842286802775,0.110198922906251,0.0317102989963534,0.160907289002136,-0.0644733103528116,0.102948401071433,-0.191415235476469,0.316126341701249,-0.16798210717524,0.180636668205778,-1.8044413467929,0.233590345735888,-0.449632602887419,0.0410582889315177,-0.00682340223169823
"NON-PNS",0.0929944952364232,0.224343780859094,1.35800803538628,0.530181382445506,0.620418724877507,0.570165376010765,-1.04572862764795,0.650882676017644,0.660017559602219,0.891510095510195,1.62830517621935,0.0217329713784066,0.376198294551989,0.267906672576674,0.705877386623573,0.604273947956214,0.402401121803427,-0.0685437936045769,-0.0669934741640116,0.125172388527622,0.428800070678387,-0.0823609306962923,0.774429842682984,-0.256285812646544,0.2929428176372,0.19611984563772,0.34975298497881,0.337985129958769,0.246249800121103,0.228931281451306,0.753992006607416,0.81336487141603,0.745738006561668,0.0953984655759318,0.0524182597463961
"BR-PT",-0.137747974609292,-0.0723634090740892,-0.268530076024384,-0.00288410229188578,0.0370668220618119,-0.028994531244852,-0.17998513818183,-0.0454641938954056,-0.0319497073158442,0.306530348023029,0.0217329713784066,0.5311129298077,0.0718284435105898,-0.172195825381483,-0.0610187629679285,-0.15147245674289,-0.279498385262481,-0.0332193210538904,0.0043130063701456,-0.0421478739494861,-0.0849945566984635,-0.36748329582262,-0.0305167872884936,-0.0813238929468704,0.0169254720907802,-0.0375683810709133,0.0120702336118799,-0.182410504288853,-0.301849887452031,-0.0087232164527888,-0.226112000741942,-0.0813551376489185,0.147174412214285,-0.0893333350457364,0.136911488045783
"BR-APET",-0.030632683733049,0.0978631153707872,0.0615386000720099,0.0157812453696332,0.0150579754870871,0.0273859436950853,-0.162990445635623,0.112840265750619,0.16148431244003,-0.666816511251166,0.376198294551989,0.0718284435105898,0.550956362502936,0.300019830987888,0.448578837358911,0.355421839796988,0.37629801680157,0.0586080736965764,0.0247991085428025,0.12167803078211,0.55426118636606,-0.00538833825800294,0.205001321300507,0.0986463276295469,0.160358197047877,0.0620572543990032,0.269376370828793,-0.0443266096856655,0.246685086645819,0.044197979464607,0.812224867995271,0.242282423250086,0.413226504598841,0.104584578561746,0.0669412577487777
"PT-APET",0.0706858317984916,0.167390514160553,0.305193123395541,0.113827791766618,0.0779511720858715,0.147227949648271,0.00262058620198063,0.119783867331104,0.135060614530468,-0.297125386562848,0.267906672576674,-0.172195825381483,0.300019830987888,0.447324714335782,0.511033233474159,0.487545915123697,0.397289476839335,0.0452613374340108,0.0143021529612538,0.0981116932036093,0.369342622709937,0.109438493357392,0.148053842809468,0.123595136068697,0.10733571176956,0.138005922129202,0.202760964600898,0.0936125610069007,0.289559056863637,0.0727748879151873,0.550039176703793,0.0767970030396325,0.349749501596761,0.0829030939599381,0.0631876204133684
"PT-BA",0.177568434830319,0.343372339674604,0.920275092039408,0.413925827677586,0.456630816947428,0.341322183830857,-0.0544022023969739,0.427653394682633,0.477713023856643,-0.395817240876323,0.705877386623573,-0.0610187629679285,0.448578837358911,0.511033233474159,1.53292691642083,1.10109726648552,0.586721342152968,0.0692674849440231,0.022591260179579,0.0565100286258908,0.70644136284934,-0.402845272558967,0.525334894614323,0.367021143307107,0.659236220572374,0.164611877516061,0.695567087254416,0.138682065035429,0.230095068182797,0.129764331455976,1.20056479092941,0.417436731731091,1.45017407271691,0.0158066748420419,0.0533050530250751
"PT-EAM",0.0912198648260244,0.307600344174161,0.664079169182291,0.301275809727237,0.418481696780551,0.235485672631328,-0.250263904005265,0.310010531484246,0.416705902878483,-0.299907617737512,0.604273947956214,-0.15147245674289,0.355421839796988,0.487545915123697,1.10109726648552,1.14386921764411,0.614087213054191,0.110241953091097,0.061852558603393,0.138746399543949,0.570906175745475,-0.453981401878824,0.439912854828684,0.134655711180976,0.392421870707786,0.121346771805569,0.295564195309175,0.153145720837721,0.26270726383136,0.0726703014446136,0.770348274760325,0.346184976974198,1.26513007165748,0.0373933874338915,0.0600911781246489
"PT-ZYGI",0.143692703252615,0.455667285222682,0.398356161604598,0.180563851783902,0.15885231751074,0.12660146142699,-0.0641357044367794,0.214010781377947,0.298018385142286,-0.266744553496595,0.402401121803427,-0.279498385262481,0.37629801680157,0.397289476839335,0.586721342152968,0.614087213054191,0.872376744950515,0.175625171280792,0.0403418313026198,0.250703776738852,0.770372204253845,0.535267269789776,0.308444948895334,0.209398884180252,0.341034945238946,0.0165945390996891,0.3290580947358,0.109079823440904,0.687255956144621,0.30834995206329,0.694693877524704,0.447156318944418,0.39744137965547,0.109711489394711,-0.0945949531102288
"PT-TSP",-0.0165757345477536,0.145343219893626,-0.102433845525381,0.0580840882367126,-0.0372873889469849,-0.0123486902949238,0.0319184266717033,-0.00886454169011016,-0.0479408797293053,-0.0392459477103242,-0.0685437936045769,-0.0332193210538904,0.0586080736965764,0.0452613374340108,0.0692674849440231,0.110241953091097,0.175625171280792,0.16894960657974,-0.0377898175924359,0.0654160592344195,0.259674914414972,0.217280843551151,-0.00545196814738018,0.140216417326758,0.0406247508102671,-0.0170808868242971,0.0430975200354632,-0.0708407919678107,0.103570986143973,0.0924369288363504,-0.0166041847334148,0.114119870403292,0.091528831785665,-0.0121017088890853,-0.0514442124670272
"ZS-ZI",-0.00566979378215931,-0.0293649410982174,0.0211627961314152,0.0866557004875458,0.384907408485982,0.138608820367453,0.124748441736035,0.0669892040052104,0.359800411941116,0.0536863318942542,-0.0669934741640116,0.0043130063701456,0.0247991085428025,0.0143021529612538,0.022591260179579,0.061852558603393,0.0403418313026198,-0.0377898175924359,0.28062356737927,0.0180039383154483,-0.201648613054262,-0.322540307516335,-0.0739982654060832,0.0825263267759896,-0.00342606740662502,0.0273176957316918,-0.0056546469775821,0.0389562860629809,0.028105237667841,-0.0751372921496031,0.018352530767994,-0.0406625984631662,0.156092850540984,0.155841164065144,0.0430496377098692
"ZI-MT",0.0247544644293759,0.0953345828292061,-0.0798595175119589,-0.0249585489490425,-0.0997357253269844,-0.00687107200549982,-0.0877954615753695,0.0272881695769532,0.0374734391935761,-0.222723694661105,0.125172388527622,-0.0421478739494861,0.12167803078211,0.0981116932036093,0.0565100286258908,0.138746399543949,0.250703776738852,0.0654160592344195,0.0180039383154483,0.47543414265805,0.284391260290862,0.357519197927422,-0.0449402755725506,-0.0127799386811717,0.0684357952924325,-0.00338012468844386,0.0367883117102747,0.146109675061391,0.230799913422853,0.273949712613527,0.280175163345511,0.189605559655432,0.0171924424754657,-0.011094864409191,0.0234521033982623
"ZI-ZYGI",0.123006860370121,0.629208725938106,0.221598754624435,0.0991654147046404,-0.480040842012766,0.0553534382855345,-0.194970212781385,0.0425393211756192,-0.228887915951322,-0.801842286802775,0.428800070678387,-0.0849945566984635,0.55426118636606,0.369342622709937,0.70644136284934,0.570906175745475,0.770372204253845,0.259674914414972,-0.201648613054262,0.284391260290862,1.81791055350906,1.11227705099926,0.267809545114362,0.587388679705875,0.381572770332412,0.0177805138293099,0.530286623487038,-0.162339243624699,0.471664343661008,0.313511051058041,1.02744289481216,0.339071012860858,0.361638262768377,-0.19500111631242,-0.00353249120698217
"ZI-TSP",0.215961064663954,0.541239623021386,0.24252735818691,0.18357904206386,-0.603709162689499,0.208730674377916,0.468501745726812,0.0711133019553919,-0.367311511290489,0.110198922906251,-0.0823609306962923,-0.36748329582262,-0.00538833825800294,0.109438493357392,-0.402845272558967,-0.453981401878824,0.535267269789776,0.217280843551151,-0.322540307516335,0.357519197927422,1.11227705099926,2.58260807506307,-0.0922181556021801,0.453128827126049,0.0461337702051235,0.0446039286804539,0.251475441945088,0.103091144422635,0.73486854519277,0.806698117840355,0.259415034542784,0.291236016191421,-1.24428042793719,-0.302786961653278,-0.10732003150756
"MT-PNS",0.0556903120256486,0.158909520369278,0.964419864621264,0.239804066138776,0.327028825939216,0.167262773581085,-0.155644251570715,0.314198860112919,0.315252855136721,0.0317102989963534,0.774429842682984,-0.0305167872884936,0.205001321300507,0.148053842809468,0.525334894614323,0.439912854828684,0.308444948895334,-0.00545196814738018,-0.0739982654060832,-0.0449402755725506,0.267809545114362,-0.0922181556021801,0.751201484011015,-0.359329523833767,0.298627682605207,0.0806163633599416,0.237717545976948,0.18851437422384,0.201707401293452,0.149635647642008,0.427007163674535,0.512488888495549,0.567792496910143,0.0656157819822093,-0.006054271041849
"PNS-APET",0.123609153951412,0.249646444850014,-0.163351523072781,0.238520312284571,0.119202147109534,0.191337467628516,0.047260113742446,0.0611452707551932,0.0991312348075751,0.160907289002136,-0.256285812646544,-0.0813238929468704,0.0986463276295469,0.123595136068697,0.367021143307107,0.134655711180976,0.209398884180252,0.140216417326758,0.0825263267759896,-0.0127799386811717,0.587388679705875,0.453128827126049,-0.359329523833767,1.09000480153748,0.17951258595932,0.0382333443063963,0.345838037824027,-0.123919635960737,0.095578914192114,-0.0704909653548344,0.309228409827726,-0.242688292188634,0.0201324577615208,-0.224436695079973,-0.0359595316586522
"APET-BA",0.10833241931239,0.232127778843891,0.453382945132297,0.197729908210474,0.239222202877488,0.101858369962596,0.103678505076569,0.232155551435335,0.272998687215734,-0.0644733103528116,0.2929428176372,0.0169254720907802,0.160358197047877,0.10733571176956,0.659236220572374,0.392421870707786,0.341034945238946,0.0406247508102671,-0.00342606740662502,0.0684357952924325,0.381572770332412,0.0461337702051235,0.298627682605207,0.17951258595932,0.481381997483589,-0.027219609390466,0.393015962911015,0.0520843530690893,0.194993492732456,0.182225364812402,0.518597726805585,0.241644652065304,0.529887728043707,-0.00991714862111759,-0.030719520875454
"APET-TS",0.0207188548928695,-0.000527264858630396,0.351783777674098,0.189769657653096,0.196887664294291,0.243875841435501,0.0543201748158182,0.157837444297932,0.167634277285306,0.102948401071433,0.19611984563772,-0.0375683810709133,0.0620572543990032,0.138005922129202,0.164611877516061,0.121346771805569,0.0165945390996891,-0.0170808868242971,0.0273176957316918,-0.00338012468844386,0.0177805138293099,0.0446039286804539,0.0806163633599416,0.0382333443063963,-0.027219609390466,0.185898460064265,0.0671101928294828,0.123677294884934,0.0179957279513084,0.0383430665310185,0.225825934545246,0.0653131184894971,0.122872584226906,-0.0213852309712307,0.0868336718010965
"BA-EAM",0.159074279147663,0.296237573644732,0.541725049745477,0.28573516003306,0.196114213899959,0.258903174891568,0.14148843687953,0.297239992720333,0.282268255394747,-0.191415235476469,0.34975298497881,0.0120702336118799,0.269376370828793,0.202760964600898,0.695567087254416,0.295564195309175,0.3290580947358,0.0430975200354632,-0.0056546469775821,0.0367883117102747,0.530286623487038,0.251475441945088,0.237717545976948,0.345838037824027,0.393015962911015,0.0671101928294828,0.57012564802391,-0.0484467206869246,0.217110161394683,0.206346668587646,0.782801628591012,0.236016609420957,0.474636901713433,-0.0322330263051432,-0.0201235509854769
"EAM-ZYGI",0.074674249984641,-0.0522352613762983,0.464191633046347,0.102913444044409,0.229751756877301,0.193289079228927,-0.108475607604936,0.163123055387405,0.238510224902793,0.316126341701249,0.337985129958769,-0.182410504288853,-0.0443266096856655,0.0936125610069007,0.138682065035429,0.153145720837721,0.109079823440904,-0.0708407919678107,0.0389562860629809,0.146109675061391,-0.162339243624699,0.103091144422635,0.18851437422384,-0.123919635960737,0.0520843530690893,0.123677294884934,-0.0484467206869246,0.541314918947264,0.172970739803217,0.157482269736201,0.0231603459434634,0.303878624496549,-0.0129414570056988,-0.00277867298953261,0.0438131206470788
"ZYGI-TSP",0.140576992608911,0.313730804666423,0.279814862787978,0.0812494502522981,0.0529894311024837,0.0682102667305154,0.0419273416960414,0.160781276825043,0.221081900904261,-0.16798210717524,0.246249800121103,-0.301849887452031,0.246685086645819,0.289559056863637,0.230095068182797,0.26270726383136,0.687255956144621,0.103570986143973,0.028105237667841,0.230799913422853,0.471664343661008,0.73486854519277,0.201707401293452,0.095578914192114,0.194993492732456,0.0179957279513084,0.217110161394683,0.172970739803217,0.675751255695472,0.346760794177168,0.534870902388845,0.38527598628714,-0.0413234974402034,0.0816531847486115,-0.109290095683753
"LD-AS",0.091401411427561,0.230372883238404,0.482882335744238,0.41947421834584,0.192423471511243,0.401845756118639,0.351942660071789,0.412286409365163,0.289441039457771,0.180636668205778,0.228931281451306,-0.0087232164527888,0.044197979464607,0.0727748879151873,0.129764331455976,0.0726703014446136,0.30834995206329,0.0924369288363504,-0.0751372921496031,0.273949712613527,0.313511051058041,0.806698117840355,0.149635647642008,-0.0704909653548344,0.182225364812402,0.0383430665310185,0.206346668587646,0.157482269736201,0.346760794177168,0.916285801129314,0.265966016015914,0.530043021729979,-0.00753720001794129,0.0331013339062413,0.1958738493691
"BR-LD",0.134726170959229,0.0933815121434877,0.763356255220553,0.374597720493882,0.263885848318682,0.340526590702525,0.258851892980576,0.760096503740283,0.730377049099428,-1.8044413467929,0.753992006607416,-0.226112000741942,0.812224867995271,0.550039176703793,1.20056479092941,0.770348274760325,0.694693877524704,-0.0166041847334148,0.018352530767994,0.280175163345511,1.02744289481216,0.259415034542784,0.427007163674535,0.309228409827726,0.518597726805585,0.225825934545246,0.782801628591012,0.0231603459434634,0.534870902388845,0.265966016015914,2.95853633247997,0.261837835257835,1.01496072863297,0.090149739611114,0.159521713251277
"OPI-LD",0.0731780411682209,0.266922841187057,0.717102543087272,0.275143836423043,0.236304272366567,0.283124006475113,-0.409470190091159,0.333301967576979,0.316162395462246,0.233590345735888,0.81336487141603,-0.0813551376489185,0.242282423250086,0.0767970030396325,0.417436731731091,0.346184976974198,0.447156318944418,0.114119870403292,-0.0406625984631662,0.189605559655432,0.339071012860858,0.291236016191421,0.512488888495549,-0.242688292188634,0.241644652065304,0.0653131184894971,0.236016609420957,0.303878624496549,0.38527598628714,0.530043021729979,0.261837835257835,1.3520021609132,0.604404807572443,0.143860907679722,-0.175497306130225
"PT-AS",0.0303065576661442,0.231502763648822,0.719753570394017,0.379426761493814,0.649462262478198,0.271521629807349,-0.297344701429901,0.415740595213593,0.60729808697472,-0.449632602887419,0.745738006561668,0.147174412214285,0.413226504598841,0.349749501596761,1.45017407271691,1.26513007165748,0.39744137965547,0.091528831785665,0.156092850540984,0.0171924424754657,0.361638262768377,-1.24428042793719,0.567792496910143,0.0201324577615208,0.529887728043707,0.122872584226906,0.474636901713433,-0.0129414570056988,-0.0413234974402034,-0.00753720001794129,1.01496072863297,0.604404807572443,2.10841851107511,0.128666210789868,0.0733720198770759
