"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.199672249204033,0.0861469633551023,0.368241376013589,0.11235313050279,0.0788380998054255,0.121857829778642,0.337682185440976,0.278667483338038,0.236342982160861,0.23791019854901,0.0814135593215517,0.0510308123418087,0.0803143864762564,0.0374145545547566,0.112915643401496,0.0278195089571939,0.0613130246668145,0.0695204354620846,-0.0447818450998562,-0.0105445665217926,0.141864100598615,0.278239084158308,0.0433238671763294,0.189902224554294,0.0402719871503601,-0.0141151955475499,0.102271685862762,0.0680502181021098,0.0890870047399611,-0.0150256305188912,0.158226800437724,0.0885331931112769,0.053819655067315,0.0474313675174953,-0.016754845354832
"IS-NLE",0.0861469633551023,0.267792278227472,0.256401826343434,0.18545521943583,0.162927587456569,0.172708463697448,0.255044096465934,0.193910771937257,0.188763061251858,0.162030431642976,0.0305030057603868,0.0791359817151172,0.0705434146762488,0.0281986443206287,0.116323191128931,0.00862314183429562,0.107893825831258,0.0748990715412109,-0.032469107131575,0.0387059123488727,0.122922453846605,0.276904138464903,0.0528075069445693,0.114156568357523,0.152379056079501,0.00968610691872469,0.164495330258194,-0.0341082575785266,0.128920346211345,0.140427243802017,-0.0768567422770833,0.15826527314028,0.0784247558960557,0.0408429283066905,-0.0935654014734998
"IS-PNS",0.368241376013589,0.256401826343434,1.88513993269929,0.46001245138078,0.714762023052972,0.629048581613699,1.12017464903441,0.849208675391267,0.961541918472187,0.764678100948118,0.854736351993882,0.0912388835055407,0.301075746885714,0.237067333802118,0.472216636960471,0.139375741582478,0.293833549137425,0.0512015567277635,0.0333557768849124,0.223888831367479,0.327590085276482,0.566707517308446,0.693370058746439,-0.133531597865908,0.231300549825923,0.0551681217568144,0.356766678172404,0.277416800321264,0.32785132978466,0.303150940793144,0.131611483752618,0.257434903632135,0.0686720176567582,0.0336232230924988,0.047276891135689
"PM-ZS",0.11235313050279,0.18545521943583,0.46001245138078,0.668060775379977,0.668897030128905,0.503152835660485,0.780976103182348,0.816645811070477,0.837673140216707,0.508915175254304,0.11187307862891,-0.0504003250924978,0.20672495071889,0.132352123036755,0.252582960061392,0.118823631185779,0.326681511437593,0.199314160535239,0.00514958400688364,0.120515610197389,0.164259754820566,0.539209094790388,-0.0653533519494039,0.544024263461406,0.231563541550573,-0.036702152748531,0.229073626077316,0.0825954600656744,0.306004627645892,0.328315808241301,0.186583299092956,0.0476774006183447,-0.012753194623088,-0.0420099153365667,0.172452240682962
"PM-ZI",0.0788380998054255,0.162927587456569,0.714762023052972,0.668897030128905,1.89363132243523,0.722443430458504,0.690225233388237,0.845798201005343,1.92018601788622,0.432327666465638,0.344000697223955,-0.105371234095953,0.167825383200736,0.149806247240692,0.210308654415048,0.0230633934432243,0.509704458088666,0.140727953903059,0.882263505460941,0.448998196792941,-0.909111655018473,-0.378805922624144,0.0781976599702492,0.321092696619286,0.320924697723986,-0.161222503260593,0.259234399556432,-0.0580551381531092,0.406837738915986,0.300779370811685,-0.139907087765137,0.221709952810752,-0.107489933686408,-0.184957948517517,-0.0409265120702125
"PM-MT",0.121857829778642,0.172708463697448,0.629048581613699,0.503152835660485,0.722443430458504,0.613501693346039,0.709256572859684,0.632638756094328,0.815312466587161,0.4347583373271,0.166424791907865,-0.0319192776150264,0.140597582608331,0.13855899804744,0.251459536721121,0.128368492392328,0.276422167672768,0.173090135333957,0.130337396590517,0.186082380052771,0.0169850223782361,0.326413476316676,-0.0591865301112505,0.277571708613713,0.22294723822676,-0.0570816028623897,0.218706785193144,-0.00735151526138409,0.250736299244145,0.256925908869433,0.10654338143976,0.0854834118098396,0.0391761139570491,-0.0200115847513868,0.0428984947873806
"NLE-NON",0.337682185440976,0.255044096465934,1.12017464903441,0.780976103182348,0.690225233388237,0.709256572859684,2.15301928423282,1.14505270934686,1.01646584733019,0.01074810374913,-0.0838388858942641,-0.0210481359839554,0.30861598070724,0.302051334355634,0.590958739142348,0.348923973459746,0.46267926539844,0.269177151935632,-0.157455503284739,0.13875055822119,0.551612035318542,0.933559597042868,0.126922769683438,0.597408870294475,0.3873160073545,0.0301882224568515,0.385132767193459,0.234432309823521,0.441330368831802,0.343840624958581,0.504178640795122,0.0741618398103583,0.270265897974978,-0.0282959292114648,0.156829884086505
"NLE-ZS",0.278667483338038,0.193910771937257,0.849208675391267,0.816645811070477,0.845798201005343,0.632638756094328,1.14505270934686,1.32383408845054,1.27446444576823,0.958076607746174,0.362003851948139,0.0349475948225326,0.348655377056297,0.188240316494741,0.426361220991645,0.17191220052799,0.390776210846319,0.258244505218983,-0.102761859170149,0.136092196520482,0.295125043730788,0.780601387379575,0.0480318418755687,0.802741856213525,0.301908773640625,-0.0406329566046509,0.341842154041031,0.238768986832991,0.377989259566493,0.436601075143329,0.295697259679179,0.147604586578197,-0.0234312607555123,-0.0627873540354293,0.276527256366606
"NLE-ZI",0.236342982160861,0.188763061251858,0.961541918472187,0.837673140216707,1.92018601788622,0.815312466587161,1.01646584733019,1.27446444576823,2.23960491824763,0.794398364655997,0.510162976875379,-0.0604317068859985,0.329825704010764,0.202290128032954,0.328672424129122,0.119838836937922,0.597653345127125,0.21340036248207,0.790750966962588,0.441456386677658,-0.693620158690446,-0.0143217252450636,0.0909432025528167,0.631686474653878,0.352714610236319,-0.20139092654951,0.302796514917201,0.110088534044598,0.496146624666106,0.357586600721853,0.00423459842908187,0.281642800782806,-0.127630816091586,-0.172494843114928,0.0441130207670276
"NON-BR",0.23791019854901,0.162030431642976,0.764678100948118,0.508915175254304,0.432327666465638,0.4347583373271,0.01074810374913,0.958076607746174,0.794398364655997,2.64212187828516,0.669073670010386,0.342436354760224,0.125243739967551,-0.015350223024232,0.186937093665284,-0.097270280202142,0.0546707312344706,0.218478396754797,-0.184685829617943,0.0270571654517213,0.512732701208984,1.03084369314679,0.132046504647444,0.842566202471286,0.0980766589073037,-0.134766835110793,0.268693106505393,0.211473187777918,0.158665437560677,0.220089850032937,-0.420598833132239,0.121448106997522,-0.150818946642184,0.0741921046643912,0.270505601168809
"NON-PNS",0.0814135593215517,0.0305030057603868,0.854736351993882,0.11187307862891,0.344000697223955,0.166424791907865,-0.0838388858942641,0.362003851948139,0.510162976875379,0.669073670010386,0.94135231621223,0.0417101785548477,0.27923301258542,0.0913423305084435,0.151171278342853,0.062380677536701,0.118597123948659,-0.126411275215022,0.0985407327444142,0.181798699982985,0.0380443340636254,-0.00456795058991446,0.485148425352237,-0.25925005118142,0.0464408326001206,0.0741294897762275,0.0679046899804134,0.294166320374883,0.12012593381322,0.211051665238044,0.00250063079777282,0.308744244450569,-0.0759424525779508,-0.0239555358070536,0.0359245684912212
