"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.895362093850173,0.903422762229794,2.72176337268044,0.877425910901457,1.65649073580945,1.47313762826309,1.28644271991204,1.08149598403064,2.0196323657299,2.05989611293272,1.29768019441576,0.380165496547807,0.959932407670435,0.780089691336293,1.31541675316114,0.689549948703856,1.16613893042787,0.405504817252102,0.96385120865874,0.639695128551359,1.32754776864137,1.51328696242612,0.369005988989027,1.58379419470914,0.742861831372667,0.334314399509143,0.907227251573812,0.610650225632419,0.904561783657944,0.774764451393047,0.929489814225659,0.155919791524261,1.12972202550766,0.217275531899398,0.599303270335038
"IS-NLE",0.903422762229794,2.2276904815343,4.58283601565339,2.59342076512921,4.03075530009042,3.41437108276132,2.61034962732615,2.27371191245468,4.18581064696287,3.98664786195408,2.34585206198181,0.24597873667119,1.62715026072083,1.71325433545458,3.32933207520712,1.97670411942554,2.58136237508994,1.46747262128731,1.89379910606062,1.38557798293117,3.07169944874541,3.61200142056293,0.74693115415792,3.39496359559962,2.15259174276864,0.816762304946087,2.11920487167966,1.17460807563422,1.74304722189314,1.41660953378381,2.11339039433089,0.868264555870277,3.24987092915609,0.763914977117383,0.596435180943333
"IS-PNS",2.72176337268044,4.58283601565339,15.0028340233823,7.03472960677758,11.5124573873883,9.6712874476235,6.61157653573174,6.4005989863909,11.6814062055706,11.6303632900946,7.49226707793464,1.23262928773628,5.19948708061943,4.94748981056761,8.35697712446949,5.15509006592637,6.80015800213259,3.87945087215753,5.29294581354578,3.83108623476176,7.32059826421782,9.17675947111512,2.63493343450599,8.16139438992654,5.27996829106308,1.90452834713644,5.46961020496161,3.23205675652739,4.68851933815468,4.14324881134675,4.97196276359459,2.55910756903499,7.77665175767549,1.05639416540642,0.933982753407032
"PM-ZS",0.877425910901457,2.59342076512921,7.03472960677758,4.93952984019769,6.93102841716381,5.46669675756085,3.67316745027134,3.45069776882985,6.4549125671524,6.63119062493193,3.76917112435547,0.763491354425614,2.41561975068818,2.29812166975913,4.52554434002534,2.78958487510417,3.05116309811789,2.0602486878025,3.14828725768226,1.73834947905429,3.59340611414551,4.46271744922814,1.19358994004888,4.76302580048019,3.00981677482571,1.02709321307836,2.88068943916888,1.44817045203415,2.05004498341287,2.03809097421604,3.39885454799158,1.56619120194194,4.92978668569846,0.765930503926164,0.063920181647902
"PM-ZI",1.65649073580945,4.03075530009042,11.5124573873883,6.93102841716381,11.7112278717902,9.12646411361068,6.2429503104407,5.70055970843229,11.0115364692697,8.92570881222548,5.5378141101324,0.915235225322992,4.63562489288244,4.38167973872186,7.89758805917765,5.13153984256377,5.33257089851862,3.74122054932654,5.40329367535389,3.64237317343869,5.67766674561405,6.95765732849727,1.59289187276633,7.68480719511529,5.36099388050113,1.62088530697534,4.93640223280953,2.00400943538505,3.28044690732119,3.75436375113586,5.91011569161779,3.3254383916757,7.97500285841592,1.77838897187591,-0.0986244872120898
"PM-MT",1.47313762826309,3.41437108276132,9.6712874476235,5.46669675756085,9.12646411361068,7.67689448005472,5.14754981698904,4.6585269744723,8.80529821608756,7.24136649141964,4.71497924448266,0.607003565899496,4.11147302391714,3.83815518364695,6.37062994280029,4.28049625460645,4.50083731404678,3.15656386458814,4.19441727770535,2.83678241446766,5.05957613098783,6.25081598743154,1.14489617280512,6.4268238478427,4.07530605821824,1.37635840272617,3.92003900266227,1.89137882538539,2.77569565723075,2.8042228652749,5.09580752790014,2.33097879283676,6.32744583914886,1.40164087005389,0.091809889813042
"NLE-NON",1.28644271991204,2.61034962732615,6.61157653573174,3.67316745027134,6.2429503104407,5.14754981698904,5.69197359710252,3.88978367763742,6.63537691291668,3.20487930240218,3.05813912712358,0.682473105052736,3.54258087497643,3.28344441020674,5.48855773578959,3.4077299061079,3.41227220857893,2.69267944592075,2.822533381008,2.19838961029606,3.83502748657176,4.31466696882094,0.560642951130163,5.26824032248949,3.20380292225759,1.29046380000531,3.29599735087801,1.28751201840229,1.90596116498633,2.03462893519672,3.73624986685613,1.56813489726924,4.68230315418108,1.1346277621086,0.545042087942076
"NLE-ZS",1.08149598403064,2.27371191245468,6.4005989863909,3.45069776882985,5.70055970843229,4.6585269744723,3.88978367763742,3.78118824355718,6.0065614125336,4.331589234943,3.31726724513413,0.412406861099073,2.54363289634814,2.60039140433512,4.2887230195803,2.76747034276447,3.14562014414819,2.18501466465048,2.30431469180279,1.84242121537328,3.3757874784439,4.0510616684047,0.92064230315212,4.16141251147786,2.61124402267229,0.997173132281231,2.60780566882619,1.61338519573659,2.02693710045273,1.8141774768642,3.04422171861415,1.21048277420832,4.06324457549522,0.708067932702275,0.106159354565866
"NLE-ZI",2.0196323657299,4.18581064696287,11.6814062055706,6.4549125671524,11.0115364692697,8.80529821608756,6.63537691291668,6.0065614125336,11.2391619471116,8.73589287923807,5.9469101734634,1.01655588130624,4.76702161674274,4.50475415464605,8.06879346420806,5.21682856238743,5.73153482217865,3.69828984728294,5.31944782397108,3.6137871857311,6.07701477323514,7.38803738374912,1.64983436565885,7.77126563430158,5.35116115800184,1.57935371694402,4.90567267287237,2.44109374704144,3.68184658539308,3.6231767110342,5.82529893512683,2.85780790843284,7.80178131776932,1.68040010362331,0.19496587232471
"NON-BR",2.05989611293272,3.98664786195408,11.6303632900946,6.63119062493193,8.92570881222548,7.24136649141964,3.20487930240218,4.331589234943,8.73589287923807,15.7361716449803,7.14821019155113,1.7346881052394,2.50347622217539,2.15170236958986,5.45361079987113,2.54735177712462,5.27268212267869,1.75630883311874,4.44749836179018,2.88260616002342,6.722465397847,8.62678400609057,2.67845872957065,6.67640381492586,3.85816570881525,1.41011333381703,4.24508347801758,2.8195137604104,4.58694242537447,2.62319781516007,2.07538424183052,1.25299028970578,6.2870222940581,1.02705756234961,1.182140646626
