"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.208600125783413,0.16563745555992,0.564829050212323,0.156574767855902,0.26938833795545,0.243199640436867,0.12955120636621,0.215046849650065,0.391541595108713,0.281360622890912,0.3092074466523,0.0689811300216142,0.225066266087382,0.118244420896238,0.199620313780405,0.164065620203003,0.108469274788768,0.0515650656190141,0.203630232683315,0.097452842726841,0.199138520487636,0.251262137697332,0.108414659252935,0.0813037127147633,0.150083792295216,0.00975785565087044,0.085719127022556,0.117080724007257,0.0813808435239321,0.172093469497864,0.243024759631351,0.087821301508653,0.174194028397256,0.00306504041215007,0.0398840652091832
"IS-NLE",0.16563745555992,0.457085829527223,0.7062891441669,0.390857962241876,0.339624281120617,0.467356692993641,0.0245815339749498,0.307208048511293,0.336093636512172,0.545074136089616,0.479966529155369,0.0939426194344312,0.282286977413918,0.160309361954626,0.24682975549297,0.229494071164028,0.216568002615681,0.0629270201456635,0.0520021525826345,0.151863390238728,0.351455750024635,0.471858083688727,0.11673229867013,0.159771776299142,0.179214343117155,0.0569953599033615,0.129091872929691,0.253018961970903,0.197712658548755,0.1172794633281,0.239813647184009,-0.021480027412808,0.128366233909243,0.0767082240671417,0.0958056046650065
"IS-PNS",0.564829050212323,0.7062891441669,3.1717460067297,1.28315123363175,1.4341076604259,1.86025612879477,0.449583939843756,1.29194237139117,1.67001298372954,2.07325772523353,2.05228264122422,0.21798576701434,0.870663495436791,0.733842200555893,1.08956355323714,0.992114307256116,0.714909546078968,0.17934407299704,0.485779388581219,0.519480495065614,1.3093482255589,1.60184497350871,0.620222563144815,0.302711842334501,0.61320853068109,0.136043165833984,0.35468651742493,0.847145554337204,0.630678156085743,0.601735361747551,1.15094687077429,0.158649427542506,0.947840772355658,0.149429565791307,0.179510825165698
"PM-ZS",0.156574767855902,0.390857962241876,1.28315123363175,0.827918803784922,0.6648736482869,0.975619832872441,0.114716318005367,0.679286026142283,0.640087102306284,1.13814303343778,0.917305992509714,0.0627825937751392,0.312075891649901,0.274788238100997,0.426519326824024,0.412840809702224,0.367570860431703,0.0661850090654329,0.0152268634912493,0.260022599202753,0.604522247903597,0.809168976357116,0.189066360420772,0.269084557156181,0.239848481831883,0.0600010461840371,0.166556375885166,0.483349392650698,0.360186145692087,0.152985818546091,0.372655148491165,-0.0201577465724242,0.34598634195161,0.108441573270016,0.0771417806749484
"PM-ZI",0.26938833795545,0.339624281120617,1.4341076604259,0.6648736482869,0.960516333797921,0.939833496371902,0.193462553704165,0.617342817827857,1.004000287359,1.01736967623914,0.897685135225867,0.0466969501092157,0.452152358158876,0.352758230536746,0.506320595268798,0.462458630905939,0.418111220652666,0.0633806772197981,0.409923300193393,0.286366416908155,0.388072557832113,0.702329093784257,0.248754705378542,0.280767844319642,0.305258301074759,0.0559546997262833,0.153861253863705,0.502005983770341,0.416586724711433,0.223768302572213,0.618152229931427,0.050522150498072,0.451805344166371,0.128995177460602,0.0801826089950139
"PM-MT",0.243199640436867,0.467356692993641,1.86025612879477,0.975619832872441,0.939833496371902,1.48167275053195,0.23928032615406,0.838293730308726,0.918092457329909,1.46357204356818,1.2021135407568,0.000792732032642079,0.429162060096708,0.44639289260262,0.634010691676448,0.695425816114549,0.524450686170739,0.120252154909777,0.145337245247776,0.357889114214911,0.805597321781528,1.0894742203016,0.1510753026055,0.362671308338226,0.324239999817586,0.0965402279924851,0.181563988529898,0.694873523420738,0.478734342255678,0.252973451232738,0.621971036602026,-0.00844760252450662,0.583196854981275,0.183075354611393,0.0790663808750423
"NLE-NON",0.12955120636621,0.0245815339749498,0.449583939843756,0.114716318005367,0.193462553704165,0.23928032615406,1.21631314959902,0.387949890540355,0.480745235121329,-0.590445734787046,0.125967762061504,-0.0715022784262733,0.117395140723469,-0.0145536186623461,0.14769239478093,0.0303350054499644,0.117803734088417,0.0703374508651358,0.127077205170136,0.0501099263622278,0.299289458628656,0.373472547599126,0.0940316955432663,0.0290007075626121,0.273038091924124,0.0418558177423396,0.196743460489707,-0.0736510677579806,0.117037683056033,0.291455545064977,0.111840829480943,0.112173348606755,0.160536807304013,-0.144659602534944,0.0589405519299636
"NLE-ZS",0.215046849650065,0.307208048511293,1.29194237139117,0.679286026142283,0.617342817827857,0.838293730308726,0.387949890540355,0.777286578893602,0.792451477439344,0.846504919041443,0.932594902363995,0.0589381541093277,0.341689824142901,0.282941249853844,0.501139304799024,0.410856386675217,0.325617417987981,0.0635329717376744,0.069943894071582,0.26685176583937,0.610694247736308,0.770909569570947,0.230436928187272,0.223131147896647,0.312265062164718,0.0896019888178151,0.245165122725227,0.381437085104842,0.326043462109857,0.234376779363842,0.463692342590336,0.0461912432191918,0.445663244101798,0.0669908139197203,0.0683221567001189
"NLE-ZI",0.391541595108713,0.336093636512172,1.67001298372954,0.640087102306284,1.004000287359,0.918092457329909,0.480745235121329,0.792451477439344,1.29508203298337,0.929569308763458,1.10716050576366,0.106831747954203,0.590967157162775,0.375898847695958,0.612764677411315,0.494319982132193,0.43988903324233,0.087403752527473,0.551532390910425,0.341125768214511,0.545464828113411,0.7868354471093,0.342968299680176,0.248295868357005,0.422054324940871,0.0922517899815737,0.259571307887543,0.421959098979604,0.411800749468815,0.350253635919444,0.790386826930236,0.135759650919913,0.569582934005642,0.0681305128663477,0.095301772586108
"NON-BR",0.281360622890912,0.545074136089616,2.07325772523353,1.13814303343778,1.01736967623914,1.46357204356818,-0.590445734787046,0.846504919041443,0.929569308763458,3.7858097590129,1.51025009953641,0.665968047730584,0.526139201389761,0.672832572117534,0.697361217316013,0.773676553419192,0.434245496187049,0.10914654561709,0.160086204808491,0.544843216183061,0.95755904554856,1.2861684683265,0.243643829161689,0.524819948582018,0.182812473662204,0.233145924865731,0.198309236267563,0.866025425107634,0.365269898707165,0.116716364286747,0.0363151959249394,-0.14535487524482,0.71568811769254,0.295066099562617,0.0692025077703885
