"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",10.3708470891782,26.3831390177037,26.0017007261145,14.8775871333724,15.1136171741728,11.0427212140752,0.931786243698634,11.3393188307266,16.029117766332,15.3815290449989,18.1006931964237,7.16088605185469,6.58654433689291,2.79752521625295,9.09210681036034,5.1103537837474,9.03723858292669,1.56343296909578,6.86158368917363,9.91170103027278,8.57684708825493,11.736556309502,5.58745593295081,8.51503688061918,4.30477460351341,0.845756441582635,7.77822894391803,5.02537383503879,7.75374873763357,4.82849542865626,5.39143646980638,5.8179752882842,5.77918140814088,-2.10784356624924,-0.461546934244685
"IS-NLE",26.3831390177037,145.870589309676,119.384130309394,89.446580750343,86.8983364976828,83.4760237091107,18.8777126962293,44.4790476055927,75.6508988004909,64.1025579988416,89.5143667593937,39.1027895262594,38.753574196893,13.5935993572288,39.9311095995707,17.9985822374467,45.6032914834798,-1.81937698994005,34.8326863090854,48.0620741509454,46.0050775827713,67.0047175420756,28.9625373994846,42.7347604214806,21.7129375074639,8.30832492966502,38.8092997694531,32.995435994302,45.2744942857123,21.5969993094774,34.4501161531078,21.0827666275518,24.1207484834968,1.89274859528045,-2.97126299030937
"IS-PNS",26.0017007261145,119.384130309394,124.101392921018,80.8413067061497,79.1314189475096,77.5312620476517,28.5828865605397,44.3935821737788,69.51477630222,49.0438946621806,82.6097299546783,34.0151843947437,34.5537506360848,12.2804936736541,35.7197180083268,19.7436108160229,43.3414010962681,0.629844181785676,29.8479535500206,41.6074553745746,43.0288686047648,61.5445843367543,33.2070149406721,30.1617750218631,17.6365782593449,8.59008529087992,35.3433261669152,26.5199170075097,41.5917236304778,23.6975891206243,25.0810349119181,20.2003124382842,24.5684840162789,2.89450562362409,2.25861260018066
"PM-ZS",14.8775871333724,89.446580750343,80.8413067061497,68.3818019987743,59.6066414224903,57.4620501462393,21.7081133191627,34.5450506546021,49.0412054824832,38.6223389492959,58.3293467615377,26.4385573395203,26.7175944552492,9.64959308769967,24.5555574106459,11.6705992473702,31.2190268479534,-0.957339608147663,16.6180653834686,31.8947415289783,30.0580441731209,45.4420446213592,22.7641106066261,25.5345025902465,10.7284334311635,7.1782051840647,24.5065504865109,23.1233375547329,30.2451974191582,16.1750088998592,22.532146341887,10.858125896455,15.3562762153025,2.36273184875914,2.92796826807147
"PM-ZI",15.1136171741728,86.8983364976828,79.1314189475096,59.6066414224903,69.796966121224,56.3928284513735,20.7745614066972,27.969456193084,54.260617361398,38.1804267716815,57.3705655194717,24.0946095332433,26.7608336830506,9.55167071644563,29.2933086302332,14.2161756905308,34.0723794324104,0.497908519274131,30.2431758794297,33.7144967934648,18.854652405863,35.6428290341861,20.9843323349702,23.6753431240994,18.7799179041003,5.11988005626222,29.5293715605974,20.8663934254171,32.0288444887065,17.7419337157734,20.643608333054,15.3470325830061,16.3385521564061,-3.53255475409748,-1.38357379089488
"PM-MT",11.0427212140752,83.4760237091107,77.5312620476517,57.4620501462393,56.3928284513735,72.1961894768748,25.0796707502143,27.0105111138903,47.0125945003735,31.1682082640703,53.261377904453,28.024212422394,27.6778440771707,7.90097838776593,22.6109129772214,10.9193621854269,29.3471837788906,-4.43633565197387,20.6997185108624,31.3074307645297,32.5071959621367,47.2972892847599,14.0461997244227,23.7810810815616,12.321036780576,9.43269531539149,27.0451253638667,19.1570642670474,31.9085241195417,14.8822652337955,20.058453465858,10.5053673964525,16.0299864234595,8.70943944719684,1.34986157980156
"NLE-NON",0.931786243698634,18.8777126962293,28.5828865605397,21.7081133191627,20.7745614066972,25.0796707502143,41.6082016056615,8.27875701057895,16.6889117602313,-11.8159899564761,14.2612161807669,4.31285302208762,11.5818700225408,8.446653450932,13.4978801624093,10.475805278276,11.8731590243148,5.61363344328173,5.28918529566161,7.09195282600618,9.74850934646837,12.6448935670883,9.20013043906154,3.85862693324667,5.56835796983211,4.66268911598136,11.1578530941262,1.97890720457698,6.43041473816652,13.548114383289,7.46175171521469,8.3105470937081,9.72343112066156,3.62760265409105,3.62722568392738
"NLE-ZS",11.3393188307266,44.4790476055927,44.3935821737788,34.5450506546021,27.969456193084,27.0105111138903,8.27875701057895,37.770625412365,30.4836487833018,19.6624178510627,32.0319253812777,11.0096151581857,12.7155851419499,3.77738336080763,10.2742253429532,11.0068840212597,22.0404760821652,4.88845165978321,0.358608633028582,16.718638525879,15.4823199481444,23.5554729412395,9.30419618444375,14.4673571527169,4.58997042934221,3.35801996986938,13.0252954407209,11.3952696299866,17.4966505918133,7.81353451976022,5.4935442956845,4.96574762620794,7.01353939116187,-2.6438704415282,0.493825753635932
"NLE-ZI",16.029117766332,75.6508988004909,69.51477630222,49.0412054824832,54.260617361398,47.0125945003735,16.6889117602313,30.4836487833018,52.2564003900648,36.3989262941763,52.2444600747982,21.5636778793435,21.9121984719356,7.31472514807585,24.1978714507948,14.5864728909363,32.2558583603134,1.9854047720901,24.7657090904286,29.4457033867563,19.6940871819967,35.4663389137288,16.414838710602,22.6786077049866,13.9552362310283,5.2123121506752,25.6485529991557,18.2302261808522,29.9024479888102,14.3444300796945,15.4696816957223,11.783770542532,15.0484068698677,-0.221343274789594,-0.0564724634552719
"NON-BR",15.3815290449989,64.1025579988416,49.0438946621806,38.6223389492959,38.1804267716815,31.1682082640703,-11.8159899564761,19.6624178510627,36.3989262941763,64.0132720641329,43.3143125832521,24.9135386584986,16.4937029489047,4.05012348312579,14.4901508510766,4.29986270001419,18.0543896611501,-6.06197755182444,18.3406861022469,25.8631986847685,15.6214636195205,32.0838912133343,10.2534307806544,20.9544969593821,4.94190218135846,2.68242163374729,13.6789242421664,19.2897015540945,24.1475848578502,1.53206608570958,16.6775462182667,1.07844019113106,9.5640431361702,0.799547651639085,0.578526760881096
