"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.650750060788471,0.391055172413368,0.93221726593978,0.337321267259711,0.241017304701156,0.321920036334989,0.614192812267174,0.833719466679645,0.928679318961175,0.5396257870137,0.577210845710988,0.151545847714015,0.513844682384876,0.392768252859367,0.877201903609058,0.351675031817439,1.03592435108137,0.425819617016143,0.117690155098834,0.592810384124713,0.517207811535034,0.772173142551033,0.0495289683494525,0.540064340475581,0.511690138873353,0.106034590643095,0.740827840445212,0.509816725275616,0.946918883938128,0.399368096600604,-0.0300120491120962,0.802204629195338,0.515571635233451,0.325690818737876,0.121451371998344
"IS-NLE",0.391055172413368,1.24941850738181,1.57438495993656,0.839425415186716,1.15033801061368,1.00715402380971,0.145296915464091,0.439697471972006,1.26501907959823,1.12164822798087,1.13312139846969,0.213528985496673,0.527099318689033,0.0602136185873852,0.549038266215328,-0.280599224877831,0.922385214981625,-0.0647692594953926,0.783724724727672,0.650975273827088,0.627304028705774,1.30369014192942,0.402621907640462,0.571503000182641,0.654104271085221,0.057964858119246,1.03840888457594,0.312433902306287,0.932617231061057,0.235504471236344,0.263034609575016,0.374756022913524,0.158216286849093,0.531027626920508,0.226480638597985
"IS-PNS",0.93221726593978,1.57438495993656,5.24840342870069,1.65864945315738,2.63408937545194,2.763442829935,1.36952112407276,1.66553093702466,3.35782673210107,3.03530002063792,3.72516418925163,0.493552724938945,1.30669444666259,0.441351175127589,2.31274972292197,0.33332004897109,1.96345350373778,0.855278893837151,1.63184541219989,1.66129554876079,1.63763493894015,3.2219307865833,1.66235140357538,0.308875306370086,2.20936376628664,0.0170696565965995,2.48715824861036,1.2985476787457,2.07169102741044,0.953096656142099,0.637925565154827,2.10052398114694,1.45463823852811,1.07539198716372,0.321189277805965
"PM-ZS",0.337321267259711,0.839425415186716,1.65864945315738,1.7369800681671,1.52636286542146,1.57716930274507,0.652872935271739,1.74575831772009,1.64225255917877,2.21146306655843,1.25319427867007,0.417144497061746,0.470611716194042,0.315415100348148,0.894868457138448,0.254224565492627,1.01887105913129,0.221542993689027,-0.0122098057347,0.625572569302209,0.641696255431888,1.19752946840173,0.098637115019908,0.689350251035353,0.756397221004544,-0.0543891055341574,0.836060317256287,0.466454035084867,0.810077584511305,0.803561462617037,-0.621321024961895,0.994487135648874,0.357967594596242,0.234163412727557,0.117194121315599
"PM-ZI",0.241017304701156,1.15033801061368,2.63408937545194,1.52636286542146,3.09670726958137,2.24975001157597,0.235659245234568,0.811646684525219,2.768389713892,2.55663857762007,1.96175378400792,0.534271308495404,0.863601114788193,0.233309891309445,0.907761355908706,0.167410665302106,0.933202094902264,0.169468676044886,1.75812241113191,1.08984366878201,0.126766132826222,1.36973671114519,0.520905365224832,0.688547958512467,0.901490016736634,0.143375771130202,1.06553523506235,0.591586016759274,0.905232210526386,0.539156385132471,0.581277635959582,0.977631570013991,0.774692530181991,0.733182995979711,0.154638665669104
"PM-MT",0.321920036334989,1.00715402380971,2.763442829935,1.57716930274507,2.24975001157597,2.90554653027154,1.0146805722089,1.11336613313926,2.45832394128095,2.18057493005149,1.989657196622,0.318459001323118,1.01535077261221,0.648128031710804,1.38726295506277,0.485318694745734,1.36431252884162,0.73653919253478,1.38899144156734,1.04028744179103,1.02591396819558,1.74791243687165,0.00773157708718087,0.657952669728621,0.966331114214871,0.0237572018590196,1.2504420804182,0.62045385666991,1.0784178843148,0.572936694680987,0.691984644806581,1.37790817065996,1.2120696816379,0.906287571784702,0.199225214170616
"NLE-NON",0.614192812267174,0.145296915464091,1.36952112407276,0.652872935271739,0.235659245234568,1.0146805722089,4.0641313445116,1.77190932513841,1.70375267212836,0.578651277734715,0.247148293594912,0.972997599650958,0.433983130593155,0.87526258948051,1.79872639675204,1.09180853970496,1.64101503741695,1.11354801714292,0.0603019927111,0.366570729140489,1.24927126220629,0.77947360494473,-0.0988068155536332,0.745559476856996,0.871737864783024,0.0300349692863245,0.930170720049032,0.569433799033194,1.06483963849098,1.2353593527845,-2.00652324432918,2.04701109578453,1.68642542298247,0.296548619646501,-0.217870448463011
"NLE-ZS",0.833719466679645,0.439697471972006,1.66553093702466,1.74575831772009,0.811646684525219,1.11336613313926,1.77190932513841,4.07132589057818,2.26947219101923,2.64413930718694,1.25176653908309,1.30354010218765,0.712209606263657,0.185369011392693,1.37019615236035,0.616819412982985,1.73941314794957,0.746122873098535,-1.68665216826145,1.02691900850071,0.819121329487878,1.53107780273789,0.015405378050684,0.474968520712731,1.28618372120322,-0.239874575928412,1.06012879784482,0.798356357652081,1.49568942447166,1.76838011333741,-1.83426121176469,1.82366755585625,0.312511984181915,-0.41995643652618,0.0891504560628562
"NLE-ZI",0.928679318961175,1.26501907959823,3.35782673210107,1.64225255917877,2.768389713892,2.45832394128095,1.70375267212836,2.26947219101923,4.20661043928741,3.03955672411477,2.6477064316928,1.02926111295041,1.69977154633799,0.952428460845003,2.11487425411924,0.846978894475178,2.48212007450983,1.13083382905101,1.8617006610611,1.67680930845458,1.03411034804628,2.35551852374873,0.540582048712707,1.23968564625636,1.37325619430112,0.19553189004757,1.96076836667696,1.3404500190112,2.35807016188288,1.11768572281586,0.51999912417411,2.27234764503186,1.73170790422271,1.03643624581603,0.223937654148991
"NON-BR",0.5396257870137,1.12164822798087,3.03530002063792,2.21146306655843,2.55663857762007,2.18057493005149,0.578651277734715,2.64413930718694,3.03955672411477,15.6539980921522,2.6176277819602,4.99596955132653,0.749995150924126,-0.432687452737293,0.081803001574428,-1.44070037532767,1.27722935634033,0.271971300907049,0.527069631561159,0.877135695229648,2.67532750706577,4.46642896542908,0.998931075974401,1.37944845465241,1.29722500862705,-0.428871192737695,1.97027276317471,-0.0784856251048186,1.57540613586784,3.5360506597686,-9.66740863919148,2.5365696411924,-3.16066949765905,-4.18745195272947,0.10932172553556
"NON-PNS",0.577210845710988,1.13312139846969,3.72516418925163,1.25319427867007,1.96175378400792,1.989657196622,0.247148293594912,1.25176653908309,2.6477064316928,2.6176277819602,3.76383207106242,0.172397436342953,1.19677089730031,0.263495921349469,1.5331284257911,0.105934964966612,1.57623885901673,0.645110241971113,1.34744258535428,1.30524786580982,1.27609250173275,2.63548863712256,1.4297861113934,-0.0200190697519197,1.56567018836323,-0.0600248405726805,1.82909092927705,1.10084369976916,1.84612523036354,0.497246663448662,1.34988512311784,1.41461778041784,0.942999732017512,0.982090739909179,0.353284273518658
"BR-PT",0.151545847714015,0.213528985496673,0.493552724938945,0.417144497061746,0.534271308495404,0.318459001323118,0.972997599650958,1.30354010218765,1.02926111295041,4.99596955132653,0.172397436342953,3.55540024433468,0.840284413008245,-0.365977678907301,-0.0932024164580171,-0.514188659039127,-0.0755255390335209,-0.180808379814136,-0.312102418806582,0.294186401043375,0.629825682681608,1.013449923118,0.257249988234656,0.336689071723176,0.212200257414267,-0.387305990764598,0.378620341855141,-0.0827341614928605,0.357986211470446,1.73359615041979,-3.53713485741472,1.25077526388056,-0.8069889180754,-1.69686634722588,-0.0410897074214671
"BR-APET",0.513844682384876,0.527099318689033,1.30669444666259,0.470611716194042,0.863601114788193,1.01535077261221,0.433983130593155,0.712209606263657,1.69977154633799,0.749995150924126,1.19677089730031,0.840284413008245,2.43079077321396,1.64221214042621,1.46750981636396,1.12275759607404,1.38422930085075,0.977610348212513,0.989743172101873,0.883451839761168,0.575455028363563,1.23407810818913,0.167720013593644,1.00649797173091,-0.0409280496232388,0.21812108834278,0.846798696494235,1.06032462001428,1.32356262708738,-0.00538043891435905,2.41172332580177,1.13392598426683,1.41144412908736,1.12722766658339,0.177919289296791
"PT-APET",0.392768252859367,0.0602136185873852,0.441351175127589,0.315415100348148,0.233309891309445,0.648128031710804,0.87526258948051,0.185369011392693,0.952428460845003,-0.432687452737293,0.263495921349469,-0.365977678907301,1.64221214042621,3.74936693000676,2.91112564739835,3.07194750464088,1.67319249790596,2.1547898270365,0.978884480204691,0.222592586051204,0.102078732109153,-0.533357841959617,-0.329568906730716,1.32970597658879,-0.826569693423024,0.543869917311461,0.561294596648986,0.642444644182416,0.60975849836995,-1.17474588044893,1.73552178754346,0.489162244800303,3.21869313414699,1.23172856341505,-0.154852664514319
"PT-BA",0.877201903609058,0.549038266215328,2.31274972292197,0.894868457138448,0.907761355908706,1.38726295506277,1.79872639675204,1.37019615236035,2.11487425411924,0.081803001574428,1.5331284257911,-0.0932024164580171,1.46750981636396,2.91112564739835,4.50026602002124,3.24574357120193,2.61088388405264,2.26396674777441,0.891539079007854,0.882029287743325,0.783686123809753,0.440780606822269,0.293405420685071,0.968679434247594,1.49117231485757,0.353580997765911,2.04982440016794,1.36142442623329,1.80642132473553,0.257063679077988,1.32646852511877,1.98301138216903,4.10815216990041,1.55969845215658,-0.0996161897033742
"PT-EAM",0.351675031817439,-0.280599224877831,0.33332004897109,0.254224565492627,0.167410665302106,0.485318694745734,1.09180853970496,0.616819412982985,0.846978894475178,-1.44070037532767,0.105934964966612,-0.514188659039127,1.12275759607404,3.07194750464088,3.24574357120193,4.13440669043771,2.03618836801522,2.29463538311942,0.35926397957983,0.192544305185818,-0.252634168846015,-1.47679984513198,-0.29834581234349,0.56340771274182,-0.204842741280768,0.445004355002747,-0.0104966612557001,1.29594062405381,0.958154942958048,-0.292965318923711,1.20124189833807,1.09277799113901,3.9788273213687,1.16079163332173,-0.176521485999303
