"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.54349737143488,2.12938511514269,2.67680389156905,0.966359180858712,0.913594211123082,0.304736778803732,-0.771161221278455,1.65873946993293,1.62208232568058,0.928283289061953,2.17176500311819,0.26590662066906,0.340118200569544,0.791291149922808,1.45478647655468,0.122745581308622,0.834580771463232,0.312974075664703,0.0789603414632424,1.09346411648133,1.53813592763531,2.1097309208232,1.21424789503782,1.74372661252737,0.560033260267669,-0.522700206940516,1.62122972291524,0.863202813135619,0.643148505507983,0.823644156549764,1.70116773363295,0.223139469427286,1.34292080836668,0.859305383043713,0.574378521322739
"IS-NLE",2.12938511514269,5.61235178063155,5.26778042678424,2.7011155348051,2.25839469995473,1.85853306068268,-2.09399944553156,3.27491126480792,2.83530219892381,2.05092337665721,4.22372404735653,0.619918799336738,0.676025508139281,1.44039742339725,2.54638127447848,0.500238033103119,1.73092812949655,0.524468992509439,-0.149907311854788,2.31580933366716,3.53475368404224,4.42744973516639,1.98025351780623,3.2290796546269,0.905021611331561,-0.490065191442251,2.64300022982817,1.52869655168183,1.39806404382882,1.31152893798014,1.86510163586062,0.751870850758742,2.61624258221363,1.42721182920931,0.92752261690988
"IS-PNS",2.67680389156905,5.26778042678424,7.33231264209245,2.68275666150075,2.84818774957448,1.7204550469592,-2.1894688467459,3.73874210648613,3.84965823641267,1.48195602138738,5.42708017972758,0.707157200883307,0.848814244290563,1.65898155866278,3.18503828945207,-0.146083959542833,1.61621549713435,0.443035100883263,0.431737343202695,2.7688568550864,3.61161223552299,4.89844905300927,3.03383985340853,2.82276869641211,1.39621771448903,-0.660970930920239,3.80722418580836,1.41883069689203,1.3414094490959,1.92465867176781,4.13085273395842,0.752422461404572,2.66956464294974,1.99715760912158,1.31114060022011
"PM-ZS",0.966359180858712,2.7011155348051,2.68275666150075,2.20226346172156,1.88167111875514,1.26280652210516,-0.623396570924803,2.39845126234176,1.95085037926206,1.93881064502449,2.54018086973979,0.915887488391599,0.80349638632061,0.898603270815969,1.3956965346347,0.245996189845015,1.01826754772019,0.0417313374760696,-0.500995382477164,1.32228770181333,1.43018833572409,2.05502864114703,1.1440536054583,1.8575505613809,0.357102545504444,-0.151584844297859,1.59928198637322,0.935766624531306,1.06791708295329,1.10038947396588,0.668359910606248,0.133696948424003,1.13016650093411,0.634188295863913,0.669855028906304
"PM-ZI",0.913594211123082,2.25839469995473,2.84818774957448,1.88167111875514,3.16110490039216,1.42890117791355,-0.31518274605892,2.24447217252955,3.31363134135032,1.95089657031475,2.89422331367062,0.583579795437486,0.207885798223021,0.566091573062985,1.53078728042893,-0.184969072020339,0.652637088616216,-0.300064633079986,1.02893391164772,1.4360314843239,0.0865751348002154,1.06235306698142,1.12025724512836,1.42944635389673,1.11364945968774,0.262251029337689,1.93235298342256,1.00785965372792,0.895962667476497,1.01856401986008,0.853411832512617,0.0941827201965589,0.840978351688516,0.867360251529063,0.509452816931044
"PM-MT",0.304736778803732,1.85853306068268,1.7204550469592,1.26280652210516,1.42890117791355,1.93071450284869,-0.56445342321779,1.25112014570769,1.32267579465051,2.21484419112055,1.47661806734493,0.948497668989429,0.25459902627339,0.293694817848994,0.681726181844377,-0.0944837563825429,0.13010795386349,-0.0120823405494115,0.122836452620773,0.762043663766966,0.731977287240074,0.992087593064129,0.138321496209771,0.967801513828868,0.426782236681874,0.305230455563168,0.83444879632117,0.305930915266621,0.0831173588099811,0.63228859379878,-0.161415301978672,0.00895851479340782,0.503959108344944,0.26456707383685,0.129223458634688
"NLE-NON",-0.771161221278455,-2.09399944553156,-2.1894688467459,-0.623396570924803,-0.31518274605892,-0.56445342321779,4.735988325942,-0.280617403642834,0.624307006685524,-0.237245112765078,-1.08943219718663,0.508167570575593,-0.767227909576255,-1.30866344550773,-1.22829772564991,-0.309985596818379,0.172284540135197,-1.27082953544703,0.0446999308057707,-0.877969042650446,-2.18552901734284,-2.35827011718252,-0.93235008287941,-1.32051537837302,0.264397610468292,1.04718600228881,-0.208796491782766,-0.0273899256030562,0.870004978372137,0.305517403943102,-2.40286931251842,-0.218166208365225,-1.45025419112079,-0.707388554313062,-0.0627727964669568
"NLE-ZS",1.65873946993293,3.27491126480792,3.73874210648613,2.39845126234176,2.24447217252955,1.25112014570769,-0.280617403642834,4.17906865215298,3.18144079395995,1.55688032485168,3.79556871708816,1.14042553537503,0.841022807608902,0.953660011796426,1.78751395090482,-0.148749149267958,1.07580945815959,-0.112603928926079,-1.07463241205153,1.53574285575867,1.5696665023032,2.8879656044284,1.70737190815911,2.74732389617717,0.738363206625165,-0.349564976670993,2.38348317708909,1.32768136693799,1.24095667759683,2.04875733977124,2.34868230637322,-0.138742091739499,1.45036462120839,0.952401316853476,1.42842227423854
"NLE-ZI",1.62208232568058,2.83530219892381,3.84965823641267,1.95085037926206,3.31363134135032,1.32267579465051,0.624307006685524,3.18144079395995,5.03596190544512,2.01096468228258,4.07586787369038,0.378396211430107,-0.38971307309774,0.472983818787266,1.89205330159442,-0.60520497308951,0.979252038595986,-0.619385446110278,1.51339845248222,1.71838603876036,0.571394398998377,2.2075285590804,1.69694625525468,2.07252857741476,1.77225406809936,0.191031312129485,2.84906761090026,1.68837366050446,1.48048745841136,1.36028574815816,2.13245460955199,-0.123132723232552,0.876477908064434,1.12219054358154,0.912299746691104
"NON-BR",0.928283289061953,2.05092337665721,1.48195602138738,1.93881064502449,1.95089657031475,2.21484419112055,-0.237245112765078,1.55688032485168,2.01096468228258,13.3026235792636,3.12309245716152,3.74965501649407,0.542982647483943,0.176749129161215,2.2521260465456,1.18170606291009,1.43903384199176,-0.979256311233854,-0.356122045809328,1.6102423219919,1.99394633423913,1.44710792013711,0.314049765271934,1.08787005959444,2.57444692508721,0.20272813568519,1.81921392304015,1.5614445820059,1.75199175524319,0.334008692836094,-5.84821434048212,1.04693717576673,1.27618854055634,0.551889385278718,-0.980046228008496
"NON-PNS",2.17176500311819,4.22372404735653,5.42708017972758,2.54018086973979,2.89422331367062,1.47661806734493,-1.08943219718663,3.79556871708816,4.07586787369038,3.12309245716152,5.88653311466491,0.862511990528626,0.509009629268249,1.19873185282216,2.74595070503205,0.17768103924681,1.65940405329835,-0.0619380866210143,0.0911246255013638,2.16571559189366,2.56711889016288,3.7230365526488,2.54118870071223,2.71100353496116,1.49687712263932,-0.706914985393111,3.26595692715411,1.87742810100328,1.7198221159373,1.59331845235214,3.12699450922225,0.430503827781472,2.03882089957606,1.89632622601514,1.20184637185881
"BR-PT",0.26590662066906,0.619918799336738,0.707157200883307,0.915887488391599,0.583579795437486,0.948497668989429,0.508167570575593,1.14042553537503,0.378396211430107,3.74965501649407,0.862511990528626,3.75749629897801,1.91738891324905,-0.0981212566563157,0.28540935060864,-0.317003409321076,-0.479746334868506,-0.452962881842044,-0.786943342451824,0.309775687020439,-0.287435878581725,-0.456560101560494,0.0665673191134951,0.0561278920140804,0.149063178611756,0.0160127376388169,0.578891640395893,0.103182902506577,-0.271623645112771,1.88616081530433,-1.43108566248022,0.668464063986322,0.503746987320625,-0.186516524641265,0.668630452800236
"BR-APET",0.340118200569544,0.676025508139281,0.848814244290563,0.80349638632061,0.207885798223021,0.25459902627339,-0.767227909576255,0.841022807608902,-0.38971307309774,0.542982647483943,0.509009629268249,1.91738891324905,2.49880591348319,0.878494270354035,0.679082040428462,0.213000770678384,-0.244587197976153,0.0296786155601979,-0.892337458423407,0.0507350735852964,0.320502045015624,-0.00619904007351561,0.399649605374632,1.11377241882526,-0.634262413336259,-0.776226975353287,0.595267343066894,-0.171136754110898,-0.319239524928038,1.44528939378358,0.678772478661669,0.71788249315083,0.931410600846447,-0.219408520264838,0.742935891536895
"PT-APET",0.791291149922808,1.44039742339725,1.65898155866278,0.898603270815969,0.566091573062985,0.293694817848994,-1.30866344550773,0.953660011796426,0.472983818787266,0.176749129161215,1.19873185282216,-0.0981212566563157,0.878494270354035,1.79496805703917,1.82516682839781,1.16116449740335,0.92739811714612,0.717214072717755,-0.161968948785982,0.612202022972991,1.24048211806011,1.44074606759549,1.01081593702653,2.03454471711616,-0.360687397936926,-0.774494281105153,1.05421748163562,0.710412953412981,0.614696295937058,0.261741179602771,1.48057392636799,0.213927357168708,1.77595570831817,0.389346603643046,0.552932492328631
