"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.74075946774812,5.57561519695556,8.22345511865476,3.59180264466382,3.75742961520563,3.37041557625873,2.85404674089637,3.8339781048315,4.92642819939793,4.87566508841223,5.45704394918589,0.0387386636717558,1.5566149123992,1.28071344887315,2.75347575457986,1.32693827967993,4.07106143626605,0.811273931177676,1.08527433151909,2.47284777916139,3.93998608129583,6.81044822755327,2.31912108624259,1.32382326026439,2.53914524106509,-0.148957676862604,2.92223939329484,2.40377419476939,3.9238634004754,0.489768924071288,0.736801690787209,2.24015773182779,1.06556496204245,2.58698884654964,-1.22567276025572
"IS-NLE",5.57561519695556,22.496549260565,27.4538110610913,16.4689979700333,18.7091053291885,15.4456127290886,7.70733831134783,10.9872098124106,14.8607809803658,15.42372497587,17.8419755452647,0.291941824476,5.2660806141048,5.34339682003318,13.3271407365017,5.83663511747833,13.3586278149467,2.36374916794109,2.75649082243946,8.3192731868792,9.68812879915836,16.7987009397603,6.7590393952029,3.68790670093947,11.236068037545,0.470430562558666,12.895649050439,5.70505735493476,11.267822876369,2.32417950478723,1.69181642758684,7.14472875792597,5.06553989602353,7.77194235276348,-2.41245223990635
"IS-PNS",8.22345511865476,27.4538110610913,58.6737852413081,26.9198577566231,27.9311813595292,30.6417989876955,20.0593149994114,21.5920826083281,25.7675110078903,25.6545743895011,35.7644797265365,0.77571585883515,7.89652999764481,7.57468375689408,19.467931326102,10.3522973862746,24.0126724271485,4.75200320943108,4.83246987299073,11.9926052002073,18.6256471250144,28.8406939371727,12.7196830056596,-3.99932128949962,17.1552477744516,0.571291293356574,19.4778505342818,11.7835581269773,19.0008297303306,4.74055843595344,-3.10890789149761,9.78110786190674,9.88830750884632,15.8674387917432,-2.94407914717422
"PM-ZS",3.59180264466382,16.4689979700333,26.9198577566231,19.1280493430165,20.5191263374009,16.8248088931853,11.1211842395733,13.8477634875764,15.8797463517591,14.7466564067927,16.8888415890556,2.32523795791028,4.69186839938957,5.02012335942248,13.1012423440104,5.38688846335531,11.4254211824174,0.984810665052473,1.21455328584821,7.92419166087547,5.07841243330465,11.5598819682567,6.53482548611723,1.63539975920556,10.6062056837158,1.26554865494615,11.8409315923362,5.45816749825091,9.51536054391572,3.94669784701441,-3.438609159749,5.32913767784131,5.49581983268765,6.70646433506885,-0.587948005931195
"PM-ZI",3.75742961520563,18.7091053291885,27.9311813595292,20.5191263374009,26.8014952756156,19.8899358943259,11.1043923648108,13.5615556573295,18.4050531504922,14.4599831914115,14.9345998465282,2.33900491757855,4.26548646856349,5.24341955318806,12.8374432175072,6.49198679517688,10.4272660248242,2.19587199088461,2.75256977817255,10.603028426676,3.09532192121432,10.021901849168,6.65520971277351,4.43583828091592,9.28751050360628,1.71141376386535,11.7310456134279,5.84809079023795,8.90454861849557,4.15635529768979,-1.1648400357261,5.00327088779987,7.64007596671827,6.99166115469961,0.58830078913768
"PM-MT",3.37041557625873,15.4456127290886,30.6417989876955,16.8248088931853,19.8899358943259,21.8317613997625,8.81593520433913,12.3732830606081,15.6926141850631,15.4890024156448,17.2764584505548,2.25310563781316,4.0472739700871,4.62529841012511,12.6726086081312,6.48159897262561,11.5211892008862,3.99431206814864,3.27403535788093,8.32351753128467,6.75487551733105,12.5648300647807,5.50921599722025,1.50042656726665,9.7523711356352,1.77381743015252,11.3756766714325,7.33508051895978,8.77691748968365,2.72064498191294,-1.48877198288635,4.7205748063306,6.96137681937451,8.11938026955025,-1.09665801409764
"NLE-NON",2.85404674089637,7.70733831134783,20.0593149994114,11.1211842395733,11.1043923648108,8.81593520433913,21.809698844481,8.62443592591231,10.6592608636282,6.33928523096007,15.5587789981265,0.0315193259638585,2.92214858070136,4.5882029141619,7.52330677847834,3.32467662016523,10.3997391792337,0.925273098244597,1.94212393719392,5.06547059746244,7.61411985059653,11.6445535908576,5.01592385548756,-1.38278124044464,6.28255249427131,0.483775035591769,8.5320002355599,2.2105598217701,7.59863772086967,2.85966910860159,-3.3548623384259,0.764578461593307,4.67355430513211,4.460001432681,1.22876316442991
"NLE-ZS",3.8339781048315,10.9872098124106,21.5920826083281,13.8477634875764,13.5615556573295,12.3732830606081,8.62443592591231,16.0613662463302,16.172077713329,12.2998150815433,13.8323172940775,2.06567973587253,4.00925185130425,3.32770716472443,10.2776322283307,3.55738194590342,9.42151158444401,1.13316078486043,0.38102549684027,5.7620656708629,4.55167874233315,11.5683995691854,5.9217969377215,1.79521829808823,9.88748833255356,0.0638640318396092,9.19587682766107,6.16896237704348,8.25209307909664,3.17293946201531,-3.44774839708975,4.84237896679436,3.81576307785096,4.87616971347377,-2.22438285530722
"NLE-ZI",4.92642819939793,14.8607809803658,25.7675110078903,15.8797463517591,18.4050531504922,15.6926141850631,10.6592608636282,16.172077713329,19.6768438965483,14.9743701145593,15.8834085245374,1.68318350755104,4.40197699801342,4.25074987800787,11.0224325098566,4.50424647876234,11.3241288230051,2.19292400962182,3.18123919656304,8.08686377368404,5.27594214054635,14.5796719425919,6.65697460185127,3.84229613991572,9.90294580324221,0.669865233648177,10.4871709304422,7.35064208929511,9.89582700439167,3.70451777685544,-2.00738596570607,5.6758322577583,5.3671192990624,5.730747922992,-1.70694750800704
"NON-BR",4.87566508841223,15.42372497587,25.6545743895011,14.7466564067927,14.4599831914115,15.4890024156448,6.33928523096007,12.2998150815433,14.9743701145593,26.1006306956075,16.7663941597895,5.37773084877581,7.06750341385789,4.92005920621851,11.5798780575079,3.67304083001138,10.2403231388303,0.874292702692472,3.04623453794191,5.05041963359743,8.99317464217008,15.9529934297018,5.41359136353899,4.09783309797725,8.56397963265002,2.17080351040644,11.4490156068417,4.80034863359258,8.69096081608149,4.11078067749554,-1.86993958764678,7.20139845308054,2.98161807991211,7.2229060759809,-1.57977987081126
"NON-PNS",5.45704394918589,17.8419755452647,35.7644797265365,16.8888415890556,14.9345998465282,17.2764584505548,15.5587789981265,13.8323172940775,15.8834085245374,16.7663941597895,27.6056300205169,0.505414993604918,6.00109211927474,6.45937438786035,14.4805519891198,7.05025544434753,17.6553992629195,2.9371290010563,2.61350829634037,7.03643031819881,14.0667957138156,21.2505305852779,8.15670042761364,-1.8469584951144,12.1207223780555,0.0536614401746111,14.0205339758631,6.76074826206821,13.4991081575093,4.16387169915545,-4.10481988703909,6.30259967153337,6.27064341420398,9.17253381446131,-0.538199888983606
"BR-PT",0.0387386636717558,0.291941824476,0.77571585883515,2.32523795791028,2.33900491757855,2.25310563781316,0.0315193259638585,2.06567973587253,1.68318350755104,5.37773084877581,0.505414993604918,8.73756641367131,3.25904110360548,-2.60629590551417,0.599532002367384,-2.11695701522261,-2.93480113967481,-3.17394248839566,-0.586664562954388,2.26838366853299,-1.02434313822266,-1.4625531062684,-0.13944136498847,0.795915239500994,1.18501410414608,1.12576972690924,0.705652237484508,1.43398670270288,0.376863632331002,2.49666458714972,-0.775246721980646,-0.505003548613252,0.524499290183204,-1.87866799108749,0.721081866768406
"BR-APET",1.5566149123992,5.2660806141048,7.89652999764481,4.69186839938957,4.26548646856349,4.0472739700871,2.92214858070136,4.00925185130425,4.40197699801342,7.06750341385789,6.00109211927474,3.25904110360548,6.1997668830161,2.52570361735057,3.93370873264328,1.77883620549502,4.32305540023445,0.562557747945552,0.372810761965026,2.30547564572556,2.71216145323431,6.37008239977431,2.36601189833505,0.698027875969318,3.36418833802796,0.388454155136311,4.08714416215646,2.39594874214387,3.55465522130025,1.65967940028046,-0.00375475384169783,1.16280704853794,1.10740112788186,2.21070096499703,-0.122187470277974
"PT-APET",1.28071344887315,5.34339682003318,7.57468375689408,5.02012335942248,5.24341955318806,4.62529841012511,4.5882029141619,3.32770716472443,4.25074987800787,4.92005920621851,6.45937438786035,-2.60629590551417,2.52570361735057,7.95235274566601,7.64953035442911,3.80740111121543,5.7020820306779,2.90044662645627,1.06416306069926,1.19403338074627,2.87874343580987,6.47927412183837,2.64323345971338,1.91759907823916,3.27734019876761,0.419960159130839,4.91066387835462,1.64145475588204,2.80022218586396,0.311578767051207,-0.954719372459516,0.763548103467871,1.36685411512662,2.55510408892098,0.167922206560821
"PT-BA",2.75347575457986,13.3271407365017,19.467931326102,13.1012423440104,12.8374432175072,12.6726086081312,7.52330677847834,10.2776322283307,11.0224325098566,11.5798780575079,14.4805519891198,0.599532002367384,3.93370873264328,7.64953035442911,17.4012951261282,4.92185438463288,10.4830662126512,2.09758450342387,0.854382774734758,5.18804613115265,5.50902764964135,11.6791767699363,5.05786655133883,3.79360296709815,13.572714470333,0.653712924747145,12.5939179081303,7.12699260279663,8.54385547187373,2.15508950347576,-1.52610172568031,3.79267557090126,3.49054155724632,3.43356631395385,-2.04997199087071
"PT-EAM",1.32693827967993,5.83663511747833,10.3522973862746,5.38688846335531,6.49198679517688,6.48159897262561,3.32467662016523,3.55738194590342,4.50424647876234,3.67304083001138,7.05025544434753,-2.11695701522261,1.77883620549502,3.80740111121543,4.92185438463288,6.22446178125279,7.22687684820951,3.61688310905987,0.632015964520331,2.31903022798922,2.94904708794518,4.3604382669406,2.55944111677504,1.85470966057077,2.07985255214117,0.0381150170421316,3.91040297687216,2.86717099546981,3.87593566170289,0.915278522883765,0.934652145701177,1.37741401472583,4.24266288790333,3.79875364132711,0.210133351085339
"PT-ZYGI",4.07106143626605,13.3586278149467,24.0126724271485,11.4254211824174,10.4272660248242,11.5211892008862,10.3997391792337,9.42151158444401,11.3241288230051,10.2403231388303,17.6553992629195,-2.93480113967481,4.32305540023445,5.7020820306779,10.4830662126512,7.22687684820951,16.2195525607158,3.42558566309632,2.36760817998343,5.25492166551796,9.85749549156193,15.9337432206723,6.09421613935491,1.1326551962859,8.64538686776894,-0.142252609744119,10.249122839746,6.00983177712143,11.4535964917487,2.22003704306548,-0.936041501737466,3.7732400247618,5.83785900016623,7.64078412913864,-0.500570387718732
"PT-TSP",0.811273931177676,2.36374916794109,4.75200320943108,0.984810665052473,2.19587199088461,3.99431206814864,0.925273098244597,1.13316078486043,2.19292400962182,0.874292702692472,2.9371290010563,-3.17394248839566,0.562557747945552,2.90044662645627,2.09758450342387,3.61688310905987,3.42558566309632,7.65878214143967,1.25732386836418,0.703834674333127,2.8561415238128,4.84010973808682,0.679471597652579,1.79790507003724,0.0275416453861439,-0.0141633433838117,1.42482961961838,1.089953886465,-0.512907362164165,-0.356723101733683,2.88916898214659,0.839952355892911,1.33513940525686,2.12413914340107,-1.04297077802914
"ZS-ZI",1.08527433151909,2.75649082243946,4.83246987299073,1.21455328584821,2.75256977817255,3.27403535788093,1.94212393719392,0.38102549684027,3.18123919656304,3.04623453794191,2.61350829634037,-0.586664562954388,0.372810761965026,1.06416306069926,0.854382774734758,0.632015964520331,2.36760817998343,1.25732386836418,3.17042227664446,1.32590081275929,1.4683623334519,4.30140195257088,0.867682858134294,1.04149291441632,0.331216250912576,0.767479734564728,1.45217019646394,1.94399805866822,2.05380151096732,0.173052278824443,0.958433538446697,0.880505018693801,0.858115476398985,0.967113412469449,-0.0974176585454864
"ZI-MT",2.47284777916139,8.3192731868792,11.9926052002073,7.92419166087547,10.603028426676,8.32351753128467,5.06547059746244,5.7620656708629,8.08686377368404,5.05041963359743,7.03643031819881,2.26838366853299,2.30547564572556,1.19403338074627,5.18804613115265,2.31903022798922,5.25492166551796,0.703834674333127,1.32590081275929,7.75335104653289,2.80239041247196,6.62738173120348,2.96687860452155,2.26458729856341,4.40022146537685,0.243957027389061,4.68922942519161,4.40174541810232,5.87579821079759,1.69812541599031,0.540771092968762,0.828743616080618,4.23314136858326,2.95789863864276,-0.00481067169101927
"ZI-ZYGI",3.93998608129583,9.68812879915836,18.6256471250144,5.07841243330465,3.09532192121432,6.75487551733105,7.61411985059653,4.55167874233315,5.27594214054635,8.99317464217008,14.0667957138156,-1.02434313822266,2.71216145323431,2.87874343580987,5.50902764964135,2.94904708794518,9.85749549156193,2.8561415238128,1.4683623334519,2.80239041247196,16.9251837007027,15.8469239055048,3.44710667587266,0.774684155260951,4.82092383684684,0.278108327126449,6.57200803383231,-0.405372550682686,6.28496530246179,0.296144365019663,0.762060122441848,3.23900200556982,1.96878020095408,6.75270189026966,-2.77998902749658
"ZI-TSP",6.81044822755327,16.7987009397603,28.8406939371727,11.5598819682567,10.021901849168,12.5648300647807,11.6445535908576,11.5683995691854,14.5796719425919,15.9529934297018,21.2505305852779,-1.4625531062684,6.37008239977431,6.47927412183837,11.6791767699363,4.3604382669406,15.9337432206723,4.84010973808682,4.30140195257088,6.62738173120348,15.8469239055048,26.7501776260941,7.04909313940535,2.37802248543768,10.6961079912254,0.310639371857116,11.9067461351829,7.07300127879419,12.9533395514126,1.73247051225015,-0.298830134747726,6.18029238983567,2.37659060264358,8.71551231211532,-3.56359982776024
"MT-PNS",2.31912108624259,6.7590393952029,12.7196830056596,6.53482548611723,6.65520971277351,5.50921599722025,5.01592385548756,5.9217969377215,6.65697460185127,5.41359136353899,8.15670042761364,-0.13944136498847,2.36601189833505,2.64323345971338,5.05786655133883,2.55944111677504,6.09421613935491,0.679471597652579,0.867682858134294,2.96687860452155,3.44710667587266,7.04909313940535,4.52090496340515,-0.738213961833283,4.25822129673445,-0.1595074926563,4.94021946097475,3.51165121467852,5.30180049768894,1.51466883075377,-0.989573608832691,2.33418547701796,2.27493521390563,3.48345465642702,-0.723444124406387
"PNS-APET",1.32382326026439,3.68790670093947,-3.99932128949962,1.63539975920556,4.43583828091592,1.50042656726665,-1.38278124044464,1.79521829808823,3.84229613991572,4.09783309797725,-1.8469584951144,0.795915239500994,0.698027875969318,1.91759907823916,3.79360296709815,1.85470966057077,1.1326551962859,1.79790507003724,1.04149291441632,2.26458729856341,0.774684155260951,2.37802248543768,-0.738213961833283,12.6000017783078,0.880251929032381,1.17674258421107,2.16047208947377,1.05310154324279,0.8078040192024,0.446069925705984,2.76586411529233,1.62745873950727,1.28900470832926,-0.425487244432628,-0.899678452184166
"APET-BA",2.53914524106509,11.236068037545,17.1552477744516,10.6062056837158,9.28751050360628,9.7523711356352,6.28255249427131,9.88748833255356,9.90294580324221,8.56397963265002,12.1207223780555,1.18501410414608,3.36418833802796,3.27734019876761,13.572714470333,2.07985255214117,8.64538686776894,0.0275416453861439,0.331216250912576,4.40022146537685,4.82092383684684,10.6961079912254,4.25822129673445,0.880251929032381,14.3420904946147,0.23798731015917,10.880678997679,7.03716981932213,8.29280610589199,1.84099796341244,-1.78588257847515,4.27477910974262,1.47136365301221,2.06413034876545,-3.79206005010771
"APET-TS",-0.148957676862604,0.470430562558666,0.571291293356574,1.26554865494615,1.71141376386535,1.77381743015252,0.483775035591769,0.0638640318396092,0.669865233648177,2.17080351040644,0.0536614401746111,1.12576972690924,0.388454155136311,0.419960159130839,0.653712924747145,0.0381150170421316,-0.142252609744119,-0.0141633433838117,0.767479734564728,0.243957027389061,0.278108327126449,0.310639371857116,-0.1595074926563,1.17674258421107,0.23798731015917,2.7294524721166,0.664791693316662,0.520501064113658,-0.297828045606417,-0.080943744945975,-0.209457053855796,0.828323670101279,0.305079717424126,-0.275796570909202,-0.874938966269387
"BA-EAM",2.92223939329484,12.895649050439,19.4778505342818,11.8409315923362,11.7310456134279,11.3756766714325,8.5320002355599,9.19587682766107,10.4871709304422,11.4490156068417,14.0205339758631,0.705652237484508,4.08714416215646,4.91066387835462,12.5939179081303,3.91040297687216,10.249122839746,1.42482961961838,1.45217019646394,4.68922942519161,6.57200803383231,11.9067461351829,4.94021946097475,2.16047208947377,10.880678997679,0.664791693316662,11.9621671542004,4.66561063291862,8.24535567163969,2.48265440133839,-1.7364157644255,4.83180105131982,3.24423922039307,4.91793349284228,-1.54951826969233
"EAM-ZYGI",2.40377419476939,5.70505735493476,11.7835581269773,5.45816749825091,5.84809079023795,7.33508051895978,2.2105598217701,6.16896237704348,7.35064208929511,4.80034863359258,6.76074826206821,1.43398670270288,2.39594874214387,1.64145475588204,7.12699260279663,2.86717099546981,6.00983177712143,1.089953886465,1.94399805866822,4.40174541810232,-0.405372550682686,7.07300127879419,3.51165121467852,1.05310154324279,7.03716981932213,0.520501064113658,4.66561063291862,11.3507917547098,7.51767521155392,1.0442253451224,0.838431452309726,2.50031713688867,2.89304924484657,0.766486546832399,-2.58382745920793
