"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",14.8494358148849,16.6810817325633,35.534478532941,6.5825737894566,5.90832268675572,17.8044091229568,6.07609932741805,11.4682258350872,12.9365593272968,26.895329995198,24.5039572690568,3.23295343566651,12.2878573875393,11.4754165966142,21.9926811443057,17.8459413645702,27.2166546278659,9.36265912404709,6.25843547801764,14.0867694669295,23.5906228641867,22.9520129950342,3.13225443568352,7.43044325883366,11.6935524313501,1.06252902417359,17.5896133147343,9.52617119297605,21.8479944674742,23.9672336208853,8.88625698167842,9.66251761995074,14.5342818402218,-6.27238758583719,6.40928359255688
"IS-NLE",16.6810817325633,42.319966626609,65.1475756413223,26.4159675709323,18.4442169694658,42.0434532338207,17.0876955929569,24.0620004451691,23.7776972877422,49.9462198047639,45.6734918530898,6.1601908722906,22.3921646849168,18.7571832084576,39.1662005040609,29.7642635876386,50.2193630007298,13.8668696392509,13.0919991189742,27.4408714619883,51.1480850714077,47.7770345376497,6.18540349353232,14.2814915661852,21.5430288146074,1.74520412296676,32.521904830706,19.2397648712933,40.5386459554393,40.0430297293513,18.2172618183541,17.1311064392589,21.8731499775388,-9.28749372157432,11.9651364865212
"IS-PNS",35.534478532941,65.1475756413223,159.744192016136,45.9443703984857,37.6581470675761,93.7481193250023,23.1356317274081,42.5677758560103,44.0064015273122,121.292749401617,112.361032936064,16.8340935741384,38.0619873563824,33.7555104770313,71.5309505429134,51.907970332323,93.4092786913007,22.284298193093,24.2909737946326,57.1773164428771,102.0193841468,93.1431443019713,23.0305246310339,16.454028149673,38.3449648363554,4.91411148945885,64.7329486028452,40.1721674631018,75.3880499574629,73.5102560228648,26.2749869868776,31.9615652668999,45.4119293835765,-19.6342459449654,16.4815255709628
"PM-ZS",6.5825737894566,26.4159675709323,45.9443703984857,28.979861267835,19.9151442112916,33.3313080246153,14.5291804380245,17.0966713049422,16.5489872460033,36.3803267456105,31.7692146239567,2.48797850065985,10.706090532663,7.83832632456736,21.7929953260022,14.2053708211629,31.8529761419251,5.47335850528946,10.8687716881665,14.3049623561631,34.2895270703271,31.8253907975362,7.73038965062478,9.2207624931855,14.6400333592792,0.350618949174901,22.5104991113921,12.0195614575907,26.0811909998795,23.0742048484196,13.1218136526737,11.3849724329242,7.9077202714341,-4.67890743273692,5.30910736448715
"PM-ZI",5.90832268675572,18.4442169694658,37.6581470675761,19.9151442112916,22.3862845665369,30.9794165265361,7.02157613423902,12.4750205009092,16.7168250777675,28.8420929422278,23.022097071219,1.92711607567478,9.14772291298428,8.34922324697746,19.195901469815,11.3399267695736,23.1310996506765,5.42767547035111,10.2917771091764,11.0090433976629,20.3760223215163,20.0255488367177,3.08306328631477,12.0581506320525,11.4091940420074,0.251906224744245,17.6315462385712,11.4145518144508,19.4523923258152,12.8254780239089,12.9574461549797,8.09133426510589,8.1335145839684,1.52273590108557,3.06063670690177
"PM-MT",17.8044091229568,42.0434532338207,93.7481193250023,33.3313080246153,30.9794165265361,73.5171263901083,14.6082075943592,25.6441590736435,27.8885311968072,76.6560570124434,61.1487348297974,10.1167881599972,24.7902950676674,23.8077492408447,49.2374828754541,31.2471883146971,57.3411153943099,11.6528164444511,17.6805576586501,41.2871616002726,64.7286285996486,57.3609388107589,2.36841993194998,23.3637459737837,26.1385820947217,2.29423227010018,43.014249279377,25.2011343365684,47.2553622968867,41.0361872229918,17.7698618285197,17.7790454243811,29.312305099188,-11.7673183919254,12.9726622528792
"NLE-NON",6.07609932741805,17.0876955929569,23.1356317274081,14.5291804380245,7.02157613423902,14.6082075943592,32.8872396725384,10.7315743153361,9.58758479829769,6.97180905668938,11.598000757784,6.03014008429016,7.88167026766988,0.452252536971564,5.75072222440395,3.47851580480883,20.0154480986342,-2.12539571125717,5.22315383529462,9.73229512000513,23.1196439538195,19.0035154286647,3.40862310471033,4.55501551029581,5.3857838835361,1.67988288248995,10.7415923835126,6.71908428010333,18.3137714209316,16.9468870390343,12.0138558267986,7.01648345301456,-2.12942654122157,-14.225025366799,5.68263551957523
"NLE-ZS",11.4682258350872,24.0620004451691,42.5677758560103,17.0966713049422,12.4750205009092,25.6441590736435,10.7315743153361,20.9200937483324,18.6825053280305,30.9074712872115,32.5346544256637,1.44774279952664,16.1511016291829,15.4158961926743,27.4612491683637,22.8495393702741,33.728247711061,11.7455756888349,7.38817968242762,16.8064533005607,30.9849103075268,32.5204969952325,5.93385546086738,9.75320039693723,13.2082595697893,1.17950400222988,21.7804318964629,13.1821082951545,26.9572197967999,25.8172751097346,14.4544807060596,14.4371261884718,15.9866843151223,-3.90642367968418,5.53050025864758
"NLE-ZI",12.9365593272968,23.7776972877422,44.0064015273122,16.5489872460033,16.7168250777675,27.8885311968072,9.58758479829769,18.6825053280305,23.6312499075608,29.0712352287957,34.5355194704928,1.88150505880324,17.4864902146184,15.8476627681171,29.4411619448296,24.0699137903847,35.8441172505684,13.5291179620518,12.1222466547341,16.7970035445441,25.9398706425413,28.6358308517206,5.58736320383548,10.9815961564662,14.9319955351753,0.641570191071996,22.8202577894413,14.6789278432732,28.5960630200191,25.0485556724121,19.5824235918159,12.5145300999428,17.4475194900385,-2.80568431757251,5.86597757995218
"NON-BR",26.895329995198,49.9462198047639,121.292749401617,36.3803267456105,28.8420929422278,76.6560570124434,6.97180905668938,30.9074712872115,29.0712352287957,192.618986484065,84.918594261288,25.3105443353579,14.1966908507944,14.534821717053,55.4927019445609,42.7974010132283,84.3439501638844,9.13643689127875,17.0751905894917,43.8994384009652,98.4058658718329,86.6067435452998,11.4054601344917,31.0365077572496,38.2773057774969,-2.09303002093739,60.7104938123219,32.3578642021909,74.3584675092052,73.1089687192798,-29.9650694362789,20.1360635538237,39.4209959874765,-20.9174130422748,21.6246299271497
"NON-PNS",24.5039572690568,45.6734918530898,112.361032936064,31.7692146239567,23.022097071219,61.1487348297974,11.598000757784,32.5346544256637,34.5355194704928,84.918594261288,92.6741929458055,11.1861534886286,30.9154292996106,25.198954091064,52.0621807754626,40.7050530299637,70.0180682986912,17.3466623004002,18.5552301961411,40.3238343946219,70.4312244926079,65.9848821031573,21.3617909441985,5.33054959407362,28.1058434036558,2.71523309347946,46.3397167764887,29.8500402511393,55.5796454157875,55.0855995951293,24.1771382843083,24.708311192767,33.9829529693966,-11.4448697533926,10.4939348389126
"BR-PT",3.23295343566651,6.1601908722906,16.8340935741384,2.48797850065985,1.92711607567478,10.1167881599972,6.03014008429016,1.44774279952664,1.88150505880324,25.3105443353579,11.1861534886286,19.1275592275418,5.58294071735482,-9.45368816917009,-2.64485834189,-11.3356654455931,-0.24649492692082,-10.2232830335875,1.7008752626292,6.87313782464953,10.4847528996344,7.15787140426077,0.888313790401193,0.233557528008548,5.47798977028282,-0.149972534781976,6.65926405355782,3.95411348348327,5.11105047480167,12.2606991610889,-7.44727220880526,0.397444604759965,-3.55916879515052,-3.69702275958674,5.72550443920926
"BR-APET",12.2878573875393,22.3921646849168,38.0619873563824,10.706090532663,9.14772291298428,24.7902950676674,7.88167026766988,16.1511016291829,17.4864902146184,14.1966908507944,30.9154292996106,5.58294071735482,31.2005033664159,18.5693325198688,27.3197396395777,21.9304459579899,31.6734507749541,12.9113584523765,9.31523215739804,17.6359284434955,25.680427776647,31.0664423907828,2.24474189896982,11.3485956898538,12.5631863476777,2.43921862001628,21.1410575916088,13.2294129202484,24.8993092654839,22.4477466443037,28.1003397883497,13.2337157466337,17.9921286039305,-0.673908714368289,6.54392465217609
"PT-APET",11.4754165966142,18.7571832084576,33.7555104770313,7.83832632456736,8.34922324697746,23.8077492408447,0.452252536971564,15.4158961926743,15.8476627681171,14.534821717053,25.198954091064,-9.45368816917009,18.5693325198688,36.6485425476925,44.0031384297514,43.6188554998505,36.8827424677941,28.8718032381572,7.44260985300832,17.9917036087288,25.3198834130132,26.0705194603023,0.321840468116969,14.3352686533431,9.30285886466586,2.01032639629861,19.4195210550485,10.6923772719758,22.9067409975859,17.0926654918643,15.8635340643747,11.5022288796452,35.1903750416091,-0.48007248688824,5.23999307940871
"PT-BA",21.9926811443057,39.1662005040609,71.5309505429134,21.7929953260022,19.195901469815,49.2374828754541,5.75072222440395,27.4612491683637,29.4411619448296,55.4927019445609,52.0621807754626,-2.64485834189,27.3197396395777,44.0031384297514,73.2526360599733,61.6863623782054,65.6110186650731,36.8808040555536,15.0715622243445,33.3754386252592,56.0802233381426,51.8585806604879,1.89849409134417,23.4058749612138,30.1739679339961,0.628491498653293,44.0134955652751,19.3707110765835,44.962363115475,43.7778293835677,22.8430858845767,16.3913173465383,51.6640096648517,-7.96031248179492,18.1830948144457
"PT-EAM",17.8459413645702,29.7642635876386,51.907970332323,14.2053708211629,11.3399267695736,31.2471883146971,3.47851580480883,22.8495393702741,24.0699137903847,42.7974010132283,40.7050530299637,-11.3356654455931,21.9304459579899,43.6188554998505,61.6863623782054,67.5388443225006,63.661994380907,40.6964476653718,10.9389479710967,23.9508317087968,43.8732212921176,42.7469256851386,4.21229848424954,16.6308451543852,18.6544146169911,0.233624855848425,31.4171678260591,14.3060245429463,40.2432494853939,33.6029478652559,15.990412275644,13.657549363082,50.9241434936907,-8.20100709103694,11.14050220756
"PT-ZYGI",27.2166546278659,50.2193630007298,93.4092786913007,31.8529761419251,23.1310996506765,57.3411153943099,20.0154480986342,33.728247711061,35.8441172505684,84.3439501638844,70.0180682986912,-0.24649492692082,31.6734507749541,36.8827424677941,65.6110186650731,63.661994380907,96.1652936331761,30.3875145507391,20.4954534788471,38.873007744796,78.7627932922833,72.1216341967677,10.4180257632837,23.900096060673,29.9440384939862,1.44667050027284,54.082715854593,25.516794318248,73.7817364666057,62.5752241599801,26.3284119922776,25.74715956178,46.5561015801111,-19.2222712162728,18.2038329919126
"PT-TSP",9.36265912404709,13.8668696392509,22.284298193093,5.47335850528946,5.42767547035111,11.6528164444511,-2.12539571125717,11.7455756888349,13.5291179620518,9.13643689127875,17.3466623004002,-10.2232830335875,12.9113584523765,28.8718032381572,36.8808040555536,40.6964476653718,30.3875145507391,44.1633989185019,5.04971841695266,9.50311222243288,15.7409573495356,29.104101003402,2.44785112027684,7.15055738870665,9.48882676754362,-1.37935702172912,11.8017138424313,8.58961180238316,13.2225650419212,10.2845635014172,11.5803835009634,2.28701862534363,31.1226331899232,3.53180843628167,6.85481869204926
