"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.649063860866907,0.422223441666195,1.91739787514663,0.75247652831769,1.36364710344112,1.16702914841626,0.788192991570671,0.871025207790733,1.49082012880699,1.40858876160514,1.43611780867237,0.640029596579754,0.951235060460074,0.292421252684623,1.16166644386513,0.568944788577471,0.824436021503518,0.0967807384076687,0.68548974027168,0.67359064296635,1.29850409758096,1.46602540523818,0.472139206437323,1.31389352091786,0.834370693900794,0.275354383627118,0.861818204730212,0.601178195231781,0.790341723029079,0.752547428759171,0.965502182445844,0.881848872933023,0.618591016193062,0.209909833382922,0.129300660576246
"IS-NLE",0.422223441666195,2.00741896202424,1.70873906104706,0.945788521929125,0.695622719329104,1.28713401384226,-0.121279658730965,1.37526306762877,0.918227867029973,3.08890306588955,2.19173543971106,1.58257366554193,1.79695635066629,0.559916059183834,2.09463047788234,0.946431798950318,0.869420772737469,0.305554799764672,-0.32427556440641,0.207226569203199,1.68333142476548,2.03848902254751,0.320389102170294,1.52437922346783,1.67994335818736,0.580557095370491,1.68372638980299,1.16824863182248,0.830821824083046,1.77618533258661,0.870615689246265,0.770610187996559,1.17964569684236,0.200620558751656,0.273748809855166
"IS-PNS",1.91739787514663,1.70873906104706,7.69032812292415,3.71679226868293,6.6169954298003,5.06628117301674,4.06995334504481,3.91247316888796,6.74368769570127,3.59362433018609,6.27275415685549,1.60683762717633,2.84944503523394,0.777323722849787,3.57632981630512,1.51760270902643,2.80569366728681,0.396592870848923,3.02859973143317,3.17799800892225,3.75315083688249,4.92289515813858,2.31606498795675,3.72861986025776,2.99821526788464,1.08869274804059,3.12983529001466,2.16800031499745,2.76645691227356,2.62803563325524,3.27043736613672,4.15804200962236,2.53689328627543,1.3559284633871,0.410897520926323
"PM-ZS",0.75247652831769,0.945788521929125,3.71679226868293,2.75550293887256,4.83061352760114,3.08619137421424,2.45704462937131,2.5096752665045,4.54623472555098,1.33588785070759,3.18160855641001,0.303392908160248,1.16520194420368,0.27947175942715,1.53738293109533,0.760222351037424,1.3902900523069,0.258414749172459,2.08740979591752,2.46862308351765,1.26356263531761,1.84936034896815,1.24388800414079,2.3013852591516,1.24087393065527,0.491896992699913,1.32195145553149,1.18747603431064,1.33007575857888,1.10304033508031,1.08312225471593,2.96874780646433,1.92892533507854,1.11423118259209,0.0924202821796215
"PM-ZI",1.36364710344112,0.695622719329104,6.6169954298003,4.83061352760114,11.1744866956502,5.54954176013539,5.43731909994635,3.78076064155276,9.90795198647567,0.82800732586876,4.79520453564602,0.271835493332704,1.51113791967095,0.117189592322812,1.94163876018794,1.00189832848046,2.65900667857994,0.0817252759064631,6.01412356992774,6.05074426104037,0.475897996140659,2.10309882097809,2.57840530328244,4.16800796002178,1.69735945769218,0.826747827644672,1.48408626746169,2.66233981449838,2.67270206765297,1.06930116221633,2.28830672564137,6.75179116010197,4.0469013382545,2.80839590631534,-0.00685815268032128
"PM-MT",1.16702914841626,1.28713401384226,5.06628117301674,3.08619137421424,5.54954176013539,4.86138762234799,3.3231364537992,3.11771064228004,5.28212598985049,2.23550002278241,4.46521343122285,1.14529423337383,1.90766648792187,0.230037487741774,1.87403647007296,0.751678264885599,1.86947080963271,-0.0393106353064936,2.23763801576747,2.64759487672497,2.36333895413236,2.64207338368543,1.48139497483649,3.25680757066869,1.33123886158947,0.57258206828142,2.12012379197712,1.12798397116617,1.96413426118718,1.29110726777826,2.04116576653175,3.00279878596779,1.34775864383731,1.70615723027087,0.279345017806192
"NLE-NON",0.788192991570671,-0.121279658730965,4.06995334504481,2.45704462937131,5.43731909994635,3.3231364537992,5.96084124100455,2.48710766288031,5.07595845764344,-2.28584850377905,2.52171800295695,-0.126251922417014,0.295313737517756,-0.40337438979163,-0.0365788724936984,-0.240313965204334,0.704915512413819,-0.134571326056728,2.45116662392503,2.64335011078386,0.398150254177903,0.578489434194478,1.37056396850636,1.79247938846297,0.0866621802462616,0.0610795107084397,0.329564630787728,0.67178322166032,0.716458552459338,-0.395532241522707,2.81217607425336,2.62664697603841,1.6009434173719,0.986933437312556,-0.221294120422572
"NLE-ZS",0.871025207790733,1.37526306762877,3.91247316888796,2.5096752665045,3.78076064155276,3.11771064228004,2.48710766288031,4.16133510452628,4.27100356638765,2.32888550824561,3.69736499180157,1.17685921965724,1.57212188093744,0.0586541935672415,1.53703339838663,0.270208379785219,1.24515393331691,0.229072914041532,0.300766816556521,1.78654967170072,2.38131073747702,2.48378900968062,1.0597244498617,2.58993019254479,1.49566043478271,0.435798266328591,2.10363859608839,0.398955717499542,1.16832681894409,1.5771214678217,1.0262722394352,2.27456814096822,1.21470004612729,1.19188141296381,0.152557545964899
"NLE-ZI",1.49082012880699,0.918227867029973,6.74368769570127,4.54623472555098,9.90795198647567,5.28212598985049,5.07595845764344,4.27100356638765,9.54706295516975,2.1063130292863,5.12507485967916,0.795512380104158,1.78452806050792,0.286692312452423,2.46306099137056,1.04916759541236,2.58731105486381,0.248451261274073,5.22478866831532,5.21616886152373,1.45093095709124,2.6355023526669,2.3396986791081,4.13176212445131,2.18566399185152,0.889735864571777,2.0845675305188,2.14114685807036,2.49522745473281,1.7003559512238,2.35732382519622,6.197451298207,3.71983096285303,2.50062850495353,0.142440033776385
"NON-BR",1.40858876160514,3.08890306588955,3.59362433018609,1.33588785070759,0.82800732586876,2.23550002278241,-2.28584850377905,2.32888550824561,2.1063130292863,10.8828769097931,4.92739458661374,3.82369399752208,4.21715059406177,1.88416829911035,5.71057927906153,2.76223743504024,2.47032112403135,0.43550553101137,0.171983657502243,0.088264048969811,4.42723613750311,5.39615327601559,0.353117672486774,4.13969999071627,4.11717387664579,1.1798537224626,4.08540640448337,2.00260253161618,2.57083355711968,4.82686906300898,-0.00722178562091904,2.23346432882353,1.35189887816949,0.322260970192616,1.07599293775539
