"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.179949203310845,0.26780834671192,0.386113593458666,0.315002167174132,0.265758947207171,0.281514104949606,0.27508815107449,0.228702966298337,0.37882936625754,0.343148371768538,0.362482537716892,0.115613124649749,0.178358554939843,-0.00257588952457004,0.242437447686085,0.178504917582157,0.3212088383057,0.0522583450493963,0.158222053905858,0.0918782234218691,0.426107800780779,0.29599641578073,0.0938074076911976,0.37877006848021,0.261077983289214,0.0958379195810531,0.133064373411983,0.287876914302897,0.281417920675423,0.171616905223221,0.256136736582294,0.333019883743602,0.369349333058482,0.0772277059986436,-0.0155714693932044
"IS-NLE",0.26780834671192,0.737548821150291,0.793929195965458,0.751108404929589,0.650589297152464,0.671461743087473,0.395335712603722,0.40310033746333,0.774214346698641,0.778380229412415,0.842150194892852,0.211772694242434,0.346533574807543,0.0331282381414704,0.535173941083044,0.32021127723344,0.663898864309092,0.089671471162846,0.363957204231166,0.183417459934371,0.940146739401239,0.692452453181078,0.194699806403249,0.776071193892961,0.629092598336696,0.169272316046372,0.315599440223857,0.58473313356162,0.614235822797177,0.36395947901872,0.613677227704288,0.652806575223317,0.605336576705049,0.0362969769689265,-0.0658482356744858
"IS-PNS",0.386113593458666,0.793929195965458,1.26777127816263,0.987628183896173,0.876621430016688,1.04833357054011,0.707986816301089,0.617242855817136,1.02308536188082,0.922734576856618,1.14543505698371,0.189606633116588,0.439049394802291,0.0397650726521745,0.688782086536119,0.474649181219001,0.966410064395332,0.0874640283747286,0.413833626807873,0.255568742508366,1.24548959727875,1.01554946028641,0.292608765403879,0.943084499560255,0.813417302438931,0.234861939278547,0.44592705143994,0.780818394419871,0.895364375249554,0.451558099108283,0.748039483011695,0.900314788582858,0.855960863190288,0.136685547865744,-0.0777404921667789
"PM-ZS",0.315002167174132,0.751108404929589,0.987628183896173,1.0860479006593,0.959862452462203,1.00879987245781,0.668654656371126,0.548037706827088,1.02050443621882,0.908372873126111,0.943796204862959,0.153682021613475,0.421747377740936,0.123268023039358,0.710887647922109,0.4743591505532,0.826385146255044,0.0850902880426376,0.515729472466246,0.269837867802717,1.04982007264366,0.975541607168394,0.281790378433662,1.05734003935916,0.830353513805245,0.269204437756548,0.439439864723577,0.795036217109762,0.781246989823486,0.530647349324497,0.746227449676328,0.78901007486755,0.778678424048194,0.0394870354987395,-0.059136179161385
"PM-ZI",0.265758947207171,0.650589297152464,0.876621430016688,0.959862452462203,1.14885263691174,1.0267541375911,0.614024322230448,0.533698624777528,1.14184494510109,0.868912742337831,0.839105619934467,0.177130459842045,0.359013700114683,-0.0217473712334918,0.649962263625541,0.464275560716471,0.772101839434413,0.0774281996103991,0.611567819041282,0.41273253629067,0.973072728484957,0.664404096122178,0.324004675358662,1.02658426282468,0.814414650421076,0.276608874368931,0.364797808984027,0.799756044584411,0.719804986614621,0.674403291569771,0.521195116486783,0.657890181341346,0.824129979695234,-0.0294533533800784,0.1065341469359
"PM-MT",0.281514104949606,0.671461743087473,1.04833357054011,1.00879987245781,1.0267541375911,1.48370883966992,0.627624166750072,0.556860393527694,1.05018233137334,0.951811088272315,1.00703537801099,0.124277148514491,0.438500786617216,0.0142817507686771,0.66198114099428,0.479073201323508,0.946760120356379,0.0502551356656163,0.508454200865223,0.244436185852325,1.02191564533266,0.891965769080117,0.391190059211799,0.979071034762001,0.805090079910353,0.262482467432018,0.460989798970351,0.785948625606099,0.907612909827129,0.492125940606454,0.650808952005605,0.754384438809425,0.803659819083872,0.0816607723215379,-0.0400428076295227
"NLE-NON",0.27508815107449,0.395335712603722,0.707986816301089,0.668654656371126,0.614024322230448,0.627624166750072,1.08038680234061,0.421386280907013,0.738385724689528,0.0211082168659123,0.618252382890402,0.0316754278906838,0.243353131205469,-0.0294064322001273,0.379655377234538,0.3193647275553,0.514062078756576,0.0508129986446195,0.347882505803407,0.183174430425651,0.652334114689406,0.552544606656869,0.209714558739315,0.727181958934454,0.442282090226665,0.165424946275141,0.267275257590411,0.516699634335811,0.457861316174927,0.412480339978971,0.407796676529304,0.666752353028619,0.654000066191465,0.12953968055695,-0.0518617738515039
"NLE-ZS",0.228702966298337,0.40310033746333,0.617242855817136,0.548037706827088,0.533698624777528,0.556860393527694,0.421386280907013,0.713496328607664,0.731154728874026,0.680855979464665,0.497657512813864,0.0926174625926776,0.252694816988365,0.145326032361595,0.552323403848744,0.404645016821799,0.621402500075372,0.034841689895796,-0.00566254901857762,0.130987669803159,0.786102072233478,0.565444873882764,0.184550368004061,0.73115644591591,0.534101680063965,0.169905262548861,0.28236503459363,0.428050964146477,0.578729150555279,0.377542856744974,0.478285837835547,0.611677560153247,0.633886055667758,0.0519036119824945,-0.14062877424756
"NLE-ZI",0.37882936625754,0.774214346698641,1.02308536188082,1.02050443621882,1.14184494510109,1.05018233137334,0.738385724689528,0.731154728874026,1.3891086689273,1.07817149461116,0.987276635537172,0.233391573186642,0.456536436842147,-0.00463370556136431,0.734404249369249,0.544915164195781,1.02580559133147,0.116117773877453,0.657893767547578,0.399548738518283,1.27158429587761,0.879396046804882,0.356982561337225,1.20133122998489,0.890407256468324,0.293489637229455,0.396828116245216,0.897294475373043,0.939682528203067,0.709683658970542,0.704215338690353,0.840841489574142,0.961429778314018,0.0397813930409572,0.0645056879207824
"NON-BR",0.343148371768538,0.778380229412415,0.922734576856618,0.908372873126111,0.868912742337831,0.951811088272315,0.0211082168659123,0.680855979464665,1.07817149461116,2.57373325415579,1.01046475192204,0.519173757377852,0.674044379417824,0.229498352435356,0.973474655664895,0.757790867601179,1.05455106524351,0.183817795408028,0.406540699568232,0.258555329167506,1.28619545730025,0.99684066390657,0.272887488311546,1.17998505105238,0.973838565376295,0.389303905999182,0.398733445171782,0.903066517863532,0.946930543064377,0.650118667266177,0.222089990640646,0.815764452947412,0.853447774628965,0.128123805593662,0.00337554595466471
"NON-PNS",0.362482537716892,0.842150194892852,1.14543505698371,0.943796204862959,0.839105619934467,1.00703537801099,0.618252382890402,0.497657512813864,0.987276635537172,1.01046475192204,1.35245436604966,0.291841373796591,0.487903422871378,-0.00439837127443254,0.629559789354424,0.428089248547023,0.900786370904131,0.128289818274013,0.496129203489952,0.26393798584861,1.21490846665188,0.89415816982484,0.253777737236539,0.83708110446847,0.79399030523601,0.245885020149689,0.388260384713918,0.693450465414825,0.81485430335805,0.417995483283687,0.680297864267353,0.806131018456374,0.738642948664917,0.144454897050945,-0.0201976726273627
"BR-PT",0.115613124649749,0.211772694242434,0.189606633116588,0.153682021613475,0.177130459842045,0.124277148514491,0.0316754278906838,0.0926174625926776,0.233391573186642,0.519173757377852,0.291841373796591,0.553470057329891,0.333102758394075,-0.137888795875076,0.167953609897716,0.0472311938735225,0.0565889651255256,0.0841605173725122,0.135668670788056,0.115474902369723,0.262120576675003,-0.0898292342415648,0.0265854627433596,0.237948217440628,0.245761830429365,0.0715955828372052,0.0419565594176803,0.321832722525164,0.0195268949268153,0.220611691625397,0.0695529194783038,0.252894781371925,0.436808366633146,0.0617579170339406,0.0648448399556462
"BR-APET",0.178358554939843,0.346533574807543,0.439049394802291,0.421747377740936,0.359013700114683,0.438500786617216,0.243353131205469,0.252694816988365,0.456536436842147,0.674044379417824,0.487903422871378,0.333102758394075,0.49391393911925,0.117862619519905,0.472855829908485,0.35969338391072,0.503437191852201,0.090118058719354,0.216199206213327,0.137860088803085,0.512237009653848,0.440619879332501,0.18112576595388,0.49225845439007,0.372560731283216,0.137331825693963,0.201314048491877,0.455578546748812,0.461415521512449,0.253599359953758,0.377141526007468,0.491178868017121,0.508644522735819,0.112977999095222,-0.0760971152611141
"PT-APET",-0.00257588952457004,0.0331282381414704,0.0397650726521745,0.123268023039358,-0.0217473712334918,0.0142817507686771,-0.0294064322001273,0.145326032361595,-0.00463370556136431,0.229498352435356,-0.00439837127443254,-0.137888795875076,0.117862619519905,0.432189623781592,0.318876812366324,0.310975383232364,0.25826860896756,-0.0321401030776853,-0.119546559912868,-0.087547188793352,0.0364914956717775,0.425880285559601,0.0460434358867419,0.130579863206802,0.0255296114591587,0.0476593213220275,0.0810747793566858,-0.00361096582953031,0.298905057577516,-0.00186174876745657,0.18027145955778,0.249918515435486,0.0406722624567957,0.0781121149451532,-0.237215989112052
"PT-BA",0.242437447686085,0.535173941083044,0.688782086536119,0.710887647922109,0.649962263625541,0.66198114099428,0.379655377234538,0.552323403848744,0.734404249369249,0.973474655664895,0.629559789354424,0.167953609897716,0.472855829908485,0.318876812366324,0.923205696348595,0.660101579535292,0.762636801055058,0.047386184214937,0.198351477102294,0.160359085224825,0.82421568966468,0.722343121990094,0.248544321224022,0.92199082951319,0.68526195671804,0.201191034213191,0.422607033848158,0.594629854664978,0.728807589321978,0.485372656603629,0.455076771915909,0.884853822055613,0.792050417872356,0.135230169032127,-0.208105078010436
"PT-EAM",0.178504917582157,0.32021127723344,0.474649181219001,0.4743591505532,0.464275560716471,0.479073201323508,0.3193647275553,0.404645016821799,0.544915164195781,0.757790867601179,0.428089248547023,0.0472311938735225,0.35969338391072,0.310975383232364,0.660101579535292,0.636740441571065,0.650238707291959,0.0422781287963903,0.156082282690703,0.119588237722602,0.5768571337563,0.580729392203887,0.204601378056159,0.647117354241882,0.405150933949796,0.195575054953558,0.225291929433324,0.419166131663821,0.615587541424679,0.344449671669165,0.260124325667355,0.574204411751401,0.600650533302769,0.138535276860411,-0.0983680033187928
"PT-ZYGI",0.3212088383057,0.663898864309092,0.966410064395332,0.826385146255044,0.772101839434413,0.946760120356379,0.514062078756576,0.621402500075372,1.02580559133147,1.05455106524351,0.900786370904131,0.0565889651255256,0.503437191852201,0.25826860896756,0.762636801055058,0.650238707291959,1.31947806559215,0.0582174880162044,0.402811374909916,0.248696273640014,1.11945190387347,1.16607238166189,0.364532232130198,0.884318870927055,0.687806111373167,0.24027290010883,0.382306774234079,0.754810286550102,1.28111146575993,0.406171980341256,0.6827454315657,0.716680773720815,0.669378841614744,0.144101742838449,-0.0303419796075102
