"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.389189399902369,0.455642340401281,0.827497322212447,0.184565699861386,0.495682281607652,0.374599384010987,0.314898039147085,0.383039244593215,0.648381729542846,0.598024154919319,0.601969662874598,0.173262539773523,0.180960476200786,0.129162059265946,0.515725235483298,0.189034779867621,0.511193434879039,-0.0795784149143318,0.255354331569809,0.228565822392451,0.476688668998097,0.462228514051713,0.354511783379771,0.340528781244994,0.430392606623597,0.190711991967609,0.396723944065916,0.338404537515295,0.528010935229619,0.412266583468615,0.10581855522355,0.447446430737731,0.434596877477491,0.0264075496796701,0.090670167511798
"IS-NLE",0.455642340401281,1.52672297047812,1.68130490866767,1.04863348178162,1.2318325637712,1.01428206267451,1.08801060333464,0.905750475968046,1.53444897774329,1.18267778082396,1.29259565876514,0.458046147520955,0.531053722343791,0.381046676122394,1.15706216312579,0.498021889974675,0.992537456403446,-0.0796626554117317,0.624711996717445,0.376533127357145,1.14633023297777,1.48385589399533,0.698017671266331,0.836168656102528,1.19340718797521,0.399380489405533,0.794851764281617,1.09774388906417,1.02579697228792,0.758894084369329,0.412498904033185,0.591541742475582,0.823113718019612,0.0766425534744396,0.217041394235262
"IS-PNS",0.827497322212447,1.68130490866767,3.97968225971249,1.78326553480547,2.71931269039009,2.39795350451087,1.89249750426286,1.53489095849198,2.74530727726213,1.78954585905539,2.69425018955918,0.541138441692185,0.709448422421428,0.532284233356508,2.13941054669642,0.755830584866643,1.79795652320824,-0.10672864105805,1.21254073447865,0.76226288093989,1.72979744384315,2.31831028881139,1.46738276213734,1.16771186520681,2.02185700035143,0.585828855514263,1.53216250821775,1.81930414500828,1.85548056121803,1.42419256665356,0.13944258289654,2.19649834815044,1.4882144713537,0.0360866868051091,-0.167599439346157
"PM-ZS",0.184565699861386,1.04863348178162,1.78326553480547,1.75969251941255,1.81095075508127,1.41103365544407,1.23404609199324,0.943535707613578,1.56916048450887,0.913223201531735,1.46338424117973,0.07850214327548,0.422045048903257,0.400781553490692,1.1866975357092,0.519582068354767,1.14914777551204,0.0687537756784657,0.671207268469254,0.499462868476312,1.16180618907977,1.7133340327446,0.71352914831972,1.13347939105926,1.25206980028846,0.184678679006254,0.743456677800453,1.10707718047104,1.10427208302721,0.441358876819162,0.456875492510082,0.779724955232065,0.790270922591863,0.355149953331022,-0.0137324247554516
"PM-ZI",0.495682281607652,1.2318325637712,2.71931269039009,1.81095075508127,2.95623700790265,1.90185011956424,1.6107990073659,1.30451446630576,2.59209200053523,1.29724395205557,1.76045799586474,0.187149477125426,0.492213797683062,0.645546370614438,1.72459070214741,0.719830017070403,1.47863515827756,0.054650454553743,1.2590632961698,1.13121937152774,1.20631045530799,1.79063286373114,0.887993505633663,1.53830623269755,1.530406427587,0.389116985544078,1.07040432521882,1.38122476745307,1.4299951026985,0.708432942588979,0.445710180006477,1.48955931726553,1.23994373562917,0.392644529576661,-0.162281780888206
"PM-MT",0.374599384010987,1.01428206267451,2.39795350451087,1.41103365544407,1.90185011956424,2.09577319950869,1.3621516584273,1.18677352273403,1.85103063922339,1.17229581927669,1.60886974148196,0.269454079461195,0.284163232994926,0.222937910613094,1.33861045820447,0.433515130829617,1.02761408899719,0.00386128450292933,0.653494607507162,0.392169945240467,1.16515839102811,1.41169276428473,0.813074639924114,0.991265905138369,1.37289554742958,0.354722239053111,0.993927815055107,1.20187013865678,1.02926915698366,0.774107120671419,0.14847427125582,1.52557744956749,0.929768758571566,-0.0428440267618538,-0.408000896500817
"NLE-NON",0.314898039147085,1.08801060333464,1.89249750426286,1.23404609199324,1.6107990073659,1.3621516584273,2.4740013544996,1.08957286650659,1.85914413821605,0.0455575906280885,1.21193457774838,0.172283392378209,0.15998574011101,0.233603551727358,1.06752411535093,0.366668670060085,0.6690826608684,-0.0784614243894125,0.730644139934732,0.263407417912346,0.730038215423208,1.33656767391907,0.727543984554884,0.936618507596456,1.28852635407237,0.330048777289477,0.741014868015896,1.42798466095282,0.782959048898101,1.06402587687765,0.373670140380184,1.03542818811331,0.675308499471165,-0.0532826995057664,-0.16562705676119
"NLE-ZS",0.383039244593215,0.905750475968046,1.53489095849198,0.943535707613578,1.30451446630576,1.18677352273403,1.08957286650659,1.29074699329027,1.6276341537284,1.00267417079985,1.06892196149249,0.301909587867661,0.184336866984882,-0.0243150576155472,0.832188619914495,0.121571872570921,0.747060321912006,-0.141150856888621,0.319752565423729,0.492400648166926,1.00976416168025,1.11107144471403,0.434104334820525,1.01428812517454,1.02864500921966,0.150937276405736,0.721049519292538,0.88346477997648,0.823481841203863,0.66500353646725,0.196572582190207,1.09314209181708,0.629709213719092,0.0637252249586649,-0.141376595685312
"NLE-ZI",0.648381729542846,1.53444897774329,2.74530727726213,1.56916048450887,2.59209200053523,1.85103063922339,1.85914413821605,1.6276341537284,2.95435071522736,1.61644206217012,1.86904150466258,0.437922519331405,0.465223425569491,0.445118953854331,1.68933969402658,0.498946761629549,1.43643331632228,-0.069569421849011,1.28837627405213,0.984977011101427,1.35520655117506,1.82721159027646,0.911088559664439,1.49865169639716,1.62995217598945,0.383808171311708,1.22813149685344,1.45102358143618,1.47106999039971,1.03156638599667,0.351634078124164,1.63218324152321,1.14283934280848,0.14664048090777,-0.062082446178567
"NON-BR",0.598024154919319,1.18267778082396,1.78954585905539,0.913223201531735,1.29724395205557,1.17229581927669,0.0455575906280885,1.00267417079985,1.61644206217012,3.59035365289621,1.88045101876825,0.714973729624802,0.792345007015042,0.363643229501919,1.23714023015202,0.50666422592806,1.51636116606086,-0.116823030951867,0.586061857936454,0.572159991086446,1.54604124634714,1.35481784350167,0.751305622423146,1.09857781741395,0.913630203962289,0.288822544794552,0.953699582115266,0.665757249563439,1.42318504858956,0.528302115207063,-0.677353464778581,0.893859836719747,1.01333497364885,0.122305032766596,0.195289965455396
