"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.110352614951127,0.0947931105781123,0.213986486219253,-0.00706664696973425,0.0804811706622233,0.0825255531063097,0.0847664416440907,0.0441040911253637,0.142134613110005,0.0657302117020372,0.189119468918894,0.0600685368611024,0.148195392256604,0.124549799815429,0.194251547850872,0.116810863488626,0.154414303413723,0.0201089576597216,0.101726122636841,0.0494017419977515,0.19920700397154,0.0722572794070586,0.0679852117772836,0.0675421747766987,0.0679231053817943,0.0827550828304104,0.100190183103356,-0.0372531415552883,0.1017629406825,0.117621548850506,0.168679782575518,0.0958329284626677,0.16831918928626,-0.0168218204846107,0.0218116163455006
"IS-NLE",0.0947931105781123,0.366104335278015,0.363148784948034,0.165208485277987,0.184213968436745,0.24969652201175,0.185156613334314,0.148430879536102,0.254705940008248,0.119612039520659,0.224961387937964,0.0495657258968422,0.148247819896061,0.153695628829091,0.291220317344628,0.0629136027674772,0.318586873227815,-0.0141384330929785,0.115338866596052,0.126337663725352,0.427976728974237,0.349890240204741,0.104694318213054,0.108225585854289,0.23156490348485,0.116518864193348,0.251812695730396,-0.136788699906007,0.256106233031723,0.199102476663746,0.221215907388565,0.195912683076411,0.154984087307827,0.0286550628117287,-0.075722800502731
"IS-PNS",0.213986486219253,0.363148784948034,1.58413243929529,0.289003335108402,0.79214631682578,0.619866165041481,0.732970065335111,0.443053822187617,1.05931138019631,0.355648148769311,1.32742289080482,0.250573026687864,0.60456302494217,0.427155539510511,0.881416886902371,0.370895200578989,0.618673789793327,-0.143494327441883,0.600244466438585,0.319460399509058,0.733743128524917,0.381852848310266,0.816631062767732,-0.129457582428599,0.51429127236073,0.300734630669409,0.598112864928118,-0.0165010595915947,0.445444139938511,0.510946037495823,1.02228248010995,0.567739860728051,0.763773559342709,0.139194923959545,-0.0923834784449716
"PM-ZS",-0.00706664696973425,0.165208485277987,0.289003335108402,0.357010948640962,0.226364240715188,0.268804478801467,0.0997384485675332,0.28870447231537,0.227926540436918,0.293274142623288,0.159620084695277,0.0243088101993433,0.0128747781346556,0.0240382397937684,0.151951383243531,0.0156418877585585,0.169660035095789,-0.071461974097665,-0.0448840379803297,0.114934511457514,0.370350698895192,0.329260228447861,0.051000087317405,0.136485874907557,0.199683992698645,0.0788006514461896,0.15600389984246,-0.044762001235232,0.14790242859436,0.163807077305637,0.0680138808460523,0.148580787603416,0.0414738251197543,-0.0412795690690862,-0.0593651804657513
"PM-ZI",0.0804811706622233,0.184213968436745,0.79214631682578,0.226364240715188,0.657557554310369,0.431289007714879,0.348410562566672,0.231021687872545,0.732841346969852,0.315606671382044,0.651063773972532,0.104902328827853,0.254399453753028,0.273010854474098,0.47371555049168,0.242685645056956,0.315652405979063,-0.0953829017431763,0.484461612278887,0.20355625525724,0.181651742735689,0.114920612400341,0.358126072729107,0.0351253049452141,0.215967868831797,0.199472517852984,0.294207728932109,0.0777800053913092,0.245270786692927,0.293612161655311,0.41149614732809,0.404522893141187,0.477416782986672,0.185676832559003,0.0064145171849498
"PM-MT",0.0825255531063097,0.24969652201175,0.619866165041481,0.268804478801467,0.431289007714879,0.559699941539653,0.264446289081676,0.203007274747398,0.460594931848208,0.226199422041647,0.452051710603755,0.0877031543888196,0.240099121934277,0.279022147439121,0.387790225015778,0.157243844085752,0.235200542900971,-0.148455430653297,0.258082312497921,0.261321381560645,0.446233837931748,0.104228182561402,0.0636616710244785,0.135500975723115,0.143623679984264,0.30593494378173,0.242666635496625,-0.109790029941356,0.109891291211257,0.330320597828296,0.313544228224317,0.389990043580766,0.337113649972395,0.048099685155153,-0.0477891839489898
"NLE-NON",0.0847664416440907,0.185156613334314,0.732970065335111,0.0997384485675332,0.348410562566672,0.264446289081676,0.839415022276328,0.2285926639993,0.521795015649321,-0.411623676904902,0.502262139253461,0.179273511999335,0.309372618969638,0.290204653398791,0.615937696055507,0.275006294141678,0.303514333348681,-0.0872434419106507,0.27317123196061,0.256929768261523,0.353422312371649,0.0832847893311717,0.429030512955307,-0.0310144537226115,0.254286604591262,0.207083830980457,0.436327655790487,0.0992061233120247,0.226415695086545,0.240169438966247,0.565839181046297,0.187697165032384,0.500718421112344,0.0630964550355951,-0.0302070845429077
"NLE-ZS",0.0441040911253637,0.148430879536102,0.443053822187617,0.28870447231537,0.231021687872545,0.203007274747398,0.2285926639993,0.412774161265928,0.358072916663188,0.248977017024625,0.306238985637571,0.0754625901851943,0.113904688691203,0.073481693647238,0.281861979970363,0.0965499990891855,0.245674598783292,-0.0497304374431504,-0.0485984285094795,0.127089528888345,0.461396419014731,0.424582490763381,0.195617935993749,0.0966672045849323,0.28785728033635,0.0456849408389979,0.260592131220977,-0.0493309677315216,0.231894697023833,0.174480681200604,0.229146982647281,0.108189721719012,0.100159823193826,-0.0424315135166976,-0.0183955733980665
"NLE-ZI",0.142134613110005,0.254705940008248,1.05931138019631,0.227926540436918,0.732841346969852,0.460594931848208,0.521795015649321,0.358072916663188,0.94626132150308,0.397249143737032,0.901418332898612,0.13956661637863,0.381332637351738,0.364000940676758,0.690133014034046,0.35802342910341,0.508569034938795,-0.0637870763490678,0.564290775317786,0.262501714608762,0.392586536399327,0.321855810759828,0.535189961471535,0.0190340766094301,0.38399846480067,0.223985054423658,0.441034948798628,0.0783858990133865,0.420814035181749,0.319225361762506,0.620969542510054,0.423024832000997,0.6539625858514,0.184730041477841,-0.00706412851914691
"NON-BR",0.0657302117020372,0.119612039520659,0.355648148769311,0.293274142623288,0.315606671382044,0.226199422041647,-0.411623676904902,0.248977017024625,0.397249143737032,2.38782315158818,0.634763330316412,-0.0635152061460586,-0.236303621049609,0.0216270045140302,0.21081973415048,0.0676942091022436,0.416039375893351,0.108666219700209,0.18507201848751,0.0307449830263388,0.727293147789966,1.03318179174131,0.127605918746979,0.517859550178751,0.292243690996294,0.0197247305882731,0.192492227775212,-0.113447124130114,0.423833338517526,0.168521379329091,-0.576532268231538,0.371287116598216,0.213013127323274,0.0938439983019935,-0.0266711934235305
"NON-PNS",0.189119468918894,0.224961387937964,1.32742289080482,0.159620084695277,0.651063773972532,0.452051710603755,0.502262139253461,0.306238985637571,0.901418332898612,0.634763330316412,1.36420237151906,0.174498042192308,0.584286777552826,0.394523370867917,0.731972396759603,0.309781811418493,0.563531673532828,-0.0549462742150584,0.571964277687996,0.207273747022253,0.56213649435972,0.450878490820771,0.771282110479088,-0.117598968715254,0.472279114567986,0.328867263023708,0.517067152387655,0.0398835826983966,0.445754531251878,0.482190863966536,0.855600233449587,0.559073965737627,0.599807146052067,0.107684800746247,-0.0917578646272521
"BR-PT",0.0600685368611024,0.0495657258968422,0.250573026687864,0.0243088101993433,0.104902328827853,0.0877031543888196,0.179273511999335,0.0754625901851943,0.13956661637863,-0.0635152061460586,0.174498042192308,0.373906559793844,0.184012739369595,-0.0214556834161141,0.138767861337289,-0.0551337730264704,-0.10018934418407,-0.0405426135802006,0.0741491317823425,-0.0256108921661403,0.088894030924594,-0.115045752420199,0.124907492377098,0.00586979474842227,-0.00524396053303731,-0.00895476819137286,0.105436094797013,-0.0598960444804507,-0.105088300457905,0.123132048041565,0.277779451728176,0.0718494474410007,0.175353660108204,-0.00193504939864401,0.0725209143911041
