"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.485897746895901,0.265617517871398,1.14889672684556,0.0918480304988123,-0.144778352091586,0.230367947486432,0.123720230353012,0.407577464926884,0.400257363268025,0.081194326973292,0.778656032834038,0.0126168905766929,0.671418455742437,0.121715186818643,0.203248620487618,-0.0931774537360636,0.218691654204779,0.0940795633284003,0.161223078562861,-0.0311500315176382,0.699649355590814,1.32710418402123,0.385882842865089,0.128803328350144,0.222656551420044,0.0312976458674125,0.36611731210077,0.433879277211225,0.494878257231647,0.573284288631674,1.01910787441234,0.59472181581889,-0.24269679014738,0.0217884952322423,0.215812380558045
"IS-NLE",0.265617517871398,0.724717144976199,1.10177836581921,0.42787073370322,0.18583263087012,0.436398070862793,0.168773206638986,0.382279534419986,0.477131334821424,0.0146686838864714,0.799030650090976,-0.0394272204117841,0.727983247752958,0.280682036176668,0.379265362580105,0.209441979033523,0.326572522654878,0.238924439113976,0.281010181605349,0.00481219010229907,0.748061245785456,1.14513890836486,0.413622862553698,0.333243204049472,0.197529235571122,0.0399353993855172,0.360573095056975,0.431369887857111,0.486893841342993,0.557374881904577,1.28617084778814,0.38810337905725,0.137623027785703,-0.0825077635210713,0.205862534169364
"IS-PNS",1.14889672684556,1.10177836581921,4.46718928222357,0.802291212806056,0.29570272794471,1.49383386485013,0.928638365913674,1.41669245785341,1.72106618100578,0.628762385432589,3.39936207395424,0.206342033712076,2.50120399101585,1.14930743054267,1.7745040295115,0.556938025633302,1.1193053312715,0.616724609204055,0.757599065006788,0.285260044698866,2.60814646016828,3.86252200935558,1.62753273135735,0.681888117857513,0.897431045138662,0.143590521037764,1.47272315607258,1.43096843034622,1.48568139503963,1.9888823151482,3.80918988698356,1.86293744022843,0.4960975488643,0.012707061880854,0.677700510085681
"PM-ZS",0.0918480304988123,0.42787073370322,0.802291212806056,0.838486955522281,0.693399884124559,0.491216644487727,0.35031566172139,0.849193479786173,0.769111745547872,0.262398868078742,0.624868299486257,0.203584885431176,0.620419558701205,0.220710234426158,0.376952343726575,0.302405438126474,0.232050023021316,0.468864555718132,0.056352855071472,0.100899156873565,0.363160699972335,0.855178532088295,0.32722891788176,0.362656794095159,0.200043760331583,-0.010335067028857,0.288609442174299,0.311088190797876,0.333561956967125,0.752340889563116,0.924300851188065,0.498917962158761,0.333715495723649,0.221588180976536,0.0625272988935803
"PM-ZI",-0.144778352091586,0.18583263087012,0.29570272794471,0.693399884124559,1.45239367776344,0.727535922580688,0.781314000961309,0.519757754005742,1.22718947376185,0.16818102174471,0.268508165235179,0.412006721161189,0.486726243077051,0.433075653989804,0.788711914622722,0.732809888433553,0.13047641051047,0.465923833357551,0.642528865672879,0.320617694101093,-0.481182602594059,-0.433295435812433,-0.0864545482747549,0.475920186974054,0.245337767252236,-0.0508657855528556,0.143207265979992,0.317169070745051,-0.0290603553431986,0.374216988103993,0.671568708310963,0.362376031817594,1.04162658518233,0.223558510648717,0.09574577521606
"PM-MT",0.230367947486432,0.436398070862793,1.49383386485013,0.491216644487727,0.727535922580688,1.20072931558578,0.872245996703973,0.639515357257038,1.08767937451399,0.224770090483136,1.10121050275691,0.281096315300786,0.989131029958353,0.56504959846049,0.975057919985178,0.60575560146224,0.57949776845643,0.339940375869641,0.552419216671567,0.5769177782236,0.786915234368354,1.05662044460374,0.0513439414427872,0.679533960290102,0.349310867053907,0.0640667803364953,0.499265723220503,0.830152155366543,0.596926389027257,0.75436080927229,1.55135679605293,0.738961606114508,0.722321365986087,0.182259492386858,0.407388334466321
"NLE-NON",0.123720230353012,0.168773206638986,0.928638365913674,0.35031566172139,0.781314000961309,0.872245996703973,2.38009541057385,0.68324101493406,1.18268173171427,-1.42692770659621,0.0331601702046217,0.125123897151862,0.5000065819003,0.443293772657841,0.953563474681782,0.735723418240328,0.294527027760263,0.27838183853808,0.542295617253235,0.422820181044716,0.254270055436554,0.331256042577074,-0.0554360113301349,0.345346663466241,0.345253337019522,-0.050256442701675,0.161285500865913,0.811599746168691,0.357182862671169,0.369049842614918,0.85085648174348,0.682225775023761,0.821814160787302,0.272971621090431,0.475665129922792
"NLE-ZS",0.407577464926884,0.382279534419986,1.41669245785341,0.849193479786173,0.519757754005742,0.639515357257038,0.68324101493406,1.55262759782971,1.09172642888908,0.0253240151932124,0.987911681621777,0.239243463935167,1.12157263620613,0.1011339171006,0.40602516236542,0.0510271201202192,0.280104322514349,0.467666841776814,-0.228382766342548,0.182908903458516,0.84633283760409,1.86100140927881,0.402023998287056,0.411473725974937,0.459350994330467,0.0338007321522419,0.577025929994716,0.445045312550859,0.681834275267571,1.17546906722625,1.61105355572868,1.02699585759337,0.00188085732584797,0.380598041011934,0.294627251280435
"NLE-ZI",0.400257363268025,0.477131334821424,1.72106618100578,0.769111745547872,1.22718947376185,1.08767937451399,1.18268173171427,1.09172642888908,1.83603487887915,0.311827379556609,1.3225701050423,0.534905972985075,1.34494725243436,0.608405689927212,1.17158544830102,0.693138700629134,0.504930955552822,0.458598501461213,0.886102514246355,0.356725648418366,0.440597748194033,1.00948135098272,0.367348822201259,0.636859874540642,0.579530411572054,0.0280693476310689,0.670499953241241,0.875841079327318,0.610773094012578,1.03271534676136,1.75172814250656,0.996605311610085,0.862279645603641,0.264687161539038,0.42187815044888
"NON-BR",0.081194326973292,0.0146686838864714,0.628762385432589,0.262398868078742,0.16818102174471,0.224770090483136,-1.42692770659621,0.0253240151932124,0.311827379556609,9.86143111567769,1.85804140988427,3.36328053741746,0.0215409860771708,-1.19572077206982,-0.255029243913921,-1.65202595649424,0.780648952986837,0.477214724850573,0.022250198374489,0.6792027281524,0.497546795751692,2.58048806435472,0.431370868783869,0.180922832226661,1.26033700484053,-0.284314553989015,1.04036784372399,0.805749007091008,1.47507663771101,0.650552435784431,-4.19445516347594,0.53256139494067,-0.426420785647911,0.676470186984625,-0.610475476110696
"NON-PNS",0.778656032834038,0.799030650090976,3.39936207395424,0.624868299486257,0.268508165235179,1.10121050275691,0.0331601702046217,0.987911681621777,1.3225701050423,1.85804140988427,3.28707168692918,0.564352250685883,2.18296138287548,0.979613273906757,1.45794855066241,0.420666588524797,0.893719078646647,0.430806718295258,0.591204215895485,0.263635997230434,1.86305486355545,2.58343151021131,1.34439875665974,0.489239788427592,0.713374180338676,0.127927771823689,1.28936076406131,0.942714686369979,1.05771712930649,1.64787037368579,2.67500448166064,1.26115572985174,0.628797405664624,-0.124719434853802,0.385770815334313
"BR-PT",0.0126168905766929,-0.0394272204117841,0.206342033712076,0.203584885431176,0.412006721161189,0.281096315300786,0.125123897151862,0.239243463935167,0.534905972985075,3.36328053741746,0.564352250685883,1.96241623654479,0.66845856771038,-0.175855020477609,0.267041274490962,-0.261917281844164,-0.044555452522238,0.110178416668086,0.187082969093322,0.233739589402225,-0.0717451894038827,0.120662958489207,-0.102784735106149,0.183061189744028,0.513593108271184,-0.102757664723285,0.273462861529132,0.272343986757197,0.0643096648974038,0.36890888446185,-1.56917339896724,0.303520381544906,0.391373181079755,0.492798251869304,-0.135780173141236
"BR-APET",0.671418455742437,0.727983247752958,2.50120399101585,0.620419558701205,0.486726243077051,0.989131029958353,0.5000065819003,1.12157263620613,1.34494725243436,0.0215409860771708,2.18296138287548,0.66845856771038,2.98059755215545,1.28878292568887,1.39125277619705,0.837900849963361,0.349319771556233,0.374570901478177,0.542760385083059,0.00441403245323189,1.40865540176717,1.59616468760915,0.688228484625086,0.986519391619055,0.314177665622177,0.101555406482294,0.917564365584433,0.680357830941285,0.460013771404534,1.80298870303002,3.3782214659576,1.1081161450159,0.661955231713973,-0.17601170779668,0.632747501294497
"PT-APET",0.121715186818643,0.280682036176668,1.14930743054267,0.220710234426158,0.433075653989804,0.56504959846049,0.443293772657841,0.1011339171006,0.608405689927212,-1.19572077206982,0.979613273906757,-0.175855020477609,1.28878292568887,1.54950838944232,1.38488728183272,1.48406493366598,0.228702238531921,0.191157370360278,0.63688908775418,-0.0943406386148663,0.455207025106569,-0.646770105430845,0.338922564263882,0.601326683471541,-0.264547621670381,0.0858599396800848,0.194248335140144,0.234548725943408,-0.330039810493901,0.486004659900409,1.98550226615264,0.182778615415716,1.27511957383079,-0.242797381017617,0.305323170734048
"PT-BA",0.203248620487618,0.379265362580105,1.7745040295115,0.376952343726575,0.788711914622722,0.975057919985178,0.953563474681782,0.40602516236542,1.17158544830102,-0.255029243913921,1.45794855066241,0.267041274490962,1.39125277619705,1.38488728183272,2.35670783658497,1.66778957928098,0.555518368599096,0.591446544279059,0.869260511705627,0.23670725792168,0.5432187927751,0.173339604056628,0.478926107055053,0.478996649109061,0.949097127341424,-0.0318855065111986,0.861039669903178,0.852128711880267,0.188983166597515,0.632214728393081,2.06981025768981,0.613242082153486,1.81609228139467,-0.122940282934329,0.194308671417969
"PT-EAM",-0.0931774537360636,0.209441979033523,0.556938025633302,0.302405438126474,0.732809888433553,0.60575560146224,0.735723418240328,0.0510271201202192,0.693138700629134,-1.65202595649424,0.420666588524797,-0.261917281844164,0.837900849963361,1.48406493366598,1.66778957928098,2.3301326335245,0.237954109184149,0.326841305234014,0.706938215086603,-0.0637890558641429,-0.273913358353258,-1.75742124441728,0.0338693994628122,0.367877508307754,-0.055352953360578,-0.0928305825498992,-0.148300288462571,0.453986133567235,-0.512067979119378,0.141417253548543,1.31576497792033,-0.0370518557130667,1.91253941194056,-0.39331706819125,0.0768751680817702
"PT-ZYGI",0.218691654204779,0.326572522654878,1.1193053312715,0.232050023021316,0.13047641051047,0.57949776845643,0.294527027760263,0.280104322514349,0.504930955552822,0.780648952986837,0.893719078646647,-0.044555452522238,0.349319771556233,0.228702238531921,0.555518368599096,0.237954109184149,0.925710318187511,0.188841622597034,0.340419211426649,0.362244129662036,0.837154344106207,1.32633999328631,0.374748885560267,0.323883303031663,0.35495328700251,0.0181615218195573,0.517799444506699,0.739813712219188,0.971863882064357,0.402727062372563,0.731175127805911,0.32796711432656,0.0842833086641801,0.00297372605229867,0.13518465408151
"PT-TSP",0.0940795633284003,0.238924439113976,0.616724609204055,0.468864555718132,0.465923833357551,0.339940375869641,0.27838183853808,0.467666841776814,0.458598501461213,0.477214724850573,0.430806718295258,0.110178416668086,0.374570901478177,0.191157370360278,0.591446544279059,0.326841305234014,0.188841622597034,1.37403365906512,0.000162966274807272,0.189650112743656,0.296114935134505,1.86441059107843,0.270175497825579,0.296989505938696,0.477265662217678,-0.133762332724422,0.457440349127282,0.534047250128663,0.635919037358224,0.561006738209056,0.935993223162387,0.324814169069143,0.453733783932217,0.0135211450885674,0.227368814281871
