"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.22216500431092,0.206749253576682,0.539847489550952,0.0664484147903991,0.0860867706902633,0.155577196524807,0.105180136652859,0.220707375186132,0.371944852641549,0.329000168806527,0.478930878312511,0.0812679209798754,0.164302385275638,0.0397050157804425,0.311275069911527,-0.11207426935899,0.363084880491165,0.107319876810332,0.16848258471234,0.159301974508937,0.263839014996149,0.458256882649361,0.212045461230609,0.0210262495148727,0.296463242797078,0.0526166675649005,0.539348988696181,0.0529706870335119,0.391148540299061,0.2472335455092,0.151586043897502,0.0385371133534491,0.0534317565643395,-0.0430779556872113,0.118019658508033
"IS-NLE",0.206749253576682,1.11200392215467,1.47398882007455,0.65363185465732,0.655246442431198,0.932367938648268,0.277908855636309,0.61897965619753,0.794025125861151,0.632903568562644,1.19369711721128,-0.172528000210983,0.167092262773402,0.227784262152109,0.816076293400714,0.220198565753298,0.787078060504248,0.147589863541891,0.13936896332125,0.509924315542792,0.792572002264267,1.00272821120687,0.519639524203546,-0.154868742948071,0.667570693864095,0.0933216637841666,0.88747022059779,0.296451519157153,0.768671117121233,0.315817166101807,0.0352763861942572,0.17327464622745,0.663555608436731,0.0167716735369362,0.27821440165492
"IS-PNS",0.539847489550952,1.47398882007455,5.32990624920575,2.19474213791128,2.27175309554606,2.92924278353196,0.919947438193262,2.20826862502689,2.4270661646073,3.93754812736934,3.78905834388433,-0.338793587989681,0.645989868015021,1.28952016604137,2.74376348870408,0.509660022404768,2.21460812361465,0.195784531577854,0.146188842574184,1.60746466377293,3.49343162154121,3.84477459450668,2.27935435675985,0.479553191894025,1.81332536910328,0.495022663055994,3.42640692572148,0.193305164253811,1.96959282317596,2.11325362539352,0.509013779881762,0.970645960808325,1.0713105023963,-0.303742059179595,0.917039916440781
"PM-ZS",0.0664484147903991,0.65363185465732,2.19474213791128,1.70888942758593,1.31345584634913,1.37199296903809,0.316612566658028,1.65016833225261,1.12165355137628,1.43855543245607,1.60734466969544,-0.464147027534428,-0.00517263754350361,0.653356620332937,1.15526429266494,0.504419559999206,0.977769752924352,0.151243217468154,-0.512201607907123,0.71999939646594,1.10740384137363,1.42610294367927,0.980037680282803,-0.13770930324434,0.745119040568724,0.425824699146897,1.21307412402784,0.325932726771387,0.872332031326259,0.72811425281401,0.186902945312152,0.466778480358301,0.815848311505976,-0.0106408399142393,0.351799496616284
"PM-ZI",0.0860867706902633,0.655246442431198,2.27175309554606,1.31345584634913,2.53389261756265,1.66892987437461,0.256809932800385,1.13729767425866,1.93124066576025,2.41895445892553,1.54685065313401,-0.449513188839896,-0.0286599234059821,0.810035033373685,1.45148348993184,0.598166767177059,1.33846730563247,-0.379220869484656,0.584209661627976,1.25039839609574,0.427447075531593,0.745165947893357,0.738858740878819,0.256309879276822,0.9777145628765,0.34567112738305,1.64451114060777,-0.109498453511311,0.969724055111561,0.81739085996052,0.400054292834068,0.128000105925089,0.709777016349982,-0.256969909485953,0.251778043630126
"PM-MT",0.155577196524807,0.932367938648268,2.92924278353196,1.37199296903809,1.66892987437461,2.4503004242541,0.117665611522803,1.12023506807127,1.26624142317478,2.84473251932573,2.02556183403318,-0.147838489182888,0.233795262369811,0.92075391740109,1.51726388922904,0.566694673396422,1.10770530846712,0.080042053948974,0.032034381683092,1.55904440568738,2.17231663650762,2.21496579760452,0.709777112773619,0.468616572057097,0.800232091974944,0.297954619995465,1.92133786498104,-0.209398769828794,0.837261286038152,1.200236140008,0.0519703249767935,0.313459162865894,0.467768254339196,-0.410856996707184,0.531208242426339
"NLE-NON",0.105180136652859,0.277908855636309,0.919947438193262,0.316612566658028,0.256809932800385,0.117665611522803,2.18130885256128,0.38154851648264,0.515687277721192,-1.73212537324025,-0.0304856069705776,-0.431926964706764,0.113549545400336,-0.0198445260695533,0.0501304164293052,0.00486626237912885,0.176766991277809,-0.306320427112245,0.212065786412337,-0.516402832989009,0.609664505623127,0.36462152949825,0.85252927474725,0.0486234227158833,0.085620162778499,0.149949152396657,0.0990186606384181,0.085965090765673,0.196875837381439,0.247875721612738,0.638473390531347,0.577902867260582,0.635914965881516,0.419196086708855,0.0306235209430701
"NLE-ZS",0.220707375186132,0.61897965619753,2.20826862502689,1.65016833225261,1.13729767425866,1.12023506807127,0.38154851648264,2.41070611045905,1.54131566258748,1.17337346859399,1.98356790708951,-0.891988787643789,-0.150527894040728,0.385618984832694,1.14804136868497,-0.0198519075213767,1.23551818959412,-0.0509388426321291,-0.890010952614551,0.571463442262643,0.911103930269104,1.58520317083369,1.10764758079625,-0.197355728510622,1.09500125922519,0.632924268250364,1.61088212027678,0.401635363194749,1.21490773992579,0.605469477592454,0.717938773899221,0.31024870747291,0.676014592548391,0.0536997979495705,0.378874757339441
"NLE-ZI",0.371944852641549,0.794025125861151,2.4270661646073,1.12165355137628,1.93124066576025,1.26624142317478,0.515687277721192,1.54131566258748,2.2600321214761,1.73092123638295,1.99627621009331,-0.600278302010064,0.0447771467475925,0.631695954845974,1.57081707497798,0.136537366839215,1.48640458799951,-0.190575569988289,0.598662107062426,0.835256693239958,0.597843838627387,1.18499328728308,0.991022407027525,0.255159328198349,1.20042006218585,0.51406720756475,2.05563001921298,0.0453814225931884,1.26845241189823,0.926425218525709,0.880418058151354,0.21934166583491,0.782589976710699,-0.157103483340233,0.476656276329971
"NON-BR",0.329000168806527,0.632903568562644,3.93754812736934,1.43855543245607,2.41895445892553,2.84473251932573,-1.73212537324025,1.17337346859399,1.73092123638295,8.8780646877847,3.37020553953353,1.14016472331909,0.974213942582194,1.35624720791117,2.94330095591298,0.602351398677956,1.93697911006939,0.748524485808201,0.135440393602181,2.80010048325252,3.32828779502822,3.90840786145299,0.970251626402574,0.561198509510963,2.20128295083006,-0.00395260460312197,3.85671333512113,-0.759790207688517,1.45424430169937,2.37135774628882,-1.00180459608961,0.150538428903259,-0.506398127558007,-1.19088219507412,0.864097233997687
