"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.178818064848881,0.147834220078045,0.428936490513244,0.142877168176951,0.189779715100155,0.162099391199606,0.185927061041878,0.222953146811592,0.288909093503632,0.347408518494675,0.212513786553154,0.162235356983453,0.216015783087365,0.0783247989085051,0.0934489306446094,0.0364636826279807,0.0921053033342687,-0.0169211931152664,0.0714963834502041,0.0769776454069542,0.146636873746001,0.250944254080671,0.0980541146290501,0.210986461632076,0.0264940128843941,0.0542012218726698,0.137066194919033,0.13449493312372,0.116006633361494,0.109485271370757,0.185372674360714,0.105286308453587,0.101915133223385,0.0703508030647427,-0.0152249333062513
"IS-NLE",0.147834220078045,0.462318989943109,0.761152929812235,0.459233646105442,0.465797195498063,0.387736276136114,0.322504027087049,0.351354130812552,0.420159935082596,0.523487633738684,0.409166887208607,0.111166351682584,0.308035055987597,0.245434928852844,0.368996254112721,0.301181241148398,0.351889770035805,0.0417398115342441,0.0594662681334076,0.188293127108586,0.356685133472294,0.44507256206306,0.236776300156191,0.415007272758316,0.0945238595843866,0.181078982050862,0.229644426262961,0.38829523869924,0.317615095892554,0.194367744694952,0.235482613886214,0.246606101676065,0.435293915966912,0.0723255055706834,0.070343494194347
"IS-PNS",0.428936490513244,0.761152929812235,2.41089894298518,1.02726176338122,1.33268545563196,1.17499996297158,0.759851038944691,1.02709510351348,1.35005418639781,1.84385655437721,1.51397686673316,0.43093298859687,0.683222751094403,0.42843470938651,0.743464534994329,0.532906375223431,0.544121119005536,0.14782110210959,0.303892383040811,0.475438048525515,0.689467837593857,0.965536260274021,0.627188106227715,0.676022408651124,0.201745041866124,0.249608862430103,0.628593347314798,0.827479786944805,0.546886952328643,0.564355382500694,0.249885207862951,0.382980040367972,0.753833747727549,0.0671973312689506,0.00299900705389076
"PM-ZS",0.142877168176951,0.459233646105442,1.02726176338122,0.716512856425184,0.679470578287399,0.624631455619369,0.385328965904457,0.579200000267783,0.629553631311922,0.966525778094559,0.664356582297362,0.133281754454305,0.373842350858174,0.343699623059751,0.567345150519316,0.525242172036727,0.408303629323917,0.137481436153595,0.0595884178435261,0.232423574579091,0.435961601713705,0.464896923052356,0.312816969574446,0.498547753931564,0.145554191195685,0.183545385994641,0.318929385755367,0.482948034170844,0.344575054562851,0.305713444161001,0.113844930512431,0.172605127835214,0.600900989615784,0.0178196297616876,0.0882467706565853
"PM-ZI",0.189779715100155,0.465797195498063,1.33268545563196,0.679470578287399,1.23013724952714,0.792584765754559,0.389187472506062,0.62970307951084,1.05382902118327,1.00339520166387,0.735602312933975,0.128828071218568,0.234842331328269,0.357404861396148,0.580598067629848,0.542148188906255,0.271065693984985,0.17687046543566,0.313888212234736,0.415905273932897,-0.0564933667264809,-0.0531539253922396,0.349533728419258,0.620815922119866,-0.0534168201323906,0.225420737421468,0.344050559544113,0.487429280638637,0.183314585692522,0.258096384803888,-0.00281811882490895,0.206183364805938,0.87632107893697,0.0338111337801756,0.00923680978001687
"PM-MT",0.162099391199606,0.387736276136114,1.17499996297158,0.624631455619369,0.792584765754559,0.848499828042712,0.270219551655854,0.579407222750609,0.765748173403345,1.09991078728913,0.822719541302937,0.0905255108480148,0.361014597539804,0.40198811126981,0.689616437253858,0.573645332778169,0.341453316143284,0.169327146267982,0.1720917895345,0.342690366545927,0.455185970325957,0.436222268488529,0.246432176764819,0.587422445522798,0.173405861277997,0.19324326902364,0.386764657498482,0.479721704461813,0.249541337652279,0.371678221223853,0.0738705143191242,0.309312789430692,0.585287674612942,-0.0283162998078214,-0.0572200406546641
"NLE-NON",0.185927061041878,0.322504027087049,0.759851038944691,0.385328965904457,0.389187472506062,0.270219551655854,0.804634319182338,0.524519387886707,0.589487516152626,0.479320907309874,0.424760634318464,0.292915802521576,0.337975883020099,0.0104640378927199,0.198993255872994,0.134995130464409,0.359053885361322,0.097284129084889,0.0578477250430831,0.182443447157421,0.286495948907511,0.491702544498134,0.271197537727509,0.203362428930599,0.205967905099369,0.121133951282309,0.316172458449096,0.451642600255163,0.376903826668738,0.297340810440961,0.321091059129451,0.0783549014790109,0.226493875159626,-0.0310772140553444,0.14598170186565
"NLE-ZS",0.222953146811592,0.351354130812552,1.02709510351348,0.579200000267783,0.62970307951084,0.579407222750609,0.524519387886707,0.776905069255502,0.786867527723217,0.996369780669888,0.670342320504757,0.276177060940565,0.456403560080401,0.243041215292875,0.454826923093559,0.353415882625252,0.322981109477839,0.117673966888353,-0.0147224224801045,0.275706833488433,0.373868253990582,0.504102415148582,0.278179439834291,0.487644821987487,0.166655587020977,0.136124552834146,0.371628054267468,0.477519463582133,0.33167978862312,0.335056543074171,0.17806539725724,-0.0591721022292357,0.462106684336142,-0.041497493757585,0.13105774896801
"NLE-ZI",0.288909093503632,0.420159935082596,1.35005418639781,0.629553631311922,1.05382902118327,0.765748173403345,0.589487516152626,0.786867527723217,1.18526098059434,1.22051417318669,0.818860069968952,0.312145584263087,0.396454464449272,0.297737187174699,0.56396842049797,0.413087679018623,0.321703191613822,0.135000580475194,0.33208109791629,0.388824329123737,0.19796508014053,0.307333988884239,0.352686546992726,0.623602618247725,0.136195918570307,0.245944825447123,0.491241598974036,0.509687173898927,0.276376502473764,0.350034475852936,0.177437365488113,0.210626504321988,0.661607525347777,0.0715461749256621,0.00984952470832588
"NON-BR",0.347408518494675,0.523487633738684,1.84385655437721,0.966525778094559,1.00339520166387,1.09991078728913,0.479320907309874,0.996369780669888,1.22051417318669,3.68163640748307,1.41381097687014,0.786778588435323,0.434834914990742,0.479761847071063,1.11832751639628,0.601136780117099,0.606714576184989,0.227502647985612,0.259894373006239,0.362475507191262,0.844180944631741,1.16564868628699,0.517266883541149,0.689749950746246,0.626462630026474,0.392569858296117,0.972515843838749,0.684887185349101,0.618309625570315,0.674791714054238,-0.834409114352186,0.478952855210988,0.979900448675834,0.270702631158695,0.00603651707447182
