"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.0974786154108746,0.0960444434465225,0.225683169539876,0.0966281508947704,0.177583775114602,0.139183684681959,0.136968389262669,0.138308099476212,0.206614672119641,0.10092400612892,0.104259718974566,0.014707607985546,0.0786272583508822,0.0913629049069768,0.161216514712337,0.0977912049689207,0.0621793164413554,0.0589512143105794,0.0535873939327243,0.0609897359124159,0.0552097914894376,0.108245519136574,0.0491736076149136,0.16183389707804,0.0636217284993278,0.0143743033490287,0.0705581070424945,0.0770470841927288,0.037459854380038,0.0385259184368751,0.12613119908155,-0.0028976207330803,0.0971965962288147,0.0143527634418657,0.033096042583706
"IS-NLE",0.0960444434465225,0.295300084656542,0.347888394658995,0.156870363570294,0.237964427055048,0.236700802027172,0.155323313750873,0.123956220075579,0.204291326537072,0.161423505130886,0.176783837385312,0.00192756890049282,0.0742012645872256,0.181749773810081,0.224407038085106,0.171039832915223,0.178703058480391,0.0712908207262203,0.0383557834841587,0.0795669382269285,0.153220968290024,0.17871165101041,0.0996548953850841,0.173761164523424,0.0616315518940819,0.0282056787733327,0.0777978909521154,0.180505746420569,0.160169494177032,0.0362868281104765,0.00410474160062767,0.0320601462301782,0.155752787296824,0.0411078336150954,-0.00452336359575243
"IS-PNS",0.225683169539876,0.347888394658995,1.16294989327078,0.546263523660725,0.821496355467775,0.764320068275594,0.58858871946753,0.576459629827285,0.828731426443427,0.480953380569156,0.608067594679422,-0.019063569354568,0.185501486317184,0.270116411249496,0.476131412818163,0.317163284432207,0.343124683440575,0.170425851082305,0.181696199530765,0.288797326835234,0.394901006234992,0.520572333042328,0.262896560488763,0.317142262491801,0.237919079256324,0.0730914458769512,0.224513051483146,0.3022161748277,0.277985426270224,0.214891291486546,0.184496044863679,0.0370341425185142,0.259242404867065,0.070985722170004,0.0850778228790236
"PM-ZS",0.0966281508947704,0.156870363570294,0.546263523660725,0.406798286683499,0.525743682118557,0.437106775580535,0.34116304612953,0.389751444945878,0.519671192129135,0.347922559113516,0.274065512776011,-0.0271890735657993,0.0680181965078363,0.115461799696566,0.23084602668207,0.16491476207199,0.21028225943673,0.0330006686428889,0.117690522951453,0.123926990618637,0.219427179266117,0.212175263122636,0.138781684685802,0.241287751388686,0.145774281672022,0.0583552625615339,0.125134879979351,0.13912594047135,0.213710891943551,0.130855527350894,0.0908963913829323,-0.0368040022912908,0.124799183654104,0.0267561422124836,0.0373142159095923
"PM-ZI",0.177583775114602,0.237964427055048,0.821496355467775,0.525743682118557,1.12296192274037,0.63735320294065,0.445509781767619,0.503686228913515,1.03679915211214,0.523473910447779,0.372043509737044,0.128277449280245,0.236885147896348,0.180409207265176,0.444534906906877,0.263927039896796,0.288261605419081,0.016722837624957,0.428484760924201,0.284129039318939,-0.0027988677974557,-0.0302990459085813,0.191572619389723,0.479688756547341,0.260326397131019,0.087189184615813,0.236071712276028,0.156863433486471,0.262246764622608,0.120749021235843,0.12546295723089,0.0513604226471588,0.307818782909431,0.13484031148906,0.0814246290022556
"PM-MT",0.139183684681959,0.236700802027172,0.764320068275594,0.437106775580535,0.63735320294065,0.640268926364674,0.399435414826013,0.431049465389088,0.630593802009818,0.436492988621558,0.407756388132676,-0.0156505436695161,0.144821427578374,0.215278367982077,0.379400370427239,0.253839606700705,0.296969466862186,0.108204124389976,0.160017650152846,0.177474898976417,0.338262265494377,0.370565061227136,0.177163541637262,0.326405203693823,0.212530846462788,0.0648926322343402,0.184325555241329,0.220424950940446,0.249110151546107,0.138194116359979,0.132179791873436,0.0223994438070295,0.241936886860664,0.127534744289857,0.0220497062656922
"NLE-NON",0.136968389262669,0.155323313750873,0.58858871946753,0.34116304612953,0.445509781767619,0.399435414826013,0.759402169076154,0.452962816927731,0.557831138360868,0.00642471753911136,0.147977977625621,-0.0851303262325157,0.066679412558573,0.173586957244483,0.329132657710629,0.22500234189633,0.257804779553973,0.127028348452189,0.0828768045222703,0.130746348583334,0.292379112742283,0.291719697563735,0.156146292740785,0.229264195522983,0.184742158069531,0.0340910259758191,0.178211343724486,0.0890472201885824,0.196608197167859,0.0626163308811413,0.0298179645542072,-0.111821482087041,0.137175575918672,-0.0224073230416664,0.0280063703117203
"NLE-ZS",0.138308099476212,0.123956220075579,0.576459629827285,0.389751444945878,0.503686228913515,0.431049465389088,0.452962816927731,0.59197845077365,0.630062379826112,0.226270093105601,0.273563434300279,-0.084887045928983,0.107432107560771,0.142230054057258,0.292606755235388,0.198311596516615,0.223092288782293,0.1093621915046,-0.00579958036826453,0.115666750741161,0.223113432299648,0.286657374625029,0.149932313290302,0.2813958362392,0.166184830180609,0.060790527932075,0.16505309081866,0.151380469725691,0.196594692860658,0.113232016578114,0.264920285649426,-0.097616420259394,0.141255775339736,-0.0150268595939842,0.0358213878258491
"NLE-ZI",0.206614672119641,0.204291326537072,0.828731426443427,0.519671192129135,1.03679915211214,0.630593802009818,0.557831138360868,0.630062379826112,1.11249556922873,0.440947300951732,0.38001657662723,0.0839533266835167,0.260264698512898,0.199744996401858,0.510802011249128,0.281276903203119,0.308578835777064,0.0563539620947029,0.402154283869754,0.250834044821263,0.0961986462239973,0.107578199605424,0.208680866819062,0.514665979651456,0.306910872556085,0.0944898111313851,0.299172607272838,0.148582006880898,0.2608109288946,0.145598365591174,0.285804958645275,0.0549333323864431,0.326876505468803,0.113767542334827,0.00502645639781654
"NON-BR",0.10092400612892,0.161423505130886,0.480953380569156,0.347922559113516,0.523473910447779,0.436492988621558,0.00642471753911136,0.226270093105601,0.440947300951732,1.58824851771807,0.33391698968205,0.20226521655379,-0.162154091740441,0.11043683171339,0.178704811864448,0.162930247125396,0.0899748815167949,0.0280306842356753,0.216611902485849,0.130364797862644,0.26202376456085,0.21083875444951,0.07370294657559,0.407279388947059,0.0481625196962558,0.0199059208903272,0.00245387237060249,0.110532471130414,0.055874371808508,0.0778932087465111,-0.406513534396784,0.162812112397008,0.210862876764633,-0.0239348476175774,-0.167080337301755
