"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.167422953065036,0.146481279469498,0.393299271166131,0.114489207299189,0.0992391386992631,0.213662572202048,0.180993528063724,0.200392944382268,0.218257487988551,0.224406962826586,0.226812382696044,0.0362740087351698,0.142538319775946,0.106365457361191,0.182503759885969,0.104245697383969,0.160318391510547,0.0258698675929913,0.0335835651266443,0.116253962468372,0.371727425214752,0.335790566318538,0.0454518897769503,0.184453377765558,0.0813832502898618,0.01642960193029,0.0973349191592408,0.0378421221362234,0.131540110145079,0.0792187749821905,0.127330712391606,0.0590702255416597,0.14426284301018,0.058361722762509,0.0320573225564513
"IS-NLE",0.146481279469498,0.625063482671931,0.701102260257849,0.501615662537077,0.502287906904308,0.489699673979445,0.343265672293187,0.277273890743069,0.403470279119973,0.465517220427457,0.387250305187109,0.0809362763398629,0.273089053979925,0.243867406458839,0.431376224841662,0.253486798548547,0.218497994078847,0.0844652060150291,0.119209899188116,0.250832862767109,0.632835947159416,0.694033201068657,0.124665737259661,0.473650207413619,0.280288161127169,0.0640674485410968,0.267187715590916,0.109887301021949,0.192901982228321,0.129376076711986,0.347128684442784,0.0740188171200609,0.47657410863065,0.192383195393269,0.0464173502685235
"IS-PNS",0.393299271166131,0.701102260257849,2.88998751386408,1.20513429303098,1.28572449268453,1.71585285731201,1.33601033461477,1.23921972707702,1.46970383801251,1.32031146845083,1.65706086169689,0.103129823365664,0.639806136016239,0.694606039658498,1.28756601232737,0.897723214474683,0.920100928880525,0.439965202257465,0.258691620974661,0.85449566602817,1.60071940588535,1.61402814001072,0.429113120021226,0.258732419787927,0.640800321800732,0.1255952097253,0.621996954338106,0.377628197387418,0.628074340125524,0.38495994953806,0.966509729070011,0.293065672424792,1.31106083115563,0.247771619219528,-0.0110387280908753
"PM-ZS",0.114489207299189,0.501615662537077,1.20513429303098,1.02966529499312,0.840342439010226,0.945924699469278,0.734897005561773,0.693377971524515,0.71904306729279,0.645451420753252,0.553231126056299,-0.0862869537413288,0.314387672137306,0.413825508422911,0.653961753403212,0.486489441403001,0.489726017072835,0.216908536388141,0.092363435273719,0.39875030999873,0.738268332000605,0.863793131961979,0.152606661542405,0.508209448836053,0.341283108989265,0.0853283293092626,0.34389557538335,0.303211369493729,0.400094107488361,0.0183709496696485,0.522712374042297,0.140788928897891,0.839829440120925,0.238641699051158,-0.0547663875422058
"PM-ZI",0.0992391386992631,0.502287906904308,1.28572449268453,0.840342439010226,1.46764334233546,1.09118973514145,0.6147227020854,0.590894154191878,1.19119960067149,0.818021905968098,0.672316249692436,-0.00793185699764146,0.412076168492766,0.505914322679715,0.74522478743792,0.556991814940827,0.451513487103667,0.220777572994285,0.517509934175502,0.558130487516539,0.329693187057537,0.495833860561193,0.13416218704128,0.481412098197236,0.401578812911096,0.114537706761985,0.322234446011476,0.150938217122754,0.300784893412577,0.20217901142604,0.539960959945279,0.221602103265591,0.762441236593309,0.231644035366045,0.0194410075945104
"PM-MT",0.213662572202048,0.489699673979445,1.71585285731201,0.945924699469278,1.09118973514145,1.3576701475557,0.934641029925031,0.906241088129974,1.14100412701322,0.760840429419137,0.937563029558008,-0.023471443538926,0.550268654622531,0.634512374969246,0.953798415867489,0.679530912924285,0.622740874148802,0.345653829676326,0.248017353621702,0.570310375960964,0.928964939173903,1.07955685419861,0.193748134804716,0.495625016370088,0.425188579529776,0.117997320062657,0.426842692938934,0.283334629029177,0.417344398952395,0.188619720078997,0.834960300756649,0.207190771754709,0.996922393095098,0.25780651317186,0.00967594580461987
"NLE-NON",0.180993528063724,0.343265672293187,1.33601033461477,0.734897005561773,0.6147227020854,0.934641029925031,1.74915903151131,0.736999764316315,0.729262013602443,-0.519116484397471,0.392564988282493,-0.266501143390473,0.378625039467545,0.56968528292431,0.799934102373662,0.463420437663527,0.461298252695748,0.273751451038738,0.0422769459762753,0.349142263830381,0.756220755529105,0.952071420874185,0.157030552159526,0.429372649465906,0.358895016441601,0.111219704945787,0.478922094479867,0.431251648228884,0.357117077910854,0.111515254018167,0.732387708934217,0.251310545261306,0.63487700975426,0.237010914315703,-0.000115379813176154
"NLE-ZS",0.200392944382268,0.277273890743069,1.23921972707702,0.693377971524515,0.590894154191878,0.906241088129974,0.736999764316315,0.938233264054345,0.900631324044408,0.789712810304711,0.746495639189264,-0.0138073039856254,0.432488529173358,0.464017118084878,0.765700116873709,0.514015404035976,0.526695818410743,0.22038994256671,0.0118318005742167,0.364885674211612,0.876165889965451,0.943398071612721,0.164934848364006,0.43336259404905,0.369432167813862,0.103398938850126,0.408763694570997,0.227512807297792,0.402573791654027,0.153982679252899,0.659329929545338,0.152023654069862,0.717307586062137,0.182676084269069,-0.00399138594817114
"NLE-ZI",0.218257487988551,0.403470279119973,1.46970383801251,0.71904306729279,1.19119960067149,1.14100412701322,0.729262013602443,0.900631324044408,1.41612063652727,1.12683711534491,1.00494209718033,0.0878589632046742,0.603206076098328,0.621774011941929,0.988508870467028,0.721557673648768,0.663755950351397,0.263109911721986,0.49554695621988,0.57540939155387,0.780507862216836,0.845143548388525,0.160459528147362,0.572374360865428,0.484787859995076,0.163151703504673,0.436507302345536,0.190739404003704,0.447002919598655,0.367798438673975,0.758579131371774,0.237439996497645,0.924441054092887,0.242945462082431,0.0735025157855286
"NON-BR",0.224406962826586,0.465517220427457,1.32031146845083,0.645451420753252,0.818021905968098,0.760840429419137,-0.519116484397471,0.789712810304711,1.12683711534491,3.64466565432495,1.35970863243351,0.611722575243619,0.251404898092019,0.128874467961867,0.528682551537134,0.390225385753757,0.512948027892992,-0.122636742897817,0.349847235451716,0.354265615231417,1.097374132257,1.00359710492865,0.321117535336788,0.375568819996878,0.492710572924452,0.0360671176043115,0.31492766867164,-0.0343998321802526,0.550838602221415,0.0808851042348901,-0.565990803811631,-0.028214948355103,0.831627358893943,0.22757032762476,0.0333657536867949
