"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.268871174029228,0.24133391555861,0.673615893293755,0.298806068961531,0.603932594694928,0.493671133422915,0.261106745690863,0.318940029757671,0.625330100165513,0.320353978968622,0.312726276512878,0.0958234934289423,0.111282340334625,0.0933473488505991,0.178012534707689,0.231045564463991,0.0795000894551157,0.0158317352240178,0.282075165236873,0.272760903003349,0.0247114345772412,-0.00318737343730311,0.0837572857543649,0.239063700307718,0.0172790156359064,0.143404109095886,0.0210319274668065,0.335642907502952,0.121560427389056,-0.330649082758286,0.376576208861494,-0.0560795164820458,0.567125770736431,0.351372734005682,0.086407635498052
"IS-NLE",0.24133391555861,0.77870891735801,0.776380959290574,0.408083049465164,0.667963352390934,0.576717741411816,-0.0676491863634298,0.307198217168071,0.598044914644783,0.442072326627393,0.473386234291055,0.167691769124207,0.0629221415135647,0.0640514480855982,0.411573208134729,0.301362772365546,0.176801049728546,0.01008810836498,0.243178584074317,0.336836312577154,0.22603720344655,0.0656096608161966,0.095668822039654,0.179883164372061,0.263824453731698,0.061513378239208,0.197827054911546,0.359267649670922,0.246248445160047,-0.245570302443902,0.313289937404737,0.0567271770950537,0.716110060885192,0.341275168858952,0.0227900838770147
"IS-PNS",0.673615893293755,0.776380959290574,3.96120487167498,1.55334219084747,2.54431372378741,2.40998669693839,0.612939485188939,1.36415192669321,2.3519056673514,1.64150388556211,2.58698582407987,-0.072635083721049,0.333493884185421,0.357198281272385,1.22247015481431,0.851336915946066,0.168250736048402,0.0127063879926356,0.922024764139157,0.799239792375887,0.463275668060123,0.631124979855506,0.593069077230745,0.118731921865331,0.815687964589063,0.252375510372049,0.588279666264081,1.12469415301227,0.492042777830949,-0.940409784439283,2.17114602169054,-0.122733990638607,2.07100068140167,1.22966998518596,0.257390719310837
"PM-ZS",0.298806068961531,0.408083049465164,1.55334219084747,1.26739951522089,1.33975549988563,1.36704890162142,0.460186974642953,1.04848307543888,1.15651617808608,1.1705839103426,0.80854403835247,-0.0605230833787831,0.12072801754888,0.152626129559859,0.636815379691808,0.49610019646543,0.364816363173361,0.112840772760665,0.14854525397723,0.325413506296309,0.746978574379204,0.797491327634997,0.176812400791853,0.659701423571679,0.451034036245641,0.290003844120564,0.342389005953896,0.458694793242297,0.447716476496083,-1.03698907631268,0.974930553716373,-0.125119375358342,1.47187095649867,1.0024674320737,0.213523772229825
"PM-ZI",0.603932594694928,0.667963352390934,2.54431372378741,1.33975549988563,2.71887385846931,1.90467853698529,0.591980569838264,1.16941644799185,2.45063989365961,1.57751174074858,1.41157653763441,0.135752060727929,0.306317596111044,0.192046762528356,0.777203586802935,0.674136367280714,0.252652425507551,-0.0442276318209437,1.17332322559018,0.613853065273992,0.0945265959725837,0.0319747410004631,0.383339613823647,0.888417697470705,0.44707786716766,0.38800131239028,0.339549350040797,0.715405436687509,0.400361116420084,-0.926584610442612,1.91620887508165,-0.243060124910686,2.0124301047043,1.16555236573361,0.482520733360914
"PM-MT",0.493671133422915,0.576717741411816,2.40998669693839,1.36704890162142,1.90467853698529,2.05257789297695,0.580130877232053,1.23685233437374,1.75809390524872,1.37695722932092,1.36888439716761,-0.074455094031739,0.0909942574139807,0.226613719669469,0.993390573605652,0.802572309161633,0.446162496254851,0.141177477453081,0.530373232630789,0.486430525086773,0.782277845265701,0.653038534976039,0.224356816148228,0.700855204883498,0.6317603665081,0.327015511153176,0.441827162091769,0.571717971158162,0.450331079587377,-1.22622229726966,1.54567734568596,-0.193340122759544,2.11087678563689,1.19351957762818,0.162815541867341
"NLE-NON",0.261106745690863,-0.0676491863634298,0.612939485188939,0.460186974642953,0.591980569838264,0.580130877232053,1.66334878241815,0.770667394174477,0.986299691691877,-0.180402883975387,0.203779548461134,-0.0963173137133153,0.194751857229184,0.119033354422001,0.240303814943481,0.151632481631214,0.238733487173323,-0.0696297662040855,0.276339344983656,0.226452407350402,0.623335976410036,0.468109860708247,0.0177981851219771,0.768036199284435,0.149011899602799,0.0440807466175077,0.129532025355568,0.226521419290007,0.25379575707829,-0.0980897649035076,0.506986489693638,-0.0156162224143335,0.194907866287799,0.178350765279423,-0.156645124156683
"NLE-ZS",0.318940029757671,0.307198217168071,1.36415192669321,1.04848307543888,1.16941644799185,1.23685233437374,0.770667394174477,1.21225620672231,1.32340479266137,1.21099344152988,0.772634124944883,0.068455412132065,0.145698713238959,0.0833284343366255,0.563184087343459,0.409609039852851,0.275596850739886,-0.0437774344034281,0.138078197342929,0.2879764178656,0.689821224204825,0.700083497287587,0.104875863526366,0.718268559564371,0.424597534677885,0.144356263589648,0.305223247582949,0.458375360625247,0.425220552459042,-1.11162822791008,0.988028889839261,-0.170036451758778,1.37606897307113,0.931427773523325,0.0953072161930734
"NLE-ZI",0.625330100165513,0.598044914644783,2.3519056673514,1.15651617808608,2.45063989365961,1.75809390524872,0.986299691691877,1.32340479266137,2.69454381283727,1.52339122105139,1.56005382111284,0.252742845525857,0.508389038212628,0.220527448284148,0.834736496367408,0.640851470333045,0.380918044896803,-0.158487078357399,1.31392046239807,0.64981293553606,0.232316967724657,0.0513753469476303,0.275202734720138,0.900272359944841,0.519291092044433,0.202791844132795,0.350777735715568,0.633431195616964,0.525238450360308,-0.67852101884773,1.88427294268593,-0.0550906893065566,1.79078747252576,0.95957718668,0.238824790323724
"NON-BR",0.320353978968622,0.442072326627393,1.64150388556211,1.1705839103426,1.57751174074858,1.37695722932092,-0.180402883975387,1.21099344152988,1.52339122105139,3.96017629962813,1.06115744973206,0.612081704823168,-0.029310208016621,0.00488533755239102,1.01306932406831,0.490416846915869,-0.0524510804419881,0.115777735644974,0.308358232884452,0.18130296522579,0.534250577489361,1.08637176652121,0.270389916975696,0.860392939793252,0.942576248510758,0.212744656561179,0.760248918552743,0.670170535006581,0.210046467332181,-1.70182478351214,0.393055797144707,-0.166372816593738,2.17724416582156,1.5767408589012,0.279153597246989
