"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.563031818463464,0.725134651253247,1.27773374695866,0.496233002237675,0.644917079583969,0.676786425828743,0.437971636353779,0.512029500227821,0.690686218824527,0.91103387957646,0.593239543751139,0.561146481917181,0.558223959168972,0.347313337280333,0.592023929996863,0.094228257791479,0.332845238887286,0.126057669882894,0.184426890438944,0.376293489508235,0.538590662050778,0.733921427589561,0.188606564560606,0.662951796630844,0.243155672194394,0.35351740102667,0.634987917304222,0.294700106347304,0.407336054881167,0.64859973571606,0.722129422823712,0.464302212131048,0.357039169694387,0.195374241053817,0.164751729876572
"IS-NLE",0.725134651253247,2.19262634438481,2.4795674742967,1.47914036816316,1.9623940065885,1.92112002358624,1.13958942414143,0.679633371747679,1.39385772491401,0.960656073592181,1.07882320684067,0.608500618645942,0.610873174440232,0.926304464687324,1.52926810205059,0.695597366918045,0.836034550382209,0.00880659261357209,0.756115846545008,0.722174681721263,0.444182473361762,0.868664769488488,0.302667069094402,1.47933449849378,0.522224971596613,0.324019328774066,1.33042161985753,0.762459681981511,0.972558214614206,1.18429041976295,1.4345801307507,0.864899038857992,1.25637128398752,0.326278280350039,0.515048350969075
"IS-PNS",1.27773374695866,2.4795674742967,6.53317903050523,2.98370922259372,3.69538587831074,4.63668520006485,2.37997905573357,2.30672202400578,2.91992213709206,3.95307631766428,2.92508131678036,0.986221466879427,1.78597884389182,1.50414949073335,2.95246413582538,0.824154917899808,1.05027350352675,0.572220037605165,0.746852867738786,1.09721134154925,2.74767193712978,3.62013344775478,1.1494191769149,2.91506078597141,1.49770381890462,0.859655236599736,2.75026337166209,1.54617836812735,1.69315133235427,1.55905871822589,2.37577282826842,1.84561515195216,1.66901082028754,0.813395821869644,0.859494549976054
"PM-ZS",0.496233002237675,1.47914036816316,2.98370922259372,2.24060810731994,2.52706804428768,2.5811128112714,1.64327198733417,1.44125598983313,1.83889144539474,2.01174534962817,1.49645204131856,0.602917411605356,0.924140186799868,1.12110253145256,1.93977086235088,0.993318209206377,0.732086362692506,0.271977490768909,0.503461085657666,0.684898496459829,0.712588567941048,1.15513246173977,0.368203247558717,1.53816124879545,0.788608438863985,0.602271432231454,1.54167367045907,0.950711806395616,1.07808003029305,0.684859942492869,1.25044457694954,1.04107662376264,1.53759754957498,0.559482840021299,0.493681845526373
"PM-ZI",0.644917079583969,1.9623940065885,3.69538587831074,2.52706804428768,3.94429005347042,3.28399352329757,1.93413723468461,1.74980353356413,2.97696652053666,2.84573725143867,1.93327595700257,0.66663387425082,1.17961592110951,1.36963048399579,2.30992928222088,0.949335647454929,1.18045939709674,0.211984806642244,1.23638316107274,1.07261751532049,0.450387822449388,1.08887181760205,0.349360309810099,2.25112863737527,0.943739326650846,0.501077595778433,2.00961274494591,1.18687654088115,1.45914276015192,1.32474264077703,1.94177682391262,1.42097111506815,1.62391938758416,0.55795211332456,0.681849477873409
"PM-MT",0.676786425828743,1.92112002358624,4.63668520006485,2.5811128112714,3.28399352329757,4.41338388567323,2.33914582933342,1.72211543695172,2.46930645907285,3.05254372078618,2.1607685812951,1.22207104590621,1.26774892431638,1.17350078498287,2.43729543296991,0.973685601461598,0.665472372993761,0.222566934227812,0.91417221896775,0.933269997638638,1.71957225898931,1.92538884037775,0.24234991993038,2.17431101148807,1.18996596151569,0.71518946656834,2.00820313281785,0.984857761410899,0.959818861310962,1.11084114531614,1.09940776805069,1.18008217910804,1.58991894799051,0.479336314747883,0.833359554021531
"NLE-NON",0.437971636353779,1.13958942414143,2.37997905573357,1.64327198733417,1.93413723468461,2.33914582933342,4.01702442051551,0.994517098659575,1.53990692338199,-0.0198623226973859,0.50720227568148,0.210471489879908,0.0329424975084719,0.992159131022413,1.20122624072568,0.906442417767809,0.724884960171035,0.359472942080957,0.654754990529107,0.763249510724802,0.640420643412213,1.22821409503142,0.0721875685531604,1.22825584305316,0.170252571658378,0.281661225642344,0.975503702882079,0.549420740399332,0.767758831937201,0.544315051257215,-0.643467853290265,0.524932465622356,0.759049425528762,0.143141444116272,0.385917125559744
"NLE-ZS",0.512029500227821,0.679633371747679,2.30672202400578,1.44125598983313,1.74980353356413,1.72211543695172,0.994517098659575,2.06506060742444,1.78225558702667,2.03758155841659,1.21827828419708,0.747690189153187,1.37855026855462,0.587084037278835,1.11561464349166,0.0250457075908673,0.901529088455533,0.448128432634743,-0.39897713260468,0.849841505454963,1.18549935593168,1.89887196893438,0.344606344823807,1.43919176898818,0.648652319024191,0.483291571974814,1.3989962473814,1.10815345295602,1.44500929079295,0.322065657518755,1.54108179332773,0.86049395977241,0.514319839516298,0.769320474703276,0.150640445277773
"NLE-ZI",0.690686218824527,1.39385772491401,2.91992213709206,1.83889144539474,2.97696652053666,2.46930645907285,1.53990692338199,1.78225558702667,2.75406744518418,2.55105660610979,1.64584330608084,0.869955564660373,1.2821021347152,1.04316619463973,1.81405798926596,0.642565363522826,1.34602045576619,0.285971086671333,0.964582079803972,1.09626789341595,0.672458728939456,1.23759651987751,0.266157135750654,1.90633974977568,0.809269332903308,0.469101921583158,1.74428956549399,1.0916943559911,1.58670541018928,1.34865031873844,1.71431821604316,1.42404616568105,1.18536160197292,0.60232861757239,0.410734718997229
"NON-BR",0.91103387957646,0.960656073592181,3.95307631766428,2.01174534962817,2.84573725143867,3.05254372078618,-0.0198623226973859,2.03758155841659,2.55105660610979,9.95989923851332,3.13571949217181,3.44447986982851,1.82557343723555,1.1437095946123,2.57057423662425,0.434960667358097,-0.319556750539252,0.522656686587804,0.472262846487084,0.486208653602741,0.208537224838389,2.03891818562678,0.37232628968094,2.29526578220697,1.30229572214534,1.07103878880009,2.57993981867884,1.30861028399838,0.455302032068745,1.35839611846975,0.876555424945802,1.48814256594777,2.04515039497187,1.02804355204061,0.645145236740511
