"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.09609915772816,0.0608701292311966,0.240307771887687,0.0342855167617368,0.0537049606060191,0.074135634690222,0.0412697732223182,0.0852015146994442,0.101962970637154,0.20762765992641,0.163236749031145,0.0450512447633892,0.0573123535256003,0.0591007775515014,0.116844844706953,0.0546558758976493,0.0875337277149996,-0.00735197909801963,0.0202409511156705,0.0474892075531451,0.0907562748879687,0.116324174455284,0.0755770464017704,0.0236736070566194,0.0674089215634743,0.0319922823188071,0.0716771527059689,0.0929811139970047,0.0910160152658063,0.054322768935875,0.0499829129567314,0.0192689589316706,0.0685238391173248,0.00290295216276523,0.0140897744380459
"IS-NLE",0.0608701292311966,0.271915030742673,0.435766499385658,0.150526047801758,0.281953780805352,0.189092845754422,0.0723811730692534,0.118996082246709,0.262807744700959,0.350330451650501,0.342734109164698,0.0210685270456285,0.184403739606556,0.153010907092859,0.269659049909572,0.110219329053148,0.183162188095566,-0.0106559005457125,0.133913516448369,0.0730657272268022,0.223858873185587,0.255611435568203,0.191904074755508,0.108685898859083,0.15513555285171,0.0883270288284226,0.18797832603276,0.0721620834861535,0.148001136048142,-0.0412800221337955,0.12883674535242,0.061636009334039,0.180576452146454,0.0218955083197696,-0.0077613442891855
"IS-PNS",0.240307771887687,0.435766499385658,1.45069926458831,0.39253641371063,0.723953550580239,0.666678320445172,0.223958293615716,0.460350491588135,0.788356855662792,1.0640515784103,1.10711308689665,0.2062843740785,0.348767210489662,0.303941060379287,0.648435106651861,0.30548589700864,0.420311516137683,0.0231908395375467,0.306061555750262,0.293001482130037,0.533025375936664,0.405198072895966,0.500546113020662,0.157603406697323,0.306769733311064,0.265719339130401,0.431704966620479,0.333901610333436,0.304536691519561,-0.00258295248136516,0.27315494754558,0.178601993640601,0.601412458523895,0.0977683467793476,-0.086062008116628
"PM-ZS",0.0342855167617368,0.150526047801758,0.39253641371063,0.223863406620686,0.31781911304331,0.264679246501577,0.117130300907505,0.212808832031972,0.306042968885611,0.329223461957371,0.279803450397446,0.0613267947543239,0.0871696860747579,0.0576631379716345,0.190554677099572,0.0525991723384723,0.120090106861662,0.0222275931724688,0.090242986111916,0.0904649135052707,0.18335953980191,0.193009512399146,0.105580215725198,0.139677195652423,0.150266529439817,0.0598345803967597,0.170747277019157,0.0590088541904676,0.0839431136654673,-0.0812848115816552,0.0987801445203162,0.0210138897767012,0.141386269536482,0.0523039431368966,-0.0537566461559244
"PM-ZI",0.0537049606060191,0.281953780805352,0.723953550580239,0.31781911304331,0.707181954221119,0.454470254528945,0.141066929053528,0.277324721600641,0.674709893550763,0.556268681519073,0.563472965141716,0.112188193137325,0.210338502781777,0.187687270009766,0.431248049544659,0.161472157365445,0.265427742484064,-0.00904377574813769,0.367463322316506,0.253581659363041,0.208752514178058,0.141511058733946,0.231315472562198,0.234546863117612,0.253233655885793,0.18484176571215,0.310160418962954,0.119634970961194,0.188819168115749,-0.116357242018341,0.129092789086373,0.0957647462372512,0.392636479010921,0.165643084403714,-0.098886846130236
"PM-MT",0.074135634690222,0.189092845754422,0.666678320445172,0.264679246501577,0.454470254528945,0.518325836697864,0.142541369496795,0.247986735834291,0.463512802420289,0.50664916592004,0.516665179074772,0.107766976717212,0.182572021740075,0.132621218430446,0.321040448969027,0.12325691339908,0.225897668298641,0.00213525040878996,0.205772998583664,0.202330150898149,0.317572512453587,0.194007170261304,0.104402697626393,0.175783982303165,0.189988352684362,0.138312052796259,0.229174164626945,0.0887231765768587,0.165735377640212,-0.103993008879377,0.161404363373092,0.0768109019704165,0.340929547159941,0.162858379665951,-0.00586588495083861
"NLE-NON",0.0412697732223182,0.0723811730692534,0.223958293615716,0.117130300907505,0.141066929053528,0.142541369496795,0.578383801174627,0.150625260859457,0.213904542739112,-0.0378008540941979,0.0777579568527964,0.0606647066443445,0.0861972230066048,0.0597653613638622,0.0377158070906336,0.053113271419053,0.0957545094797986,-0.0310034389318064,0.0899962690586293,-0.0280584854520807,0.271780639974873,0.266128970128274,0.116286411146702,0.0950447908629835,0.0188620311894259,0.00971327090197007,0.0633018114077011,-0.113518586514904,0.0743365567181776,0.0123383647635873,0.0517874845020425,0.0747184430222785,-0.00733303598025095,0.0415940993921451,-0.0154871395108636
"NLE-ZS",0.0852015146994442,0.118996082246709,0.460350491588135,0.212808832031972,0.277324721600641,0.247986735834291,0.150625260859457,0.376185467501462,0.388197079425975,0.387619799801334,0.36450913516038,0.0850715007993746,0.0908161248947273,0.0506692547662671,0.192066172383581,0.0686332449911247,0.149260829146192,0.057773713662327,0.00637509463466551,0.0721922754807608,0.195795945262917,0.28555969788291,0.1446556131829,0.139030464806198,0.159279219002616,0.0411098660992092,0.174947169766866,0.146476468731533,0.136573238593251,-0.000947482042185817,0.197895828691142,0.0248109503941442,0.0696526622789267,0.0266113043027878,-0.0726773848675195
"NLE-ZI",0.101962970637154,0.262807744700959,0.788356855662792,0.306042968885611,0.674709893550763,0.463512802420289,0.213904542739112,0.388197079425975,0.7840211817893,0.615511649177176,0.65226533856537,0.117837084087033,0.218150719231935,0.210802845156275,0.472119648575016,0.195763062678439,0.319763750547963,0.0141537023745463,0.372804972658814,0.240228698111484,0.246494181416086,0.245130332433498,0.258845648036028,0.242617391956312,0.28218699050855,0.175306539682843,0.325186610759661,0.160538329006189,0.256820164642019,-0.0678000400447535,0.161967524869535,0.121943176143105,0.356848685579047,0.164122427758388,-0.11693802765835
"NON-BR",0.20762765992641,0.350330451650501,1.0640515784103,0.329223461957371,0.556268681519073,0.50664916592004,-0.0378008540941979,0.387619799801334,0.615511649177176,1.83206404182232,0.935771584635084,0.335862399242857,0.212853227352363,0.194962677091119,0.622092997313152,0.196765932531623,0.347114997536835,0.0862454977661415,0.208557229442826,0.24410048227565,0.459797057485865,0.454281981315981,0.35210305888517,0.418682812662824,0.397846197093345,0.255872158351864,0.506819349763384,0.516153108680787,0.260959647194392,-0.0311333459231857,-0.455761615604806,0.142955301941223,0.532923020944158,0.220513034589288,-0.0182659992198537
