"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.872317768598061,0.335987458164925,0.437754969622596,0.0272845726242336,0.120111720195312,-0.279490526396193,1.45592773909814,0.574712845577626,0.566079865812821,0.413019225426659,-0.998731505983815,0.394838760239952,0.178015297378814,-0.205046994603006,0.0291703477338414,-0.176874443291003,0.155278069896375,-0.071631728443557,-0.0475292387093151,0.26657798242363,0.567911391521348,0.464762777876985,-0.259973407772791,0.651392369817962,0.259638953817233,-0.2155754088818,0.12418222153753,0.247692907334575,0.183590790398195,0.273806878000117,-0.0884203333901812,0.450383285171522,0.189580208396191,0.215177239561347,0.402081256942162
"IS-NLE",0.335987458164925,0.95073804157074,0.807228645288738,0.645414413376402,0.288638673756374,0.618811230575946,0.437665372669758,0.235623300734016,0.181154852053651,0.139263540655376,0.141667512657178,0.0361702200162233,0.342246950929659,0.262346445357541,0.982756596299425,0.472600631374484,0.395500800623964,0.309846072463103,0.0042690977775496,0.373577907336216,1.10433242725854,1.19543282998407,-0.128507339432025,0.824586567239547,0.509072834021673,-0.0687682742224225,0.581899958472998,0.286343494556842,0.210630684407138,0.227639532858377,1.16700986501939,0.205031794546398,0.783701212289219,-0.104309826893694,0.352860994045111
"IS-PNS",0.437754969622596,0.807228645288738,2.22710987499984,1.43564106015475,2.60458887638626,1.51219835338424,1.51580391337379,0.968226540881492,2.31272778179058,1.41426339842709,0.389832059919573,0.331147805478483,0.452137162481415,0.247289156229589,1.5858508881037,0.538965596894964,0.801428162601942,0.258243454710498,1.37308939540591,0.446675948049919,0.160826596545304,0.552216843917372,0.545652939095034,1.07507250477104,1.10565346917466,0.057245428347708,1.0421564300499,1.03375611887493,0.802392180215405,0.357639267635929,0.584734539720608,0.765759245799427,1.38100561422659,0.168932863325956,0.433399044578314
"PM-ZS",0.0272845726242336,0.645414413376402,1.43564106015475,1.47824059412021,1.84117779569883,1.45389699139707,0.812803938439758,0.750011590155397,1.37679297280696,0.849469377430589,0.459545400078376,0.118233992517664,0.464815181049021,0.447597873125202,1.44246438576935,0.697540007942965,0.750547236126891,0.366658644852127,0.723461193978843,0.180410892680035,0.274658229115665,0.502071055852043,0.320405134330383,1.00310704079953,0.813444109975068,-0.0457110993798676,0.810368581932166,0.715355503844786,0.608736560406556,0.0863141904581617,1.44641692953903,0.0105388352073387,1.15926090249697,0.0549468696027112,0.185284562347109
"PM-ZI",0.120111720195312,0.288638673756374,2.60458887638626,1.84117779569883,6.80824886181627,2.21893179728299,1.271156221714,1.07380574747628,5.97187095787653,3.38142314389013,0.57325568952303,0.540769841156446,-0.0649559339792225,-0.034850027861487,1.52412752490847,0.132517965275373,0.764497884781221,0.419704416151613,4.68595255095009,0.972392727829007,-3.31055194283529,-2.24771391266065,0.966115445719565,1.85375589350897,1.14153194034569,-0.0479419723768261,1.36419847034714,0.994691903468222,0.633031727651733,-0.121708473149335,-0.253616207546217,0.355379590430753,1.29211791128651,-0.0759176387113494,0.421226961717172
"PM-MT",-0.279490526396193,0.618811230575946,1.51219835338424,1.45389699139707,2.21893179728299,2.22476378085296,0.325930434911711,0.287522106994121,1.4740810851701,0.951789771146301,0.708390722946712,0.116913159946388,0.575042541140836,0.501183640381877,1.41058959650652,0.549886966409511,0.461472386853869,0.353284117524746,1.35060529516433,-0.0587165685620236,-0.0799676830395285,0.378507692025111,0.407099002065927,1.04542991478984,0.617555845415326,0.169046823458208,0.889250331270265,0.66427602022733,0.387142352136953,-0.068624011805104,1.45795749835983,0.00743669292558775,1.0239954580488,-0.0231166504969947,0.249612651331646
"NLE-NON",1.45592773909814,0.437665372669758,1.51580391337379,0.812803938439758,1.271156221714,0.325930434911711,5.44581986863739,1.5509385992287,1.85644323192273,-1.7425870482761,-2.96031297306656,0.0699538751680526,0.3065770587474,-0.0559525940691525,-0.290116430035093,0.231667268961533,0.615432929249357,0.15765735298748,0.253931092873543,0.350326669204362,0.369265409159418,0.0874534092390424,-0.201435153864151,1.56465022231532,-0.320029808441765,-0.693671023424112,-0.242512177550693,0.725116820291797,0.58517073370838,0.854639968861072,0.177392735846478,0.516195537233828,0.836606660741864,0.115310735433405,0.516951654207995
"NLE-ZS",0.574712845577626,0.235623300734016,0.968226540881492,0.750011590155397,1.07380574747628,0.287522106994121,1.5509385992287,1.28298152808951,1.50567129486634,1.08360084140168,-0.258407349742833,0.314186167865638,0.371291552893861,0.363903563786443,0.727132361556498,0.402847798819288,0.681506240959071,0.189776101146136,0.225296291111302,0.0819175557611257,0.261750846966719,0.504941505185992,0.194953016345248,0.763025459445626,0.628687051697055,-0.0522445927294083,0.336050083556267,0.743263858304448,0.647199894208127,0.219408556149374,0.231476692793599,0.0230699949788969,0.66054845719085,0.208123374686076,0.119298681644702
"NLE-ZI",0.566079865812821,0.181154852053651,2.31272778179058,1.37679297280696,5.97187095787653,1.4740810851701,1.85644323192273,1.50567129486634,5.95302497743597,3.51608005510136,0.144751517429971,0.561505369112308,-0.00532589120288437,0.00750828964917279,1.1232543569621,-0.0406898047130917,0.761103520655551,0.244997901695333,4.26585382232805,0.821676384364667,-2.76930927482731,-1.5726566959746,0.776150340404381,1.84545958765874,1.14009984710708,-0.0158258233407947,1.0669205168772,1.07316166629937,0.753579712307963,0.0975878693187729,-0.886615659625837,0.193882983480717,0.840021059680209,-0.123672457504171,0.442491114715395
"NON-BR",0.413019225426659,0.139263540655376,1.41426339842709,0.849469377430589,3.38142314389013,0.951789771146301,-1.7425870482761,1.08360084140168,3.51608005510136,9.27815282497995,1.78708203111014,1.74149394115467,0.415501574544361,0.630470136055425,2.1216133431351,-0.694401473368763,0.639061490658394,-0.749151693475571,2.34697678559123,0.491072016038467,-0.362780838004734,0.736915144087327,0.566806890026257,1.90446267681923,1.94969241321464,1.35429651902875,2.04814334633118,1.1518001599557,1.17692831006686,-0.0111773536910626,-2.50750560701507,0.654515202529694,0.354274792286826,0.787260941162209,0.747229240567827
"NON-PNS",-0.998731505983815,0.141667512657178,0.389832059919573,0.459545400078376,0.57325568952303,0.708390722946712,-2.96031297306656,-0.258407349742833,0.144751517429971,1.78708203111014,3.09849220151653,-0.0347420731323342,0.254851530953226,0.532758001576065,1.59205855320814,0.559510213821428,0.254450054905104,0.185684823208014,0.512624509344217,-0.0450606179561914,0.112013988440071,0.727947187757724,0.732558665778284,-0.683913554250902,1.26396316455273,0.643786595760938,0.925233287230538,0.339778038218824,0.309646632121856,-0.0977547208770654,0.471832483842801,-0.126389156898208,0.481870175939874,-0.144137194760017,-0.265051253563437
"BR-PT",0.394838760239952,0.0361702200162233,0.331147805478483,0.118233992517664,0.540769841156446,0.116913159946388,0.0699538751680526,0.314186167865638,0.561505369112308,1.74149394115467,-0.0347420731323342,1.21817263399949,0.528401507808228,-0.214929163848438,0.246576996851518,-0.403122937697401,-0.0390960464771518,-0.187312319950253,0.202395231066982,-0.0126895855907211,0.135761145931577,-0.0407021884614135,0.237208845737883,0.261860373939045,0.420019790207942,0.201714931864927,0.42329563861064,0.164426038014577,0.108254247544521,-0.181668347959788,0.0503577271712171,0.625500454481989,0.503053425981527,0.692017574238733,0.318926152593849
"BR-APET",0.178015297378814,0.342246950929659,0.452137162481415,0.464815181049021,-0.0649559339792225,0.575042541140836,0.3065770587474,0.371291552893861,-0.00532589120288437,0.415501574544361,0.254851530953226,0.528401507808228,1.22292588228949,0.544158481202345,0.862041176903976,0.159989688063527,-0.0493045505296444,0.0633010954513256,-0.256944787496261,0.0396953534454711,1.06468749889571,1.4386964465485,-0.154578062457234,1.02227850666299,0.393057069905082,0.268473534916919,0.553022988988944,0.68581334796608,0.191582741810688,0.258068758596903,1.6454025357354,0.617350923629476,0.369203064578228,0.622106869018119,0.186283516735372
"PT-APET",-0.205046994603006,0.262346445357541,0.247289156229589,0.447597873125202,-0.034850027861487,0.501183640381877,-0.0559525940691525,0.363903563786443,0.00750828964917279,0.630470136055425,0.532758001576065,-0.214929163848438,0.544158481202345,1.49350015812881,1.26679760616323,1.09961669307168,0.420594338139339,0.462097002332073,-0.330739434465643,-0.134142026008091,0.303257665588676,0.702606516769702,-0.0137953959981353,0.788413955384526,-0.0908763265670213,0.292463880369985,0.333579178930628,0.48343258057926,0.158896128639964,0.0631697384564645,0.649664883151858,-0.247373691168878,0.785900600222982,0.167502642632546,-0.2436144877103
"PT-BA",0.0291703477338414,0.982756596299425,1.5858508881037,1.44246438576935,1.52412752490847,1.41058959650652,-0.290116430035093,0.727132361556498,1.1232543569621,2.1216133431351,1.59205855320814,0.246576996851518,0.862041176903976,1.26679760616323,3.34667236915741,1.37830662781286,0.85935191409078,0.667810425449474,0.462233159863913,0.24879829641544,0.54540141186909,1.09824492743887,0.317199684312,1.02699549256052,1.9100575372322,0.272595115402346,1.90061568071893,1.11594652794927,0.59156569187601,0.230913575418724,2.24890050784142,0.361600186726507,2.14669108656033,0.493927197713118,0.47992604202041
"PT-EAM",-0.176874443291003,0.472600631374484,0.538965596894964,0.697540007942965,0.132517965275373,0.549886966409511,0.231667268961533,0.402847798819288,-0.0406898047130917,-0.694401473368763,0.559510213821428,-0.403122937697401,0.159989688063527,1.09961669307168,1.37830662781286,1.9254932094561,1.08983929886309,0.892039483253525,-0.444799923592685,-0.21097862438577,0.340717372384123,0.12389072657302,0.36090237229799,0.113685534106268,0.164193997378626,-0.22424253870207,0.0206396697525757,0.597832158991008,0.406950770721444,-0.234779543217698,1.75905745005991,-0.759776532403484,2.03482618836026,-0.238058383262566,-0.209081992714661
"PT-ZYGI",0.155278069896375,0.395500800623964,0.801428162601942,0.750547236126891,0.764497884781221,0.461472386853869,0.615432929249357,0.681506240959071,0.761103520655551,0.639061490658394,0.254450054905104,-0.0390960464771518,-0.0493045505296444,0.420594338139339,0.85935191409078,1.08983929886309,1.26544078730729,0.413738500882812,0.0752168980618164,-0.132466548541272,0.330632834747995,0.127483133657394,0.537533249797866,0.338942868891813,0.349736530645336,-0.0943243420059873,0.167971849876338,0.605921007115635,0.902167123187664,-0.131062066293254,0.490187498769024,-0.532993872495173,1.42648796219053,-0.267368829900638,0.0129546287221704
