"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.18680679719614,1.90118561845581,3.50017550859058,0.497255454930667,0.268067253062995,1.05545317795319,1.12761330900953,1.17013811339045,1.33609822597231,3.40661504937713,1.27593794392121,1.44424116796452,2.1388863137282,0.448656246726662,0.608414668747478,-0.17506020108064,0.690687457927105,0.186655797179259,0.101177307545851,-0.0367933825041002,2.39624637200859,2.11736243588345,1.01652456281683,0.677403558453221,0.552401102337368,0.460887603616678,1.5972959970316,-0.239074111799492,0.799053735511522,2.34038732599358,0.253470685797646,0.855930428313231,-0.659398809530473,-0.247756952525932,0.441679939884383
"IS-NLE",1.90118561845581,6.89129937989317,6.48090758085313,3.08970267808207,0.779301043586208,3.56733716517216,0.400366687415238,0.927990363958334,0.165467311339386,6.44556194980719,4.09069946320655,3.58558372835453,5.96836715836899,1.75234395777015,1.75843575228505,0.795860694488544,4.23485090180827,0.46385626477121,-0.615694153355584,-0.543151027382679,6.58484027239963,7.1511760676203,2.26470917718135,1.5957458024194,0.775619391573842,0.449232537881607,2.01141724738216,3.15501539787847,4.45478572332015,3.33068697299106,-0.412935877767765,1.95445809319633,0.546576755921447,0.42490451682992,0.923252093873579
"IS-PNS",3.50017550859058,6.48090758085313,17.1466239804707,6.83953907357664,6.36300398581698,9.76522885456354,6.31161228518463,5.30239430417665,6.08283839877709,11.2528233886031,8.83024264458512,6.27579214137758,10.5594268434316,3.198688976351,4.17801262026666,1.74199745488689,4.98268608419807,0.160632238691609,0.856275606926531,0.290418981388949,8.41084290082812,10.3895341141334,3.45530996029713,1.61774759642401,2.62274804669228,1.99702614132385,4.01387991029395,4.22757169606722,5.22281472480904,7.13866733928686,6.34017419116395,6.38937497337696,3.12487138217794,2.19476235929905,1.32967834250702
"PM-ZS",0.497255454930667,3.08970267808207,6.83953907357664,6.05456603612022,4.24290695687116,5.70825711542064,2.7553053845005,4.26871768139551,3.03799167930845,5.50363411198519,4.15347857567234,3.3221712142398,5.16399184642903,1.16122018896589,2.42623932775436,0.914837182913689,2.50021407790569,0.412061841944652,-0.985168932108475,0.424436622649763,3.40039283323936,4.80613381236793,1.22548395846834,1.85336360857349,1.68907030383922,0.637716871138677,1.6467968090276,2.81157952379935,2.59179932661127,2.09374879643439,4.02920016278199,3.22171746752815,2.45078654413916,1.66646506438828,0.550895769673716
"PM-ZI",0.268067253062995,0.779301043586208,6.36300398581698,4.24290695687116,9.68959763442254,6.2219566495234,2.07069533992105,3.82448438369684,7.09290214300095,4.54194977143458,2.44533904110959,3.44767984645181,3.97350374666899,0.274963813429657,2.1936212792632,0.255319782395226,0.948570081478934,-0.950940093114337,3.11395924059757,2.46657033679431,-3.29299411885201,-0.388001587623625,1.52927070856322,2.59540840089738,2.70341644545485,0.945250269239642,1.72234956343943,1.91734424685446,0.488915149115306,0.148207793201672,4.28650655312048,2.25950982001382,2.47052645048398,2.37315137882689,-0.468788456158116
"PM-MT",1.05545317795319,3.56733716517216,9.76522885456354,5.70825711542064,6.2219566495234,8.56455047008453,4.43184379150543,3.74369575395837,4.73590915982485,7.26990087186653,4.52212315810577,4.44203073121965,6.49232307362951,1.52616266672087,3.17158843122113,0.938608687946325,3.30908320692684,-0.260851020493169,1.09641072972587,0.145459530015486,3.94323975843699,5.35414256613587,2.04962878637688,2.65214648840205,2.30370347757638,1.42858340914728,2.44968885165486,3.5760850923344,3.16405526962575,3.20150974746164,5.3206040418192,3.77646104410193,3.29646565692115,2.31507399992911,0.618693114084286
"NLE-NON",1.12761330900953,0.400366687415238,6.31161228518463,2.7553053845005,2.07069533992105,4.43184379150543,15.4683797325377,3.06620933647731,3.67253632002575,-0.561829587714414,2.65111018843791,3.50699318532211,4.46001065284753,1.09532477496246,0.833328934483165,-0.637531231584843,1.43006836344736,0.702763221701079,0.478621688096815,0.979191433255578,3.80451854266616,4.88860122555685,-0.168206020191999,2.22815167221432,0.347269995438155,1.44570807339969,2.09696450504483,1.7863413071355,1.48496799851948,-0.568195597351209,5.00628827341905,0.899273693885499,1.38142533422395,1.44661197351587,0.14312329995654
"NLE-ZS",1.17013811339045,0.927990363958334,5.30239430417665,4.26871768139551,3.82448438369684,3.74369575395837,3.06620933647731,6.63560698379841,4.72472088281509,3.52756360189283,2.35664845332645,2.93363597468566,3.22911367091046,0.231562351321813,1.2315170393714,-0.225940610233395,0.0179225692419669,-0.531005326172676,-2.02849407469138,0.806203417751111,0.394745668181182,1.7569168525396,0.931576488016132,1.73733797012047,1.36896726052947,0.691380199680665,1.44004356326186,0.711184569191629,0.192635194196036,1.11163572396885,1.47266090097561,2.67334470151936,1.83324928226731,1.58430224947866,-0.0733046989212027
"NLE-ZI",1.33609822597231,0.165467311339386,6.08283839877709,3.03799167930845,7.09290214300095,4.73590915982485,3.67253632002575,4.72472088281509,7.62191046645357,5.94751419023114,2.32376498100779,3.12814212297799,3.19337897402972,0.229003033582603,1.58500159600523,-0.228064034547795,0.88818114491071,-0.405636317797223,2.65760233374285,2.5690032905344,-1.73595279877,0.549446242711835,1.0480009185159,1.8434935351833,2.25041712493111,1.07545496425122,2.2051010360131,0.785061134045272,0.532036689960866,0.979485926310372,2.54543534131774,1.73303613243092,1.72174450074477,1.58339495123194,-0.278259404953881
"NON-BR",3.40661504937713,6.44556194980719,11.2528233886031,5.50363411198519,4.54194977143458,7.26990087186653,-0.561829587714414,3.52756360189283,5.94751419023114,25.5628072181843,7.50781448821191,6.24852777482621,7.24309391600328,1.27841923841763,2.91343084706826,0.548296241960468,5.21716657536504,1.44774895840412,2.79709907427547,0.501497011590569,7.28919982151882,10.153981507921,1.80117631873264,1.71600154263663,2.4165204780119,0.498705965103825,3.84223342225527,2.57565269984804,6.25416324905068,7.34247720981303,0.655591306654835,3.34763589830815,1.71896857966361,1.06508797524902,2.13840340795389
