"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.147610286213144,0.0546703458759701,0.310804590151949,0.131315171859198,0.18151024921687,0.19750046236298,0.114590670046412,0.182493909274643,0.261074475570096,0.320309018009764,0.213351298096344,0.0835109790049218,0.161913557160683,0.10113008849563,0.200787666187333,0.0430078485714153,0.165494562549044,-0.00951632942507443,0.0909677532465499,0.158350165984084,0.0885313583625663,0.232432672022504,0.0197265972017271,0.144183108787248,0.140111431282978,-0.0149888081413849,0.202656460636486,0.138834376198052,0.176866744484068,0.223646498170241,0.0845665615993952,0.145130553465398,0.170235510420837,0.140734584895874,0.0389043794318681
"IS-NLE",0.0546703458759701,0.168148023363651,0.22983596941996,0.170032082634599,0.142403272218838,0.150159904453244,0.115652636423555,0.16657046941252,0.155546348715304,0.251444872376494,0.144566345226805,0.0948974102659364,0.134154579261734,0.125217416088738,0.230988017505039,0.096504373811514,0.124772342121863,-0.0315409384875609,0.00426286976282687,0.145896882849806,0.163433664248514,0.207050748257889,0.0502658685054629,0.127355170525842,0.150852430659324,0.0226820995237717,0.193646570989192,0.107368366942671,0.13813583357635,0.148086863980064,0.0240880440162529,0.0993333132633093,0.169926473136124,0.121597048547155,0.0690610871973139
"IS-PNS",0.310804590151949,0.22983596941996,1.43273194050915,0.54652645342986,0.655608093115622,0.937937974448058,0.101653990169556,0.68449391615522,0.902859901307394,1.86539366715883,1.12113337931318,0.38129212418251,0.53343433539307,0.395058724081581,0.738795865690455,0.198003560398389,0.705031288194298,-0.0581315183230752,0.323060023809296,0.565639607192978,0.818387329525235,1.05673869252257,0.180837577566845,0.485491544252541,0.451872309171593,0.0135983188725307,0.750890361300429,0.444456849213595,0.741043882670601,0.937988416647092,0.109747762013339,0.573202703309012,0.632100105588085,0.563116822940008,0.26554590061921
"PM-ZS",0.131315171859198,0.170032082634599,0.54652645342986,0.430354456707932,0.330725003655345,0.422496717118867,0.181473348799153,0.478136178347839,0.413931048010144,0.800766570076823,0.388341845809573,0.175676795260872,0.252486771354288,0.250211711961736,0.436564456246853,0.224656012060533,0.372495792984101,0.0130422921834728,0.00725841207971351,0.259442327015739,0.357109139374736,0.424077912039286,0.0593696209171454,0.268867095681256,0.260995831106466,0.0620520094187768,0.401266859073102,0.216482641741779,0.361073609058632,0.360352087422723,-0.0345510400583032,0.253250598965967,0.434930129033515,0.338285776817594,0.122666618041809
"PM-ZI",0.18151024921687,0.142403272218838,0.655608093115622,0.330725003655345,0.497868784576463,0.438519550891109,0.138645382944991,0.380924062729709,0.568799695539992,0.863360565856475,0.458639528089052,0.233004769314057,0.317695963936571,0.201448336315711,0.448014193961249,0.154838420398721,0.322896466462721,-0.034059713065846,0.19085933036569,0.288614153970867,0.195656890973196,0.395788670955223,0.101726337594446,0.321525158328598,0.303331443436327,-0.00173598098068924,0.394821303299427,0.264961767563309,0.371780551972211,0.34754807264149,0.121862139468235,0.267281908957121,0.397068086195517,0.306126924371692,0.0988818995314439
"PM-MT",0.19750046236298,0.150159904453244,0.937937974448058,0.422496717118867,0.438519550891109,0.773643365865432,0.0358612049075767,0.504377467192612,0.630139096761905,1.44487377917089,0.774942636525515,0.283931108152261,0.415803787894364,0.324445328902413,0.599706161298211,0.258868628205842,0.620393186934904,0.0297894657088702,0.234345974791861,0.476449504430143,0.736407700091994,0.807495519720178,0.0170974530951193,0.447552093534351,0.357178090447328,0.0321284926890548,0.598027629399832,0.283450241789578,0.555502561459996,0.746025934369515,-0.00087805483623383,0.410318891055957,0.555975834061919,0.455776165229113,0.209819755575198
"NLE-NON",0.114590670046412,0.115652636423555,0.101653990169556,0.181473348799153,0.138645382944991,0.0358612049075767,0.691866249375111,0.302387513465372,0.190352660697273,-0.507021372162327,-0.157311463527214,0.183279874239144,0.216283626893792,0.116247650830051,0.204586688590142,0.0695117815142696,-0.0704177449973886,-0.0145828785984884,-0.0979687376651863,0.0185063239352663,-0.195376407567073,-0.0468790732815265,0.0509456037960564,0.0905032064427488,0.0833022206794097,0.0150541898146893,0.13903426761625,0.14673184194893,0.028239106833219,0.0478195165175038,0.0739541224346204,0.0741748964412503,0.173075868469343,0.0937210304312055,0.0613762693296482
"NLE-ZS",0.182493909274643,0.16657046941252,0.68449391615522,0.478136178347839,0.380924062729709,0.504377467192612,0.302387513465372,0.686261560299085,0.606457000750191,0.904046820562578,0.533580094914995,0.276385155077371,0.356831419294389,0.258393827068939,0.460171472966357,0.18502770570352,0.462118234425603,0.0109720779293365,0.020750129381802,0.302747801120853,0.388234326915158,0.537373388557825,0.0894500286635493,0.262064483641308,0.290338162674931,0.0583585144573533,0.441784565830701,0.326596321883736,0.479978437640693,0.472903628299178,-0.0464696980513413,0.328140449607254,0.426774617640814,0.386665457629458,0.186606563373024
"NLE-ZI",0.261074475570096,0.155546348715304,0.902859901307394,0.413931048010144,0.568799695539992,0.630139096761905,0.190352660697273,0.606457000750191,0.848586515656674,1.28890580504081,0.77008986179991,0.359548034092734,0.483095664330929,0.247505160297829,0.549318752922683,0.154465419501444,0.56216433313019,-0.0149488654708302,0.319213352822006,0.442891191278654,0.406795382704499,0.703439763634442,0.121815358852649,0.382070537584057,0.396465229840863,0.0155554679176054,0.55431345979254,0.413737709219134,0.605855397401326,0.632345476951521,0.121527875866788,0.418303175686733,0.453320590821968,0.423398201377119,0.165143022671348
"NON-BR",0.320309018009764,0.251444872376494,1.86539366715883,0.800766570076823,0.863360565856475,1.44487377917089,-0.507021372162327,0.904046820562578,1.28890580504081,4.60715772554642,1.86604108495526,0.697761500784723,0.597410083179107,0.542644787856482,1.18481520224917,0.426934872497837,1.41654786962976,0.130150932250153,0.592835570550591,0.980609038916559,1.60422505753331,1.94842703781022,0.119455979331863,0.876900740846129,0.882114967239483,0.152639168436155,1.32410635516395,0.546171708083097,1.29953860951229,1.33269108026586,-0.583357193664067,0.83733059065875,1.18756925373368,0.963795589894693,0.319726165711841
