"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.134522939516758,0.0968931630842003,0.322036808396237,0.0938259170656943,0.0693269358525573,0.153407525663537,-0.014206557470091,0.202136287260325,0.173941202252936,0.261578350219512,0.235327332220487,0.0596081179702668,0.141794442554376,0.102979700009464,0.142944027570632,0.065606090685966,0.18006272139377,-0.0010022123948287,-0.0309020003101659,0.158286199408641,0.182591893328263,0.185567871474971,0.0374180537042098,0.0882354497276706,0.0467660944626808,0.0328705620742529,0.161710523574146,0.0906654310876125,0.192725457761703,0.146392393969259,0.164880609952603,0.145049790880082,0.129396797310935,0.0924645356935949,0.0579720029315152
"IS-NLE",0.0968931630842003,0.419305598152092,0.618853191833066,0.332767267710786,0.302334371503588,0.411632175206838,0.161173586064539,0.480931273762435,0.42338890764217,0.481869954838734,0.493596240903625,0.177669638868922,0.190756225620305,0.202767437532953,0.355747392724953,0.186563270202268,0.327755281340208,0.156745180344648,-0.0732301407976848,0.287838366086856,0.278661741499668,0.387257189913893,0.124136389989314,0.151336620170006,0.128759569518507,0.0602948953617061,0.284679415739262,0.26519711915959,0.351838022448111,0.330034832182643,0.123125184176926,0.221953607616905,0.353523257056981,0.0898145862718799,0.112771723435903
"IS-PNS",0.322036808396237,0.618853191833066,2.65088050872937,1.00556716618742,1.11730965593126,1.44189383204647,0.251615344088945,1.49479820963603,1.5035065433295,1.88635502575121,1.89925122309568,0.235480051552011,0.367994944374791,0.273717732130525,0.698730990846757,0.280945710116114,1.01710845509645,0.160971807568682,-0.0438267474917592,0.892544294413448,0.924666497297441,1.19376565918667,0.667860987922417,-0.0673478749522461,0.381362433553603,0.255759194242527,0.714211856054577,0.678995402330645,1.08703866097138,0.548601965933641,0.911009055430268,0.477440589531343,0.852183441623793,0.465259925114316,0.402136940157716
"PM-ZS",0.0938259170656943,0.332767267710786,1.00556716618742,0.798660965796195,0.743753046813434,0.786619939358766,0.289503338443431,0.964530325029231,0.815485274058131,1.06579817287057,0.7395893793348,0.224575269853657,0.238374323597598,0.0733270127206356,0.392774866101618,0.198625073202382,0.516193172218452,0.21257663712507,-0.149960486339703,0.414371224981303,0.424771412432601,0.559268786028524,0.152324387736804,0.241017625258795,0.28960621486143,0.203770832566438,0.360293246055193,0.23807012993323,0.487627397027874,0.289250587623208,0.543057980357589,0.182230405881314,0.621083194901153,0.250364269262588,0.185748547461634
"PM-ZI",0.0693269358525573,0.302334371503588,1.11730965593126,0.743753046813434,1.3915166160216,0.865419309152939,0.415416001262897,1.05100934222161,1.37405794677593,0.897047282948771,0.73461489926347,0.150780385372214,0.0388434672529107,-0.0194464643280551,0.178743784979134,-0.0269814122646924,0.132899733766395,0.0137267171811156,0.188701069452496,0.374963349278835,-0.504994757400264,0.182353133472886,0.236072168898104,0.223612115146536,0.214641618327824,0.161643133080849,0.172843240737623,0.578028996091851,0.407463869546121,0.22554896417363,0.514755399443359,0.0366189228341834,0.37178487589198,0.265369532819043,0.320588464140124
"PM-MT",0.153407525663537,0.411632175206838,1.44189383204647,0.786619939358766,0.865419309152939,1.31680865324688,0.194404751498671,0.938543705334809,0.967199081246963,1.27405933074641,0.96880350129425,0.179945849856347,0.206821899650924,0.156915475855498,0.428625876378216,0.237083044681387,0.644482330392019,0.0512970032034426,0.0151671966037604,0.7438215206599,0.411574611806368,0.62380422171412,-0.0100116558641628,0.204274218951908,0.198998152930958,0.065674009033425,0.385541464443868,0.483601694306138,0.672940657409034,0.352285482893857,0.721207123168291,0.266281482904617,0.599671724984102,0.35648754958065,0.264437789583415
"NLE-NON",-0.014206557470091,0.161173586064539,0.251615344088945,0.289503338443431,0.415416001262897,0.194404751498671,2.19998841457001,0.332980368527253,0.407539596661494,-1.68111140776056,-0.228839326383753,0.0687568782647999,0.188052682148834,0.237420903980818,0.167529357415362,0.0916514492463014,-0.177848671169341,-0.090264677828492,0.117888802720981,-0.135765920940076,-0.258341167366666,0.275611507848912,0.161029019977462,0.352682322017891,0.043331690357055,0.338258039598573,0.0649252761208586,0.423548222393682,0.147157127293641,0.169085697890116,0.312639742053836,0.122924194125188,0.227245458732585,0.203810919704193,0.144186694399837
"NLE-ZS",0.202136287260325,0.480931273762435,1.49479820963603,0.964530325029231,1.05100934222161,0.938543705334809,0.332980368527253,1.77381156338648,1.41947634321608,1.410155551694,1.27350866363513,0.338813001380795,0.369852579389053,0.204681026220359,0.443172628360369,0.158659244646258,0.671541667346807,0.19730524919626,-0.499812117218743,0.585794547136958,0.546307356712857,0.678060704443247,0.355995944061975,0.327964742102557,0.200730397770635,0.29306842063867,0.460181227648789,0.261337607144218,0.688068063161602,0.554217131730038,0.716356272002819,0.271207145705156,0.713492313244658,0.153737882805655,0.316386531535316
"NLE-ZI",0.173941202252936,0.42338890764217,1.5035065433295,0.815485274058131,1.37405794677593,0.967199081246963,0.407539596661494,1.41947634321608,1.6864321701384,1.30841609572193,1.2108818019905,0.206491510064075,0.227385918637971,0.150429097591682,0.328449775061,0.00572180538632252,0.407267116867128,0.0414858091616446,0.129782663090282,0.557226303443899,-0.0464266759553343,0.564157944874984,0.417481576339695,0.266974428631339,0.218210593939441,0.184614806015235,0.368558369828398,0.563243193176993,0.650890504548528,0.475930662756838,0.703080037417762,0.268396465752041,0.467085049773458,0.29918754433463,0.335512423720123
"NON-BR",0.261578350219512,0.481869954838734,1.88635502575121,1.06579817287057,0.897047282948771,1.27405933074641,-1.68111140776056,1.410155551694,1.30841609572193,5.56339507897923,2.02676001634452,0.813528588830216,0.293543215037502,-0.244598074054461,0.400107540621442,0.0122657658401352,1.1927849325101,0.305310954149722,-0.0462384452180697,0.740966532081573,1.47040173742724,1.11937561167645,0.367417563204448,0.0582864789146225,0.529335370300232,0.0860275827966782,0.656094182443534,0.0229114799589773,0.891643912783794,0.279472852666949,0.057365217708889,0.302527363900633,0.867734570804868,0.683288579326528,0.163981344433124
