"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.699214419188627,1.00910951800632,1.9683651521164,0.924355229761865,1.0374858951667,1.24948604822085,0.864143896605766,0.960845676015395,1.45245789567538,1.28409009576389,1.68558961344948,0.404798658288897,0.871481090227366,0.6510344209959,1.31359254131318,0.781358880240687,1.19505042056088,0.00274765623348394,0.540333328508042,0.447438933791272,1.49138598685055,1.46129993468682,0.601166972623821,0.916076683103896,0.779597870046648,0.302505686026868,0.796816317874804,0.723917748118346,1.15524474518527,1.00770035070492,0.487595264996461,1.15835307057656,1.11550281023959,0.259441299422256,0.0763531323410697
"IS-NLE",1.00910951800632,2.60802663863121,3.79439492510141,2.16796334335892,2.24420943907136,2.27153827167346,1.29056837758309,1.49067848060503,2.51115296091373,2.41532669719743,3.26291666808102,0.72874877215682,1.62961498234177,1.17169145831299,2.35524550955766,1.45707714540429,2.37164941826963,0.239858961516167,1.10045608175964,1.03416538076649,2.95241607583846,3.04082999346876,1.22918177672044,1.35350098767595,1.80485463152886,0.508634396170946,1.54761256413963,1.68015929961959,2.17567285519352,1.55185458312865,0.638733389313696,1.93920665787824,1.78306806713555,0.65686230825789,0.21018381779145
"IS-PNS",1.9683651521164,3.79439492510141,8.54977188367966,4.03900902501207,4.74540070556721,4.98817971132291,3.70188801484926,3.31316165798554,5.3299194377591,4.12587734637081,6.53459742776123,1.54247490169197,2.83586343206128,1.96876583982045,4.20531073921453,2.30079346970848,4.07128015789872,-0.00324977237636048,2.1101929585833,1.93430461388815,5.22442825045945,4.8024921339663,2.23019953231421,2.01860249941231,3.14950630090457,0.966450866580978,2.96522547599477,2.62877375045977,3.89408080683446,3.65712587423255,1.41762086872435,4.10431718845581,3.50094969405692,0.902854398908627,0.123940449904853
"PM-ZS",0.924355229761865,2.16796334335892,4.03900902501207,2.43996509853912,2.47506249002089,2.56961727657385,1.51710534540997,1.56911724010797,2.57477151252697,2.38477369821498,3.0692254607523,0.762138014020371,1.51176549773781,1.07489320780972,2.24130618465273,1.32623734360256,2.2939642220578,0.115949115332694,1.1117574929113,1.07020157017347,2.90787743976087,2.92918623892093,1.13337859546624,1.36658667816863,1.73640914175853,0.437450763875612,1.44126243401135,1.77984070199972,2.165906856936,1.89075824286215,0.728483457984295,2.13970212407652,1.63379326876407,0.308973369861289,0.00643706767991764
"PM-ZI",1.0374858951667,2.24420943907136,4.74540070556721,2.47506249002089,3.32517879054602,3.18371392058754,1.85682661687466,1.91086352649945,3.34641856503331,2.42808539056686,3.6062148733009,0.853801634417022,1.74415150017716,1.18024312789636,2.59508880007247,1.44726796677594,2.41642479878723,-0.0142816101471701,1.48407215541187,1.3143930453218,2.80150636128757,2.67265748976889,1.3217768135041,1.64515385581984,1.9546123950844,0.465813010485583,1.80926219013621,1.83224960312588,2.29970669201827,2.30405500486432,1.00286405812576,2.34756779259941,2.06029722264517,0.342481777286384,0.132776207214498
"PM-MT",1.24948604822085,2.27153827167346,4.98817971132291,2.56961727657385,3.18371392058754,4.25940444468202,2.32330259113112,2.01935226654719,3.37795033576399,2.98854748502956,4.05620511903353,1.25275284013082,2.01772949192047,1.12773598296953,2.90108400990763,1.58134791445674,2.43792288859484,-0.230041539399193,1.41800576869459,0.983714913696449,3.29311105552663,2.79562700657845,1.31610247004596,2.2281073209068,1.95705806466563,0.38583868480474,1.77718441708901,1.97454529236296,2.38461139560354,1.87499147927383,1.0199445443498,2.71305248286691,2.86209738301258,0.60337570826207,0.0839714628032747
"NLE-NON",0.864143896605766,1.29056837758309,3.70188801484926,1.51710534540997,1.85682661687466,2.32330259113112,3.38512329891336,1.44922565197437,2.35682684367628,0.933766979709989,2.88038938217602,0.772484051343546,1.29646120710568,1.01116625886881,1.84610649342398,1.20133236297124,1.39577710227161,-0.370606178874474,0.875782646296911,0.663941205681234,1.78394874952631,1.80677177229284,0.916824261054024,0.726676178332959,1.20155939810002,0.474771740700243,1.07307490265162,0.949096665413212,1.54375534900499,1.36292348256346,0.655341063748411,1.82275056179292,1.45260443501475,0.173495191073045,-0.216284721560915
"NLE-ZS",0.960845676015395,1.49067848060503,3.31316165798554,1.56911724010797,1.91086352649945,2.01935226654719,1.44922565197437,2.15348537475862,2.59058139872932,1.88956493734804,2.69890133683398,0.393834034522925,1.24952135228956,0.990830689162101,2.01216787998106,1.03682671616209,1.89698685045977,-0.0805092857978522,0.496700111312341,0.741790466324095,2.52969306936639,2.46134761343978,0.854291775332412,1.49846270768573,1.44037270741609,0.390560463434555,1.2498974102298,1.27219565787516,1.85412552517961,1.57180131061391,0.782635116734962,1.8272671166499,1.59238594097491,0.677559873670977,0.341321502751026
"NLE-ZI",1.45245789567538,2.51115296091373,5.3299194377591,2.57477151252697,3.34641856503331,3.37795033576399,2.35682684367628,2.59058139872932,4.2344010478122,3.13312341045047,4.70751410370785,1.05940870481009,2.10457892580012,1.63539291108926,3.41224350838382,1.91050576655997,3.07631301985108,-0.0143782860403708,1.70780202036875,1.43634890433212,3.46360210125998,3.39205306173581,1.53027993683397,2.02814724609919,2.27284519830367,0.719550911014607,2.17317810004437,1.96615289159456,2.94699863077298,2.5685067101039,1.19231040524513,2.83552451142076,2.82830114663747,0.733613065880703,0.330508685504489
"NON-BR",1.28409009576389,2.41532669719743,4.12587734637081,2.38477369821498,2.42808539056686,2.98854748502956,0.933766979709989,1.88956493734804,3.13312341045047,4.69259126097039,3.92529995191083,1.30996211153973,1.69350638743109,1.15082341283463,2.92390315879464,1.56650998496371,2.6310118436414,0.073698395221484,1.38325628257014,0.96415029754059,3.80328484863274,3.55838705547733,1.28502148465613,2.28081396200898,1.92612422330853,0.72089210671384,1.75198544227876,1.83002279749201,2.53427115620604,1.37734760172836,0.701404316277969,2.11955926386089,2.98383457761957,1.01893040556615,0.493149027492207
"NON-PNS",1.68558961344948,3.26291666808102,6.53459742776123,3.0692254607523,3.6062148733009,4.05620511903353,2.88038938217602,2.69890133683398,4.70751410370785,3.92529995191083,6.80896467830012,1.487795359747,2.35847221200132,1.59628688945812,3.53596323320938,1.91172891961791,3.76506040005202,0.0156210879155092,2.07939711801815,1.52078769810133,4.07576697346203,4.02030019689458,1.98945045434133,1.33803532032806,2.61082870651529,0.927500622730553,2.44476908512542,2.04994690410042,3.58201060731434,2.74383210574916,0.842108531462881,3.23859930678181,2.91484977914428,0.882118576753344,0.0971853278748167
"BR-PT",0.404798658288897,0.72874877215682,1.54247490169197,0.762138014020371,0.853801634417022,1.25275284013082,0.772484051343546,0.393834034522925,1.05940870481009,1.30996211153973,1.487795359747,1.36504398708744,0.908742486259679,0.0772449311172057,0.896339261944629,0.466190541404261,0.369734567379655,-0.0349049422524719,0.681057221778114,0.373202592786434,0.677741435114334,0.0752761804094572,0.417337900013559,0.407290869120036,0.442488154038318,0.263256583471936,0.435675156327256,0.616825868098216,0.333861469592398,0.682807873055778,0.635934954677444,0.817386350323192,1.37021653335886,0.241964606146626,0.256744073955214
"BR-APET",0.871481090227366,1.62961498234177,2.83586343206128,1.51176549773781,1.74415150017716,2.01772949192047,1.29646120710568,1.24952135228956,2.10457892580012,1.69350638743109,2.35847221200132,0.908742486259679,1.85865250179919,1.31209321932545,2.264557837034,1.50871512591347,1.74995125934614,0.12940814163258,0.92747578139056,0.807009965076288,2.08981399253739,1.96766457509443,0.937119006917235,1.54637554410146,1.00658341835107,0.361344466447414,1.16682608466975,1.18646862860202,1.60444866250447,1.40296510526968,0.991699314106407,1.71520847694892,2.04769569102889,0.590661643546291,0.394752217507922
