"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.234793593722858,0.169425643372264,0.478919519248414,0.132014468020987,0.149866398896675,0.219327128268008,-0.0252073243728493,0.198435659919378,0.337407591368552,0.348494255616163,0.354065198152871,0.0879010564178344,0.0953476799676497,-0.0538236085677376,0.178977141614805,-0.0147617515131409,0.157007172453659,0.00778438004761085,0.153385560991722,-0.0419771505021285,0.201015446267432,0.181152351436263,0.108380550932975,0.101877234459995,0.26998884525569,0.0271992316356901,0.224666231019807,0.089971428962927,0.165438539372531,0.341646783649193,0.0851264889876757,0.235295886840996,-0.0496326109338517,-0.0249710047991073,0.0155349533674165
"IS-NLE",0.169425643372264,1.20319884124407,0.925030207786377,0.510939952383989,0.569836926889595,0.460847034293534,0.336298003306697,0.608608220941178,1.04650329988393,0.609799824162216,0.976893181866435,0.0331866324799296,0.288310522274005,0.378122940942347,1.026946954961,0.614373707380229,0.812350831564157,0.0593477112842934,0.406820651411663,0.0864010807262629,0.534875061321777,0.534238530960086,0.328369564998296,0.206889281645069,0.841088657223345,0.155587794655907,0.522401797710574,0.643807008959163,0.726168170476671,0.342643775528371,0.550895548312955,0.411399600944714,0.554261498165946,0.0519810086058115,0.16442952313571
"IS-PNS",0.478919519248414,0.925030207786377,2.74749384444029,0.933323440973359,1.12170427243795,1.18449361912188,0.25259706970879,0.9243036765667,1.63241968820018,1.29183035405539,2.08621832951275,0.439911684823745,0.798533455475404,0.00982571363629269,1.30992644540784,0.531199644109515,0.836357554504582,-0.212328716801513,0.712153513712682,0.0400164111877098,0.92753801419854,0.742395117880362,0.858791765471075,-0.0309510767148187,1.19205659731011,0.133172757490349,0.904772827444008,0.917301775404412,1.02898065965751,0.51856691246902,1.45655199997092,0.929120229205678,1.51817413383998,0.518581993232818,0.232671762531754
"PM-ZS",0.132014468020987,0.510939952383989,0.933323440973359,0.638326474411875,0.597761284056821,0.435740478737502,0.289629319045772,0.384569061536959,0.794673275456885,0.623619052833225,0.868805721551537,0.0900797346091459,0.362125580019521,0.127215567563497,0.748591740889945,0.419402724827689,0.587721564121182,-0.0318994188829841,0.418720490374791,0.128858879042466,0.431295643783097,0.259890114187757,0.28559284532418,0.191152578675874,0.624121288042479,0.1081217327684,0.450295754185092,0.395881630711254,0.563893337287345,0.191129218484083,0.530332986612582,0.387073678332517,0.726618568821531,0.273418689082074,0.000161568094640507
"PM-ZI",0.149866398896675,0.569836926889595,1.12170427243795,0.597761284056821,1.50515963345447,0.888051567415171,0.473785885870358,0.510206671487314,1.48935798529658,0.716581829840415,0.730569968964332,0.260807347222362,0.663634603152284,0.13692725882269,1.02931509122363,0.724515290173996,0.723984056408111,0.0240688185287091,0.967389968802554,0.373264394663687,-0.258548677655783,0.13423704382424,0.52814021670024,0.522668169286807,0.892739228363621,0.0233401462965844,0.554070788428184,0.823657046240715,0.80558782987016,0.658676936997723,0.884051154911985,0.590028974579093,0.672804690821988,0.499459018018488,0.0796117615303122
"PM-MT",0.219327128268008,0.460847034293534,1.18449361912188,0.435740478737502,0.888051567415171,1.54166288387351,0.487031903091902,0.44066625603745,1.08009029820161,0.23202579770677,0.874653010401546,0.253100214144199,0.454147415996822,-0.0977666062544196,0.788566404865545,0.383218004455854,0.553918624567943,-0.176764317528257,0.667110848247315,-0.226136216430089,0.143316150832119,0.0635146667749974,0.439139132530873,0.0632048593967058,0.81125807253498,0.19938140518554,0.550214453100088,0.447461402126154,0.643109834097032,0.608557531468628,1.2727174462334,0.47162065817212,0.527611963563496,0.236304009274584,-0.0750064485453908
"NLE-NON",-0.0252073243728493,0.336298003306697,0.25259706970879,0.289629319045772,0.473785885870358,0.487031903091902,1.50699830711638,0.236863206429053,0.570122157792255,-0.756785708006807,0.0659682816188221,-0.213178768016594,0.155871026897202,0.27878628628684,0.347718170821685,0.494342950702917,0.21386518968561,0.098256330692371,0.320606964491564,-0.0286323965490642,-0.212596143926441,0.458838058977057,0.0457094248125936,0.323326407140965,0.3227188340019,-0.140261985735786,0.0131818014886016,0.387937344495629,0.208662747023338,-0.0196409078603422,0.111518607437028,0.0137718757696122,0.103806875023076,0.22687784344802,-0.121768132232656
"NLE-ZS",0.198435659919378,0.608608220941178,0.9243036765667,0.384569061536959,0.510206671487314,0.44066625603745,0.236863206429053,0.842378290382808,1.04045983224428,0.569572051694714,0.981445162517375,0.134071994655562,0.396997773201445,0.105528107110829,0.605686059068639,0.314371645934233,0.759803787485668,-0.0257903449987426,0.210312267513564,0.0478081879890991,0.471980386380176,0.538502869658794,0.304909525369037,0.139700407636112,0.594730244480656,0.107169632584921,0.41968799370161,0.437357819817428,0.767301161803952,0.412120119176975,0.5951829076375,0.414350221714513,0.32835542234414,-0.0173407008018633,0.064871965499144
"NLE-ZI",0.337407591368552,1.04650329988393,1.63241968820018,0.794673275456885,1.48935798529658,1.08009029820161,0.570122157792255,1.04045983224428,2.20590110449246,1.29469667282186,1.49985209511207,0.300795122403865,0.974527427893793,0.522576177261887,1.52355996432181,0.987955530571535,1.36791872235787,-0.0703109322606497,1.15617064770084,0.259152665751869,0.24378006279348,0.694175555518614,0.702358025907627,0.452291014945366,1.21106275158678,0.208067427087276,0.920273403872082,0.827208517085233,1.48838231416728,0.851450356875244,1.14625313658979,0.775658967355161,0.697215266409575,0.469328793892398,0.0956198426087192
"NON-BR",0.348494255616163,0.609799824162216,1.29183035405539,0.623619052833225,0.716581829840415,0.23202579770677,-0.756785708006807,0.569572051694714,1.29469667282186,3.5072072551685,1.3630774603727,0.758350897328137,0.753497936281117,0.129477031237565,1.1636567459677,0.446946970501249,0.804344620709882,-0.28484223564109,0.683136956323933,0.214244455908984,0.716020796205027,0.202056304733675,0.60492718000247,0.261457659156075,0.910040195431071,0.274096234323718,0.813027846791578,0.58115486854464,0.947660889854957,0.864034158082141,0.342120665347071,0.526802132455149,0.599324409648979,0.0960883392629204,0.33764838513801
"NON-PNS",0.354065198152871,0.976893181866435,2.08621832951275,0.868805721551537,0.730569968964332,0.874653010401546,0.0659682816188221,0.981445162517375,1.49985209511207,1.3630774603727,2.41500194373116,0.218162595821846,0.743400774507609,0.406852633117586,1.35303881387692,0.619859468639878,1.44215671237705,-0.248532679383396,0.521801028063014,0.0640740959985723,1.38721802285444,0.947201971916147,0.697239370895223,-0.189000503425837,1.17689722273631,0.407933611942548,0.984391864379999,0.555332926331504,1.49743587886529,-0.142215094186699,1.5321668655947,0.282050095334853,1.40770166854056,0.55311053785512,0.212678508482938
"BR-PT",0.0879010564178344,0.0331866324799296,0.439911684823745,0.0900797346091459,0.260807347222362,0.253100214144199,-0.213178768016594,0.134071994655562,0.300795122403865,0.758350897328137,0.218162595821846,0.887294580108641,0.564173705575695,-0.563740319732558,-0.0363029905946891,-0.270628449958408,-0.251860397139663,-0.0327150558202578,0.162493642521152,0.0103029861542942,-0.126101299151265,-0.624269749026381,0.155995148861561,0.106041190746151,-0.0136837960640014,0.0434843324409484,0.0303960454249301,0.252635410356268,-0.229739181729672,0.15685919946269,0.574407630407023,-0.0213208978739994,0.509879218786052,-0.0383812855184851,0.262262710207204
"BR-APET",0.0953476799676497,0.288310522274005,0.798533455475404,0.362125580019521,0.663634603152284,0.454147415996822,0.155871026897202,0.396997773201445,0.974527427893793,0.753497936281117,0.743400774507609,0.564173705575695,1.3972024262973,0.608460733193353,0.889486367558382,0.771967756278376,0.682562981440049,-0.0257548246255993,0.577694286739135,0.0969644378235114,-0.219440217961934,0.273770723647714,0.356374868916228,0.183366187490748,0.297172675348072,0.0590863397950339,0.340786556310857,0.441978001337298,0.777017516892493,0.386703231899928,1.05936114716219,0.523014808530985,0.508532428457462,0.295703389043378,0.0611167552740128
"PT-APET",-0.0538236085677376,0.378122940942347,0.00982571363629269,0.127215567563497,0.13692725882269,-0.0977666062544196,0.27878628628684,0.105528107110829,0.522576177261887,0.129477031237565,0.406852633117586,-0.563740319732558,0.608460733193353,2.2635636016315,1.45529447078082,1.7074381812209,1.24529385672071,-0.0151402176649491,0.368113251363344,0.232511888363067,0.0448280882314143,1.18166366530542,0.167331121613527,-0.12327505844582,0.062774451791278,0.155491290667228,0.277911498666523,-0.0553897540733986,1.28452286306375,0.0997337241313962,-0.302712820759785,0.64141804002131,0.24598573120681,0.49567919566688,0.002830236161946
"PT-BA",0.178977141614805,1.026946954961,1.30992644540784,0.748591740889945,1.02931509122363,0.788566404865545,0.347718170821685,0.605686059068639,1.52355996432181,1.1636567459677,1.35303881387692,-0.0363029905946891,0.889486367558382,1.45529447078082,2.53714769127861,1.95180676221109,1.61691996901266,-0.157024028350281,0.882010906748122,0.264998163956885,0.589306829391091,0.655917879190188,0.601033337620695,0.210264415758216,1.35758662765432,0.367370165207462,0.994847871222308,0.740760497729659,1.68497040859649,0.278157837159638,0.78292584395021,1.28874846221604,1.92766805250158,1.04043222701107,0.123411339495812
"PT-EAM",-0.0147617515131409,0.614373707380229,0.531199644109515,0.419402724827689,0.724515290173996,0.383218004455854,0.494342950702917,0.314371645934233,0.987955530571535,0.446946970501249,0.619859468639878,-0.270628449958408,0.771967756278376,1.7074381812209,1.95180676221109,2.01395420811804,1.22520467362218,0.0406995654501166,0.637819088351771,0.31919776448468,-0.105754626916985,0.544826367113949,0.300261552050857,0.115649506110483,0.620178521340316,0.162500928161383,0.433181798510668,0.524679439185276,1.234227068795,0.137735980371002,0.283637300631647,0.881195093903579,1.24155302886404,0.759014857830187,0.0812600892011936
"PT-ZYGI",0.157007172453659,0.812350831564157,0.836357554504582,0.587721564121182,0.723984056408111,0.553918624567943,0.21386518968561,0.759803787485668,1.36791872235787,0.804344620709882,1.44215671237705,-0.251860397139663,0.682562981440049,1.24529385672071,1.61691996901266,1.22520467362218,2.03696348791515,-0.0676185752782162,0.608544972011561,0.231560220024061,1.00146544832037,1.29880941575739,0.418340068760763,0.196336955253535,0.993107101831986,0.39812159572997,0.918048781418655,0.190738034337959,2.01117698989107,0.314218863536072,0.840260979160452,0.615696120328899,0.685262766781055,0.528552447323752,0.0989898819036272
"PT-TSP",0.00778438004761085,0.0593477112842934,-0.212328716801513,-0.0318994188829841,0.0240688185287091,-0.176764317528257,0.098256330692371,-0.0257903449987426,-0.0703109322606497,-0.28484223564109,-0.248532679383396,-0.0327150558202578,-0.0257548246255993,-0.0151402176649491,-0.157024028350281,0.0406995654501166,-0.0676185752782162,0.449071598465522,-0.0392705436418455,0.14795106867036,-0.215257541546716,-0.0685029967578197,-0.15798455999819,0.219079754136587,-0.258738910293479,-0.0827466059954295,-0.168106450553793,0.00709307331742405,-0.315323959800274,-0.00846664283723473,-0.170628482155858,-0.105488821621182,-0.187456037512586,-0.273695072676136,-0.057121468753017
"ZS-ZI",0.153385560991722,0.406820651411663,0.712153513712682,0.418720490374791,0.967389968802554,0.667110848247315,0.320606964491564,0.210312267513564,1.15617064770084,0.683136956323933,0.521801028063014,0.162493642521152,0.577694286739135,0.368113251363344,0.882010906748122,0.637819088351771,0.608544972011561,-0.0392705436418455,0.942158540464517,0.1749666556543,-0.219939297816042,0.138671519025453,0.387900964557512,0.297468080029381,0.624363312502198,0.101733864429447,0.509342676519455,0.348020135579617,0.711742867181184,0.474371884024497,0.585423111076647,0.357104821064662,0.335819186314899,0.472447422151493,0.0228992036631667
"ZI-MT",-0.0419771505021285,0.0864010807262629,0.0400164111877098,0.128858879042466,0.373264394663687,-0.226136216430089,-0.0286323965490642,0.0478081879890991,0.259152665751869,0.214244455908984,0.0640740959985723,0.0103029861542942,0.0969644378235114,0.232511888363067,0.264998163956885,0.31919776448468,0.231560220024061,0.14795106867036,0.1749666556543,0.575360754494067,-0.0559027305986716,0.0718764163142658,-0.0196979056588239,0.213842760271226,0.00110861733488061,0.0222962933884261,0.0123573313816281,0.217019279060596,0.185353080771608,-0.203472425820111,0.0744647018539725,0.00849132549942383,0.487882149245884,0.199314628342373,0.210434564879872
"ZI-ZYGI",0.201015446267432,0.534875061321777,0.92753801419854,0.431295643783097,-0.258548677655783,0.143316150832119,-0.212596143926441,0.471980386380176,0.24378006279348,0.716020796205027,1.38721802285444,-0.126101299151265,-0.219440217961934,0.0448280882314143,0.589306829391091,-0.105754626916985,1.00146544832037,-0.215257541546716,-0.219939297816042,-0.0559027305986716,2.18720667502134,1.03994846445124,0.238781286635684,-0.0671959206229433,0.71126129530856,0.387995939391035,0.68824021308377,-0.0611746552517961,0.921670371073278,-0.24599154445115,0.611054683594777,0.196593644643354,0.955856264581202,0.0659315558279562,0.184797216473942
"ZI-TSP",0.181152351436263,0.534238530960086,0.742395117880362,0.259890114187757,0.13423704382424,0.0635146667749974,0.458838058977057,0.538502869658794,0.694175555518614,0.202056304733675,0.947201971916147,-0.624269749026381,0.273770723647714,1.18166366530542,0.655917879190188,0.544826367113949,1.29880941575739,-0.0685029967578197,0.138671519025453,0.0718764163142658,1.03994846445124,2.67051203959614,0.274016292658872,0.226399743702352,0.630442375910949,0.0482969903079477,0.584712222410551,0.239083568526684,1.50992213149635,0.460796045977366,0.0949148941131872,0.791761798395439,-0.317743364615041,0.193547898852329,0.00944499846868795
"MT-PNS",0.108380550932975,0.328369564998296,0.858791765471075,0.28559284532418,0.52814021670024,0.439139132530873,0.0457094248125936,0.304909525369037,0.702358025907627,0.60492718000247,0.697239370895223,0.155995148861561,0.356374868916228,0.167331121613527,0.601033337620695,0.300261552050857,0.418340068760763,-0.15798455999819,0.387900964557512,-0.0196979056588239,0.238781286635684,0.274016292658872,0.479432331055524,-0.0316509320373962,0.537644961869072,0.105528568913252,0.401012500655266,0.351986513666554,0.545606421573029,0.333971887525371,0.314341823133654,0.46881156742639,0.421878028382564,0.288270711714214,0.0305671666835433
"PNS-APET",0.101877234459995,0.206889281645069,-0.0309510767148187,0.191152578675874,0.522668169286807,0.0632048593967058,0.323326407140965,0.139700407636112,0.452291014945366,0.261457659156075,-0.189000503425837,0.106041190746151,0.183366187490748,-0.12327505844582,0.210264415758216,0.115649506110483,0.196336955253535,0.219079754136587,0.297468080029381,0.213842760271226,-0.0671959206229433,0.226399743702352,-0.0316509320373962,1.01214073300862,0.141959233270524,-0.1663294118142,0.105726318487212,0.434181851775233,0.140904812274717,0.267793746654824,0.0127354750837414,0.294655960394611,-0.0285902687178432,0.11621256283864,-0.0189458253583352
"APET-BA",0.26998884525569,0.841088657223345,1.19205659731011,0.624121288042479,0.892739228363621,0.81125807253498,0.3227188340019,0.594730244480656,1.21106275158678,0.910040195431071,1.17689722273631,-0.0136837960640014,0.297172675348072,0.062774451791278,1.35758662765432,0.620178521340316,0.993107101831986,-0.258738910293479,0.624363312502198,0.00110861733488061,0.71126129530856,0.630442375910949,0.537644961869072,0.141959233270524,1.78913019692556,0.300061776531425,0.993632229050607,0.758613235190338,1.11211867299978,0.698731770367954,0.717470213314764,0.868864525339929,0.935380566864408,0.499604490486645,-0.0241846204273297
"APET-TS",0.0271992316356901,0.155587794655907,0.133172757490349,0.1081217327684,0.0233401462965844,0.19938140518554,-0.140261985735786,0.107169632584921,0.208067427087276,0.274096234323718,0.407933611942548,0.0434843324409484,0.0590863397950339,0.155491290667228,0.367370165207462,0.162500928161383,0.39812159572997,-0.0827466059954295,0.101733864429447,0.0222962933884261,0.387995939391035,0.0482969903079477,0.105528568913252,-0.1663294118142,0.300061776531425,0.45168281249455,0.290244954571882,-0.020129441687579,0.351048573494532,-0.0855192733954269,0.378185833044821,0.00995264520781494,0.634174399047779,0.155813779426667,0.0441269880256448
"BA-EAM",0.224666231019807,0.522401797710574,0.904772827444008,0.450295754185092,0.554070788428184,0.550214453100088,0.0131818014886016,0.41968799370161,0.920273403872082,0.813027846791578,0.984391864379999,0.0303960454249301,0.340786556310857,0.277911498666523,0.994847871222308,0.433181798510668,0.918048781418655,-0.168106450553793,0.509342676519455,0.0123573313816281,0.68824021308377,0.584712222410551,0.401012500655266,0.105726318487212,0.993632229050607,0.290244954571882,0.791154018903941,0.270812477474327,0.98842874319647,0.358301395161984,0.594855289952352,0.591596436414925,0.645588191949888,0.440531847420922,-0.0265806956466046
"EAM-ZYGI",0.089971428962927,0.643807008959163,0.917301775404412,0.395881630711254,0.823657046240715,0.447461402126154,0.387937344495629,0.437357819817428,0.827208517085233,0.58115486854464,0.555332926331504,0.252635410356268,0.441978001337298,-0.0553897540733986,0.740760497729659,0.524679439185276,0.190738034337959,0.00709307331742405,0.348020135579617,0.217019279060596,-0.0611746552517961,0.239083568526684,0.351986513666554,0.434181851775233,0.758613235190338,-0.020129441687579,0.270812477474327,1.14808227008306,0.285538620031486,0.287488572604156,0.638205748482262,0.512622701273091,0.970332309057505,0.261515781179825,0.174036965776963
"ZYGI-TSP",0.165438539372531,0.726168170476671,1.02898065965751,0.563893337287345,0.80558782987016,0.643109834097032,0.208662747023338,0.767301161803952,1.48838231416728,0.947660889854957,1.49743587886529,-0.229739181729672,0.777017516892493,1.28452286306375,1.68497040859649,1.234227068795,2.01117698989107,-0.315323959800274,0.711742867181184,0.185353080771608,0.921670371073278,1.50992213149635,0.545606421573029,0.140904812274717,1.11211867299978,0.351048573494532,0.98842874319647,0.285538620031486,2.22707612938969,0.360950621753381,0.897908686080121,0.779012900434632,0.72113387782952,0.776363111122075,0.163971078178862
"LD-AS",0.341646783649193,0.342643775528371,0.51856691246902,0.191129218484083,0.658676936997723,0.608557531468628,-0.0196409078603422,0.412120119176975,0.851450356875244,0.864034158082141,-0.142215094186699,0.15685919946269,0.386703231899928,0.0997337241313962,0.278157837159638,0.137735980371002,0.314218863536072,-0.00846664283723473,0.474371884024497,-0.203472425820111,-0.24599154445115,0.460796045977366,0.333971887525371,0.267793746654824,0.698731770367954,-0.0855192733954269,0.358301395161984,0.287488572604156,0.360950621753381,3.75801359414792,-0.529868209549635,1.71619397093246,-2.20207984781429,-1.74073307965477,-0.289799421327004
"BR-LD",0.0851264889876757,0.550895548312955,1.45655199997092,0.530332986612582,0.884051154911985,1.2727174462334,0.111518607437028,0.5951829076375,1.14625313658979,0.342120665347071,1.5321668655947,0.574407630407023,1.05936114716219,-0.302712820759785,0.78292584395021,0.283637300631647,0.840260979160452,-0.170628482155858,0.585423111076647,0.0744647018539725,0.611054683594777,0.0949148941131872,0.314341823133654,0.0127354750837414,0.717470213314764,0.378185833044821,0.594855289952352,0.638205748482262,0.897908686080121,-0.529868209549635,3.92356762145065,-0.893012227001755,1.87984164543815,0.48791882279565,0.597657419655301
"OPI-LD",0.235295886840996,0.411399600944714,0.929120229205678,0.387073678332517,0.590028974579093,0.47162065817212,0.0137718757696122,0.414350221714513,0.775658967355161,0.526802132455149,0.282050095334853,-0.0213208978739994,0.523014808530985,0.64141804002131,1.28874846221604,0.881195093903579,0.615696120328899,-0.105488821621182,0.357104821064662,0.00849132549942383,0.196593644643354,0.791761798395439,0.46881156742639,0.294655960394611,0.868864525339929,0.00995264520781494,0.591596436414925,0.512622701273091,0.779012900434632,1.71619397093246,-0.893012227001755,3.16738676097284,0.188124439821849,0.341473115779924,-0.725812069995782
"PT-AS",-0.0496326109338517,0.554261498165946,1.51817413383998,0.726618568821531,0.672804690821988,0.527611963563496,0.103806875023076,0.32835542234414,0.697215266409575,0.599324409648979,1.40770166854056,0.509879218786052,0.508532428457462,0.24598573120681,1.92766805250158,1.24155302886404,0.685262766781055,-0.187456037512586,0.335819186314899,0.487882149245884,0.955856264581202,-0.317743364615041,0.421878028382564,-0.0285902687178432,0.935380566864408,0.634174399047779,0.645588191949888,0.970332309057505,0.72113387782952,-2.20207984781429,1.87984164543815,0.188124439821849,5.14422641904684,2.23985315493238,0.721291860937804
"JP-AS",-0.0249710047991073,0.0519810086058115,0.518581993232818,0.273418689082074,0.499459018018488,0.236304009274584,0.22687784344802,-0.0173407008018633,0.469328793892398,0.0960883392629204,0.55311053785512,-0.0383812855184851,0.295703389043378,0.49567919566688,1.04043222701107,0.759014857830187,0.528552447323752,-0.273695072676136,0.472447422151493,0.199314628342373,0.0659315558279562,0.193547898852329,0.288270711714214,0.11621256283864,0.499604490486645,0.155813779426667,0.440531847420922,0.261515781179825,0.776363111122075,-1.74073307965477,0.48791882279565,0.341473115779924,2.23985315493238,2.37928956417418,0.197990176975122
"BA-OPI",0.0155349533674165,0.16442952313571,0.232671762531754,0.000161568094640507,0.0796117615303122,-0.0750064485453908,-0.121768132232656,0.064871965499144,0.0956198426087192,0.33764838513801,0.212678508482938,0.262262710207204,0.0611167552740128,0.002830236161946,0.123411339495812,0.0812600892011936,0.0989898819036272,-0.057121468753017,0.0228992036631667,0.210434564879872,0.184797216473942,0.00944499846868795,0.0305671666835433,-0.0189458253583352,-0.0241846204273297,0.0441269880256448,-0.0265806956466046,0.174036965776963,0.163971078178862,-0.289799421327004,0.597657419655301,-0.725812069995782,0.721291860937804,0.197990176975122,0.936444801445194
