"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.34607143565037,2.09484224568862,3.31245299794955,1.84964734477326,2.32679493503242,1.86837397699886,1.55449573396691,1.26972117877044,2.73628889345733,2.73894269398577,2.98617349037009,0.827055980482498,1.81513282918176,0.843436774133755,2.28369748135876,1.08301589616435,2.371333131407,0.346214662398503,1.58402493428388,0.926449171339691,2.20626390388959,3.11067971977662,1.0760106277875,2.34004018876026,2.05632963591195,0.684493744569932,1.7558633374883,2.24494303991632,2.34359058105919,1.34326899656004,0.961325734089685,1.99421992905007,1.64265575758724,0.622067530086851,0.440889155647483
"IS-NLE",2.09484224568862,5.76499533914585,6.6872472068149,4.47238841810199,5.51010599277904,4.36778268513916,1.60201826570753,2.47430773517003,5.5606102308275,5.97185225496558,5.69354586025644,1.96200285072934,4.21749709570817,1.74986150939528,4.95265104677819,2.30899652591545,4.62734610112054,0.87054960432912,3.13091887671993,1.96934220487333,4.28220272337998,6.27765047078258,2.08195467980641,5.19195444187476,4.28764267340121,1.20205674817996,3.63511174027659,4.48590064922752,4.40267168928406,2.9516529985918,1.69852398792388,4.90131876184152,3.83485342155989,1.41560910170445,0.570761988006888
"IS-PNS",3.31245299794955,6.6872472068149,12.779459631128,7.34108067949256,9.63753459677148,8.31972933603451,5.48335348260479,4.98568664154596,10.3969556446099,9.88721632249804,10.4030635221215,3.45813097347523,6.14632182157118,1.75320189237313,7.06875820136137,2.93322308031541,6.94032039137279,1.61257975657235,5.70914335728573,2.94504341474483,6.50757031544913,10.5416361157846,3.90887486195524,6.24041880062852,7.48214651660797,2.09165882795022,5.70085146969887,7.1852540684039,6.69279211031756,3.86220900850469,4.241040360958,6.25629738243296,4.72088611526923,2.14317804585244,0.471181876068722
"PM-ZS",1.84964734477326,4.47238841810199,7.34108067949256,5.75254834598906,6.45224842200651,5.67763332437091,3.70750750876434,3.44750493602037,6.844244225563,6.57771625819004,6.38164927564443,2.11684699047218,4.14169777010353,1.57499061717655,4.64137616972201,2.36484598751428,4.52251575993847,1.17017232237314,3.74756177116393,1.7933502576493,3.89326749869879,6.41053115651046,2.05058027283882,4.67219285691858,4.4231325923011,1.28442011690509,3.36249903557989,4.18175911615132,4.23010982221071,2.48647219565091,2.39603516394651,4.14203558460221,2.75558481570238,1.21646518386521,-0.0698536268539549
"PM-ZI",2.32679493503242,5.51010599277904,9.63753459677148,6.45224842200651,9.76839592256981,7.4380032657583,4.54137188893018,3.94248305160563,9.66407234862696,8.16265384143446,8.07526637068262,2.80475092078038,5.29449821204811,2.0356060079592,6.41339002259445,3.12201823472933,5.58822287896034,1.63494962379791,5.91775093287576,3.17142961479285,3.63236563765496,6.99982718096275,2.78567072339169,5.9055543564915,5.76681598916208,1.49561676514069,4.47628736896088,5.4004942813479,5.19836393324029,4.29037339934863,3.30425119499598,5.7810178288225,3.36114792062506,1.59224134474339,0.215335323452188
"PM-MT",1.86837397699886,4.36778268513916,8.31972933603451,5.67763332437091,7.4380032657583,7.65804720119739,4.02546350650671,3.86224608252806,7.7572862440927,7.2427218917227,6.53689004503229,2.56795926291654,4.32748572673267,1.00843509459767,4.29060196447081,1.68418281292659,4.34677638439985,1.30352243361073,4.15922553084382,1.39012757649358,4.04131721916069,6.93624774039917,2.43010201419365,4.96298093355306,4.56843711379699,1.34300590094832,3.38792152524421,4.65305970475284,4.11627277080646,3.45435240364663,2.64600208744326,4.74462148376862,2.50521008637931,1.19447906925866,0.0240802555966392
"NLE-NON",1.55449573396691,1.60201826570753,5.48335348260479,3.70750750876434,4.54137188893018,4.02546350650671,8.18814523581901,3.66108714779252,6.29221415129774,3.36463609277552,4.52904901459705,1.40455288223214,2.28884287501392,1.01585999013952,2.72901953852438,1.34796306130023,3.03526377927282,0.830595725716003,3.08034146946707,1.38550961738461,2.80121223897415,5.02799633279005,1.29263604610231,3.323892768458,2.90649944079673,1.09515877803212,2.11398839975704,3.24241936740254,2.98484121894373,1.80743891325254,1.10648235630347,2.20395833421071,1.28575607040832,0.612278196773624,0.188404757393105
"NLE-ZS",1.26972117877044,2.47430773517003,4.98568664154596,3.44750493602037,3.94248305160563,3.86224608252806,3.66108714779252,4.01833958205625,5.33705078811313,5.52249516223313,4.51619569089297,1.71482442603735,2.74858786716389,0.938974849877892,2.69444113325851,1.00559419583617,3.07354541179925,0.528256858035233,1.56686094094803,0.821174825400436,3.16905925039428,5.34006559090545,1.23197593719011,3.50541753538423,2.86506139079937,0.817595359436641,2.27383016949731,2.94096821956155,3.06595234601517,1.81760778170674,0.33412750389479,3.27579648523781,1.91097661970973,0.703490543316166,0.034377872550627
"NLE-ZI",2.73628889345733,5.5606102308275,10.3969556446099,6.844244225563,9.66407234862696,7.7572862440927,6.29221415129774,5.33705078811313,11.0927096037839,10.3145016939927,9.29379037369814,2.91038785142394,5.64806353523628,2.76788917030188,7.02178858728232,3.43860039619342,6.59412170157487,1.52310646137051,6.08604376869762,2.9959445710307,4.92597299867891,9.00423740642766,2.99516081924697,6.61472851690214,6.25608171504614,1.86761054769729,4.97583165308298,5.91784445783913,6.31318909910528,4.58167694561426,2.18568701490175,6.4179245640653,3.75810562075904,1.49178212176808,0.303718376948009
"NON-BR",2.73894269398577,5.97185225496558,9.88721632249804,6.57771625819004,8.16265384143446,7.2427218917227,3.36463609277552,5.52249516223313,10.3145016939927,21.8643531792914,10.3284223433113,2.73372917346655,4.14145500263402,3.37838835359664,6.76224185394406,2.63595983520639,6.60103745933288,1.06534597632147,5.12601126405199,1.92532260257635,7.6139388459504,13.0173313590932,2.75858073483159,8.38805230067681,6.67189606899317,1.92815645545311,5.78504062753159,5.23898240505019,6.38834828089018,3.57481270541178,-5.4190616792442,6.21442005195588,2.58512987311204,1.01748157711441,0.917642175964702
