"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.301504003809429,0.455996113886927,0.551376742833507,0.360454306156148,0.319645214283009,0.322728459324343,0.040454005283476,0.255538726572268,0.526178051879681,0.635172498943201,0.532515721319343,0.181875110115043,0.280958302701994,0.13183149405827,0.426196630688951,0.115367637902116,0.539809753911068,0.0140491169215604,0.268958371092219,0.223692271070159,0.662618914781493,0.5318853508883,0.131217186001479,0.464511369361981,0.366381349937132,0.0345762653451723,0.426040459180998,0.119440046896218,0.494816064237619,0.241646005639555,0.11470497861275,0.193410316083242,0.180722504385483,0.256607540091452,0.0236565542092771
"IS-NLE",0.455996113886927,1.77403504709611,1.09966683132381,1.0934572550191,0.996585832699811,0.962649198876021,0.0953977593142003,0.783492600639895,1.25068549075033,1.49880260080176,0.81601168530216,0.291655846952924,0.214132563999847,-0.013175015835044,1.002938326179,0.306098974900537,1.21694520600203,0.214550293631873,0.450264915866311,0.456972118143256,1.37861442486389,1.37549294085904,0.228596353490064,1.35867311052221,1.1036736500201,0.0418530735611685,0.993850855593944,0.636012274119081,1.12549497151089,0.173364921356904,-0.0276741745337724,0.169280178324483,0.479978555324502,0.354109134039887,-0.225298151694397
"IS-PNS",0.551376742833507,1.09966683132381,2.44224195859941,0.941184630847337,1.25817740526714,1.53341035683385,0.071611450113656,0.846438821425196,1.30550499943773,1.67717599377156,1.74516130491933,0.508310319547415,0.568375716365555,0.0192030039963123,1.13839361362468,0.306197065843993,1.17025330858641,0.150200456438053,0.469909907983802,0.315211759419694,1.52773612383954,1.28028069096765,0.422869233883763,0.545996858292403,1.22676160696123,0.0421416636799655,1.12016688518972,0.297871370972673,1.03666771801178,0.489265496870549,0.328143870876567,0.637369812423994,0.713336703543365,0.774118904111465,-0.261555794457755
"PM-ZS",0.360454306156148,1.0934572550191,0.941184630847337,1.47079243497734,1.09367411239786,1.26714616335489,0.485927793224915,0.423711219086458,0.879789161162902,1.42624173938842,0.423759211170474,0.539057879679341,0.735074645675842,0.331485314263123,1.0651374502884,0.470154274002804,1.17940933770147,-0.0199478389212297,0.57502789761519,0.265127263873793,1.25451599128826,1.1666918130422,0.157662231542272,1.30170569095502,0.945331148591525,0.251692465560656,0.945512246989407,0.342368346025207,1.13635706941284,0.284981192487043,0.257905526067186,0.711569107960362,0.939263263593737,0.538353150821056,-0.380673192770414
"PM-ZI",0.319645214283009,0.996585832699811,1.25817740526714,1.09367411239786,1.94118324046759,1.48663153265458,0.328430534878491,0.258194011024996,1.50181842225148,1.60031624034324,0.731623600165692,0.747460381558475,0.770987415213874,0.367171097119285,1.48369824402068,0.7314372188838,0.867863106793105,0.11047595909988,1.23206743488333,0.757059963356015,0.520207272768934,0.542690136135064,0.312007849742327,1.21517300814343,1.18873678761576,0.413614984260479,1.01449353665931,0.596429006365018,0.868365564709851,0.257524994585015,0.383606357586751,0.692583230860364,1.50274908685329,0.828253881203951,-0.366362353835491
"PM-MT",0.322728459324343,0.962649198876021,1.53341035683385,1.26714616335489,1.48663153265458,1.89065937027526,0.597784123826764,0.612893466103194,1.0913885534393,1.29428706750311,0.802418125215336,0.722082955676334,0.687160060442415,-0.0289123065326274,0.9727435330798,0.341905982700493,0.95466694508996,-0.0230766629054234,0.561782451031484,0.313419147467563,1.21187211574658,0.897213508016598,0.279796754758688,1.09005855558263,1.05799387916929,0.250489642005478,0.949739874302124,0.386238871484892,0.950137112546307,0.221884592411124,0.679516606202259,0.517523850155944,1.05060930755827,0.612599909496571,-0.395137514733295
"NLE-NON",0.040454005283476,0.0953977593142003,0.071611450113656,0.485927793224915,0.328430534878491,0.597784123826764,1.99131413563738,-0.249335433648873,0.0682188929632503,-0.85607520290444,0.160706649574664,-0.0153496852700899,-0.0160779441571466,0.0940460603384032,0.358921808834154,0.10179174357794,0.0518337104605996,0.0418833303369377,0.356652572170273,-0.0574799351925897,0.107410507483259,-0.193669683121865,0.175574044258047,0.391149519226319,0.496543681027299,0.288951616950039,0.39595263736976,0.358844922945846,-0.0461701791953804,-0.0527262550251369,0.13030132211313,-0.47479869176151,-0.401291980836949,-0.5391217681531,-0.36949954872258
"NLE-ZS",0.255538726572268,0.783492600639895,0.846438821425196,0.423711219086458,0.258194011024996,0.612893466103194,-0.249335433648873,1.47928774469051,0.770301643173598,1.1154763294496,0.898326226940208,-0.0873616543180468,-0.169332088004931,-0.332809068196345,0.161663511546166,-0.10216383283327,0.574704931310236,0.106864709203544,-0.643770329995739,0.047718745499841,1.17770953849458,1.02322880528431,0.0930886027710118,0.557897311131097,0.524783955895731,-0.297877987660593,0.403205055538605,0.175798607334046,0.558668814272271,0.443654554156223,-0.422313851449455,0.0930240556042667,-0.352596321603578,-0.0140917235256458,-0.0373560753850734
"NLE-ZI",0.526178051879681,1.25068549075033,1.30550499943773,0.879789161162902,1.50181842225148,1.0913885534393,0.0682188929632503,0.770301643173598,1.92443409424994,1.71625931453309,1.26497768046941,0.511880287393978,0.546606298763326,0.317732304857248,1.52977593182821,0.615329589171315,1.08661958303861,0.138738347421322,1.07483538071576,0.800267653948762,0.916915871222472,0.906146644555762,0.359325778764259,1.23536911825496,1.2950775594672,0.160764922902446,1.11735669444575,0.586378493355224,1.0783279454348,0.516662563729024,0.0934607417448057,0.611565150638172,0.92510942128166,0.775930604708792,-0.184855947388625
"NON-BR",0.635172498943201,1.49880260080176,1.67717599377156,1.42624173938842,1.60031624034324,1.29428706750311,-0.85607520290444,1.1154763294496,1.71625931453309,4.44842408493684,1.14300191735917,1.02472703019544,0.94422709876247,0.207584171013713,1.58182812343414,0.673847429417959,1.64833043340011,0.0223845150058714,0.63804302391684,0.896042692679238,1.84464194204216,1.94299440234556,0.179741252798856,1.87445140982545,1.54202005746447,-0.0211445434492977,1.38213158747151,0.52645453409945,1.66467303815816,0.70166871670063,-0.855196089676557,1.69537120723902,1.56934575303705,1.26207766098317,-0.288743206087698
