"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.753672363143679,0.708238088489477,1.45804499566298,0.779485950392551,0.869355121724873,0.598832905367919,0.721584735198276,0.832705905077364,1.48755160580237,1.04352629813062,1.10588091000754,0.189448871032784,0.52434048536594,0.328505591228755,0.694914380277898,0.182563727884516,1.11239509943409,0.0414494573036815,0.735073356017538,0.40981992049325,1.23355635980756,1.05347681709302,0.349308165959909,0.763161789313109,0.707963335063607,0.268973942381906,0.57999842698664,0.83109469605552,1.01626247085942,0.544747114518065,0.485084813351514,0.615916147357617,0.574877734048501,0.025302674958404,0.0879072332753756
"IS-NLE",0.708238088489477,1.86579798738281,2.00709573637223,1.62459263419127,1.29986294449413,0.930321544570259,0.733665154325059,1.0354044692948,1.89954371814777,1.43799195063452,1.37357740439446,-0.0193723098612194,0.715711407572277,0.688701361015137,1.16985886376462,0.744258868972832,1.9596392599427,0.209743945164997,0.949291919328975,0.364644539273007,2.05964320705773,2.77150455269671,0.755360749094426,1.37298505592102,0.987012538485101,0.0531880449252568,0.654275990170464,1.36763074639757,1.96858261777092,0.865953731431827,0.659771034966716,1.18894248844854,0.898449410552722,-0.0159033140663203,0.0689252634454288
"IS-PNS",1.45804499566298,2.00709573637223,6.29411346481929,2.98043636373719,3.33453505706375,2.3719100578217,2.48866312356664,2.50940854740799,4.35221279761509,2.54893235587474,4.36468087589672,0.243167578958588,1.38722471922135,1.5087996953352,2.86723045123027,1.45286608966371,3.45226820395422,0.228465445169016,2.03195801556536,0.955313147877357,3.45509734067477,3.59245297451144,1.95241808436292,0.857081052643327,2.17239704309296,0.428242799163984,1.57569885740802,2.73947872463919,3.32004150215752,1.37282469711543,2.56048810637811,1.52506517911008,2.41115956391108,0.244375115396887,0.0898039583438056
"PM-ZS",0.779485950392551,1.62459263419127,2.98043636373719,3.14263919986992,2.49048063042831,1.87482464628348,1.30905200070649,1.40018682719872,2.56302077020778,2.26108802903848,2.11244778299611,0.159771165686096,1.13895957975121,0.821394634696065,2.12380959261389,1.16621849813945,2.43170965869666,0.325800681726049,1.44076609008835,0.351328349311355,2.75699358234203,3.03992225891722,1.26742708620169,2.05113503573151,1.95641359112182,0.457465234651275,1.24898864461789,1.7405648838797,2.34395769141377,1.79118169459136,0.758462328528834,2.18215263269953,1.9483100295547,-0.0470296412928666,-0.314578936195808
"PM-ZI",0.869355121724873,1.29986294449413,3.33453505706375,2.49048063042831,3.30169809318591,2.12267979772397,1.34051732099218,1.77404808507879,3.69444464555331,2.05252850188182,2.55064997270162,0.511627502775188,1.44753191649658,0.882573192101133,2.09939585103418,0.764754829309815,2.421664191043,0.270251955724601,2.0705120877963,0.882028809522813,2.07886641817777,2.57644355496166,1.45796125471345,1.60383197573654,2.04586811495949,0.632149464529669,1.45023689691654,1.70604830266742,2.2891241301805,1.93369096974711,1.42833304481614,2.21192707032504,2.00649432134847,0.303787824883456,-0.284471828117141
"PM-MT",0.598832905367919,0.930321544570259,2.3719100578217,1.87482464628348,2.12267979772397,2.12648166300621,1.05817985181045,1.08685314078586,2.18348770597073,1.65764659401155,1.68049241068135,0.211643112197955,0.996150203759102,0.727730837758081,1.71527842320107,0.823915336550931,1.825261713859,0.276111901696907,1.25912251456403,0.186410599593063,1.99966856527246,1.99838328885249,1.20950463998349,1.4980896375771,1.53860997193596,0.337846182055213,1.02536148647663,1.43808119080432,1.60469071975317,1.50634057129984,0.304143040912537,2.05178516977469,1.70587219892118,0.0719788575063254,-0.208476554939564
"NLE-NON",0.721584735198276,0.733665154325059,2.48866312356664,1.30905200070649,1.34051732099218,1.05817985181045,3.21497726020307,1.46305112670366,2.03966669550874,1.50001881413225,1.75509171219182,0.277368468176243,0.274435439450158,0.090240095795063,1.26686648256166,0.261574500243636,1.14852703363321,0.050742983973219,0.684875605301175,0.0913066493682336,1.76512028309542,0.987863903821314,0.601475148838805,1.37500682557162,1.05667946414561,0.074513061709585,1.16065557940287,1.04015747584382,1.09476353300941,0.568949435708281,0.635604606681417,0.774626518857578,1.80140292019578,0.355968845313434,-0.177119248964421
"NLE-ZS",0.832705905077364,1.0354044692948,2.50940854740799,1.40018682719872,1.77404808507879,1.08685314078586,1.46305112670366,2.06454083681039,2.83513954231278,1.73166436423928,1.85728940040642,0.531402326958305,1.0988582272368,0.654179002641134,1.19566360313913,0.311030084450896,1.68266599100909,0.303446803839097,0.936828712747823,0.565441117708193,1.57935908025846,1.71192283668517,0.855326399628763,0.865177621134749,1.02914188623654,0.238074893351648,0.998478545525261,1.08859073572854,1.44107957926778,0.670512033804065,1.49634220988913,0.638147949751824,1.16374957242992,0.131947207261581,-0.066413599471862
"NLE-ZI",1.48755160580237,1.89954371814777,4.35221279761509,2.56302077020778,3.69444464555331,2.18348770597073,2.03966669550874,2.83513954231278,5.41122935280047,3.0827823273956,3.52037985071926,0.807546395212857,2.02439163592162,1.43130641112587,2.59050702889317,0.81852859680027,3.41849513818385,0.326709930831933,2.79715001110678,1.29141957704563,2.99063994543513,3.66567051628528,1.7272318329366,2.17610204862554,2.16307422892597,0.701424229846109,1.9163662985826,2.32623080831075,3.21413744587299,1.97952848714351,2.19817467941843,2.11572893557691,2.19984341929022,0.321824552339649,-0.0751063644293031
"NON-BR",1.04352629813062,1.43799195063452,2.54893235587474,2.26108802903848,2.05252850188182,1.65764659401155,1.50001881413225,1.73166436423928,3.0827823273956,4.557495574497,2.05578051669111,0.408436339819099,1.29927337384086,1.19774133810988,2.20417397412575,0.955962751200284,2.80117373477382,0.342768272108039,1.60536220740946,0.385717601740634,2.97588649590696,3.7818186263222,1.13788534665305,3.01653623447385,1.76299231316817,0.597719503619368,1.27844716578804,2.53151241228912,2.698392709831,1.68780481021163,-0.166590385072761,1.96334455990905,1.70072790067679,0.0952144216826863,0.212783543261838
