"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",7.46349982795803,12.0770743130558,16.3712673343567,8.63905338333746,16.2813709730951,10.1666694842326,4.97597369875101,9.71918334837076,18.1051718595947,16.0510419292344,7.50046750576919,5.02308404413985,6.59933457954861,1.31607321531297,8.36264005583449,4.28188762021396,10.3327583261409,2.04819754419395,8.74744808129018,7.17155366768804,4.73898738095631,9.90521232362244,3.6726053006667,10.8302420324809,9.62026477611335,2.27280668470066,9.63617189703984,5.36753582441458,7.96752915363703,7.32981713945815,1.98114213892044,9.29844560602795,7.65172102195982,1.63861375690695,-0.199224479022359
"IS-NLE",12.0770743130558,30.2027463286775,37.775919563998,21.5514023004616,35.2638402563526,23.9998495479583,11.7803028872957,21.2520324620744,35.0237306666127,23.6226570709943,18.8834615482039,7.60974130115123,12.3607086338117,0.385354483439449,15.764831295693,9.61816817608621,21.8885919103164,3.59921290745966,16.2467674995276,15.3466976375893,14.3546702520969,23.198051116922,8.33550814832188,17.8808759931683,19.6800078376301,4.75814563290199,19.9856349004485,8.51706313719234,17.3467300974472,16.1198452882451,8.10187605804029,18.7693897697097,14.4011951057005,2.66478636694345,-0.957051594926697
"IS-PNS",16.3712673343567,37.775919563998,61.5581428759248,29.198323658198,48.3916348717401,35.5159033683219,26.9764922952479,30.500536552614,52.1495326326986,26.1622065781564,31.2234616603128,10.9273703202372,19.0589324533762,2.52977766626285,27.0031425313687,16.3948268630771,33.691111938891,3.23037113096178,23.0758193534288,20.4690115620336,23.9238445150975,35.1820923172738,13.4243440373551,20.1373589121236,30.5897592595733,4.47324670202951,31.4853472765718,12.5631070601436,29.5844442695982,20.3611994226028,12.0353028501281,25.309848564391,22.5222082275143,8.78608700266449,-0.273931061001854
"PM-ZS",8.63905338333746,21.5514023004616,29.198323658198,22.9578969858046,31.5910090776403,22.2944855125642,10.5094995060867,20.3126799773154,30.1175578878052,19.0200113735886,13.8469504070897,7.9657862164102,10.8415967664395,-0.468112816830049,12.4068087585156,7.1111124117827,16.8775001629266,1.48359552420501,10.3892517418999,12.6498111990515,12.2761728672061,19.5485688401245,6.1175982750022,17.4078839693849,16.2202114328685,2.70095456472374,17.3721633270419,4.99027593073047,14.8714415142401,13.2066624826532,7.35631051261065,14.6720090662753,13.3362602795763,6.00349721853976,0.142585676425018
"PM-ZI",16.2813709730951,35.2638402563526,48.3916348717401,31.5910090776403,64.539077525687,37.8271017523011,21.364207813622,28.4370603921535,60.7605500237911,33.1764079653826,25.5939403184076,15.6313945204732,24.6706152259933,5.72295114684078,26.218567396007,17.4407419623832,33.0535509329146,6.18736228143332,35.9627323632862,31.2386212855189,13.115379736841,29.8090257691099,10.7138354157943,35.9946311080522,28.1211229036487,6.53766449383356,31.7550598757457,11.4789589114183,25.3860395109974,28.1697796093845,14.1839061286427,27.5205856565835,21.8050583805663,7.12938422552007,-0.615031058106206
"PM-MT",10.1666694842326,23.9998495479583,35.5159033683219,22.2944855125642,37.8271017523011,29.0894191873142,15.0837815824432,19.1055629359485,35.92203370088,19.3267431909596,18.0790527895992,7.49626446250899,12.8061760406221,1.12576902923168,16.2016777178539,8.89920305173602,20.9946272320286,2.46506538072772,18.0798584200803,15.4039774743346,15.8643270248569,24.6348396045468,6.91677867996194,21.55150453506,19.4401496672433,2.02861021786484,21.3476872614646,6.33583400835652,18.5997431804498,14.8879847188395,10.9268008781079,18.3468545558411,14.9005575393981,9.98737433770465,-0.643368002775864
"NLE-NON",4.97597369875101,11.7803028872957,26.9764922952479,10.5094995060867,21.364207813622,15.0837815824432,33.7881367151126,12.1506496581407,27.7290906164564,-3.47876793534016,16.5231094340204,4.62238428005278,11.0317875074605,4.97160123556186,15.5360190305068,12.251070827987,17.5660538986728,0.858001578494479,13.495593137168,10.8394324795729,15.8235120736869,19.0571193692895,5.76472301259363,12.5036233040286,12.7217665245295,-1.12429950457971,13.805087915646,6.87567003756007,17.6215095942212,10.8782401722141,7.80323950323141,8.78262787057831,12.1974057486842,2.49451881728473,1.43532457708147
"NLE-ZS",9.71918334837076,21.2520324620744,30.500536552614,20.3126799773154,28.4370603921535,19.1055629359485,12.1506496581407,25.151048358069,32.6957103278795,18.273497751786,16.9212046006038,9.70146713777748,13.1593909113802,0.439672162418867,14.6278733601747,10.0713826555202,18.4230850895952,0.00611059146576017,9.1689068807221,12.9332719622146,11.4371264010865,17.8034039474372,6.21026235535177,14.0145075204265,17.5595384163083,2.61482409902077,17.4104590356518,7.44288993236029,16.000142767799,13.8490389072639,6.03741984831525,16.6191102218693,15.0109029946511,4.72490537155084,0.083441961145555
"NLE-ZI",18.1051718595947,35.0237306666127,52.1495326326986,30.1175578878052,60.7605500237911,35.92203370088,27.7290906164564,32.6957103278795,65.8623410384902,34.9039278886382,28.9627438987191,17.8016967775155,27.4413856175323,7.16124628063347,29.2506795004878,19.6572823078466,36.4621467952885,5.35840025122149,34.4158058791844,30.2513416480931,15.6837871917727,32.3184469158451,11.3683578414359,35.4958890354538,29.4805546984541,5.27794257856235,32.5609081303979,15.2591147175665,29.7535292726853,29.9491518954468,13.6253424200648,29.1030210027852,25.0667937307268,6.12971518262561,0.220724056993841
"NON-BR",16.0510419292344,23.6226570709943,26.1622065781564,19.0200113735886,33.1764079653826,19.3267431909596,-3.47876793534016,18.273497751786,34.9039278886382,65.7539782053521,9.54456964573381,16.7168957836438,11.827143381312,1.80502163008131,14.4103346006386,3.82955669992028,18.140332934847,6.24698065153502,16.5340369013676,13.7522245553171,8.88692893899217,20.1895814822351,6.95240481653596,28.5046013407753,18.8621364456107,6.76297577719257,17.3272023788643,11.4287361864154,13.7077475464932,14.9113542994934,-11.8517543112615,22.0150137549644,16.56197938082,5.16937237088132,-1.7090397844943
"NON-PNS",7.50046750576919,18.8834615482039,31.2234616603128,13.8469504070897,25.5939403184076,18.0790527895992,16.5231094340204,16.9212046006038,28.9627438987191,9.54456964573381,20.9044178868454,5.99001636822818,12.6102706488649,2.17647534549545,13.2175109708928,11.5354375287847,19.5877013610588,1.62110165879832,13.6772748304244,12.9324663337815,10.0507342808255,16.8629474079111,6.01044753026334,6.99315583844552,14.5980271570395,2.13059773957326,15.424109263998,7.29335780282623,17.0751885475555,12.7108023072039,8.44318206896031,13.1607250929278,11.1373634969931,4.14288082840627,-0.956908904304227
"BR-PT",5.02308404413985,7.60974130115123,10.9273703202372,7.9657862164102,15.6313945204732,7.49626446250899,4.62238428005278,9.70146713777748,17.8016967775155,16.7168957836438,5.99001636822818,12.6214616793558,10.9613911604121,4.01686868516949,8.27883950044042,3.14259346460485,5.69507608044925,1.28536792117412,8.29647631971902,8.45576770381996,2.46301767488788,5.13543564229094,3.07442392029765,11.2444260790821,6.32413935993577,2.72342597044211,8.36087328446947,4.08564059102291,5.75787839036745,9.10244821928912,-4.19809095447033,10.692170199198,5.86570787002146,1.46395161979691,-0.840017513037491
"BR-APET",6.59933457954861,12.3607086338117,19.0589324533762,10.8415967664395,24.6706152259933,12.8061760406221,11.0317875074605,13.1593909113802,27.4413856175323,11.827143381312,12.6102706488649,10.9613911604121,19.8675467706944,8.08515155608128,11.4816548320089,9.4466452443039,15.4585760510441,2.89970585439846,15.0025765066595,14.7153684285209,3.18536411049359,11.6585761750761,3.52004242384591,16.1820076022376,8.23106114939093,2.55190219465427,13.5951976700245,6.65735549417013,13.8589970569633,13.6298106515991,6.69432541730864,13.5470286321844,7.38652675153113,-0.123747839972165,-0.743141372705647
